date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,10.02,10.23,10.02,10.23,0.2,6000,60294.0
2026-02-11,10.01,10.21,10.01,10.21,0.0,2070,21003.7
2026-02-10,10.18,10.21,10.18,10.21,-1.64,13964,142362.44
2026-02-09,10.38,10.38,10.38,10.38,1.96,1000,10380.0
2026-02-05,10.18,10.18,10.18,10.18,-0.29,500,5090.0
2026-02-04,10.19,10.21,10.19,10.21,2.0,23253,237050.07
2026-02-03,10.01,10.01,10.01,10.01,-1.77,5000,50050.0
2026-02-02,10.0,10.19,10.0,10.19,0.0,4100,41057.0
2026-02-01,10.03,10.19,10.03,10.19,0.89,7662,77555.78
2026-01-29,10.01,10.1,10.0,10.1,-0.88,19490,194980.0
2026-01-28,10.1,10.19,10.1,10.19,0.0,3700,37415.0
2026-01-27,10.21,10.21,10.0,10.19,0.1,191985,1940875.15
2026-01-26,10.2,10.2,10.18,10.18,0.3,23300,237642.0
2026-01-25,10.21,10.21,10.15,10.15,-2.5,4600,46856.0
2026-01-22,10.25,10.41,10.25,10.41,1.56,18196,188319.36
2026-01-21,10.38,10.38,10.25,10.25,-1.35,1572,16252.36
2026-01-20,10.39,10.39,10.23,10.39,0.0,3103,32149.17
2026-01-18,10.25,10.39,10.25,10.39,1.37,3620,37574.8
2026-01-13,10.25,10.25,10.25,10.25,0.0,100,1025.0
2026-01-12,10.3,10.3,10.25,10.25,0.2,5700,58610.0
2026-01-08,10.21,10.39,10.21,10.23,-0.1,7550,77622.5
2026-01-07,10.41,10.41,10.24,10.24,-0.1,4135,42852.4
2026-01-06,10.35,10.35,10.24,10.25,-1.35,1510,15546.5
2026-01-05,10.39,10.39,10.39,10.39,1.76,500,5195.0
2026-01-04,10.25,10.25,10.21,10.21,-0.87,2000,20428.0
2026-01-01,10.39,10.39,10.3,10.3,0.88,1888,19491.4
2025-12-31,10.45,10.45,10.21,10.21,-0.39,14822,152440.62
2025-12-29,10.25,10.25,10.25,10.25,0.39,100,1025.0
2025-12-28,10.21,10.21,10.21,10.21,-0.39,2538,25912.98
2025-12-24,10.3,10.3,10.25,10.25,0.0,3652,37474.8
2025-12-23,10.25,10.25,10.25,10.25,-0.19,5000,51250.0
2025-12-22,10.27,10.27,10.27,10.27,0.39,1200,12324.0
2025-12-21,10.27,10.3,10.23,10.23,-0.2,19100,195710.0
2025-12-18,10.35,10.35,10.25,10.25,-1.35,14380,147954.0
2025-12-17,10.39,10.39,10.39,10.39,-1.98,1000,10390.0
2025-12-16,10.6,10.6,10.6,10.6,-1.3,741,7854.6
2025-12-15,10.74,10.74,10.74,10.74,0.37,100,1074.0
2025-12-14,10.03,10.79,10.03,10.7,4.7,240603,2572857.47
2025-12-11,10.22,10.22,10.22,10.22,0.0,1500,15330.0
2025-12-10,9.9,10.24,9.9,10.22,1.79,52025,528832.7
2025-12-09,10.03,10.04,9.9,10.04,0.3,42132,420139.03
2025-12-08,9.99,10.01,9.99,10.01,0.2,6365,63613.65
2025-12-07,9.96,9.99,9.96,9.99,-0.1,39500,393919.0
2025-12-03,9.81,10.0,9.81,10.0,0.1,6300,61922.0
2025-12-02,9.87,9.99,9.87,9.99,2.88,200379,1991704.91
2025-12-01,9.67,9.83,9.67,9.71,0.62,11829,115701.57
2025-11-30,9.91,9.91,9.65,9.65,-1.53,79200,769853.5
2025-11-27,9.8,9.8,9.75,9.8,0.0,30800,301830.0
2025-11-26,9.97,9.97,9.8,9.8,-1.01,21704,213334.6
2025-11-25,9.9,9.9,9.85,9.9,1.96,12150,120190.0
2025-11-24,9.81,9.81,9.71,9.71,-0.92,27000,263570.0
2025-11-23,9.83,9.83,9.8,9.8,-2.0,68000,667150.0
2025-11-20,10.0,10.0,10.0,10.0,1.94,2300,23000.0
2025-11-19,10.0,10.0,9.81,9.81,-1.9,7600,74730.0
2025-11-18,9.97,10.0,9.97,10.0,1.94,18800,187701.2
2025-11-17,9.81,9.81,9.81,9.81,0.1,200,1962.0
2025-11-13,9.99,9.99,9.8,9.8,-1.01,11120,109028.8
2025-11-12,9.81,9.99,9.81,9.9,1.02,4758,46901.7
2025-11-11,9.81,9.82,9.8,9.8,-1.9,18050,177142.38
2025-11-10,9.99,9.99,9.99,9.99,1.94,1750,17482.5
2025-11-09,9.8,9.8,9.8,9.8,-1.71,1300,12740.0
2025-11-06,9.87,9.97,9.87,9.97,-0.3,10200,101674.0
2025-11-04,10.0,10.0,10.0,10.0,1.21,600,6000.0
2025-11-02,9.71,9.88,9.7,9.88,0.3,25115,245447.92
2025-10-30,9.66,9.85,9.66,9.85,1.03,3400,33471.0
2025-10-29,9.66,9.8,9.66,9.75,-0.61,22455,219673.75
2025-10-28,9.82,9.82,9.81,9.81,1.87,3650,35838.5
2025-10-26,9.95,9.95,9.63,9.63,-1.73,31750,315400.5
2025-10-19,9.7,9.8,9.7,9.8,1.03,1200,11740.0
2025-10-16,9.7,9.7,9.7,9.7,-1.12,1100,10670.0
2025-10-14,9.81,9.81,9.81,9.81,-1.9,2000,19620.0
2025-10-13,9.53,10.0,9.53,10.0,5.04,9545,94736.55
2025-10-12,9.71,9.71,9.52,9.52,-3.84,35100,335353.0
2025-10-09,9.85,9.9,9.85,9.9,1.43,39700,391222.0
2025-10-08,9.76,9.76,9.76,9.76,-1.71,2100,20496.0
2025-10-07,9.93,9.93,9.93,9.93,-1.97,11000,109230.0
2025-09-28,10.13,10.13,10.13,10.13,1.3,1000,10130.0
2025-09-25,10.01,10.19,9.9,10.0,1.73,79650,798975.5
2025-09-24,9.83,9.83,9.83,9.83,1.97,4000,39320.0
2025-09-23,9.64,9.64,9.64,9.64,-0.31,32500,313300.0
2025-09-21,9.55,9.69,9.55,9.67,0.83,111672,1078569.4
2025-09-08,9.59,9.6,9.59,9.59,-1.64,16600,159204.0
2025-09-07,9.79,9.79,9.75,9.75,1.35,11500,112175.0
2025-09-04,9.6,9.69,9.6,9.62,-1.23,20885,200745.65
2025-09-03,9.65,9.74,9.5,9.74,1.04,64000,612228.0
2025-09-02,9.7,9.7,9.63,9.64,-1.23,15000,144567.0
2025-09-01,9.8,9.95,9.76,9.76,1.56,3200,31426.0
2025-08-31,9.87,9.87,9.61,9.61,-0.83,32450,312483.0
2025-08-28,9.52,9.69,9.5,9.69,3.09,3300,31612.0
2025-08-27,9.56,9.71,9.4,9.4,-1.57,44865,428243.8
2025-08-26,9.71,9.71,9.45,9.55,0.32,24700,236295.0
2025-08-25,9.68,9.69,9.5,9.52,0.21,10270,98870.7
2025-08-24,9.75,9.75,9.48,9.5,-1.04,112340,1079134.7
2025-08-21,9.51,9.7,9.4,9.6,0.42,82668,782114.63
2025-08-20,9.57,9.57,9.55,9.56,0.0,25000,239175.0
2025-08-19,9.67,9.74,9.56,9.56,0.74,130285,1255302.5
2025-08-18,10.91,11.1,10.86,10.89,-2.16,46400,506904.6
2025-08-17,10.76,11.13,10.72,11.13,1.46,23770,262096.9
2025-08-14,10.8,10.97,10.8,10.97,1.76,900,9822.0
2025-08-13,11.0,11.0,10.75,10.78,-1.91,96000,1040314.4
2025-08-12,11.07,11.25,10.95,10.99,-0.72,100885,1118308.75
2025-08-11,11.07,11.07,11.07,11.07,1.93,100,1107.0
2025-08-07,11.11,11.2,10.8,10.86,-0.37,25005,274480.0
2025-08-06,11.11,11.11,10.7,10.9,-1.89,29500,321323.0
2025-08-05,10.91,11.74,10.91,11.11,3.73,7435,84992.85
2025-08-04,10.53,10.71,10.5,10.71,1.71,6516,69191.36
2025-08-03,10.85,10.9,10.53,10.53,-1.22,111918,1215959.46
2025-07-31,10.75,10.75,10.66,10.66,-1.75,30100,323123.0
2025-07-30,10.97,10.97,10.85,10.85,0.84,19850,216042.5
2025-07-29,11.01,11.4,10.7,10.76,-0.37,25950,287435.5
2025-07-28,10.8,10.8,10.8,10.8,-0.46,100,1080.0
2025-07-27,11.0,11.0,10.8,10.85,-1.36,2400,26140.0
2025-07-24,10.91,11.0,10.91,11.0,-1.17,3170,34852.0
2025-07-23,11.22,11.22,11.13,11.13,1.18,2600,28947.0
2025-07-22,11.0,11.19,11.0,11.0,0.0,201185,2213161.15
2025-07-21,11.0,11.1,10.88,11.0,-0.9,12600,138528.5
2025-07-20,11.19,11.19,10.99,11.1,1.09,5634,62773.46
2025-07-17,10.68,11.1,10.68,10.98,2.81,106265,1154162.7
2025-07-16,10.6,10.89,10.5,10.68,-0.19,10877,115604.36
2025-07-15,10.9,10.91,10.7,10.7,0.0,23389,253268.97
2025-07-14,10.9,11.0,10.69,10.7,-1.83,43700,476579.0
2025-07-13,10.96,11.0,10.9,10.9,1.4,3300,36226.0
2025-07-10,10.48,10.75,10.48,10.75,1.42,7247,76552.03
2025-07-09,10.6,10.6,10.6,10.6,-1.12,200,2120.0
2025-07-08,10.49,10.77,10.35,10.72,0.19,11900,126037.08
2025-07-07,10.6,10.7,10.6,10.7,-0.83,1000,10610.0
2025-07-06,10.53,10.79,10.5,10.79,0.75,20000,213227.0
2025-07-03,10.5,10.92,10.5,10.71,0.0,28874,309231.0
2025-07-02,10.7,10.71,10.33,10.71,2.0,11600,121936.0
2025-07-01,10.5,10.79,10.49,10.5,-1.87,4200,44515.0
2025-06-30,10.5,10.7,10.5,10.7,-0.09,5050,53265.0
2025-06-29,10.7,10.92,10.5,10.71,2.0,29650,313600.5
2025-06-26,10.98,10.98,10.4,10.5,-2.78,16400,171341.0
2025-06-25,10.8,10.8,10.38,10.8,1.89,21700,228224.0
2025-06-24,10.35,11.33,10.35,10.6,2.91,21800,226106.0
2025-06-23,10.31,10.31,10.3,10.3,-0.96,600,6181.0
2025-06-22,10.6,10.6,10.4,10.4,-3.79,2700,28580.0
2025-06-19,10.81,10.81,10.81,10.81,-1.64,100,1081.0
2025-06-18,10.94,10.99,10.8,10.99,0.83,76000,832665.0
2025-06-17,10.62,10.9,10.62,10.9,0.65,38565,416525.5
2025-06-16,10.41,10.83,10.4,10.83,6.07,30175,319928.0
2025-06-15,10.05,10.26,10.05,10.21,-0.2,151100,1542654.0
2025-06-12,10.3,10.3,10.23,10.23,-1.92,1000,10251.0
2025-06-11,10.21,10.43,10.2,10.43,1.96,6150,62867.5
2025-06-10,10.23,10.23,10.23,10.23,0.1,560,5728.8
2025-06-08,10.38,10.41,10.21,10.22,-3.49,24600,251586.0
2025-06-04,10.59,10.59,10.59,10.59,-1.94,100,1059.0
2025-06-03,10.71,10.8,10.71,10.8,2.86,18936,204328.8
2025-06-02,10.45,10.5,10.45,10.5,1.94,7619,79890.75
2025-05-28,10.1,10.3,10.1,10.3,0.88,950,9702.0
2025-05-27,10.01,10.21,10.01,10.21,0.0,11500,116520.0
2025-05-26,10.4,10.4,10.21,10.21,-1.83,1300,13444.0
2025-05-25,10.4,10.4,10.25,10.4,-0.48,14470,148888.0
2025-05-22,10.55,10.55,10.45,10.45,-2.79,10300,107785.0
2025-05-20,10.68,10.75,10.68,10.75,2.48,28209,301567.07
2025-05-19,10.49,10.49,10.49,10.49,1.94,1975,20717.75
2025-05-18,10.5,10.5,10.29,10.29,-3.92,6880,71320.2
2025-05-15,10.22,10.71,10.22,10.71,3.58,4075,42907.5
2025-05-14,10.8,11.0,10.34,10.34,-2.36,17900,194372.0
2025-05-13,10.5,10.6,10.5,10.59,1.83,7320,77342.0
2025-05-11,10.6,10.6,10.4,10.4,0.0,2180,23072.0
2025-05-08,10.79,10.79,10.2,10.4,-1.7,11850,122623.2
