date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,407.5,420.0,407.0,410.0,-0.24,42400,17456032.2
2026-02-11,430.9,430.9,408.3,411.0,-3.07,27422,11350252.7
2026-02-10,421.0,437.0,419.0,424.0,2.19,213155,91340818.1
2026-02-09,407.0,429.8,400.2,414.9,2.44,186317,78599263.2
2026-02-08,406.7,423.3,403.1,405.0,-2.41,44947,18427921.1
2026-02-05,414.5,428.0,413.0,415.0,-1.87,38824,16156924.6
2026-02-04,409.8,434.0,407.0,422.9,1.15,60514,25159614.9
2026-02-03,420.6,429.0,410.0,418.1,-2.56,60245,25045484.6
2026-02-02,423.4,474.0,423.4,429.1,-0.67,152142,66358523.6
2026-02-01,424.4,446.0,424.4,432.0,-0.23,87514,38137729.0
2026-01-29,411.6,462.0,411.6,433.0,3.1,148789,65618286.9
2026-01-28,427.6,433.5,417.0,420.0,-1.75,55518,23554603.7
2026-01-27,443.0,448.0,417.1,427.5,-2.86,89220,38323016.9
2026-01-26,418.5,451.0,411.6,440.1,6.56,262575,113442232.4
2026-01-25,397.0,415.0,395.0,413.0,5.09,109144,44496881.5
2026-01-22,380.0,401.0,380.0,393.0,1.92,28406,11085592.7
2026-01-21,391.0,398.0,385.2,385.6,-2.31,33933,13249898.6
2026-01-20,371.1,402.5,371.1,394.7,4.69,49092,19233185.5
2026-01-18,370.3,382.0,370.3,377.0,0.4,16893,6402486.5
2026-01-14,377.0,390.5,375.0,375.5,1.49,44509,16990166.2
2026-01-13,367.0,382.7,361.0,370.0,0.03,32242,12005060.2
2026-01-12,370.1,380.0,365.0,369.9,-0.86,35107,12981673.4
2026-01-08,382.2,406.0,370.0,373.1,-0.51,37229,14086851.0
2026-01-07,387.6,409.0,373.0,375.0,-1.32,17366,6562219.5
2026-01-06,390.0,390.0,376.2,380.0,-1.25,27765,10612635.5
2026-01-05,387.8,395.0,381.0,384.8,1.21,29506,11364200.2
2026-01-04,385.1,393.0,378.0,380.2,-2.51,34605,13196238.6
2026-01-01,395.0,429.0,388.0,390.0,-0.28,74194,29166745.0
2025-12-31,395.8,411.0,386.0,391.1,0.77,84474,33314901.0
2025-12-29,408.0,408.0,388.1,388.1,-2.98,35778,14131168.6
2025-12-28,401.0,409.0,395.0,400.0,1.52,37276,14959357.1
2025-12-24,395.1,409.0,388.1,394.0,-2.23,17500,6886537.5
2025-12-23,388.9,406.0,388.9,403.0,2.57,19511,7803634.7
2025-12-22,389.0,399.0,385.6,392.9,-0.03,17352,6788433.6
2025-12-21,400.0,401.0,391.0,393.0,-3.2,21450,8462196.8
2025-12-18,412.0,412.0,401.3,406.0,-0.25,23822,9678777.2
2025-12-17,407.8,413.0,405.0,407.0,-1.93,16191,6594307.7
2025-12-16,424.4,424.4,400.0,415.0,-4.16,18244,7541259.2
2025-12-15,393.3,433.0,391.2,433.0,8.79,66216,26665274.6
2025-12-14,411.0,418.0,396.0,398.0,-4.1,26834,10807066.8
2025-12-11,415.0,419.5,410.0,415.0,1.72,84463,35017376.8
2025-12-10,419.8,420.0,389.0,408.0,-2.81,28095,11651126.6
2025-12-09,386.0,421.0,348.0,419.8,8.76,81309,33233418.5
2025-12-08,395.0,400.0,386.0,386.0,-3.26,24061,9447013.4
2025-12-07,410.0,415.0,390.0,399.0,-3.39,40976,16453075.4
2025-12-03,415.0,420.0,408.0,413.0,-0.82,39390,16234093.9
2025-12-02,422.3,426.0,411.0,416.4,0.51,35407,14884308.4
2025-12-01,414.0,427.0,412.1,414.3,0.56,44823,18760015.5
2025-11-30,440.0,445.0,412.0,412.0,-5.07,49850,21217103.3
2025-11-27,439.9,439.9,423.0,434.0,0.25,85783,36775835.4
2025-11-26,431.2,439.0,426.0,432.9,-0.02,72857,31461374.3
2025-11-25,443.7,443.7,425.5,433.0,-0.46,59579,25640816.0
2025-11-24,420.2,448.8,404.9,435.0,5.58,152414,65955106.3
2025-11-23,415.0,425.0,407.1,412.0,-2.14,63424,26479487.0
2025-11-20,397.1,432.0,397.1,421.0,3.95,230038,97022473.0
2025-11-19,390.3,405.0,382.3,405.0,3.85,119306,47254289.6
2025-11-18,390.0,400.0,380.0,390.0,0.26,29017,11296561.6
2025-11-17,373.0,406.0,365.2,389.0,2.37,96929,36936965.6
2025-11-16,373.6,395.0,372.0,380.0,3.74,76944,29422151.9
2025-11-13,333.0,366.3,333.0,366.3,10.0,59422,21105902.0
2025-11-12,323.5,335.0,323.0,333.0,3.38,10805,3566229.8
2025-11-11,331.0,331.0,319.0,322.1,-0.89,2189,715515.1
2025-11-10,320.0,333.0,315.0,325.0,3.21,8436,2725899.8
2025-11-09,325.0,330.0,312.8,314.9,-2.69,4271,1352920.0
2025-11-06,323.4,336.0,323.4,323.6,-1.91,5814,1890978.7
2025-11-05,326.0,330.0,321.0,329.9,-0.18,5852,1908692.4
2025-11-04,335.0,337.0,330.1,330.5,-3.22,6899,2289666.8
2025-11-03,345.2,352.0,330.0,341.5,-1.07,6932,2326154.0
2025-11-02,334.0,364.0,334.0,345.2,1.29,18998,6648171.4
2025-10-30,330.0,342.7,318.8,340.8,4.8,12425,4125406.8
2025-10-29,321.0,334.8,317.0,325.2,0.99,8684,2816682.9
2025-10-28,303.1,329.0,303.1,322.0,4.38,11664,3673646.2
2025-10-26,297.0,308.5,296.0,308.5,2.22,2539,761304.8
2025-10-19,304.5,304.5,300.0,301.8,0.63,1645,494126.0
2025-10-16,297.0,317.9,297.0,299.9,-0.37,8100,2437349.5
2025-10-15,298.1,306.0,298.1,301.0,0.0,6604,1987711.7
2025-10-14,310.0,310.0,301.0,301.0,-2.59,8660,2629974.5
2025-10-13,305.8,309.9,302.2,309.0,-0.96,7636,2337337.7
