date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,398.0,409.7,398.0,408.0,2.33,69045,27978341.4
2026-02-11,403.0,407.0,396.1,398.7,0.91,24806,9921280.2
2026-02-10,400.0,405.0,395.1,395.1,-2.44,24032,9616269.5
2026-02-09,405.8,405.8,392.8,405.0,-0.2,97507,38963925.8
2026-02-08,403.0,410.0,403.0,405.8,0.69,16839,6832838.9
2026-02-05,404.0,405.0,400.0,403.0,0.62,39410,15841006.5
2026-02-04,405.0,409.9,400.1,400.5,-0.62,18789,7538770.1
2026-02-03,405.0,407.0,400.0,403.0,-0.62,35045,14121559.2
2026-02-02,405.0,411.0,403.5,405.5,0.37,29089,11838530.9
2026-02-01,405.1,413.0,404.0,404.0,-1.46,23169,9408419.4
2026-01-29,410.0,417.0,407.0,410.0,-0.68,14992,6142670.2
2026-01-28,405.1,414.0,405.1,412.8,0.44,21402,8780264.6
2026-01-27,420.0,420.0,409.0,411.0,-1.67,58534,24205719.5
2026-01-26,430.2,430.2,416.0,418.0,-0.9,49096,20538372.1
2026-01-25,417.8,422.0,412.0,421.8,2.38,76910,32160031.6
2026-01-22,413.0,415.0,410.0,412.0,-0.24,16996,6987304.8
2026-01-21,419.0,419.0,412.0,413.0,0.0,35235,14559948.9
2026-01-20,415.0,420.0,408.2,413.0,0.81,48264,19997981.6
2026-01-18,403.4,410.0,403.4,409.7,1.56,34252,13979673.3
2026-01-14,402.0,406.0,401.1,403.4,0.07,21546,8712140.8
2026-01-13,401.0,408.0,401.0,403.1,-0.44,19315,7816260.0
2026-01-12,401.0,408.0,401.0,404.9,0.42,20810,8398020.9
2026-01-08,402.6,407.9,400.0,403.2,0.15,49873,20055469.9
2026-01-07,407.0,407.5,402.6,402.6,-1.56,22594,9174057.8
2026-01-06,407.0,412.0,402.4,409.0,0.84,48765,19815074.5
2026-01-05,402.0,405.9,397.0,405.6,1.45,31015,12509448.7
2026-01-04,398.0,400.0,396.0,399.8,0.28,12252,4869497.4
2026-01-01,399.1,400.0,394.0,398.7,-0.33,21944,8708229.4
2025-12-31,400.0,404.0,396.0,400.0,0.25,15909,6362846.6
2025-12-29,404.8,406.0,398.1,399.0,-0.18,17991,7208726.1
2025-12-28,396.0,399.9,392.0,399.7,2.23,30339,12040162.7
2025-12-24,393.0,395.0,390.7,391.0,-0.99,19517,7660409.8
2025-12-23,393.3,395.0,393.3,394.9,0.74,19307,7612215.8
2025-12-22,393.0,395.0,390.2,392.0,-0.76,10938,4296594.4
2025-12-21,391.1,397.0,391.1,395.0,-0.5,13557,5344475.5
2025-12-18,395.0,399.3,395.0,397.0,-0.18,9659,3826964.1
2025-12-17,398.0,400.0,396.0,397.7,-0.05,7081,2818169.3
2025-12-16,398.0,399.9,397.0,397.9,0.48,12097,4816258.1
2025-12-15,394.0,396.9,390.1,396.0,0.33,16449,6478840.1
2025-12-14,393.0,396.9,390.2,394.7,0.23,25965,10198285.8
2025-12-11,395.0,399.0,393.0,393.8,-0.3,19684,7802258.2
2025-12-10,399.1,401.0,392.1,395.0,-0.25,19081,7576418.4
2025-12-09,399.0,399.9,394.2,396.0,0.0,8652,3426795.7
2025-12-08,395.2,399.9,394.0,396.0,-0.15,18265,7228384.4
2025-12-07,395.1,402.0,395.0,396.6,-0.55,21235,8454036.9
2025-12-03,398.0,400.5,395.0,398.8,1.09,21697,8625170.3
2025-12-02,398.0,398.1,394.0,394.5,-0.85,20658,8183447.1
2025-12-01,400.0,400.0,395.0,397.9,-0.53,28665,11402793.8
2025-11-30,409.0,413.0,397.0,400.0,-2.83,50004,20117602.9
2025-11-27,416.3,424.0,416.3,424.0,1.92,66716,27986163.9
