date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,610.1,615.9,610.0,612.0,0.49,133822,81926276.8
2026-02-11,614.0,625.0,607.3,609.0,-0.16,149526,91559054.3
2026-02-10,610.0,618.5,607.0,610.0,-0.73,138719,84907616.6
2026-02-09,617.0,625.0,612.0,614.5,-1.21,148696,91768427.2
2026-02-08,624.7,628.0,615.3,622.0,1.12,307474,191390207.8
2026-02-05,610.0,619.0,606.1,615.1,1.0,131470,80807142.7
2026-02-04,597.0,620.0,597.0,609.0,0.0,120041,73145252.0
2026-02-03,616.0,619.0,607.0,609.0,-0.56,156312,95482185.3
2026-02-02,599.8,618.2,599.8,612.4,0.07,151189,92634891.3
2026-02-01,623.0,623.0,610.0,612.0,-1.11,212694,130594396.1
2026-01-29,624.0,628.3,616.1,618.9,-0.58,204191,126906769.5
2026-01-28,629.0,629.0,615.0,622.5,0.23,291115,180356565.6
2026-01-27,632.2,640.0,620.0,621.1,-1.74,360901,226747249.9
2026-01-26,650.0,650.0,630.1,632.1,-1.7,370914,236141506.3
2026-01-25,627.0,648.0,626.0,643.0,2.88,500453,320060025.1
2026-01-22,621.5,627.0,615.0,625.0,0.71,248358,154130578.3
2026-01-21,630.0,636.0,620.0,620.6,-1.43,200183,125277857.1
2026-01-20,636.4,637.7,625.0,629.6,0.9,338399,213825170.1
2026-01-18,622.9,632.0,616.0,624.0,1.46,221954,138745356.8
2026-01-14,624.7,624.9,615.0,615.0,-0.65,165940,102789091.2
2026-01-13,620.8,626.3,618.0,619.0,-0.29,273911,170167064.5
2026-01-12,621.2,639.0,619.0,620.8,-0.67,391092,245884371.5
2026-01-08,618.0,625.0,610.7,625.0,1.21,241681,148926997.6
2026-01-07,620.0,626.0,613.6,617.5,-0.88,260554,161022176.9
2026-01-06,630.0,639.9,621.1,623.0,-0.92,373304,234705802.6
2026-01-05,605.0,630.0,600.0,628.8,3.93,622840,386950347.3
2026-01-04,596.3,605.0,596.3,605.0,-0.41,165296,99497686.5
2026-01-01,614.0,614.0,598.0,607.5,-0.08,229077,138063631.1
2025-12-31,599.9,610.2,590.0,608.0,1.35,204930,124389899.5
2025-12-29,603.0,604.0,593.9,599.9,0.0,227658,136367219.7
2025-12-28,580.0,601.0,575.1,599.9,4.33,288886,171325761.4
2025-12-24,575.0,583.0,572.0,575.0,-0.35,77009,44355557.2
2025-12-23,577.0,580.0,570.0,577.0,0.0,89937,51765626.3
2025-12-22,579.0,582.0,575.0,577.0,-0.98,83492,48222793.3
2025-12-21,569.4,582.7,569.4,582.7,0.29,84147,48669001.8
2025-12-18,587.0,587.0,578.1,581.0,-1.02,105078,61155922.2
2025-12-17,589.0,589.0,582.3,587.0,0.53,69420,40661253.3
2025-12-16,581.0,585.9,576.0,583.9,0.67,88046,51305073.3
2025-12-15,580.0,584.0,576.1,580.0,0.0,71431,41496489.5
2025-12-14,586.0,587.9,578.0,580.0,-0.36,135736,78930547.7
2025-12-11,573.5,584.0,570.2,582.1,1.25,135523,78406489.5
2025-12-10,576.2,577.9,570.2,574.9,-0.23,103091,59302963.2
2025-12-09,575.0,578.7,570.5,576.2,0.59,140016,80211418.0
2025-12-08,572.2,579.0,570.0,572.8,0.14,79174,45423603.8
2025-12-07,580.0,586.0,570.3,572.0,-1.63,163860,94375964.2
2025-12-03,588.0,590.0,580.0,581.5,-1.0,155381,90761210.4
2025-12-02,595.0,595.0,583.2,587.4,-0.42,123425,72658916.6
2025-12-01,595.0,596.9,587.1,589.9,-0.19,75009,44328799.7
2025-11-30,593.0,601.0,590.0,591.0,-0.34,187001,111357091.1
2025-11-27,602.0,603.2,592.0,593.0,-1.23,169674,101332483.6
2025-11-26,626.7,626.7,611.2,615.4,0.15,433199,267580249.6
2025-11-25,617.0,620.0,611.0,614.5,0.24,280638,172812778.0
2025-11-24,605.0,614.0,605.0,613.0,2.0,321824,196303156.6
2025-11-23,579.0,602.0,579.0,601.0,3.55,259311,154835782.6
2025-11-20,590.0,593.1,580.3,580.4,-1.63,153172,89815201.8
2025-11-19,593.0,593.0,586.5,590.0,0.43,180476,106411311.9
2025-11-18,588.0,596.0,586.1,587.5,0.43,155626,92060264.6
2025-11-17,594.0,594.9,583.0,585.0,-1.66,277749,163056470.8
2025-11-16,609.9,609.9,592.0,594.9,-0.52,161918,96786321.1
2025-11-13,588.4,605.0,588.4,598.0,-0.38,158988,95189063.6
2025-11-12,607.0,612.0,600.0,600.3,-1.1,130606,78834170.3
2025-11-11,610.0,614.0,603.4,607.0,0.83,263736,160519488.6
2025-11-10,600.0,605.0,591.1,602.0,0.33,260522,155824294.5
2025-11-09,610.0,617.9,599.0,600.0,-1.8,347259,210489799.1
2025-11-06,608.0,624.0,604.0,611.0,0.49,501674,309135043.8
2025-11-05,611.0,611.9,599.0,608.0,-0.49,255371,154346475.3
2025-11-04,621.0,623.2,607.0,611.0,-0.34,297315,182806732.2
2025-11-03,591.0,617.0,590.0,613.1,4.09,619114,376824494.8
2025-11-02,575.0,589.0,575.0,589.0,3.33,274916,160353405.7
2025-10-30,567.0,579.0,560.6,570.0,0.35,158500,90498239.7
2025-10-29,582.0,589.0,566.0,568.0,-1.63,195211,112645596.6
2025-10-28,561.0,586.3,561.0,577.4,1.32,179780,103907860.1
2025-10-26,557.7,571.0,546.6,569.9,0.16,161128,90636701.4
2025-10-19,559.0,570.0,555.0,569.0,1.63,123504,70047877.6
2025-10-16,575.0,576.0,558.2,559.9,-1.93,200217,112877623.4
2025-10-15,565.2,582.0,565.2,570.9,-0.99,101236,58009548.2
2025-10-14,589.9,593.0,576.1,576.6,-2.17,150427,87852649.7
2025-10-13,581.4,589.5,560.1,589.4,3.4,197675,114111528.9
2025-10-12,595.0,595.0,567.0,570.0,-3.23,277150,159133220.3
2025-10-09,595.5,615.0,588.0,589.0,0.87,455712,273462332.4
2025-10-08,585.0,594.0,569.0,583.9,-0.7,226496,130610207.0
2025-10-07,591.0,600.0,573.4,588.0,-1.75,209804,122320690.5
2025-09-28,605.0,605.0,590.0,598.5,0.76,137590,81867871.2
2025-09-25,594.0,599.4,589.0,594.0,-0.47,106855,63422168.2
2025-09-24,606.9,606.9,591.0,596.8,-1.66,184238,110313552.5
2025-09-23,596.9,612.0,591.0,606.9,3.71,275332,166429895.7
2025-09-21,532.0,585.2,532.0,585.2,10.0,474462,270114091.8
2025-09-18,567.5,567.5,524.0,532.0,-8.13,70798,37451718.2
2025-09-08,599.0,599.0,576.0,579.08,-2.42,205207,119554855.8
2025-09-07,604.3,604.8,590.0,593.44,0.16,132999,79514383.9
