date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1635.0,1635.0,1585.0,1586.2,-1.53,1109,1761507.0
2026-02-11,1601.4,1610.9,1575.0,1610.9,2.61,340,541554.0
2026-02-10,1620.0,1630.0,1570.0,1570.0,-2.36,1299,2068374.6
2026-02-09,1608.0,1608.1,1602.0,1608.0,-1.47,350,562586.0
2026-02-08,1616.0,1632.0,1600.0,1632.0,-0.98,511,824566.0
2026-02-05,1648.0,1648.2,1600.0,1648.2,1.99,925,1488282.9
2026-02-04,1605.1,1616.0,1600.0,1616.0,-0.8,638,1024520.0
2026-02-03,1606.0,1629.0,1601.0,1629.0,-0.06,766,1232585.4
2026-02-02,1637.1,1655.0,1619.0,1630.0,-0.91,1064,1732256.5
2026-02-01,1644.5,1670.0,1630.0,1644.9,-1.97,295,483912.5
2026-01-29,1670.1,1679.9,1645.1,1678.0,-1.0,880,1456325.0
2026-01-28,1667.0,1694.9,1642.5,1694.9,1.67,375,619903.0
2026-01-27,1693.0,1726.8,1667.0,1667.0,-1.54,1234,2078789.3
2026-01-26,1715.0,1715.0,1661.0,1693.0,0.58,929,1561974.5
2026-01-25,1687.0,1710.0,1626.1,1683.3,0.2,983,1650300.4
2026-01-22,1621.0,1679.9,1621.0,1679.9,1.75,865,1427473.4
2026-01-21,1680.0,1680.0,1651.0,1651.0,-3.0,788,1320811.6
2026-01-20,1698.0,1705.0,1660.0,1702.0,1.92,2391,4033762.2
2026-01-18,1621.8,1683.0,1621.8,1670.0,5.03,2540,4238635.2
2026-01-14,1566.6,1603.9,1566.6,1590.0,0.63,1094,1748034.0
2026-01-13,1546.0,1635.0,1546.0,1580.1,0.39,785,1241015.0
2026-01-12,1561.0,1580.0,1561.0,1574.0,-0.44,477,751405.7
2026-01-08,1581.0,1585.0,1560.1,1580.9,-0.06,903,1422263.3
2026-01-07,1584.0,1585.0,1560.0,1581.9,-0.01,1269,1994947.5
2026-01-06,1620.0,1620.0,1565.5,1582.0,-0.82,343,539827.5
2026-01-05,1600.0,1600.0,1540.2,1595.0,-0.25,1505,2351038.0
2026-01-04,1580.0,1599.0,1553.0,1599.0,1.27,1397,2195364.0
2026-01-01,1585.1,1594.0,1564.4,1579.0,-0.38,1778,2800402.8
2025-12-31,1607.3,1626.0,1555.0,1585.0,-2.59,2666,4225745.5
2025-12-29,1657.0,1657.0,1626.0,1627.2,-1.8,907,1485172.0
2025-12-28,1646.0,1657.0,1624.9,1657.0,-0.06,876,1435393.0
