date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,550.0,552.9,542.2,552.9,1.45,190746,104567545.0
2026-02-11,528.0,548.9,520.0,545.0,4.25,254776,135519730.5
2026-02-10,531.9,531.9,522.0,522.8,-1.36,73839,38969995.7
2026-02-09,546.2,546.2,528.0,530.0,-1.03,110179,58517432.9
2026-02-08,542.3,548.0,535.0,535.5,-1.13,89818,48531344.6
2026-02-05,539.8,544.9,531.0,541.6,1.25,81202,43695568.2
2026-02-04,524.5,545.0,524.5,534.9,-0.06,89594,48006566.9
2026-02-03,537.0,541.8,533.0,535.2,0.04,119885,64583541.0
2026-02-02,528.1,545.0,528.1,535.0,-0.58,47330,25476545.2
2026-02-01,547.6,547.6,537.0,538.1,-1.73,85860,46585898.6
2026-01-29,544.0,561.0,544.0,547.6,0.29,164969,91363910.3
2026-01-28,555.0,555.0,543.0,546.0,-1.09,74068,40576259.9
2026-01-27,560.0,564.0,547.0,552.0,-1.08,249853,138693450.1
2026-01-26,560.0,564.1,548.0,558.0,0.07,253479,140773495.0
2026-01-25,556.0,560.0,550.0,557.6,0.67,187413,104225788.1
2026-01-22,551.0,554.0,543.0,553.9,0.53,107617,58953298.0
2026-01-21,548.0,563.0,548.0,551.0,-1.43,110196,61207702.5
2026-01-20,544.0,565.0,544.0,559.0,0.72,202907,113759357.3
2026-01-18,549.0,561.5,549.0,555.0,0.63,167503,93233995.9
2026-01-14,554.9,562.3,549.0,551.5,-0.09,236554,131756652.8
2026-01-13,531.9,555.0,523.1,552.0,4.8,207894,112826677.3
2026-01-12,530.0,532.5,525.1,526.7,-0.59,53250,28063428.0
2026-01-08,525.0,530.0,525.0,529.8,0.15,37212,19662425.5
2026-01-07,535.0,535.0,528.0,529.0,-0.56,59078,31282097.8
2026-01-06,516.0,537.0,516.0,532.0,1.14,76816,40887109.9
2026-01-05,531.0,531.0,522.0,526.0,0.57,71987,37895134.9
2026-01-04,525.0,529.3,523.0,523.0,-0.38,29012,15239302.5
2026-01-01,535.0,536.0,525.0,525.0,-0.94,38453,20315594.7
2025-12-31,533.8,537.0,530.0,530.0,0.21,59726,31907688.2
2025-12-29,527.0,535.0,526.1,528.9,-0.41,83759,44433657.6
2025-12-28,521.1,534.2,520.0,531.1,3.13,75943,40149076.6
2025-12-24,520.0,520.0,514.5,515.0,-0.58,65973,34092430.6
2025-12-23,520.0,520.0,513.0,518.0,-0.15,30358,15680322.8
2025-12-22,521.7,525.0,517.2,518.8,-0.97,51670,26811231.3
2025-12-21,522.4,529.9,521.5,523.9,-0.59,49148,25756874.0
2025-12-18,530.1,532.0,527.0,527.0,-0.94,47201,24990846.9
2025-12-17,530.1,536.0,530.1,532.0,0.45,37360,19896581.4
2025-12-16,530.0,530.4,525.3,529.6,0.68,47846,25300411.7
2025-12-15,520.1,527.8,520.1,526.0,0.96,76271,40023670.5
2025-12-14,527.0,529.4,520.3,521.0,-1.14,74123,38838018.9
2025-12-11,522.1,532.0,521.3,527.0,0.73,68486,36085041.7
2025-12-10,530.0,530.5,523.1,523.2,-0.98,56019,29507990.3
2025-12-09,532.0,533.9,527.0,528.4,-0.15,62018,32855619.4
2025-12-08,527.0,536.9,527.0,529.2,0.23,98862,52581058.7
2025-12-07,530.1,538.8,527.5,528.0,-0.38,119850,63569666.6
2025-12-03,544.8,545.0,530.0,530.0,-2.2,137163,73381943.7
2025-12-02,527.8,545.0,527.8,541.9,0.63,86611,46822193.8
2025-12-01,523.0,544.0,523.0,538.5,0.92,135456,72921107.9
2025-11-30,522.4,548.2,522.4,533.6,0.11,298689,161406498.0
2025-11-27,518.5,536.0,518.5,533.0,0.76,109833,58181316.9
2025-11-26,513.0,531.0,513.0,529.0,1.15,133659,70443143.8
2025-11-25,510.9,527.0,510.9,523.0,0.33,103224,53776944.1
2025-11-24,514.0,527.0,514.0,521.3,1.42,147305,76821797.4
2025-11-23,509.0,516.0,504.0,514.0,2.62,101118,51709414.2
2025-11-20,500.0,503.0,498.0,500.9,-0.79,47849,23936092.9
2025-11-19,512.0,512.0,498.0,504.9,0.58,60567,30330538.3
2025-11-18,500.0,508.7,497.0,502.0,1.03,100624,50710744.9
2025-11-17,498.5,499.0,493.0,496.9,1.0,24794,12311817.8
2025-11-16,500.0,500.0,490.3,492.0,-0.63,62122,30667713.7
2025-11-13,502.0,502.0,495.0,495.1,-0.76,46162,22955213.8
2025-11-12,506.9,506.9,495.0,498.9,-0.93,75102,37376343.0
2025-11-11,499.0,505.0,496.2,503.6,1.7,38809,19419638.5
2025-11-10,501.0,501.0,493.0,495.2,-0.38,31992,15881859.3
2025-11-09,504.1,504.1,495.1,497.1,-1.51,59964,29927507.8
2025-11-06,515.0,517.0,504.7,504.7,-1.43,60778,30951303.1
2025-11-05,511.0,517.0,504.0,512.0,0.0,49389,25101335.3
2025-11-04,531.2,531.2,511.1,512.0,-1.69,57298,29692636.0
2025-11-03,526.3,531.9,518.5,520.8,-0.8,84866,44473116.6
2025-11-02,524.5,536.0,520.0,525.0,0.38,146451,77391514.2
2025-10-30,499.0,525.0,498.0,523.0,3.77,131443,67479273.3
2025-10-29,515.0,520.0,493.0,504.0,-1.18,75790,38308837.6
2025-10-28,490.0,512.0,489.0,510.0,4.7,129697,65284666.3
2025-10-26,483.2,489.9,475.0,487.1,-0.63,40110,19261445.3
2025-10-19,484.1,495.0,484.1,490.2,0.66,31615,15491851.2
2025-10-16,497.0,508.0,485.0,487.0,-0.61,66152,32329681.8
2025-10-15,485.2,497.9,485.2,490.0,-0.61,38575,18957524.3
2025-10-14,505.0,515.0,492.0,493.0,-1.4,135337,68035344.9
2025-10-13,476.0,505.0,476.0,500.0,3.41,106603,52424118.9
2025-10-12,495.0,497.0,482.0,483.5,-3.3,80614,39263447.3
2025-10-09,510.0,530.0,500.0,500.0,0.0,129522,66196294.9
2025-10-08,517.0,517.0,495.6,500.0,-3.27,161809,81152036.6
2025-10-07,525.2,525.2,505.0,516.9,-3.55,174167,89210677.5
2025-09-28,543.1,543.1,532.3,535.9,0.64,37371,20027356.8
2025-09-25,532.5,537.0,527.5,532.5,0.68,29869,15896175.5
2025-09-24,549.9,549.9,527.0,528.9,-3.13,56683,30265922.6
2025-09-23,540.0,551.0,534.0,546.0,2.22,78936,42853046.8
2025-09-21,491.1,538.0,491.0,534.13,6.83,146454,75937818.5
2025-09-18,527.1,527.5,491.0,500.0,-7.04,21887,10945913.5
2025-09-08,551.9,551.9,533.0,537.84,-0.6,119782,64566726.7
2025-09-07,551.0,551.0,540.0,541.1,-1.02,76664,41734706.1
2025-09-04,548.16,553.0,542.0,546.68,-0.27,82141,44808439.7
2025-09-03,554.0,557.0,547.0,548.16,-1.08,85357,46993871.8
2025-09-02,559.0,562.0,552.0,554.16,-0.6,89534,49659647.7
