date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,622.0,627.5,622.0,624.9,-0.65,8403,5248897.6
2026-02-11,620.1,632.0,620.1,629.0,0.64,4975,3112951.9
2026-02-10,621.0,633.4,621.0,625.0,-1.06,8788,5512659.3
2026-02-09,637.0,637.0,622.5,631.7,0.27,11356,7147939.9
2026-02-08,631.0,636.0,628.0,630.0,-0.47,14418,9101393.9
2026-02-05,629.9,635.0,620.1,633.0,1.44,8657,5423760.9
2026-02-04,611.6,630.0,611.6,624.0,0.0,6247,3900292.7
2026-02-03,615.0,634.09,612.5,624.0,-0.16,13557,8404100.6
2026-02-02,622.0,630.0,620.0,625.0,0.39,9904,6160038.3
2026-02-01,628.0,639.0,621.0,622.6,-0.86,10863,6784221.9
2026-01-29,637.0,649.0,627.1,628.0,-1.1,12133,7667271.8
2026-01-28,641.5,642.0,630.1,635.0,-1.09,10304,6526752.6
2026-01-27,637.0,660.0,625.0,642.0,-1.23,9442,6065678.1
2026-01-26,650.0,660.0,640.0,650.0,0.0,9970,6467709.7
2026-01-25,645.0,650.9,635.1,650.0,1.79,16177,10474702.1
2026-01-22,636.0,640.0,633.0,638.6,-0.22,6524,4152321.5
2026-01-21,651.0,651.0,638.0,640.0,-0.45,9997,6416217.0
2026-01-20,642.5,645.0,631.2,642.9,2.05,16280,10449144.1
2026-01-18,628.0,634.2,628.0,630.0,0.62,4231,2662244.5
2026-01-14,625.0,635.0,622.8,626.1,0.1,2726,1707397.4
2026-01-13,627.0,627.0,624.5,625.5,0.05,6425,4016256.0
2026-01-12,625.0,635.0,624.0,625.2,-1.08,8058,5045020.4
2026-01-08,635.0,637.8,625.2,632.0,0.96,6353,4021815.5
2026-01-07,641.0,641.0,626.0,626.0,-0.95,13460,8480132.2
2026-01-06,642.0,652.0,631.0,632.0,0.32,2411,1534310.3
2026-01-05,630.2,632.9,624.0,630.0,-0.03,8038,5052433.4
2026-01-04,631.0,635.0,623.0,630.2,-0.13,5936,3724493.0
2026-01-01,630.0,634.0,630.0,631.0,0.16,5873,3701838.9
2025-12-31,630.0,638.0,628.0,630.0,0.56,4902,3092173.4
2025-12-29,626.9,630.0,624.0,626.5,1.87,12047,7550170.2
2025-12-28,642.0,652.2,637.2,651.9,2.66,20024,12929839.2
2025-12-24,635.0,640.0,626.0,635.0,0.0,13292,8413293.4
2025-12-23,630.0,640.5,626.0,635.0,-0.39,3252,2058147.2
2025-12-22,635.0,638.0,632.0,637.5,0.39,2234,1417276.3
2025-12-21,642.0,645.0,630.0,635.0,-0.63,4487,2841757.2
2025-12-18,643.0,645.7,638.3,639.0,0.3,12050,7743989.5
2025-12-17,644.5,644.5,632.1,637.1,-1.22,11698,7459406.3
2025-12-16,644.0,645.0,634.0,645.0,1.9,4566,2921480.5
2025-12-15,621.0,636.0,621.0,633.0,1.28,7407,4671231.2
2025-12-14,625.0,633.0,624.3,625.0,-0.48,6367,3986290.0
2025-12-11,632.0,635.0,628.0,628.0,-0.63,11660,7343454.8
2025-12-10,629.0,640.0,629.0,632.0,-0.24,3581,2259404.6
2025-12-09,622.0,644.5,622.0,633.5,0.56,3238,2049840.8
2025-12-08,645.0,645.0,622.0,630.0,-0.47,5095,3207652.5
2025-12-07,640.0,643.0,625.0,633.0,-1.09,10388,6558195.9
2025-12-03,650.0,653.0,640.0,640.0,-1.99,7081,4560323.8
2025-12-02,645.0,665.0,645.0,653.0,0.15,14694,9555521.9
2025-12-01,663.0,676.0,645.0,652.0,0.31,6685,4341084.8
2025-11-30,675.0,675.0,650.0,650.0,-2.99,8479,5609406.0
2025-11-27,663.0,680.0,655.0,670.0,-0.89,6400,4282077.9
2025-11-26,665.0,679.0,656.5,676.0,1.05,10276,6865476.9
2025-11-25,660.0,669.9,646.5,669.0,0.9,15116,9923867.3
2025-11-24,645.0,663.0,645.0,663.0,3.59,22940,14984652.4
2025-11-23,625.1,640.0,625.0,640.0,2.89,14502,9132131.8
2025-11-20,619.0,630.0,619.0,622.0,-1.11,5751,3587616.9
2025-11-19,630.1,630.1,620.1,629.0,-0.11,5238,3270035.7
2025-11-18,636.4,644.0,624.0,629.7,0.91,5783,3630117.5
2025-11-17,620.0,630.0,617.0,624.0,0.0,12931,8078030.4
2025-11-16,622.0,641.0,616.0,624.0,-0.72,11440,7156829.7
2025-11-13,634.0,635.0,621.0,628.5,-0.55,5806,3620033.9
2025-11-12,620.2,632.2,620.1,632.0,0.64,5477,3433688.9
2025-11-11,620.0,631.0,618.0,628.0,0.32,3229,2009371.2
2025-11-10,630.0,636.0,624.0,626.0,0.16,3582,2251015.1
2025-11-09,627.2,630.0,617.5,625.0,-0.79,3668,2282743.7
2025-11-06,630.0,640.0,628.0,630.0,0.0,3648,2299542.0
