date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,564.0,600.0,564.0,591.0,2.78,36033,21245055.3
2026-02-11,564.0,609.0,564.0,575.0,0.0,19622,11349280.6
2026-02-10,576.0,598.0,573.0,575.0,-2.14,40873,23913310.3
2026-02-09,599.2,611.0,587.6,587.6,-3.89,90611,53959643.1
2026-02-08,630.0,638.8,595.0,611.4,-2.63,61587,37563270.2
2026-02-05,640.0,640.0,621.9,627.9,-1.12,46025,28984423.8
2026-02-04,628.0,644.0,620.1,635.0,2.42,82902,52218607.4
2026-02-03,645.0,648.5,620.0,620.0,-2.52,103617,65288260.5
2026-02-02,637.0,660.0,635.0,636.0,-2.15,115363,73942469.0
2026-02-01,640.0,687.4,631.0,650.0,0.31,111598,72010049.2
2026-01-29,650.0,650.0,624.3,648.0,-1.52,146345,93159445.7
2026-01-28,600.0,667.0,593.0,658.0,8.4,152844,94812244.6
2026-01-27,615.0,628.0,596.0,607.0,-1.46,150925,91648777.3
2026-01-26,609.9,616.0,580.2,616.0,2.67,194914,116250043.8
2026-01-25,587.0,605.0,586.0,600.0,0.33,112934,67068153.0
2026-01-22,552.0,608.0,546.0,598.0,7.69,111833,63932588.0
2026-01-21,561.0,567.1,550.0,555.3,-1.02,93094,51959483.7
2026-01-20,549.0,566.1,542.0,561.0,3.13,89979,49868949.1
2026-01-18,517.7,544.0,515.0,544.0,6.46,88259,46717019.4
2026-01-14,501.0,514.0,496.1,511.0,3.23,32198,16384127.7
2026-01-13,501.0,501.0,494.0,495.0,-0.8,8627,4293627.0
2026-01-12,503.0,510.0,493.0,499.0,-1.19,18407,9192817.2
2026-01-08,508.0,511.1,503.0,505.0,-0.59,13754,6949707.3
2026-01-07,515.0,518.9,505.0,508.0,-0.78,19332,9903001.7
2026-01-06,507.5,515.1,500.0,512.0,2.4,28739,14628221.8
2026-01-05,495.0,501.4,492.5,500.0,1.21,11643,5801475.6
2026-01-04,493.0,500.0,492.0,494.0,-1.18,3719,1834182.0
2026-01-01,507.9,507.9,496.1,499.9,-0.22,6235,3107517.9
2025-12-31,512.9,512.9,500.0,501.0,-0.4,5517,2781572.5
2025-12-29,510.9,510.9,502.0,503.0,-0.42,7280,3686864.3
2025-12-28,500.0,509.9,496.3,505.1,2.58,7093,3575554.8
2025-12-24,500.0,500.0,490.3,492.4,-1.42,2919,1439601.4
2025-12-23,490.0,500.0,490.0,499.5,0.2,2896,1424152.2
2025-12-22,491.0,503.8,489.8,498.5,0.91,7843,3876097.4
2025-12-21,490.0,505.1,490.0,494.0,-1.06,3161,1565120.9
2025-12-18,508.0,512.8,499.3,499.3,-1.75,13795,6984960.5
2025-12-17,500.0,512.9,495.3,508.2,3.08,25552,12973940.2
2025-12-16,500.0,509.0,491.2,493.0,-0.24,7867,3931532.6
2025-12-15,496.0,498.0,490.0,494.2,0.86,3661,1812656.1
2025-12-14,510.1,511.0,490.0,490.0,-3.35,11512,5714846.6
2025-12-11,504.3,511.9,503.1,507.0,-0.2,7318,3693515.7
2025-12-10,507.0,517.1,500.0,508.0,0.2,17447,8810956.3
2025-12-09,500.1,507.0,500.1,507.0,0.42,11531,5805392.7
2025-12-08,519.0,519.0,499.9,504.9,-1.58,18803,9457765.2
2025-12-07,530.4,530.4,509.2,513.0,-1.35,13261,6834416.8
2025-12-03,506.7,534.0,506.0,520.0,1.76,42452,22160624.3
2025-12-02,510.0,520.0,510.0,511.0,-0.58,9840,5069579.5
2025-12-01,504.1,519.0,503.0,514.0,1.38,23079,11870575.7
2025-11-30,500.0,516.1,500.0,507.0,0.2,39368,19975069.6
2025-11-27,507.0,510.0,498.1,506.0,1.2,15172,7685987.9
2025-11-26,508.0,508.0,494.0,500.0,-0.4,6774,3390317.3
2025-11-25,505.0,505.9,496.1,502.0,0.8,6595,3297687.8
2025-11-24,501.0,501.0,494.0,498.0,0.63,4990,2484997.4
2025-11-23,494.9,494.9,486.0,494.9,2.0,10994,5403988.6
