date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.7,9.7,9.7,9.7,-1.02,400,3880.0
2026-02-11,9.64,9.81,9.64,9.8,1.87,5000,48945.0
2026-02-10,9.62,9.62,9.62,9.62,-1.94,1000,9620.0
2026-02-09,9.6,9.81,9.6,9.81,1.66,1950,19072.5
2026-02-08,9.76,9.76,9.65,9.65,-1.63,10250,99542.5
2026-02-05,9.85,9.96,9.81,9.81,0.41,40200,398311.0
2026-02-04,9.55,9.77,9.55,9.77,1.14,1276,12309.02
2026-02-02,9.63,9.82,9.63,9.66,-1.53,11277,108748.14
2026-02-01,9.82,9.82,9.81,9.81,-1.9,7000,68690.0
2026-01-29,10.1,10.1,10.0,10.0,-0.3,11200,113000.0
2026-01-28,9.85,10.03,9.85,10.03,1.93,10200,102270.0
2026-01-27,10.0,10.0,9.84,9.84,-2.57,5100,50559.0
2026-01-26,9.85,10.1,9.85,10.1,1.1,12001,120879.0
2026-01-25,9.99,9.99,9.96,9.99,0.91,6000,59919.0
2026-01-22,9.9,10.09,9.9,9.9,1.96,4350,43445.0
2026-01-21,10.02,10.02,9.71,9.71,-1.22,20200,200973.0
2026-01-20,9.81,9.83,9.81,9.83,-1.7,2200,21604.0
2026-01-18,9.53,10.0,9.53,10.0,3.31,11600,114513.0
2026-01-14,9.8,9.85,9.68,9.68,-1.22,12110,118938.0
2026-01-13,10.0,10.0,9.7,9.8,-0.2,9600,93778.0
2026-01-12,10.0,10.0,9.82,9.82,-0.81,6750,66994.5
2026-01-08,9.9,9.9,9.9,9.9,1.96,3000,29700.0
2026-01-07,9.79,9.89,9.71,9.71,-0.41,163345,1609345.55
2026-01-06,9.94,9.94,9.75,9.75,-0.51,5200,51500.0
2026-01-05,9.61,9.8,9.61,9.8,0.0,85300,835902.0
2026-01-04,9.8,9.9,9.8,9.8,0.0,42675,419715.0
2026-01-01,9.8,9.81,9.8,9.8,-0.31,100925,989070.55
2025-12-31,9.41,9.83,9.41,9.83,2.4,10900,106553.0
2025-12-29,9.6,9.6,9.6,9.6,-1.23,10900,104640.0
2025-12-28,9.76,9.76,9.58,9.72,1.46,110515,1062089.8
2025-12-24,9.52,9.65,9.52,9.58,-1.24,11100,106756.0
2025-12-23,9.9,9.9,9.68,9.7,-0.51,16750,162272.5
2025-12-22,9.58,9.75,9.58,9.75,3.72,2200,21110.0
2025-12-21,9.45,9.45,9.4,9.4,-1.88,452980,4258512.0
2025-12-18,9.58,9.58,9.58,9.58,1.91,3400,32572.0
2025-12-17,9.4,9.5,9.4,9.4,0.0,16600,156060.0
2025-12-16,9.4,9.4,9.4,9.4,0.0,100,940.0
2025-12-15,9.58,9.58,9.4,9.4,0.0,700,6616.0
2025-12-14,9.33,9.51,9.33,9.4,-0.53,7100,66553.0
2025-12-11,9.25,9.45,9.25,9.45,1.83,34714,327104.6
2025-12-10,9.45,9.45,9.28,9.28,-0.75,850,7913.5
2025-12-09,9.23,9.35,9.23,9.35,-0.53,3816,35667.6
2025-12-08,9.55,9.55,9.4,9.4,-1.57,10500,98885.0
2025-12-07,9.55,9.55,9.55,9.55,0.32,5000,47750.0
2025-12-03,9.52,9.52,9.52,9.52,1.82,1000,9520.0
2025-12-02,9.62,9.62,9.35,9.35,-1.16,50300,470761.0
2025-12-01,9.46,9.46,9.46,9.46,1.72,200,1892.0
2025-11-30,9.3,9.3,9.3,9.3,-0.11,100,930.0
2025-11-27,9.31,9.31,9.31,9.31,0.11,300,2793.0
2025-11-26,9.25,9.3,9.25,9.3,1.86,3430,31749.0
2025-11-25,9.1,9.13,9.1,9.13,0.33,1199,10937.87
2025-11-24,9.1,9.1,9.1,9.1,0.22,2500,22750.0
2025-11-20,9.0,9.08,8.91,9.08,0.89,7450,67471.0
2025-11-19,9.38,9.38,9.0,9.0,-2.17,68810,627186.0
2025-11-18,9.2,9.2,9.2,9.2,2.0,11400,104880.0
2025-11-17,9.06,9.07,9.02,9.02,-1.96,7400,66902.0
2025-11-16,9.03,9.2,9.02,9.2,0.0,12220,110341.4
2025-11-12,9.2,9.2,9.2,9.2,-1.29,7400,68080.0
2025-11-11,9.16,9.32,9.16,9.32,0.22,10700,99516.0
2025-11-10,9.35,9.35,9.3,9.3,0.54,2000,18610.0
2025-11-09,9.3,9.45,9.25,9.25,-2.12,6200,57440.0
2025-11-06,9.1,9.45,9.1,9.45,2.49,19750,184935.0
2025-11-04,9.22,9.22,9.22,9.22,-1.6,100,922.0
2025-11-03,9.3,9.37,9.3,9.37,1.96,9000,83980.0
2025-11-02,9.19,9.19,9.19,9.19,0.0,4800,44112.0
2025-10-29,9.18,9.19,9.18,9.19,-1.82,1600,14703.0
2025-10-28,9.18,9.36,9.18,9.36,4.0,1300,12024.0
2025-10-26,9.1,9.2,9.0,9.0,-0.99,7300,66130.28
2025-10-19,9.1,9.1,9.09,9.09,-1.73,1000,9095.0
2025-10-16,9.25,9.25,9.25,9.25,1.98,7000,64750.0
2025-10-13,9.07,9.07,9.07,9.07,-1.95,500,4535.0
2025-10-12,9.55,9.55,9.25,9.25,-1.8,1650,15462.39
2025-10-09,9.45,9.45,9.42,9.42,-1.98,2650,24982.5
2025-10-08,9.61,9.61,9.61,9.61,-1.94,3000,28830.0
2025-09-28,9.84,10.5,9.78,9.8,1.55,457350,4756177.0
2025-09-25,9.58,10.0,9.58,9.65,0.73,36700,364903.0
2025-09-24,9.07,9.58,8.9,9.58,3.68,68600,644277.0
2025-09-23,9.24,9.24,9.24,9.24,1.99,500,4620.0
2025-09-21,9.07,9.07,9.06,9.06,-2.05,3100,28090.0
2025-09-08,9.5,9.5,9.25,9.25,-2.63,17950,167156.0
2025-09-07,9.5,9.5,9.5,9.5,0.0,4580,43510.0
2025-09-04,9.4,9.5,9.4,9.5,1.82,74350,701265.0
2025-09-03,9.5,9.5,9.33,9.33,-3.72,24100,226670.0
2025-09-02,9.69,9.69,9.69,9.69,2.0,100,969.0
2025-09-01,9.61,9.61,9.42,9.5,-3.06,37788,357508.46
2025-08-31,9.85,9.85,9.8,9.8,1.45,1750,17161.0
2025-08-28,9.87,10.0,9.66,9.66,-0.21,343200,3398159.5
2025-08-27,9.68,9.68,9.68,9.68,1.89,200,1936.0
2025-08-26,9.44,9.5,9.26,9.5,2.15,22465,212725.5
2025-08-25,9.3,9.35,9.18,9.3,1.53,12700,118267.0
2025-08-24,9.34,9.34,9.0,9.16,-3.88,129300,1175311.0
2025-08-21,11.5,11.7,11.42,11.53,1.05,728290,8396513.8
2025-08-20,11.59,11.59,11.41,11.41,-0.35,324596,3712552.36
2025-08-19,11.3,11.48,11.28,11.45,1.6,47340,539850.2
2025-08-18,11.38,11.55,11.21,11.27,-2.93,48400,547450.0
2025-08-17,11.09,11.61,11.09,11.61,3.29,789750,8943209.0
2025-08-14,11.44,11.44,11.15,11.24,-1.23,276193,3147070.13
2025-08-13,11.4,11.43,11.29,11.38,-0.18,31650,360573.5
2025-08-12,11.3,11.44,11.28,11.4,0.88,229516,2604410.0
2025-08-11,10.81,11.3,10.81,11.3,4.15,923549,10311961.34
2025-08-07,10.47,10.86,10.47,10.85,1.78,25100,272479.0
2025-08-06,10.65,10.66,10.65,10.66,-1.75,1100,11716.0
2025-08-05,10.65,10.85,10.65,10.85,0.93,20700,222011.0
2025-08-04,10.64,10.75,10.64,10.75,-0.83,3200,34070.0
2025-08-03,11.1,11.1,10.83,10.84,-0.64,16350,177413.5
2025-07-31,10.7,11.1,10.61,10.91,1.68,553387,6030184.3
2025-07-30,11.06,11.1,10.7,10.73,-1.11,178600,1939403.0
2025-07-29,10.8,10.87,10.8,10.85,-1.27,34190,369927.0
2025-07-28,10.9,10.99,10.9,10.99,1.76,35000,384079.0
2025-07-27,10.45,10.88,10.45,10.8,1.6,20300,219834.0
2025-07-24,10.5,10.71,10.5,10.63,-0.65,1000,10633.0
2025-07-23,10.58,10.8,10.58,10.7,-0.65,101600,1082217.0
2025-07-22,10.7,10.79,10.62,10.77,1.8,92300,994124.0
2025-07-21,10.52,10.73,10.52,10.58,-1.31,19000,202904.0
2025-07-20,10.37,10.72,10.37,10.72,1.32,32800,351117.0
2025-07-17,10.34,10.58,10.34,10.58,0.76,35800,377697.0
2025-07-16,10.56,10.56,10.35,10.5,1.35,41770,438178.3
2025-07-15,10.3,10.36,10.16,10.36,-0.38,302300,3089807.0
2025-07-14,10.36,10.54,10.35,10.4,0.48,133913,1393984.55
2025-07-13,10.26,10.4,10.26,10.35,0.88,11500,119170.0
2025-07-10,10.35,10.49,10.2,10.26,0.49,122561,1253464.86
2025-07-09,10.3,10.4,10.21,10.21,0.99,26800,277272.0
2025-07-08,10.11,10.11,10.11,10.11,-0.98,300,3033.0
2025-07-07,10.26,10.26,10.19,10.21,-0.49,6400,65640.0
2025-07-06,10.23,10.26,10.11,10.26,2.29,47270,481555.2
2025-07-03,10.03,10.03,10.03,10.03,-0.5,400,4012.0
2025-07-02,10.0,10.15,10.0,10.08,-0.59,17200,173717.0
2025-07-01,10.15,10.15,10.0,10.14,1.0,13900,140800.0
2025-06-30,10.01,10.04,10.01,10.04,-1.57,1200,12033.0
2025-06-29,9.87,10.2,9.87,10.2,1.59,9900,100858.0
2025-06-26,10.04,10.04,10.04,10.04,1.93,1401,14066.04
2025-06-25,10.0,10.0,9.85,9.85,-1.5,43152,427888.28
2025-06-24,10.0,10.0,10.0,10.0,0.4,1000,10000.0
2025-06-23,10.02,10.02,9.91,9.96,0.1,73711,737090.01
2025-06-22,10.09,10.09,9.95,9.95,-0.4,17500,174219.0
2025-06-19,9.99,9.99,9.99,9.99,1.94,20000,199800.0
2025-06-18,10.01,10.01,9.8,9.8,-0.2,26100,256081.0
2025-06-17,9.83,9.99,9.8,9.82,-0.91,75950,746121.0
2025-06-16,9.8,9.91,9.8,9.91,0.1,7100,70350.0
2025-06-12,9.93,10.12,9.9,9.9,-1.39,21800,216372.0
2025-06-11,10.03,10.22,9.85,10.04,0.1,11400,114403.5
2025-06-10,10.05,10.23,10.03,10.03,1.72,600,6055.0
2025-06-09,9.86,9.86,9.86,9.86,-0.4,500,4930.0
2025-06-08,10.0,10.0,9.9,9.9,-0.4,10250,101600.0
2025-06-05,10.1,10.1,9.92,9.94,-1.58,700,6988.0
2025-06-04,9.8,10.18,9.8,10.1,1.51,2599,26038.01
2025-06-03,9.8,9.99,9.8,9.95,0.3,5100,50590.0
2025-06-02,9.92,9.92,9.92,9.92,0.3,100,992.0
2025-05-28,9.83,10.03,9.83,9.89,-1.1,4670,46392.8
2025-05-27,10.0,10.0,10.0,10.0,-1.86,200,2000.0
2025-05-26,10.1,10.19,9.9,10.19,-0.2,74500,738932.0
2025-05-25,10.01,10.21,10.01,10.21,0.0,3370,34067.7
2025-05-22,10.1,10.32,10.1,10.21,-0.87,7500,76615.0
2025-05-21,10.3,10.3,10.3,10.3,1.48,100,1030.0
2025-05-19,10.15,10.15,9.96,10.15,0.0,700,7010.0
2025-05-18,10.1,10.29,10.1,10.15,-1.36,1500,15238.0
2025-05-15,10.29,10.29,10.29,10.29,-1.81,2000,20580.0
2025-05-13,10.48,10.48,10.48,10.48,1.95,100,1048.0
2025-05-11,10.09,10.28,10.09,10.28,-0.1,6100,61568.0
2025-05-08,10.11,10.29,10.11,10.29,3.73,200,2040.0
2025-05-07,9.92,9.92,9.9,9.92,-0.6,2600,25767.5
2025-05-06,9.9,9.98,9.81,9.98,1.63,1600,15795.0
2025-05-05,9.82,9.82,9.82,9.82,-1.8,200,1964.0
2025-05-04,10.02,10.02,10.0,10.0,-1.96,2500,25020.0
2025-04-30,10.02,10.2,10.02,10.2,1.8,1600,16140.0
2025-04-29,9.98,10.05,9.98,10.02,-0.79,7200,72243.0
2025-04-28,10.22,10.22,10.02,10.1,-3.07,5100,51854.0
2025-04-27,10.06,10.42,10.06,10.42,3.58,8100,82955.0
2025-04-24,10.22,10.22,10.0,10.06,0.4,151100,1532032.0
2025-04-23,10.19,10.2,10.0,10.02,0.2,161475,1623686.25
2025-04-22,9.86,10.0,9.86,10.0,1.94,5550,54801.0
2025-04-21,9.81,9.81,9.81,9.81,-2.0,100,981.0
2025-04-20,9.91,10.2,9.91,10.01,-0.89,12380,123705.0
2025-04-17,10.1,10.1,10.1,10.1,1.1,10000,101000.0
2025-04-16,9.99,9.99,9.99,9.99,-0.3,1000,9990.0
2025-04-15,9.9,10.02,9.9,10.02,-0.1,109155,1093673.1
2025-04-13,10.2,10.2,10.02,10.03,-0.3,7800,78386.0
2025-04-10,9.9,10.09,9.9,10.06,1.11,50000,500193.0
2025-04-09,9.98,9.98,9.95,9.95,1.63,2500,24935.0
2025-04-08,9.74,9.81,9.74,9.79,-0.51,30200,295558.0
2025-04-07,9.84,9.84,9.6,9.84,-1.99,9700,94699.0
2025-04-03,9.76,10.07,9.76,10.04,1.01,10600,103581.0
2025-04-02,9.88,9.95,9.7,9.94,2.47,8314,81942.9
2025-04-01,9.44,9.78,9.43,9.7,1.04,16125,152666.5
2025-03-30,9.6,9.6,9.6,9.6,-1.03,100,960.0
2025-03-27,9.8,9.83,9.7,9.7,0.62,30750,300623.0
2025-03-26,9.46,9.65,9.46,9.64,0.42,11700,112769.0
2025-03-25,9.6,9.75,9.6,9.6,-1.64,6250,60247.5
2025-03-24,9.46,9.76,9.46,9.76,1.24,2400,23322.0
2025-03-23,9.86,9.86,9.6,9.64,-0.31,5700,55019.0
2025-03-20,9.85,9.99,9.67,9.67,0.0,2000,19529.0
2025-03-19,9.88,9.88,9.65,9.67,-0.21,17700,171046.3
2025-03-18,9.8,9.8,9.62,9.69,0.31,5900,56807.0
2025-03-17,9.9,9.9,9.66,9.66,-1.93,6800,66913.0
2025-03-16,9.85,9.85,9.85,9.85,1.76,100,985.0
2025-03-12,9.61,9.8,9.61,9.68,-1.22,2000,19385.0
2025-03-11,9.76,9.8,9.76,9.8,-1.01,1100,10776.0
2025-03-09,9.82,10.0,9.82,9.9,-1.0,154866,1543212.0
2025-03-06,9.99,10.0,9.91,10.0,0.1,16800,166537.0
2025-03-05,9.82,9.99,9.81,9.99,-0.1,251860,2495415.0
2025-03-04,9.98,10.0,9.83,10.0,1.94,173360,1732632.0
2025-03-03,9.9,10.0,9.81,9.81,-0.81,267915,2661207.65
2025-03-02,9.79,9.89,9.76,9.89,3.02,42100,412732.0
2025-02-27,9.79,9.79,9.6,9.6,0.0,8100,78287.0
2025-02-25,9.55,9.6,9.55,9.6,-0.52,2500,23900.0
2025-02-24,9.62,9.7,9.61,9.65,0.52,11650,112237.5
2025-02-23,9.6,9.6,9.6,9.6,0.21,6000,57600.0
2025-02-20,9.53,9.64,9.5,9.58,-1.14,36755,350826.5
2025-02-18,9.5,9.69,9.5,9.69,2.0,13900,134152.0
2025-02-17,9.5,9.51,9.5,9.5,-0.94,12000,114027.0
2025-02-16,9.6,9.6,9.58,9.59,-1.74,37950,363714.5
2025-02-13,9.78,9.8,9.76,9.76,1.14,68400,669624.0
2025-02-12,9.55,9.65,9.55,9.65,0.52,1800,17269.0
2025-02-11,9.64,9.64,9.46,9.6,0.52,715,6852.6
2025-02-09,9.48,9.64,9.48,9.55,-0.93,76150,727515.5
2025-02-06,9.5,9.64,9.46,9.64,0.0,58700,557586.0
2025-02-05,9.65,9.65,9.52,9.64,0.42,45885,442316.2
2025-02-04,9.53,9.6,9.53,9.6,-1.03,6100,58415.0
2025-02-03,9.7,9.71,9.62,9.7,1.89,67361,652626.62
2025-02-02,9.44,9.62,9.44,9.52,-0.42,124100,1183921.0
2025-01-28,9.56,9.56,9.56,9.56,1.92,10000,95600.0
2025-01-27,9.95,9.95,9.38,9.38,-3.89,185289,1747363.77
2025-01-26,9.6,9.76,9.6,9.76,1.67,300,2912.0
2025-01-23,9.62,9.62,9.6,9.6,1.69,4299,41354.38
2025-01-22,9.44,9.62,9.44,9.44,0.0,6800,64426.0
2025-01-21,9.62,9.8,9.44,9.44,-3.67,2800,26691.0
2025-01-20,9.79,9.8,9.72,9.8,-1.8,600,5862.0
2025-01-19,9.98,9.98,9.98,9.98,1.32,1500,14970.0
2025-01-15,9.85,9.85,9.85,9.85,1.97,100,985.0
2025-01-13,9.99,9.99,9.66,9.66,-1.83,3800,36755.0
2025-01-12,9.65,9.84,9.65,9.84,3.91,1000,9669.0
2025-01-09,9.6,9.6,9.47,9.47,-1.35,10000,95055.0
2025-01-08,9.75,9.86,9.6,9.6,-1.54,15255,148083.5
2025-01-07,9.81,9.94,9.75,9.75,-2.5,2900,28391.0
2025-01-06,9.61,10.0,9.61,10.0,4.06,216500,2158639.0
2025-01-05,9.62,9.62,9.61,9.61,-1.94,1500,14416.0
2025-01-02,9.46,9.8,9.46,9.8,3.59,600,5728.0
2025-01-01,9.78,9.78,9.46,9.46,-1.46,1700,16282.0
2024-12-31,9.6,9.6,9.6,9.6,1.91,400,3840.0
2024-12-29,9.37,9.55,9.37,9.42,-1.46,600,5699.0
2024-12-26,9.35,9.56,9.35,9.56,0.53,13830,132091.8
2024-12-24,9.6,9.6,9.51,9.51,-1.86,6000,57510.0
2024-12-23,9.84,9.87,9.5,9.69,0.1,149646,1476484.56
2024-12-19,9.68,9.68,9.68,9.68,1.89,100,968.0
2024-12-18,9.6,9.6,9.49,9.5,-0.84,57800,549722.0
2024-12-17,9.75,9.75,9.58,9.58,-0.73,10300,100374.0
2024-12-16,9.66,9.66,9.51,9.65,-2.03,16900,162124.0
2024-12-12,9.6,9.85,9.6,9.85,1.23,39800,391480.0
2024-12-11,9.89,9.89,9.7,9.73,0.1,4650,45410.0
2024-12-10,9.72,9.72,9.72,9.72,-1.72,1072,10419.84
2024-12-09,9.83,9.89,9.83,9.89,2.59,300,2955.0
2024-12-08,9.96,9.96,9.64,9.64,-1.93,700,6795.0
2024-12-05,9.79,10.0,9.79,9.83,-1.5,11400,113497.0
2024-12-04,10.0,10.0,9.86,9.98,-0.2,6200,61158.0
2024-12-03,10.0,10.13,10.0,10.0,0.0,20600,207300.0
2024-12-02,9.95,10.0,9.84,10.0,0.0,2501350,24888356.0
2024-12-01,10.0,10.0,9.82,10.0,0.2,103000,1029772.0
2024-11-28,9.75,9.98,9.75,9.98,1.32,39590,392663.5
2024-11-27,9.76,9.94,9.75,9.85,-0.1,17600,173741.0
2024-11-26,9.9,9.9,9.85,9.86,0.2,29150,287225.0
2024-11-25,9.83,10.0,9.82,9.84,-0.1,2950,29114.0
2024-11-24,9.85,9.85,9.85,9.85,0.1,3000,29550.0
2024-11-21,9.79,9.95,9.79,9.84,-1.4,8625,84912.75
2024-11-20,9.79,9.98,9.79,9.98,2.46,25100,248954.5
2024-11-19,9.7,9.89,9.7,9.74,0.21,147180,1429718.7
2024-11-17,9.9,9.9,9.6,9.72,-0.31,15050,145473.5
2024-11-14,9.64,9.84,9.64,9.75,-0.61,13950,136675.5
2024-11-13,10.03,10.03,9.67,9.81,-0.3,500,4918.0
2024-11-12,9.84,10.02,9.83,9.84,-1.8,19100,187897.0
2024-11-11,9.82,10.02,9.81,10.02,1.42,2200,21714.0
2024-11-10,10.39,10.39,9.8,9.88,-3.04,12350,123033.0
2024-11-06,10.19,10.19,10.19,10.19,1.9,200,2038.0
2024-10-29,10.0,10.0,9.81,10.0,1.21,351,3491.0
2024-10-28,10.08,10.08,9.7,9.88,-0.1,3750,36651.0
2024-10-27,10.25,10.25,9.89,9.89,-2.08,1000,10028.0
2024-10-24,10.21,10.21,9.85,10.1,0.5,144576,1460158.6
2024-10-23,10.25,10.25,10.05,10.05,0.0,186174,1871073.7
2024-10-22,10.09,10.09,9.85,10.05,1.52,1111,11108.55
2024-10-21,9.89,10.0,9.7,9.9,1.02,225606,2231398.69
2024-10-20,9.92,9.92,9.56,9.8,0.62,228000,2232972.0
2024-10-17,9.81,9.81,9.62,9.74,1.04,74770,733222.0
2024-10-16,9.17,9.7,9.17,9.64,3.32,114120,1085159.2
2024-10-15,9.15,9.33,9.14,9.33,1.97,37162,345455.46
2024-10-08,8.83,9.15,8.83,9.15,1.67,38050,340273.8
2024-10-07,9.35,9.35,9.0,9.0,-1.96,56200,507379.0
2024-10-06,9.0,9.18,9.0,9.18,2.0,1485,13477.5
2024-10-02,9.27,9.27,9.0,9.0,-4.76,3700,34065.0
2024-10-01,9.13,9.45,9.13,9.45,1.5,6278,57793.14
2024-09-30,9.18,9.36,9.18,9.31,3.44,2800,25735.0
2024-09-26,9.0,9.0,9.0,9.0,0.0,100,900.0
2024-09-25,9.0,9.0,9.0,9.0,-0.22,700,6300.0
2024-09-24,9.38,9.38,9.02,9.02,-5.75,1800,16380.0
2024-09-23,9.39,9.57,9.39,9.57,3.91,300,2835.0
2024-09-22,8.79,9.48,8.79,9.21,6.84,16199,151082.33
2024-09-18,8.97,8.97,8.62,8.62,-5.69,54600,477928.0
2024-09-16,9.17,9.17,9.14,9.14,-1.93,30000,274780.0
2024-09-15,9.7,9.7,9.32,9.32,-2.0,44205,413174.8
2024-09-12,9.15,9.51,9.15,9.51,2.26,5100,46881.0
2024-09-10,9.3,9.31,9.3,9.3,-1.69,2600,24200.0
2024-09-09,9.65,9.65,9.46,9.46,-3.86,10100,95565.0
2024-09-08,9.65,9.84,9.65,9.84,2.18,416776,4099045.84
2024-09-05,9.71,9.87,9.63,9.63,1.05,69261,678028.63
