date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,757.0,777.0,748.0,759.0,0.26,18840,14379675.4
2026-02-11,763.0,790.0,756.0,757.0,-0.79,21234,16283551.4
2026-02-10,785.0,795.0,763.0,763.0,-3.17,45201,34909662.7
2026-02-09,807.0,820.0,784.0,788.0,-4.02,55357,44339312.6
2026-02-08,838.0,838.0,802.6,821.0,-0.48,37979,31038949.7
2026-02-05,827.0,850.0,822.1,825.0,-2.02,23930,19943217.1
2026-02-04,850.0,866.0,828.0,842.0,-2.88,37869,31817345.8
2026-02-03,880.0,912.9,845.1,867.0,-2.24,125766,109718820.2
2026-02-02,814.0,887.0,814.0,886.9,6.86,164428,142613542.2
2026-02-01,819.0,832.3,809.0,830.0,3.23,73848,60428666.1
2026-01-29,851.7,917.8,784.0,804.0,-7.48,115194,97429600.9
2026-01-28,823.2,869.0,814.5,869.0,3.45,81462,68821776.0
2026-01-27,813.4,897.0,797.2,840.0,1.2,160409,137387907.9
2026-01-26,776.7,848.9,765.2,830.0,6.82,161653,129967566.6
2026-01-25,755.8,789.9,742.0,777.0,4.86,69795,53601711.3
2026-01-22,730.0,797.6,730.0,741.0,0.14,50118,37540251.0
2026-01-21,732.1,759.0,730.5,740.0,-0.94,21993,16223986.6
2026-01-20,716.0,788.5,716.0,747.0,2.33,57149,42630501.4
2026-01-18,724.0,730.0,720.0,730.0,1.4,28645,20806832.1
2026-01-14,720.0,723.0,713.0,719.9,0.64,25344,18174782.1
2026-01-13,713.0,720.0,710.0,715.3,-1.05,8865,6344642.1
2026-01-12,718.0,726.0,710.0,722.9,1.25,25494,18294940.5
2026-01-08,710.0,725.0,710.0,714.0,-1.38,13268,9515151.6
2026-01-07,724.1,744.0,716.9,724.0,-2.0,35085,25547996.2
2026-01-06,715.0,743.0,715.0,738.8,2.47,37806,27719344.9
2026-01-05,708.0,729.9,708.0,721.0,1.79,24243,17510069.2
2026-01-04,700.8,724.9,700.8,708.3,-0.95,9948,7115259.4
2026-01-01,719.9,727.0,710.0,715.1,-0.69,11868,8523131.3
2025-12-31,716.0,744.0,716.0,720.1,-1.36,20198,14823357.0
2025-12-29,714.0,735.0,714.0,730.0,3.4,35112,25503845.3
2025-12-28,711.0,711.0,697.1,706.0,0.57,21005,14822880.1
2025-12-24,718.0,718.0,699.0,702.0,-0.61,20541,14439858.0
2025-12-23,707.0,715.0,702.2,706.3,-0.13,11895,8410169.2
2025-12-22,703.9,725.0,703.9,707.2,-1.53,14336,10231937.9
2025-12-21,800.0,800.0,718.2,718.2,-10.0,71083,51363083.5
2025-12-18,713.9,798.0,713.9,798.0,9.56,45411,33321969.5
2025-12-17,715.0,734.9,708.0,728.4,3.1,28699,20808250.2
2025-12-16,701.1,717.0,701.1,706.5,-0.48,17037,12092784.2
2025-12-15,705.0,711.9,704.9,709.9,-0.71,16759,11857690.2
2025-12-14,731.0,731.0,710.0,715.0,-2.05,9840,7038987.2
2025-12-11,715.4,730.0,715.1,730.0,0.0,13321,9595965.2
2025-12-10,732.1,751.9,722.8,730.0,-2.28,24150,17633915.0
2025-12-09,744.7,759.0,731.0,747.0,0.27,43399,32446228.8
2025-12-08,723.0,750.0,718.1,745.0,1.36,51986,38365753.8
2025-12-07,714.0,735.0,706.0,735.0,0.98,42407,30572337.8
2025-12-03,721.0,736.9,709.6,727.9,-0.42,18956,13733081.5
2025-12-02,718.4,737.0,718.4,731.0,-0.27,12503,9147801.6
2025-12-01,713.5,787.4,713.5,733.0,0.69,36703,26915645.2
2025-11-30,734.0,734.8,711.0,728.0,-0.82,18752,13617762.3
2025-11-27,719.0,734.0,711.0,734.0,2.93,29457,21393548.9
2025-11-26,716.0,729.0,713.1,713.1,-1.11,9813,7037942.9
2025-11-25,722.0,730.0,717.0,721.1,-0.54,7292,5286652.8
2025-11-24,722.0,734.8,722.0,725.0,-1.09,21657,15803695.4
2025-11-23,749.7,749.7,707.0,733.0,-4.18,27617,20183314.2
2025-11-20,709.0,765.0,685.0,765.0,9.6,33629,23797522.3
2025-11-19,700.0,722.0,695.0,698.0,-1.55,12601,8832874.8
2025-11-18,720.0,723.0,695.8,709.0,0.0,25879,18278055.0
2025-11-17,675.1,718.0,675.1,709.0,3.67,20746,14601835.1
2025-11-16,688.0,692.1,679.0,683.9,-1.04,4256,2902761.4
2025-11-13,708.9,708.9,690.0,691.1,-0.78,5957,4127698.7
2025-11-12,690.0,703.0,690.0,696.5,0.22,11082,7727291.0
2025-11-11,696.0,705.0,690.0,695.0,-0.14,9966,6916471.6
2025-11-10,690.0,705.3,690.0,696.0,-0.71,8605,6009407.8
2025-11-09,705.0,710.0,700.0,701.0,-1.94,9312,6557351.1
2025-11-06,700.0,718.0,700.0,714.9,0.69,8482,6044646.3
2025-11-05,714.9,715.0,701.0,710.0,0.14,9583,6789945.7
2025-11-04,712.0,725.0,706.0,709.0,-1.53,13171,9413925.6
2025-11-03,711.0,737.0,711.0,720.0,-0.58,8016,5791162.0
2025-11-02,711.0,739.5,711.0,724.2,-0.11,10227,7437704.2
2025-10-30,706.0,729.0,706.0,725.0,0.69,13866,10026110.8
2025-10-29,729.0,786.5,708.0,720.0,0.7,26677,19425305.5
2025-10-28,666.6,720.0,666.6,715.0,5.12,11150,7896898.8
2025-10-26,673.1,688.0,673.1,680.2,-0.73,6185,4207294.0
2025-10-19,703.8,703.8,679.0,685.2,-0.7,4135,2850924.3
2025-10-16,700.0,700.0,688.0,690.0,-1.99,11673,8081875.0
2025-10-15,721.1,721.1,699.0,704.0,-0.42,5749,4043262.8
2025-10-14,710.0,735.0,707.0,707.0,-2.21,4669,3325018.2
2025-10-13,700.1,727.0,691.0,723.0,1.97,11738,8368644.1
2025-10-12,731.0,731.0,705.0,709.0,-3.01,17969,12742056.7
2025-10-09,717.0,760.0,717.0,731.0,3.98,27509,20349527.2
2025-10-08,733.3,733.3,698.3,703.0,-2.23,18453,12962050.7
2025-10-07,726.2,738.0,713.0,719.0,-2.97,15665,11321825.2
2025-09-28,750.0,758.8,740.0,741.0,-0.13,9420,7017864.3
2025-09-25,735.1,764.9,735.0,742.0,-0.93,25000,18689256.5
2025-09-24,755.0,774.0,740.0,749.0,0.17,36410,27534679.1
2025-09-23,693.3,747.7,691.9,747.7,9.99,55207,40793635.7
2025-09-21,618.0,679.8,608.0,679.8,10.0,42063,27588488.5
2025-09-18,690.0,690.0,618.0,618.0,-10.0,1075,700066.0
2025-09-08,700.0,702.0,685.0,686.67,-1.74,9779,6764379.3
2025-09-07,709.0,709.0,698.0,698.8,-0.17,10095,7075741.2
2025-09-04,698.8,723.0,690.0,700.01,-1.82,23850,16670295.4
2025-09-03,749.2,749.2,710.0,712.98,-2.94,18265,13171128.0
2025-09-02,754.1,754.1,732.0,734.54,-0.65,8255,6077318.1
