date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,297.6,325.0,297.6,319.9,6.1,177229,56317806.9
2026-02-11,300.0,306.0,290.0,301.5,2.48,40787,12183974.4
2026-02-10,296.9,302.3,293.0,294.2,-0.91,22828,6751624.0
2026-02-09,295.0,297.0,291.2,296.9,0.13,21529,6347174.0
2026-02-08,297.1,307.0,293.0,296.5,-1.17,27726,8306332.8
2026-02-05,298.0,302.0,293.8,300.0,1.63,23311,6936456.1
2026-02-04,293.7,299.9,293.7,295.2,-0.61,48002,14205287.5
2026-02-03,308.6,308.6,296.2,297.0,-2.3,23860,7118501.5
2026-02-02,298.0,304.0,297.3,304.0,1.88,19072,5714774.9
2026-02-01,305.0,306.0,297.9,298.4,-0.53,18456,5526133.0
2026-01-29,303.0,315.0,300.0,300.0,-1.28,89384,27541046.2
2026-01-28,297.0,314.9,296.1,303.9,1.6,34997,10629455.1
2026-01-27,302.0,313.0,299.1,299.1,0.88,59937,18263087.6
2026-01-26,295.0,302.8,294.1,296.5,-0.94,24357,7248481.3
2026-01-25,299.0,303.0,296.1,299.3,1.46,36052,10808755.3
2026-01-22,287.2,295.9,287.2,295.0,1.97,15002,4412074.9
2026-01-21,291.0,296.8,288.2,289.3,-0.58,8610,2504840.2
2026-01-20,285.1,300.0,285.1,291.0,2.11,16754,4903210.3
2026-01-18,285.0,289.0,283.8,285.0,0.35,9732,2778655.8
2026-01-14,284.0,285.0,282.6,284.0,-0.32,4460,1264988.0
2026-01-13,278.7,287.0,278.7,284.9,1.28,5136,1461548.2
2026-01-12,280.4,284.0,280.4,281.3,-0.95,4360,1232466.0
2026-01-08,281.8,284.0,281.2,284.0,0.0,6974,1968200.4
2026-01-07,284.6,288.9,281.6,284.0,-0.18,8448,2395943.8
2026-01-06,282.0,290.0,282.0,284.5,-0.52,14282,4068963.2
2026-01-05,281.5,288.0,281.5,286.0,0.7,8809,2513120.0
2026-01-04,280.9,286.5,280.9,284.0,-0.91,4225,1201687.5
2026-01-01,285.1,290.0,285.0,286.6,0.56,8339,2389228.8
2025-12-31,284.8,290.0,284.7,285.0,-0.7,17681,5067768.4
2025-12-29,290.0,293.4,287.0,287.0,-1.03,14590,4232429.6
2025-12-28,289.0,290.0,284.2,290.0,1.9,9499,2729200.9
2025-12-24,284.5,286.9,284.5,284.6,-1.52,7072,2018458.4
2025-12-23,282.6,289.0,282.6,289.0,1.4,12193,3480934.8
2025-12-22,283.0,287.0,283.0,285.0,-0.18,6417,1831634.4
2025-12-21,287.0,287.0,282.1,285.5,0.46,16121,4582930.4
2025-12-18,285.0,292.0,283.0,284.2,-0.73,9952,2860373.9
2025-12-17,282.2,291.7,282.2,286.3,-0.56,12021,3473423.7
2025-12-16,282.0,290.0,282.0,287.9,0.81,11136,3181688.4
2025-12-15,284.0,289.9,283.1,285.6,-0.83,5890,1680623.4
2025-12-14,288.0,290.8,286.5,288.0,-1.44,9345,2698368.3
2025-12-11,288.5,296.0,288.2,292.2,-0.51,17966,5265445.7
2025-12-10,287.2,293.7,287.2,293.7,0.24,6991,2031074.7
2025-12-09,291.0,295.9,289.2,293.0,-0.68,15924,4651627.8
2025-12-08,285.0,299.9,284.3,295.0,2.43,17345,5055011.2
2025-12-07,294.0,294.0,283.2,288.0,-3.0,23672,6794933.8
2025-12-03,302.0,302.0,294.0,296.9,-1.03,16345,4846391.4
2025-12-02,286.0,307.9,285.2,300.0,4.53,44174,13286432.9
2025-12-01,284.1,294.2,284.1,287.0,-0.52,14571,4222620.8
2025-11-30,287.1,292.9,287.1,288.5,-1.2,9418,2717931.0
2025-11-27,289.1,294.0,289.0,292.0,-1.02,12652,3677802.4
2025-11-26,292.4,300.0,292.4,295.0,-0.51,8906,2638190.6
2025-11-25,291.0,297.6,291.0,296.5,0.51,17370,5125017.0
2025-11-24,293.5,297.8,291.2,295.0,1.03,26396,7774966.9
2025-11-23,285.0,295.8,280.1,292.0,2.56,16668,4815933.2
2025-11-20,276.8,285.0,276.8,284.7,0.81,15876,4450134.1
2025-11-19,290.0,290.0,281.0,282.4,-0.84,5499,1552293.8
2025-11-18,285.0,285.0,281.0,284.8,1.35,8070,2282214.2
2025-11-17,282.0,284.0,278.3,281.0,-0.64,10195,2864522.0
2025-11-16,282.1,285.0,280.1,282.8,-1.63,7782,2192520.6
2025-11-13,295.3,295.3,287.0,287.5,-2.11,7418,2146188.0
2025-11-12,285.0,293.7,285.0,293.7,2.8,28713,8307821.7
2025-11-11,274.2,300.0,274.2,285.7,3.18,28483,8123508.5
2025-11-10,275.2,277.1,272.0,276.9,-1.39,2675,736142.0
2025-11-09,281.5,281.5,273.0,280.8,1.74,3515,969273.0
2025-11-06,280.0,284.9,274.6,276.0,-1.43,6054,1670937.5
2025-11-05,280.1,285.0,276.2,280.0,-1.89,4584,1282048.2
2025-11-04,282.1,292.7,282.1,285.4,-0.76,1780,505086.0
2025-11-03,281.1,295.8,281.1,287.6,0.91,7194,2078033.6
2025-11-02,278.0,285.0,275.1,285.0,1.79,6439,1818853.7
2025-10-30,278.5,280.5,271.5,280.0,2.19,14230,3976359.0
2025-10-29,275.0,279.0,271.2,274.0,-0.18,3587,986439.3
2025-10-28,268.0,278.0,268.0,274.5,1.1,6927,1907893.2
2025-10-26,270.0,273.0,267.0,271.5,-0.18,3949,1067739.6
2025-10-19,267.0,272.1,267.0,272.0,0.48,2585,694844.0
2025-10-16,271.0,275.0,270.0,270.7,-1.56,4047,1095841.2
2025-10-15,267.0,275.0,267.0,275.0,1.1,2510,678129.0
2025-10-14,280.1,280.1,270.4,272.0,-3.55,15404,4226908.7
2025-10-13,277.1,282.5,277.0,282.0,-0.14,3741,1044499.0
2025-10-12,285.0,286.0,277.0,282.4,-2.62,12991,3630957.2
2025-10-09,293.0,301.0,289.1,290.0,-0.65,12630,3719938.3
2025-10-08,290.0,292.0,284.4,291.9,-0.68,8587,2462134.6
2025-10-07,294.0,295.5,285.0,293.9,-2.0,7202,2110173.0
2025-09-28,291.0,299.9,291.0,299.9,1.7,2312,683383.0
2025-09-25,285.1,298.8,285.1,294.9,2.01,4690,1375618.0
2025-09-24,290.7,295.0,289.1,289.1,-1.63,3583,1042373.2
2025-09-23,290.0,309.0,288.0,293.9,1.6,6309,1864715.3
2025-09-21,277.8,292.0,274.0,289.28,4.13,13862,3941701.9
2025-09-18,283.4,283.4,277.8,277.8,-3.91,1100,311124.0
2025-09-08,288.0,296.0,283.5,289.11,-1.59,12806,3692105.6
2025-09-07,295.0,297.0,293.3,293.79,-1.47,5299,1562058.1
2025-09-04,302.0,302.0,294.0,298.17,0.03,5272,1559246.1
2025-09-03,301.0,305.0,298.0,298.08,-0.77,6598,1970260.7
2025-09-02,306.0,308.0,299.0,300.39,-0.56,24322,7390802.2
2025-09-01,300.0,306.0,299.3,302.09,-1.02,22612,6886110.5
2025-08-31,295.0,306.0,295.0,305.21,1.87,39787,12051895.2
2025-08-28,311.4,311.4,298.1,299.62,-1.89,15405,4643119.5
2025-08-27,302.0,305.8,300.6,305.38,1.6,9204,2799550.4
2025-08-26,300.0,303.0,298.5,300.56,-0.11,7838,2353940.5
2025-08-25,307.0,307.0,300.0,300.9,-0.3,10817,3263959.0
2025-08-24,311.0,311.0,300.2,301.8,-1.04,7554,2277255.8
2025-08-21,308.2,314.0,303.0,304.98,0.91,14014,4263303.5
2025-08-20,309.0,309.0,301.2,302.22,-0.25,11263,3423484.0
2025-08-19,306.7,306.7,301.7,302.99,0.35,10630,3232652.6
2025-08-18,298.5,304.0,298.5,301.93,1.19,19704,5952195.1
2025-08-17,307.0,309.0,295.3,298.39,-3.12,62736,18923519.1
2025-08-14,313.0,317.0,307.1,307.99,-1.58,15219,4722641.1
2025-08-13,312.2,317.0,311.6,312.92,-0.05,14890,4666650.8
2025-08-12,312.1,318.0,312.1,313.07,-0.76,16387,5137741.0
2025-08-11,326.2,326.2,315.0,315.48,-1.38,34227,10845276.6
2025-08-07,317.0,330.0,314.0,319.88,1.13,24692,7846088.5
2025-08-06,315.0,321.0,313.1,316.3,-0.17,14371,4561905.1
2025-08-05,318.5,323.0,315.1,316.85,-1.22,23607,7530516.4
2025-08-04,326.0,326.5,318.0,320.76,-0.32,17392,5573457.5
2025-08-03,321.1,324.9,321.1,321.78,-0.43,20124,6491751.6
2025-07-31,324.0,327.9,322.0,323.16,-0.81,21171,6870580.5
2025-07-30,325.1,333.0,325.0,325.8,-1.18,24303,7956721.1
2025-07-29,334.9,334.9,328.1,329.68,0.18,38566,12723261.0
2025-07-28,332.0,334.9,325.8,329.1,-0.68,42216,13844284.3
2025-07-27,341.6,342.8,331.0,331.36,-1.51,80027,26866554.2
2025-07-24,330.2,338.0,330.2,336.44,0.57,53052,17791839.2
2025-07-23,332.0,337.0,326.6,334.54,0.92,54276,18103421.1
2025-07-22,328.0,333.0,322.0,331.48,1.89,46983,15501233.8
2025-07-21,325.0,328.0,323.1,325.33,-0.25,17656,5741828.6
2025-07-20,327.0,336.0,322.5,326.14,-0.28,119639,39266404.0
2025-07-17,321.0,327.9,320.0,327.07,3.09,23004,7468666.8
2025-07-16,322.9,322.9,316.0,317.28,0.03,53875,17128404.1
2025-07-15,315.0,320.2,315.0,317.18,-0.38,11599,3680968.7
2025-07-14,313.7,321.5,313.7,318.4,0.54,7032,2235295.9
2025-07-13,320.5,326.0,315.6,316.68,0.76,18455,5871483.1
2025-07-10,313.0,324.1,313.0,314.29,-1.1,33757,10656200.5
2025-07-09,313.5,326.0,313.5,317.8,0.29,5653,1795881.3
2025-07-08,320.0,320.0,312.0,316.88,-0.16,16359,5170167.0
2025-07-07,320.5,328.0,316.6,317.39,-1.9,28244,9022267.0
2025-07-06,325.0,330.0,322.1,323.55,-0.9,22140,7173782.6
2025-07-03,330.0,334.9,325.0,326.48,-0.15,24598,8054778.9
2025-07-02,329.8,335.0,324.2,326.97,0.51,42602,14066501.7
2025-07-01,319.1,327.0,319.1,325.3,1.19,11841,3813373.2
2025-06-30,317.5,327.9,317.5,321.49,-0.25,6879,2216962.0
2025-06-29,326.9,353.2,318.1,322.3,0.35,20865,6875549.3
2025-06-26,325.0,325.0,319.0,321.18,-0.32,8721,2795719.0
2025-06-25,320.0,326.0,319.5,322.21,0.61,14912,4811431.0
2025-06-24,326.2,329.8,320.0,320.27,-0.29,13912,4499545.5
2025-06-23,321.1,327.0,318.4,321.2,-0.93,10571,3392382.7
2025-06-22,332.2,335.0,323.6,324.2,-3.09,21003,6867677.3
2025-06-19,332.0,345.0,330.0,334.52,1.75,80006,27127136.3
2025-06-18,337.0,337.0,323.4,328.76,-1.2,18555,6086398.2
2025-06-17,329.1,334.5,326.1,332.75,-0.13,9703,3192584.6
2025-06-16,346.0,346.0,330.5,333.17,-2.02,72734,24718511.9
2025-06-15,325.0,341.0,324.0,340.05,3.14,68237,22969517.4
2025-06-12,320.1,340.0,320.1,329.7,2.48,78803,26058260.3
2025-06-11,330.2,330.2,319.0,321.71,-0.63,14922,4788654.6
2025-06-10,329.8,329.8,320.3,323.74,0.04,16208,5254546.6
2025-06-09,316.6,327.0,316.6,323.62,0.5,9495,3065029.8
2025-06-08,314.0,325.0,314.0,322.01,2.15,17659,5619453.8
2025-06-05,311.3,320.0,311.3,315.24,-0.35,10041,3164421.0
2025-06-04,318.0,320.0,314.3,316.35,-0.21,5173,1630851.6
2025-06-03,316.0,323.0,315.1,317.01,-0.06,9425,2995741.0
2025-06-02,328.0,328.0,317.0,317.2,-1.37,10319,3313523.2
2025-05-28,314.1,323.1,314.1,321.62,1.14,16360,5211306.7
2025-05-27,315.0,319.0,315.0,317.98,0.45,10236,3244665.0
2025-05-26,322.0,329.1,316.1,316.57,0.03,9544,3037299.9
2025-05-25,323.0,323.0,316.0,316.46,-0.61,5924,1880697.5
2025-05-22,317.7,322.0,317.7,318.4,-1.27,10480,3344649.5
2025-05-21,331.2,337.6,321.5,322.48,-0.69,18395,6000961.0
2025-05-20,314.1,326.0,314.1,324.72,2.14,7140,2285420.0
2025-05-19,320.0,323.0,314.0,317.93,0.06,10815,3427411.5
2025-05-18,317.0,323.0,316.1,317.73,-0.66,7200,2287655.5
2025-05-15,321.0,321.0,318.0,319.84,-0.12,14854,4742976.1
