date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,818.3,825.0,815.0,824.0,0.7,7968,6531207.0
2026-02-11,824.9,824.9,813.0,818.3,0.59,5555,4538736.9
2026-02-10,819.0,820.0,812.7,813.5,-0.78,6651,5412930.4
2026-02-09,820.0,831.8,815.5,819.9,-0.49,11475,9379102.5
2026-02-08,834.0,834.0,818.0,823.9,0.11,13072,10732661.2
2026-02-05,823.0,830.0,818.3,823.0,0.0,7126,5888393.1
2026-02-04,825.0,833.0,821.0,823.0,0.12,3252,2677206.9
2026-02-03,838.8,838.8,818.5,822.0,-0.82,8756,7226545.7
2026-02-02,842.0,846.5,821.1,828.8,-0.14,9893,8185483.3
2026-02-01,830.0,835.0,823.1,830.0,-0.95,4926,4075331.3
2026-01-29,850.0,850.0,828.0,838.0,0.36,10337,8600750.2
2026-01-28,833.1,849.7,833.1,835.0,-1.3,3394,2834700.8
2026-01-27,840.0,856.0,830.0,846.0,-0.7,11669,9821088.1
2026-01-26,865.0,865.0,848.1,852.0,-0.23,12931,11030426.4
2026-01-25,833.0,857.8,833.0,854.0,2.08,23616,20059622.6
2026-01-22,846.0,849.0,832.6,836.6,-0.99,4459,3734476.3
2026-01-21,835.1,857.9,835.1,845.0,-0.35,13025,11014070.9
2026-01-20,844.8,852.0,840.0,848.0,1.01,14202,12022567.4
2026-01-18,827.9,840.0,822.1,839.5,2.74,8658,7233689.2
2026-01-14,819.9,820.0,815.1,817.1,-0.17,6207,5076271.3
2026-01-13,821.0,825.0,818.2,818.5,-0.78,5041,4135260.3
2026-01-12,824.0,835.8,820.8,824.9,-0.04,3388,2791219.1
2026-01-08,824.0,837.0,823.2,825.2,0.24,7262,6019133.9
2026-01-07,838.0,838.0,822.5,823.2,-0.39,2874,2369085.2
2026-01-06,840.0,847.0,826.0,826.4,-1.01,6170,5135108.2
2026-01-05,840.0,840.0,815.0,834.8,-0.86,11561,9571040.9
2026-01-04,843.5,844.0,828.1,842.0,1.69,11203,9352489.1
2026-01-01,950.0,951.0,939.0,946.0,-0.17,44479,41927836.0
2025-12-31,948.4,949.9,935.0,947.6,1.73,27236,25662154.5
2025-12-29,959.0,959.0,931.5,931.5,-2.26,25168,23646383.8
2025-12-28,938.4,960.0,920.0,953.0,3.59,61429,57921828.6
2025-12-24,920.0,935.0,920.0,920.0,0.0,13668,12623600.5
2025-12-23,936.0,936.0,914.0,920.0,-0.53,8804,8077169.1
2025-12-22,940.0,940.0,915.1,924.9,0.1,10268,9456300.3
2025-12-21,930.0,944.9,920.1,924.0,-0.65,26736,24894336.9
2025-12-18,917.2,932.9,912.0,930.0,-0.59,18595,17152387.5
2025-12-17,928.0,936.0,910.0,935.5,0.81,19044,17722532.1
2025-12-16,900.0,928.0,896.3,928.0,3.11,17223,15770349.9
2025-12-15,890.0,900.0,885.0,900.0,0.55,13198,11749290.0
2025-12-14,891.0,901.0,891.0,895.1,-0.32,8121,7274925.6
2025-12-11,890.0,905.0,890.0,898.0,-0.55,4507,4055602.9
2025-12-10,903.0,909.0,900.0,903.0,0.1,8932,8067306.7
2025-12-09,900.6,908.7,900.6,902.1,-0.18,5024,4536825.8
2025-12-08,906.1,915.0,902.3,903.7,0.28,10136,9201311.0
2025-12-07,910.0,919.0,901.2,901.2,-0.86,5188,4700523.0
2025-12-03,928.7,928.7,909.0,909.0,-0.16,7374,6749244.6
2025-12-02,908.0,924.0,908.0,910.5,0.17,7803,7130925.8
2025-12-01,902.1,925.0,900.0,909.0,0.82,18000,16365078.7
2025-11-30,914.2,920.0,901.6,901.6,-2.63,12853,11734334.4
2025-11-27,960.6,960.6,911.4,926.0,-1.7,8098,7476553.6
2025-11-26,920.0,949.9,916.1,942.0,2.39,14834,13839041.6
2025-11-25,872.6,920.0,872.6,920.0,3.38,26036,23512804.5
2025-11-24,853.0,890.0,853.0,889.9,2.29,8747,7683827.3
2025-11-23,861.9,878.0,853.0,870.0,2.23,5706,4953753.2
2025-11-20,846.0,857.0,846.0,851.0,0.46,4808,4091389.3
2025-11-19,855.0,869.0,847.1,847.1,-1.16,6202,5299951.1
2025-11-18,840.0,866.0,840.0,857.0,2.02,5367,4606836.2
2025-11-17,835.0,845.0,830.0,840.0,0.6,3328,2777410.7
2025-11-16,845.0,845.0,830.0,835.0,-0.38,3260,2718774.1
2025-11-13,844.1,850.0,837.0,838.2,-0.7,2611,2196458.0
2025-11-12,843.0,851.0,843.0,844.1,0.37,4968,4200805.0
2025-11-11,833.1,850.0,833.0,841.0,0.12,1510,1264653.4
2025-11-10,836.0,852.6,836.0,840.0,-1.06,5637,4754167.4
2025-11-09,850.0,856.5,833.0,849.0,-0.12,7858,6602759.7
2025-11-06,886.3,886.3,850.0,850.0,-2.19,11480,9865024.4
2025-11-05,875.0,875.0,847.0,869.0,0.59,6224,5348084.0
2025-11-04,886.9,886.9,850.2,863.9,-1.27,9327,8049959.9
2025-11-03,866.0,891.0,866.0,875.0,-0.46,6612,5804476.0
2025-11-02,884.0,899.0,870.0,879.0,-0.64,10095,8920963.9
2025-10-30,870.0,885.0,857.1,884.7,1.82,11282,9876506.8
2025-10-29,887.0,891.0,858.0,868.9,-2.04,6641,5759297.0
2025-10-28,839.9,903.0,817.0,887.0,6.91,17958,15319777.5
2025-10-26,816.0,834.0,816.0,829.7,0.21,2879,2367897.9
2025-10-19,802.2,828.0,802.1,828.0,1.47,1496,1232814.1
2025-10-16,826.0,826.0,800.2,816.0,0.0,7345,5941522.3
2025-10-15,799.9,832.1,799.9,816.0,-0.02,5933,4863333.8
2025-10-14,845.0,851.6,816.2,816.2,-4.74,11083,9278529.1
2025-10-13,829.0,856.8,825.0,856.8,2.0,8202,6853515.3
2025-10-12,863.0,868.1,820.2,840.0,-4.33,24023,20103432.0
2025-10-09,888.9,906.8,865.0,878.0,0.75,12239,10737073.1
2025-10-08,904.0,904.0,859.5,871.5,-1.75,16924,14737379.9
2025-10-07,912.0,912.0,887.0,887.0,-3.48,5284,4739398.3
2025-09-28,922.0,927.5,913.0,919.0,-0.33,2586,2371022.1
2025-09-25,913.0,925.0,900.1,922.0,1.0,4667,4265810.3
2025-09-24,911.0,916.9,906.0,912.9,-1.09,6699,6091599.1
2025-09-23,905.0,930.0,903.0,923.0,2.18,6459,5941473.2
2025-09-21,860.0,908.0,846.1,903.33,5.34,11194,9914701.0
2025-09-18,892.2,892.2,857.5,857.5,-5.81,140,122997.0
2025-09-08,912.0,935.0,905.0,910.38,-2.17,14640,13441219.9
2025-09-07,945.0,945.0,925.1,930.53,-0.38,3308,3080298.0
2025-09-04,936.1,947.0,921.0,934.1,-1.09,16953,15723332.8
2025-09-03,940.0,955.0,940.0,944.44,-0.65,4994,4721653.6
2025-09-02,952.61,955.0,941.0,950.58,-0.21,2972,2825087.0
2025-09-01,960.0,960.0,950.2,952.61,-0.21,8813,8398672.6
2025-08-31,958.3,968.0,953.3,954.66,-1.32,4770,4570611.3
2025-08-28,976.0,990.0,965.0,967.46,-1.68,11088,10824121.4
2025-08-27,971.01,989.9,970.2,983.99,1.34,14539,14268857.3
2025-08-26,983.0,983.0,970.0,971.01,-1.16,4272,4154886.9
2025-08-25,984.2,998.0,957.1,982.43,1.81,18858,18421682.3
2025-08-24,966.0,969.5,953.1,964.98,1.26,5593,5373438.6
2025-08-21,947.3,966.2,946.2,952.98,-0.82,16741,15944673.1
2025-08-20,974.17,980.0,960.0,960.82,-1.37,9684,9341878.7
2025-08-19,970.0,990.0,968.3,974.17,0.24,7629,7470143.6
2025-08-18,957.0,975.5,956.0,971.82,0.54,8813,8550946.2
2025-08-17,994.31,995.0,960.1,966.61,-2.79,18727,18211183.3
2025-08-14,984.0,1003.9,984.0,994.31,-0.07,7132,7102216.5
2025-08-13,987.1,1010.0,987.1,994.98,-0.58,19673,19581192.4
2025-08-12,1032.0,1032.0,992.0,1000.75,-2.15,26551,26735650.4
2025-08-11,1050.0,1064.0,1022.0,1022.77,-3.4,22104,22974820.7
2025-08-07,1033.5,1069.0,1033.5,1058.79,0.4,28561,30062676.7
2025-08-06,1028.0,1076.0,1025.1,1054.56,1.68,16673,17473730.9
2025-08-05,1068.0,1068.0,1030.0,1037.15,-1.12,19860,20895634.0
2025-08-04,1049.9,1069.0,1020.2,1048.89,-0.12,41548,43366015.8
2025-08-03,1077.0,1099.0,1046.0,1050.11,-4.41,29854,31734196.6
2025-07-31,1105.0,1116.0,1085.0,1098.53,1.35,76054,83559017.0
2025-07-30,1155.0,1155.0,1080.0,1083.93,-5.26,54622,60242379.6
2025-07-29,1126.0,1149.2,1113.1,1144.13,3.56,73724,83642654.9
2025-07-28,1069.9,1129.0,1055.1,1104.79,3.08,63772,68719390.0
2025-07-27,1085.0,1095.0,1070.0,1071.77,0.12,57270,61752874.7
2025-07-24,1080.0,1086.0,1066.5,1070.44,-0.21,41797,44934643.6
2025-07-23,1053.4,1089.0,1053.4,1072.74,-0.04,53817,57697604.5
2025-07-22,1047.0,1082.0,1047.0,1073.17,3.71,63250,67574354.2
2025-07-21,1011.0,1047.0,1005.0,1034.82,0.73,54824,56188963.9
2025-07-20,1050.5,1054.0,1010.2,1027.34,-0.26,56745,58648688.5
2025-07-17,1025.0,1046.0,1015.0,1029.97,0.88,32697,33798924.2
2025-07-16,1000.0,1035.0,991.0,1021.03,1.99,42751,43645260.9
2025-07-15,990.0,1005.0,970.9,1001.08,3.03,47231,46937771.7
2025-07-14,979.0,980.0,961.6,971.66,-0.55,23435,22717175.3
2025-07-13,937.6,991.0,937.6,977.06,6.29,72019,69934146.6
2025-07-10,910.1,929.0,910.1,919.23,1.13,22682,20857194.6
2025-07-09,896.0,910.0,896.0,908.93,0.31,6814,6177768.0
2025-07-08,910.0,910.0,892.1,906.08,-0.27,5565,5018874.6
2025-07-07,927.0,927.0,907.0,908.49,-1.26,10233,9356289.2
2025-07-06,890.0,925.0,890.0,920.09,1.7,13483,12332630.0
2025-07-03,914.5,914.5,894.0,904.68,-0.32,7968,7185428.2
2025-07-02,910.0,915.0,885.0,907.55,0.72,19838,17905440.8
2025-07-01,890.0,902.8,886.5,901.09,1.8,14019,12596241.0
2025-06-30,888.0,890.0,880.0,885.12,1.17,8021,7090584.9
2025-06-29,860.0,878.0,860.0,874.87,1.6,10963,9550725.2
2025-06-26,851.0,869.0,851.0,861.08,1.3,7371,6357303.7
2025-06-25,842.0,855.0,842.0,850.0,-0.16,2401,2042398.8
2025-06-24,840.2,878.0,840.2,851.38,0.85,2893,2469410.5
2025-06-23,850.0,854.0,842.0,844.17,-0.29,2933,2481710.6
2025-06-22,855.0,859.9,842.1,846.64,-1.05,6163,5216113.4
2025-06-19,856.0,870.0,855.0,855.63,-1.94,5584,4789191.1
2025-06-18,872.0,889.3,871.0,872.54,-0.94,5173,4520667.3
2025-06-17,852.0,898.0,852.0,880.85,1.96,18326,16172007.4
2025-06-16,860.0,864.6,847.0,863.9,1.91,12291,10471299.0
2025-06-15,864.0,865.0,842.0,847.68,-0.71,11146,9467436.8
2025-06-12,870.0,877.0,852.0,853.74,-0.79,5458,4666645.6
2025-06-11,877.6,887.0,857.2,860.53,-1.95,5555,4800478.3
2025-06-10,861.0,880.0,860.1,877.6,0.89,5083,4428919.9
2025-06-09,872.4,885.9,866.0,869.87,-0.29,3177,2779517.1
2025-06-08,883.0,883.0,855.6,872.39,-1.28,9541,8260596.9
2025-06-05,875.8,905.0,875.8,883.74,-0.49,6538,5793418.7
2025-06-04,877.1,903.0,873.1,888.11,0.24,6704,5949272.0
2025-06-03,890.0,900.0,882.0,885.96,-1.76,7992,7092749.8
2025-06-02,904.0,925.0,898.0,901.82,0.34,9410,8602637.4
2025-05-28,896.6,909.0,881.0,898.79,0.24,9693,8662369.9
2025-05-27,913.0,913.0,891.5,896.6,-0.83,15072,13516045.0
2025-05-26,949.0,949.5,902.0,904.14,-2.88,26523,24487993.1
2025-05-25,903.0,940.0,900.0,930.98,3.08,49840,45983488.1
2025-05-22,893.4,911.0,883.1,903.19,3.11,35021,31539352.9
2025-05-21,882.2,898.0,866.0,875.96,1.27,28264,24741958.6
2025-05-20,830.0,881.0,830.0,864.95,2.7,6942,5953350.3
2025-05-19,840.1,856.8,840.1,842.19,1.06,5893,5001044.2
