date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.6,9.89,9.6,9.89,1.85,11440,112663.0
2026-02-11,9.7,9.9,9.7,9.71,-1.42,1950,19101.0
2026-02-10,9.63,9.85,9.48,9.85,1.97,121600,1194877.5
2026-02-09,9.65,9.71,9.65,9.66,-0.31,2850,27558.5
2026-02-08,9.65,9.69,9.64,9.69,-1.32,21800,210599.0
2026-02-05,9.63,9.82,9.63,9.82,1.76,43099,422829.18
2026-02-04,9.62,9.7,9.62,9.65,-1.03,1200,11589.0
2026-02-03,9.6,9.75,9.6,9.75,1.04,11490,111419.4
2026-02-02,9.61,9.7,9.61,9.65,-0.21,10530,101441.5
2026-02-01,9.8,9.8,9.64,9.67,-3.01,11006,107171.94
2026-01-29,9.65,9.97,9.65,9.97,1.84,249510,2449608.0
2026-01-28,9.37,9.79,9.37,9.79,3.49,107300,1048538.2
2026-01-27,9.5,9.55,9.46,9.46,-1.46,2450,23243.0
2026-01-26,9.5,9.75,9.5,9.6,0.0,113481,1098234.82
2026-01-25,9.31,9.6,9.31,9.6,2.67,50950,482832.0
2026-01-22,9.21,9.39,9.21,9.35,0.54,23600,220907.0
2026-01-21,9.21,9.44,9.21,9.3,-0.32,15050,141067.0
2026-01-20,9.28,9.46,9.28,9.33,0.54,47930,452618.2
2026-01-18,9.35,9.41,9.2,9.28,-0.75,17260,161469.2
2026-01-14,9.21,9.35,9.21,9.35,0.97,580,5381.0
2026-01-13,9.17,9.35,9.17,9.26,-0.96,13800,128748.0
2026-01-12,9.2,9.44,9.2,9.35,0.54,17100,161100.0
2026-01-08,9.09,9.43,9.09,9.3,0.54,15860,148279.0
2026-01-07,9.25,9.4,9.21,9.25,-0.64,35450,329382.0
2026-01-06,9.07,9.31,9.07,9.31,1.97,7470,68634.3
2026-01-05,9.1,9.24,9.1,9.13,0.77,4000,36777.0
2026-01-04,9.03,9.21,9.03,9.06,-1.52,43801,396171.05
2026-01-01,9.17,9.2,9.15,9.2,-1.6,1900,17425.0
2025-12-31,9.51,9.53,9.35,9.35,-3.61,4800,45449.0
2025-12-29,9.36,9.7,9.36,9.7,1.57,11077,104590.58
2025-12-28,9.38,9.56,9.2,9.55,3.8,21305,198904.9
2025-12-24,9.0,9.25,9.0,9.2,0.99,40100,366901.0
2025-12-23,9.03,9.11,9.03,9.11,-1.09,25700,233189.0
2025-12-22,9.09,9.37,9.03,9.21,0.22,10220,94031.2
2025-12-21,9.12,9.19,9.0,9.19,0.77,36400,331612.0
2025-12-18,9.03,9.12,9.03,9.12,0.66,4490,40879.8
2025-12-17,8.93,9.1,8.93,9.06,-0.44,850,7691.0
2025-12-16,9.01,9.23,9.01,9.1,0.55,21700,198493.0
2025-12-15,8.98,9.05,8.98,9.05,-0.11,1780,16046.0
2025-12-14,8.92,9.13,8.92,9.06,-0.44,2600,23485.0
2025-12-11,9.28,9.28,9.1,9.1,0.0,25900,235732.0
2025-12-10,9.0,9.1,9.0,9.1,-0.11,400,3630.0
2025-12-09,9.1,9.11,9.1,9.11,-1.3,3600,32793.0
2025-12-08,9.1,9.23,9.02,9.23,-0.11,28250,258083.0
2025-12-07,9.11,9.24,9.11,9.24,-0.43,12000,109335.0
2025-12-03,9.18,9.28,9.05,9.28,3.11,3400,31073.0
2025-12-02,9.05,9.11,9.0,9.0,-1.21,78500,708971.0
2025-12-01,9.05,9.28,9.05,9.11,0.11,24200,223480.0
2025-11-30,9.1,9.1,9.1,9.1,-0.55,100,910.0
2025-11-27,9.15,9.18,9.15,9.15,-1.08,9660,88432.0
2025-11-26,9.05,9.25,9.0,9.25,1.87,18150,165810.0
2025-11-25,9.12,9.12,9.0,9.08,-2.37,12500,113817.0
2025-11-24,9.01,9.3,9.01,9.3,1.75,35650,325438.9
2025-11-23,9.0,9.17,9.0,9.14,0.11,6410,57956.0
2025-11-20,9.0,9.13,9.0,9.13,1.44,50666,457972.27
2025-11-19,9.08,9.1,8.95,9.0,-1.32,48400,437486.0
2025-11-18,9.2,9.2,9.1,9.12,0.22,1250,11421.0
2025-11-17,9.0,9.1,9.0,9.1,1.22,5110,46415.4
2025-11-16,9.0,9.15,8.86,8.99,-1.21,121150,1076544.1
2025-11-13,9.14,9.14,8.99,9.1,-0.66,27894,252481.76
2025-11-12,9.1,9.16,9.1,9.16,0.0,1150,10520.0
2025-11-11,9.28,9.28,9.1,9.16,0.66,18330,168612.6
2025-11-10,9.2,9.2,9.1,9.1,-2.99,26700,245620.0
2025-11-09,9.15,9.38,9.0,9.38,2.51,16030,148825.3
2025-11-06,9.1,9.38,9.1,9.15,-1.08,29300,271892.7
2025-11-05,9.07,9.36,9.07,9.25,1.09,5500,50778.6
2025-11-04,9.04,9.36,9.04,9.15,1.1,5100,46840.0
2025-11-03,9.07,9.07,9.05,9.05,-0.55,6300,57120.0
2025-11-02,9.08,9.1,9.07,9.1,-1.19,4100,37247.0
2025-10-30,9.21,9.34,9.04,9.21,-1.92,15050,137894.0
2025-10-29,9.07,9.39,9.07,9.39,1.51,1060,9706.0
2025-10-28,9.0,9.25,8.99,9.25,1.65,5350,48679.0
2025-10-26,9.0,9.28,9.0,9.1,0.44,9990,91622.2
2025-10-19,9.23,9.32,9.06,9.06,-1.84,20700,191093.5
2025-10-16,9.05,9.23,9.05,9.23,0.33,5000,45563.0
2025-10-15,9.02,9.2,9.02,9.2,0.0,600,5492.0
2025-10-14,8.94,9.2,8.94,9.2,0.88,15200,138410.0
2025-10-13,8.96,9.12,8.96,9.12,0.0,11500,104833.0
2025-10-12,9.3,9.4,9.12,9.12,-2.04,27800,253976.0
2025-10-09,9.22,9.39,9.17,9.31,-0.96,54765,510246.0
2025-10-08,9.49,9.49,9.4,9.4,0.97,3000,28245.0
2025-10-07,9.25,9.31,9.07,9.31,0.98,12050,110481.5
2025-09-28,9.1,9.31,9.0,9.22,1.21,28400,260316.0
2025-09-25,9.05,9.23,9.04,9.11,-1.19,1000,9118.0
2025-09-24,9.31,9.31,9.22,9.22,0.0,1630,15119.5
2025-09-23,8.87,9.37,8.87,9.22,1.99,33717,308332.94
2025-09-21,8.91,9.05,8.6,9.04,-0.55,96850,858203.0
2025-09-08,9.25,9.26,9.08,9.09,-3.3,28200,257192.0
2025-09-07,9.32,9.42,9.17,9.4,0.86,20200,188998.5
2025-09-04,9.32,9.38,9.32,9.32,-0.32,14776,138436.28
2025-09-03,9.19,9.42,9.19,9.35,0.43,34400,319081.0
2025-09-02,9.3,9.43,9.23,9.31,0.65,2400,22347.0
2025-09-01,9.19,9.36,9.18,9.25,-0.22,19000,175631.8
2025-08-31,9.1,9.45,9.1,9.27,0.0,9100,85114.0
2025-08-28,9.11,9.29,9.11,9.27,-0.11,32250,298126.5
2025-08-27,9.35,9.37,9.17,9.28,-0.75,54950,505899.6
2025-08-26,9.5,9.52,9.18,9.35,-0.11,22830,211867.9
2025-08-25,9.19,9.36,9.0,9.36,0.21,50526,460450.8
2025-08-24,9.42,9.5,9.07,9.34,-2.61,91693,841379.24
2025-08-21,11.61,11.73,11.41,11.69,1.74,752775,8711659.68
2025-08-20,11.48,11.67,11.48,11.49,0.09,142150,1638755.4
2025-08-19,11.33,11.53,11.33,11.48,1.32,543600,6209579.7
2025-08-18,11.57,11.65,11.27,11.33,-0.18,300700,3436985.88
2025-08-17,11.65,11.77,11.25,11.35,-1.82,302051,3456447.46
2025-08-14,11.13,11.99,11.13,11.56,4.05,369679,4278103.63
2025-08-13,10.55,11.14,10.55,11.11,4.32,73940,809206.3
2025-08-12,10.6,10.68,10.6,10.65,0.66,36985,393410.25
2025-08-11,10.49,10.75,10.49,10.58,-0.84,36100,386896.5
2025-08-07,10.66,10.75,10.66,10.67,0.19,608620,6535924.2
2025-08-06,10.45,10.65,10.45,10.65,-0.09,9940,105415.0
2025-08-05,10.3,10.85,10.3,10.66,2.4,112985,1198024.1
2025-08-04,10.4,10.42,10.2,10.41,-1.89,21310,221420.3
2025-08-03,10.51,10.85,10.51,10.61,-0.93,330850,3540354.5
2025-07-31,10.7,11.18,10.49,10.71,-0.46,32370,347007.2
2025-07-30,10.78,10.79,10.58,10.76,-2.18,12970,138754.3
2025-07-29,10.41,11.0,10.41,11.0,5.67,74640,803700.8
2025-07-28,10.3,10.56,10.3,10.41,-0.86,25640,267052.2
2025-07-27,10.4,10.55,10.37,10.5,0.0,22900,239903.0
2025-07-24,10.31,10.63,10.31,10.5,0.0,71206,751294.6
2025-07-23,10.27,10.51,10.27,10.5,0.48,58250,609263.5
2025-07-22,10.31,10.6,10.31,10.45,0.38,44350,463541.0
2025-07-21,10.3,10.43,10.3,10.41,-0.38,52110,540851.8
2025-07-20,10.14,10.63,10.0,10.45,1.06,106910,1105694.4
2025-07-17,10.13,10.5,10.13,10.34,1.08,60535,627542.4
2025-07-16,10.03,10.3,10.03,10.23,0.0,321250,3273082.5
2025-07-15,10.21,10.35,10.21,10.23,-0.68,77350,792066.5
2025-07-14,10.25,10.31,10.25,10.3,-1.44,97400,1000422.0
2025-07-13,10.1,10.46,10.1,10.45,1.65,125005,1295767.05
2025-07-10,9.95,10.3,9.95,10.28,2.29,55300,564687.0
2025-07-09,10.05,10.18,10.05,10.05,-0.59,19800,199787.0
2025-07-08,10.2,10.2,10.1,10.11,-0.88,2400,24265.0
2025-07-07,10.3,10.3,10.11,10.2,0.29,31300,319405.0
2025-07-06,9.96,10.2,9.96,10.17,1.7,42150,426389.0
2025-07-03,10.1,10.1,9.93,10.0,-0.79,8400,84434.0
2025-07-02,9.87,10.1,9.87,10.08,0.5,2063470,20676146.6
2025-07-01,9.82,10.05,9.81,10.03,0.2,34200,341737.0
2025-06-30,9.85,10.04,9.85,10.01,1.11,30604,305960.06
2025-06-29,9.8,10.03,9.8,9.9,0.0,13500,134275.0
2025-06-26,9.8,9.9,9.8,9.9,-0.8,3750,36966.5
2025-06-25,9.81,9.99,9.81,9.98,1.73,43300,431665.7
2025-06-24,9.8,9.81,9.8,9.81,-0.41,2500,24510.0
2025-06-23,9.85,9.85,9.85,9.85,-1.7,6300,62055.0
2025-06-22,10.22,10.22,10.02,10.02,0.0,800,8076.0
2025-06-19,9.58,10.04,9.58,10.02,2.56,32300,319517.0
2025-06-18,9.7,9.93,9.7,9.77,-1.11,4100,40134.0
2025-06-17,9.75,9.88,9.75,9.88,-0.1,14150,139373.0
2025-06-16,9.76,10.01,9.76,9.89,-0.6,10750,106475.0
2025-06-15,9.92,9.95,9.92,9.95,0.0,5800,57588.0
2025-06-12,9.87,10.0,9.76,9.95,0.81,4600,45609.0
2025-06-11,9.95,10.0,9.85,9.87,-0.9,5740,57043.5
2025-06-10,10.0,10.15,9.95,9.96,-0.2,5500,54800.0
2025-06-09,10.02,10.02,9.86,9.98,1.53,11600,115536.0
2025-06-08,9.61,9.86,9.61,9.83,0.82,71310,700535.3
2025-06-05,9.67,9.75,9.67,9.75,-0.61,1900,18446.0
2025-06-04,9.66,10.0,9.66,9.81,-0.2,18100,177012.0
2025-06-03,9.9,10.0,9.81,9.83,-1.6,39140,389534.0
2025-06-02,9.82,10.02,9.82,9.99,0.0,15360,152638.6
2025-05-28,9.97,10.0,9.7,9.99,1.42,11700,116342.0
2025-05-27,9.69,9.85,9.69,9.85,0.41,9900,97340.0
2025-05-26,9.63,9.82,9.63,9.81,0.0,1750,17123.0
2025-05-25,9.82,9.9,9.81,9.81,-1.9,35400,348132.7
2025-05-22,9.82,10.0,9.82,10.0,2.04,16150,159498.0
2025-05-21,9.71,9.9,9.71,9.8,0.0,1300,12722.0
2025-05-20,9.61,9.8,9.61,9.8,1.03,10300,100243.0
2025-05-19,9.52,9.75,9.52,9.7,0.73,10600,101603.0
2025-05-18,9.63,9.63,9.63,9.63,-1.73,200,1926.0
2025-05-15,9.61,9.8,9.61,9.8,1.66,9300,90242.5
2025-05-14,9.64,9.78,9.58,9.64,0.63,8300,80124.0
2025-05-13,9.51,9.77,9.51,9.58,-0.31,15900,154061.0
2025-05-11,9.6,9.79,9.6,9.61,-0.93,8300,79724.0
2025-05-08,9.7,9.7,9.51,9.7,-1.42,33000,315253.0
2025-05-07,9.44,9.85,9.44,9.84,2.29,5500,53428.0
2025-05-06,9.6,9.62,9.6,9.62,-0.41,9600,92162.0
2025-05-05,9.6,9.84,9.6,9.66,-1.23,11700,114630.0
2025-05-04,9.71,9.91,9.71,9.78,0.62,12150,119835.0
2025-04-30,9.71,9.72,9.71,9.72,-0.51,600,5827.0
2025-04-29,9.55,9.77,9.55,9.77,0.72,8850,86166.0
2025-04-28,9.56,9.75,9.55,9.7,-0.41,9000,87161.0
2025-04-27,9.73,9.92,9.54,9.74,-1.62,9700,94778.0
2025-04-24,9.8,9.9,9.66,9.9,-0.8,3200,31372.0
2025-04-23,9.76,10.0,9.76,9.98,0.4,48430,480153.0
2025-04-22,9.81,9.94,9.81,9.94,-0.1,24900,246627.0
2025-04-21,9.79,9.95,9.78,9.95,0.1,9700,95938.0
2025-04-20,9.6,9.95,9.6,9.94,1.53,72400,717851.0
2025-04-17,9.6,9.79,9.6,9.79,0.41,38950,380572.0
2025-04-16,9.45,9.79,9.45,9.75,1.35,18660,181724.0
2025-04-15,9.34,9.71,9.34,9.62,1.37,11150,106937.0
2025-04-13,9.39,9.57,9.39,9.49,-0.94,2000,19031.0
2025-04-10,9.43,9.75,9.43,9.58,-0.21,34350,329917.5
2025-04-09,9.45,9.61,9.45,9.6,-0.41,15450,147068.0
2025-04-08,9.36,9.71,9.36,9.64,1.26,19500,184833.0
2025-04-07,9.35,9.53,9.35,9.52,0.21,9500,90210.0
2025-04-03,9.31,9.5,9.31,9.5,0.96,2000,18900.0
2025-04-02,9.21,9.55,9.21,9.41,0.43,7200,68491.0
2025-04-01,9.5,9.5,9.33,9.37,0.0,3000,28184.0
2025-03-30,9.21,9.38,9.21,9.37,0.11,19150,179378.5
2025-03-27,9.25,9.55,9.25,9.36,0.97,10210,96328.3
2025-03-26,9.1,9.27,9.1,9.27,0.32,1300,11963.0
2025-03-25,8.98,9.34,8.98,9.24,0.87,9450,87133.0
2025-03-24,9.13,9.16,9.13,9.16,-1.08,300,2744.0
2025-03-23,9.13,9.43,9.12,9.26,-0.43,9750,89988.5
2025-03-20,9.18,9.43,9.18,9.3,-0.64,20311,187495.3
2025-03-19,9.26,9.36,9.26,9.36,-0.43,1900,17690.0
2025-03-18,9.28,9.5,9.28,9.4,-0.63,1650,15474.0
2025-03-17,9.45,9.64,9.45,9.46,-1.46,5200,49413.0
2025-03-16,9.55,9.6,9.55,9.6,-0.52,15160,145395.0
2025-03-12,9.5,9.65,9.5,9.65,1.05,9975,95614.0
2025-03-11,9.32,9.55,9.32,9.55,0.84,7150,67573.0
2025-03-10,9.28,9.47,9.28,9.47,0.21,4420,41437.4
2025-03-09,9.5,9.66,9.45,9.45,-1.97,584560,5545370.1
2025-03-06,9.62,9.64,9.62,9.64,-1.63,20000,192422.0
2025-03-05,9.5,9.87,9.5,9.8,1.24,16080,156271.0
2025-03-04,9.49,9.69,9.49,9.68,0.1,16700,161198.0
2025-03-03,9.48,9.75,9.47,9.67,0.1,113560,1101306.0
2025-03-02,9.5,9.8,9.5,9.66,1.68,24790,239778.9
2025-02-27,9.4,9.5,9.4,9.5,0.0,12900,121675.0
2025-02-25,9.3,9.53,9.3,9.5,2.04,6750,63395.5
2025-02-24,9.26,9.48,9.25,9.31,-0.96,7300,67786.0
2025-02-23,9.16,9.43,9.16,9.4,0.75,3100,28697.0
2025-02-20,9.43,9.46,9.3,9.33,-1.69,11000,102796.0
2025-02-18,9.4,9.5,9.4,9.49,0.42,15000,142019.0
2025-02-17,9.32,9.5,9.32,9.45,-0.53,4900,46117.0
2025-02-16,9.3,9.59,9.27,9.5,0.96,5050,47155.5
2025-02-13,9.5,9.5,9.36,9.41,-2.79,3400,32114.0
2025-02-12,9.6,9.75,9.6,9.68,2.0,17094,165615.98
2025-02-11,9.4,9.49,9.25,9.49,0.96,3680,34316.7
2025-02-10,9.38,9.5,9.37,9.4,-1.57,5480,51490.2
2025-02-09,9.5,9.55,9.42,9.55,-0.31,8021,76381.34
2025-02-06,9.32,9.58,9.32,9.58,0.84,7700,73338.0
2025-02-05,9.42,9.55,9.42,9.5,-0.94,19900,188931.0
2025-02-04,9.3,9.59,9.3,9.59,1.48,28050,267181.5
2025-02-03,9.5,9.65,9.41,9.45,-0.21,21387,203235.27
2025-02-02,9.28,9.48,9.28,9.47,0.32,6100,57275.0
2025-01-28,9.2,9.44,9.2,9.44,1.29,29650,279029.5
2025-01-27,9.3,9.48,9.3,9.32,-1.69,23200,217831.0
2025-01-26,9.24,9.48,9.24,9.48,2.6,11620,108468.8
2025-01-23,9.41,9.42,9.24,9.24,-1.81,11400,107258.0
2025-01-22,9.41,9.41,9.41,9.41,-0.95,2460,23148.6
2025-01-21,9.42,9.5,9.41,9.5,0.0,10000,94760.0
2025-01-20,9.42,9.5,9.42,9.5,0.64,17900,169383.0
2025-01-19,9.44,9.61,9.42,9.44,-0.63,78040,738621.7
2025-01-16,9.4,9.5,9.4,9.5,-0.42,12200,115171.0
2025-01-15,9.4,9.6,9.4,9.54,2.14,22500,214491.0
2025-01-13,9.23,9.4,9.23,9.34,-0.64,57000,531671.0
2025-01-12,9.37,9.6,9.37,9.4,-1.57,20040,189486.2
2025-01-09,9.42,9.55,9.42,9.55,-0.52,102500,976917.0
2025-01-08,9.5,9.6,9.5,9.6,0.0,8310,79280.0
2025-01-07,9.36,9.6,9.36,9.6,0.63,8664,82862.11
2025-01-06,9.2,9.54,9.2,9.54,1.71,9900,92707.0
2025-01-05,9.23,9.5,9.23,9.38,-0.21,6345,59514.75
2025-01-02,9.25,9.5,9.25,9.4,-0.11,7980,75537.8
2025-01-01,9.13,9.59,9.13,9.41,1.18,22800,215022.0
2024-12-31,9.63,9.63,9.3,9.3,-3.43,2030,19031.6
2024-12-29,9.51,9.63,9.35,9.63,1.05,10920,103773.2
2024-12-26,9.52,9.55,9.52,9.53,0.11,2420,23076.8
2024-12-24,9.51,9.6,9.51,9.52,-0.31,16810,160211.6
2024-12-23,9.51,9.55,9.51,9.55,-0.42,6900,65722.0
2024-12-22,9.51,9.61,9.51,9.59,-0.21,4500,43096.6
2024-12-19,9.55,9.74,9.55,9.61,-0.83,2200,21121.0
2024-12-18,9.51,9.69,9.51,9.69,1.36,30350,292408.0
2024-12-17,9.7,9.7,9.52,9.56,-1.44,28720,274403.7
2024-12-16,9.51,9.7,9.33,9.7,0.0,9900,94223.0
2024-12-12,9.58,9.7,9.58,9.7,-0.72,6440,61834.0
2024-12-11,9.58,9.77,9.51,9.77,0.0,4600,44204.0
2024-12-10,9.51,9.77,9.51,9.77,0.72,3300,31914.0
2024-12-09,9.56,9.75,9.55,9.7,1.46,29800,285265.9
2024-12-08,9.67,9.69,9.56,9.56,-2.94,2620,25334.1
2024-12-05,9.79,9.9,9.78,9.85,0.41,24410,240713.5
2024-12-04,9.9,10.07,9.81,9.81,-0.91,16500,164843.0
2024-12-03,9.61,9.9,9.61,9.9,2.06,11800,116143.5
2024-12-02,9.5,9.87,9.5,9.7,0.83,3263,31834.01
2024-12-01,9.63,9.63,9.56,9.62,-0.1,7500,72150.0
2024-11-28,9.61,9.94,9.57,9.63,-1.23,2600,25106.0
2024-11-27,9.56,9.85,9.56,9.75,0.0,10800,104886.0
2024-11-26,9.54,9.92,9.54,9.75,0.52,58980,574550.5
2024-11-25,9.53,9.8,9.52,9.7,-0.1,8800,84475.0
2024-11-24,9.62,9.81,9.62,9.71,-0.92,9110,88959.1
2024-11-21,9.55,9.84,9.52,9.8,1.66,30410,295360.9
2024-11-20,9.68,9.82,9.61,9.64,-0.41,70494,682636.08
2024-11-19,9.89,9.89,9.51,9.68,-4.06,7750,75075.86
2024-11-17,9.91,10.14,9.75,10.09,1.82,126980,1277377.7
