date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1900.0,1900.0,1860.2,1890.0,0.48,1114,2089461.8
2026-02-11,1910.0,1910.0,1880.1,1881.0,-0.37,666,1262510.0
2026-02-10,1850.2,1888.4,1850.2,1888.0,0.16,494,926770.1
2026-02-09,1895.0,1897.0,1882.0,1885.0,-0.95,971,1835567.5
2026-02-08,1911.0,1919.0,1900.0,1903.0,0.0,1205,2293676.0
2026-02-05,1924.0,1924.9,1896.1,1903.0,-1.3,575,1093403.0
2026-02-04,1946.0,1946.0,1907.2,1928.0,0.57,691,1331352.8
2026-02-03,1871.0,1918.0,1860.0,1917.0,2.46,2349,4440857.8
2026-02-02,1904.0,1905.0,1866.0,1871.0,-1.53,2171,4083799.5
2026-02-01,1943.0,1943.0,1900.0,1900.1,-2.61,2531,4846607.2
2026-01-29,2000.0,2040.0,1951.0,1951.0,-2.45,2875,5675386.0
2026-01-28,2000.0,2029.0,1980.0,2000.0,-1.62,4063,8096704.7
2026-01-27,1975.0,2134.0,1975.0,2033.0,4.79,9747,20064878.0
2026-01-26,1940.0,1949.0,1900.1,1940.0,1.36,1012,1940466.6
2026-01-25,1835.0,1914.0,1835.0,1914.0,2.68,3144,5949112.0
2026-01-22,1860.0,1878.0,1851.0,1864.0,0.22,1019,1891248.0
2026-01-21,1860.0,1879.9,1840.0,1859.9,0.1,1545,2858192.7
2026-01-20,1810.0,1875.0,1805.5,1858.0,3.39,3876,7163190.7
2026-01-18,1800.0,1815.0,1781.2,1797.0,0.79,1574,2834324.0
2026-01-14,1755.0,1790.0,1755.0,1783.0,-0.11,782,1386132.0
2026-01-13,1751.2,1784.9,1745.0,1784.9,0.28,1556,2729258.4
2026-01-12,1770.0,1805.0,1740.0,1780.0,-0.56,1529,2698977.3
2026-01-08,1800.0,1817.0,1790.0,1790.0,0.0,2713,4873841.9
2026-01-07,1800.0,1810.0,1785.0,1790.0,-1.27,1335,2399648.0
2026-01-06,1834.0,1834.0,1785.0,1813.0,0.78,6591,11852138.8
2026-01-05,1750.1,1799.0,1750.0,1799.0,2.8,2320,4124962.9
2026-01-04,1745.0,1760.0,1710.1,1750.0,0.29,1809,3139921.5
2026-01-01,1740.0,1760.0,1740.0,1745.0,0.29,1269,2218215.5
2025-12-31,1756.8,1791.9,1740.0,1740.0,1.02,2930,5149090.5
2025-12-29,1928.0,1928.0,1882.2,1886.0,-0.26,2892,5477431.3
2025-12-28,1900.0,1910.0,1886.5,1891.0,-0.47,3550,6731291.6
2025-12-24,1935.0,1935.0,1900.0,1900.0,-1.81,2036,3874225.0
2025-12-23,1902.0,1935.0,1891.5,1935.0,0.47,1348,2574488.7
2025-12-22,1945.0,1950.0,1925.0,1926.0,-1.33,1947,3768684.5
2025-12-21,1980.0,1990.0,1950.1,1952.0,-1.68,3843,7521484.1
2025-12-18,1990.1,1995.0,1981.0,1985.3,-0.54,595,1181767.0
2025-12-17,2005.0,2007.0,1995.0,1996.1,-0.94,1584,3170171.0
2025-12-16,2005.0,2015.0,2000.0,2015.0,0.5,1053,2114802.0
2025-12-15,1985.3,2018.0,1985.3,2005.0,0.4,995,1989745.3
2025-12-14,2010.0,2020.0,1990.5,1997.0,-0.89,1605,3229031.7
2025-12-11,1997.0,2030.0,1961.0,2015.0,-1.08,2211,4420614.3
2025-12-10,2035.0,2047.0,1993.0,2037.0,0.34,2578,5163968.2
2025-12-09,2040.0,2040.0,2001.0,2030.0,-0.49,1814,3662999.7
2025-12-08,2108.0,2108.0,1935.9,2040.0,-5.16,12702,25287748.6
2025-12-07,2130.0,2160.0,2117.0,2151.0,0.14,680,1443472.3
2025-12-03,2141.0,2155.0,2090.0,2148.0,-0.28,2093,4429851.3
2025-12-02,2142.0,2170.0,2115.0,2154.0,-1.42,1844,3932575.0
2025-12-01,2238.0,2238.0,2185.0,2185.0,-0.64,228,502026.4
2025-11-30,2239.9,2239.9,2170.0,2199.0,-0.68,818,1795764.0
2025-11-27,2217.9,2240.0,2180.1,2214.0,0.78,1134,2511963.0
2025-11-26,2163.0,2198.0,2157.5,2196.9,-0.14,326,706412.5
2025-11-25,2175.0,2205.0,2156.0,2199.9,1.23,2519,5506970.1
2025-11-24,2159.0,2198.0,2156.0,2173.1,0.51,1195,2603925.5
2025-11-23,2111.0,2208.0,2100.0,2162.0,1.27,2503,5350704.8
2025-11-20,2100.0,2134.9,2097.0,2134.9,-0.19,1273,2682456.2
2025-11-19,2140.0,2145.0,2100.0,2139.0,0.0,700,1481956.4
2025-11-18,2150.0,2150.0,2120.0,2139.0,0.42,215,458465.0
2025-11-17,2092.0,2140.0,2092.0,2130.0,1.43,692,1465350.0
2025-11-16,2135.0,2136.0,2094.0,2100.0,0.24,493,1048167.0
2025-11-13,2109.0,2110.0,2095.0,2095.0,0.0,360,758173.8
2025-11-12,2091.0,2125.0,2091.0,2095.0,-1.64,378,796295.6
2025-11-11,2085.0,2137.0,2085.0,2130.0,0.47,542,1150472.5
2025-11-10,2100.1,2121.0,2100.1,2120.0,-0.42,687,1453727.0
2025-11-09,2135.0,2135.0,2104.0,2129.0,-0.51,346,731251.1
2025-11-06,2170.0,2170.0,2100.0,2140.0,-1.25,2089,4448583.7
2025-11-05,2126.0,2167.0,2122.0,2167.0,0.23,1342,2875207.1
2025-11-04,2207.9,2225.0,2130.0,2162.0,-2.08,919,1979502.6
2025-11-03,2190.0,2207.9,2172.0,2207.9,0.73,723,1584575.0
2025-11-02,2246.0,2289.0,2192.0,2192.0,-2.4,1722,3835496.0
2025-10-30,2105.0,2249.0,2105.0,2246.0,4.61,3089,6779646.0
2025-10-29,2105.0,2147.0,2100.0,2147.0,2.24,1248,2647669.4
2025-10-28,2088.0,2100.0,2080.0,2100.0,2.04,995,2081935.6
2025-10-26,2038.4,2061.0,1998.0,2058.0,-1.05,1204,2433648.8
2025-10-19,2053.0,2079.9,2050.0,2079.9,-0.63,449,921591.0
2025-10-16,2077.0,2125.8,1995.2,2093.0,-1.22,1323,2706745.2
2025-10-15,2101.5,2119.7,2060.0,2118.8,-1.18,1070,2225963.0
2025-10-14,2155.0,2155.0,2100.0,2144.0,-0.51,308,653630.0
2025-10-13,2116.5,2190.0,2115.9,2155.0,-0.19,594,1267671.8
2025-10-12,2190.3,2190.3,2130.0,2159.0,-3.4,1707,3679467.0
2025-10-09,2237.8,2282.0,2194.0,2235.0,1.87,1970,4380383.4
2025-10-08,2310.3,2310.3,2160.0,2194.0,-3.13,765,1668264.2
2025-10-07,2210.0,2265.0,2170.0,2265.0,0.44,1357,2972402.0
2025-09-28,2279.9,2279.9,2235.0,2255.0,0.76,557,1257666.5
2025-09-25,2210.0,2248.0,2200.0,2238.0,1.04,1653,3664254.1
2025-09-24,2193.5,2215.0,2152.0,2215.0,-1.03,405,879351.0
2025-09-23,2121.0,2238.0,2120.0,2238.0,6.28,1902,4120629.0
2025-09-21,2106.0,2150.0,2065.0,2105.81,0.03,1897,3999911.1
2025-09-18,2105.1,2145.0,2105.1,2105.1,-2.0,60,126705.0
2025-09-08,2169.2,2170.1,2130.0,2148.0,-2.76,692,1484768.4
2025-09-07,2170.3,2222.0,2165.0,2209.0,0.71,635,1380185.0
2025-09-04,2200.1,2201.0,2186.0,2193.34,-1.38,756,1659086.0
2025-09-03,2234.68,2240.0,2202.0,2224.0,-0.48,485,1075176.5
2025-09-02,2224.0,2255.0,2210.0,2234.68,-1.3,1185,2641626.3
2025-09-01,2241.8,2264.0,2220.0,2264.0,0.99,401,893880.2
2025-08-31,2291.0,2291.0,2240.0,2241.8,-1.63,679,1534928.3
2025-08-28,2310.0,2321.0,2273.0,2278.9,-0.92,928,2121874.1
2025-08-27,2296.83,2320.0,2295.1,2300.03,0.14,1721,3960906.9
2025-08-26,2280.0,2315.0,2271.0,2296.83,0.04,693,1585345.5
2025-08-25,2304.3,2330.0,2265.0,2295.84,1.62,1577,3620643.5
2025-08-24,2260.0,2305.0,2250.0,2259.16,-1.34,1330,3013950.8
2025-08-21,2302.0,2303.0,2262.1,2289.92,-0.75,926,2124055.4
2025-08-20,2315.73,2334.0,2302.0,2307.12,-0.37,619,1431099.6
2025-08-19,2365.0,2365.0,2305.0,2315.73,-0.18,875,2028072.8
2025-08-18,2301.0,2355.0,2260.0,2319.88,-0.97,1028,2381990.4
2025-08-17,2327.0,2373.5,2300.0,2342.51,-1.01,983,2284887.4
2025-08-14,2314.0,2408.0,2305.0,2366.46,2.23,930,2177080.1
2025-08-13,2350.0,2399.0,2310.1,2314.74,-1.71,837,1967366.8
2025-08-12,2419.99,2419.99,2351.7,2354.93,-2.69,770,1821612.8
2025-08-11,2517.0,2517.0,2341.0,2419.99,-1.95,3434,8212044.8
2025-08-07,2470.0,2498.0,2421.0,2468.16,0.56,2550,6320069.3
2025-08-06,2410.0,2457.9,2410.0,2454.31,1.79,2949,7190697.1
2025-08-05,2321.8,2500.0,2321.8,2411.14,2.52,5475,13249829.2
2025-08-04,2300.94,2390.0,2299.0,2351.85,2.21,2324,5419247.0
2025-08-03,2379.98,2380.0,2290.0,2300.94,-3.32,1871,4330873.6
2025-07-31,2385.0,2420.0,2370.0,2379.98,-1.72,1677,4003384.4
2025-07-30,2461.0,2461.0,2415.0,2421.6,-2.6,1571,3830553.8
2025-07-29,2469.51,2530.0,2450.0,2486.14,0.67,1938,4819367.9
