date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,469.7,469.8,455.4,464.0,0.65,101605,47138959.3
2026-02-11,459.6,469.0,451.0,461.0,-1.68,227074,104475843.7
2026-02-10,490.0,490.0,456.0,468.9,-4.27,219767,103461200.5
2026-02-09,495.7,496.0,478.0,489.8,0.78,204971,99223529.7
2026-02-08,484.3,500.0,444.7,486.0,-1.64,1180165,560348155.8
2026-02-05,538.0,538.0,494.1,494.1,-9.98,356268,176416293.0
2026-02-04,508.0,548.9,508.0,548.9,10.0,75980,40965866.2
2026-02-03,512.9,512.9,495.0,499.0,-1.77,36994,18484029.8
2026-02-02,520.0,521.0,505.0,508.0,-2.12,30752,15645593.2
2026-02-01,535.5,540.0,519.0,519.0,-1.14,23198,12170962.2
2026-01-29,545.0,545.0,522.0,525.0,-2.05,29875,15834172.7
2026-01-28,525.3,537.0,517.0,536.0,1.13,30799,16204384.3
2026-01-27,555.0,555.0,530.0,530.0,-4.16,40227,21640600.1
2026-01-26,570.0,570.0,542.0,553.0,-2.12,32851,18097577.4
2026-01-25,536.0,581.0,532.0,565.0,3.48,61125,33109149.2
2026-01-22,560.0,560.0,535.0,546.0,-1.6,40082,21766135.4
2026-01-21,563.0,574.0,546.0,554.9,-1.44,40898,22604630.1
2026-01-20,583.0,590.0,555.0,563.0,-3.43,61370,34872715.8
2026-01-18,593.0,612.0,567.1,583.0,-1.98,81480,48228906.9
2026-01-14,550.0,595.1,540.9,594.8,9.94,108566,63283118.32
2026-01-13,497.0,541.0,492.0,541.0,9.07,81184,42358874.3
2026-01-12,525.0,525.0,490.1,496.0,-4.25,52785,26620628.6
2026-01-08,539.0,539.0,510.6,518.0,-3.9,46337,24127460.5
2026-01-07,559.0,560.0,520.0,539.0,-3.54,32376,17590531.5
2026-01-06,564.0,564.0,549.0,558.8,-0.9,28386,15717985.2
2026-01-05,541.9,586.0,541.9,563.9,1.99,86244,48219684.9
2026-01-04,551.0,560.0,537.9,552.9,-1.27,21146,11589160.0
2026-01-01,560.0,571.2,548.8,560.0,-1.04,43833,24392817.9
2025-12-31,588.0,588.0,560.0,565.9,-2.09,22896,13049945.9
2025-12-29,612.0,637.5,578.0,578.0,-3.83,20755,12369699.1
2025-12-28,616.9,616.9,599.8,601.0,-0.69,51187,30889937.5
2025-12-24,615.6,666.4,605.2,605.2,-3.65,24968,15457081.2
2025-12-23,625.3,689.0,625.3,628.1,-1.55,32533,20564015.6
