date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,460.0,461.0,453.5,456.9,-0.22,22789,10395388.7
2026-02-11,468.9,468.9,457.9,457.9,-0.46,14095,6482659.5
2026-02-10,460.0,463.0,458.0,460.0,-0.41,19837,9110882.6
2026-02-09,463.0,466.0,460.0,461.9,-0.69,28368,13115864.0
2026-02-08,470.0,474.0,465.1,465.1,-0.41,26966,12650911.9
2026-02-05,464.0,470.0,463.0,467.0,0.65,28977,13487756.6
2026-02-04,464.0,468.0,463.0,464.0,-0.43,19975,9261931.0
2026-02-03,468.0,470.0,465.2,466.0,-0.45,15320,7157057.0
2026-02-02,478.9,478.9,467.2,468.1,-0.4,28152,13218246.7
2026-02-01,471.0,473.6,469.0,470.0,-0.49,24720,11636359.5
2026-01-29,474.0,478.0,471.5,472.3,-0.4,19909,9436277.8
2026-01-28,477.0,480.0,471.0,474.2,-0.59,34572,16373398.1
2026-01-27,489.0,490.0,475.6,477.0,-2.05,45447,21856828.0
2026-01-26,490.0,495.0,484.0,487.0,-0.88,46102,22429482.7
2026-01-25,480.3,491.5,480.2,491.3,1.93,48593,23565984.2
2026-01-22,486.0,486.0,480.3,482.0,-0.88,35049,16897196.1
2026-01-21,491.0,491.0,485.4,486.3,-0.65,33197,16158779.8
2026-01-20,486.0,494.6,482.2,489.5,2.38,57628,28166434.2
2026-01-18,470.0,514.0,470.0,478.1,0.82,40848,19611536.7
2026-01-14,470.0,481.9,470.0,474.2,-0.23,20313,9643799.5
2026-01-13,468.0,479.4,468.0,475.3,0.7,42633,20267845.8
2026-01-12,475.0,478.0,470.0,472.0,-0.63,38142,18041887.8
2026-01-08,468.0,475.9,465.5,475.0,0.64,39066,18419179.4
2026-01-07,465.0,473.0,464.0,472.0,0.85,26857,12536082.3
2026-01-06,465.0,470.9,461.2,468.0,1.17,27327,12779833.2
2026-01-05,464.0,467.9,462.0,462.6,-0.54,48089,22297649.6
2026-01-04,467.0,468.0,461.5,465.1,-0.62,31139,14508522.5
2026-01-01,480.0,480.0,467.5,468.0,-1.22,38828,18197650.7
2025-12-31,471.0,475.9,470.1,473.8,-0.04,45337,21401520.6
2025-12-29,495.0,495.0,471.0,474.0,-3.17,74967,35778797.1
2025-12-28,514.0,514.5,508.0,514.0,1.98,167972,86020569.3
2025-12-24,503.6,507.0,501.0,504.0,0.2,65340,32869390.4
2025-12-23,505.3,509.5,499.0,503.0,-0.59,94108,47328800.3
2025-12-22,507.0,508.9,503.8,506.0,-0.39,163548,82624303.2
2025-12-21,515.0,515.2,506.5,508.0,-1.36,223773,114053286.2
2025-12-18,521.2,521.2,511.0,515.0,0.78,191676,98906297.6
2025-12-17,506.0,516.2,505.1,511.0,0.81,80066,40835406.3
2025-12-16,510.0,512.0,503.2,506.9,-0.61,72435,36730544.0
2025-12-15,496.0,510.0,496.0,510.0,1.96,30524,15425622.0
2025-12-14,510.0,512.5,500.0,500.2,-1.92,31905,16059314.0
2025-12-11,494.0,510.0,494.0,510.0,2.6,57562,29177003.6
2025-12-10,512.0,512.0,496.2,497.1,-0.98,61755,30902156.9
2025-12-09,490.0,502.0,490.0,502.0,1.58,28908,14443264.2
2025-12-08,503.9,503.9,492.0,494.2,-0.16,31382,15549810.4
2025-12-07,498.1,503.9,490.1,495.0,-0.6,57277,28400336.9
2025-12-03,514.0,514.0,495.5,498.0,-1.44,42234,21135738.4
2025-12-02,517.1,517.1,501.4,505.3,-0.34,31349,15893250.7
2025-12-01,516.1,516.1,502.0,507.0,0.2,69911,35610797.4
2025-11-30,514.8,525.0,503.0,506.0,-1.71,89447,46102090.2
2025-11-27,510.0,515.9,506.0,514.8,0.94,95684,48989444.9
2025-11-26,528.1,528.1,508.0,510.0,-1.51,84454,43232291.5
2025-11-25,528.3,528.3,509.0,517.8,-0.04,115173,59211047.4
2025-11-24,485.0,527.3,485.0,518.0,7.02,162662,82669632.2
2025-11-23,468.1,484.5,468.1,484.0,2.76,61665,29553487.0
2025-11-20,482.5,483.0,471.0,471.0,-1.15,31068,14738280.8
2025-11-19,471.0,478.0,469.0,476.5,0.74,34543,16316054.8
2025-11-18,482.0,482.0,472.0,473.0,-0.32,58144,27793437.8
2025-11-17,460.0,475.0,460.0,474.5,1.82,18427,8660676.7
2025-11-16,467.3,470.0,460.0,466.0,-0.28,18202,8515886.8
2025-11-13,471.6,473.0,465.0,467.3,-0.91,21244,9985493.1
2025-11-12,467.0,480.0,467.0,471.6,-0.49,23951,11310414.4
2025-11-11,475.0,475.0,466.1,473.9,1.48,16420,7710127.4
2025-11-10,462.0,474.3,462.0,467.0,0.97,22339,10420444.3
2025-11-09,481.3,481.3,460.1,462.5,-1.99,47895,22271781.5
2025-11-06,481.0,481.0,465.7,471.9,-0.02,36472,17307340.4
2025-11-05,477.0,480.0,466.0,472.0,-0.61,18659,8749270.4
2025-11-04,480.0,485.9,470.0,474.9,-1.06,49540,23584511.4
2025-11-03,481.0,489.0,475.0,480.0,-1.23,74993,36115225.0
2025-11-02,483.5,487.9,468.0,486.0,2.32,62615,30145701.6
2025-10-30,455.0,475.0,448.0,475.0,4.86,48756,22412491.4
2025-10-29,450.0,462.1,448.0,453.0,-0.44,32713,14913537.1
2025-10-28,435.0,455.0,432.5,455.0,4.6,31720,14276013.4
2025-10-26,425.0,437.5,423.1,435.0,1.16,15938,6837672.3
2025-10-19,427.5,434.0,422.1,430.0,0.58,8566,3662443.8
2025-10-16,432.0,434.9,425.0,427.5,-1.04,10021,4282754.2
2025-10-15,430.0,437.5,429.0,432.0,-1.14,13654,5894525.4
2025-10-14,428.0,439.8,425.0,437.0,2.08,21022,9117376.1
2025-10-13,420.2,433.5,413.0,428.1,3.91,22281,9463937.0
2025-10-12,442.0,442.0,411.6,412.0,-6.79,49788,21151237.8
2025-10-09,440.0,458.0,440.0,442.0,0.45,14140,6328262.9
2025-10-08,446.0,454.0,438.0,440.0,-1.35,18963,8325537.3
2025-10-07,455.0,455.0,442.0,446.0,-1.98,22157,9896337.1
2025-09-28,450.0,456.4,448.0,455.0,1.11,6697,3023432.8
2025-09-25,450.0,451.0,446.2,450.0,-0.22,22718,10182588.3
2025-09-24,448.0,456.0,448.0,451.0,-0.88,8406,3803677.4
2025-09-23,445.0,455.0,445.0,455.0,2.35,17962,8119903.7
2025-09-21,420.0,459.9,419.0,444.56,4.01,37371,16339345.3
2025-09-18,445.0,445.0,427.4,427.4,-5.85,3142,1355767.5
2025-09-08,457.47,460.0,451.0,453.98,-0.76,13962,6336121.9
