date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,512.3,529.0,505.0,509.0,0.2,28490,14606783.0
2026-02-11,514.0,514.0,503.1,508.0,0.79,13768,6984817.3
2026-02-10,522.0,522.0,500.0,504.0,-1.77,31161,15777012.2
2026-02-09,525.0,525.0,511.0,513.1,-0.95,12636,6522448.6
2026-02-08,533.0,533.0,516.0,518.0,-1.76,23177,12106557.1
2026-02-05,515.1,538.0,515.1,527.3,1.6,26587,13946585.0
2026-02-04,525.8,525.8,515.2,519.0,0.39,12635,6563597.1
2026-02-03,520.0,530.0,515.0,517.0,-0.17,21348,11115832.4
2026-02-02,527.0,527.0,505.8,517.9,-0.4,27541,14172364.4
2026-02-01,535.0,535.0,510.1,520.0,-1.07,26086,13529740.5
2026-01-29,532.0,535.0,520.0,525.6,0.69,53055,27859927.9
2026-01-28,519.0,536.0,519.0,522.0,-1.14,34461,18167606.4
2026-01-27,522.4,540.0,515.1,528.0,-0.94,58207,30712149.0
2026-01-26,540.0,544.0,525.0,533.0,-1.46,55973,29757028.7
2026-01-25,530.0,560.0,530.0,540.9,0.17,74004,39971131.5
2026-01-22,526.3,568.0,526.3,540.0,0.56,29436,15960175.6
2026-01-21,545.0,556.0,535.5,537.0,-1.5,39093,21194477.1
2026-01-20,565.0,574.0,542.0,545.2,-2.82,59483,33267967.9
2026-01-18,545.0,577.0,539.0,561.0,3.13,96171,53343357.7
2026-01-14,524.0,545.0,524.0,544.0,2.78,40725,21920777.7
2026-01-13,544.4,544.4,525.0,529.3,-0.88,22581,11956787.8
2026-01-12,522.5,543.5,522.5,534.0,0.21,21408,11435301.2
2026-01-08,528.0,543.9,528.0,532.9,-0.39,18212,9657509.3
2026-01-07,550.0,550.0,527.3,535.0,-0.94,36606,19714498.9
2026-01-06,554.0,565.0,540.1,540.1,-2.67,30837,17039030.2
2026-01-05,527.0,570.0,522.6,554.9,5.88,104779,57123521.7
2026-01-04,533.0,533.0,524.1,524.1,-1.67,15539,8198768.6
2026-01-01,526.1,539.0,525.0,533.0,0.0,33703,17855394.3
2025-12-31,521.1,534.0,515.4,533.0,1.72,38081,20164532.0
2025-12-29,523.0,539.0,520.9,524.0,-1.71,21575,11328061.3
2025-12-28,539.0,539.0,522.0,533.1,0.51,38343,20379690.9
2025-12-24,522.0,538.5,516.2,530.4,1.61,44788,23772166.6
2025-12-23,515.0,529.2,509.2,522.0,2.15,52384,27119225.2
2025-12-22,522.4,540.0,510.2,511.0,-4.13,57902,30508502.8
2025-12-21,522.1,537.0,510.0,533.0,4.12,100708,52656400.1
2025-12-18,495.9,523.0,495.9,511.9,1.17,47594,24620819.8
2025-12-17,475.5,512.0,475.5,506.0,4.29,41484,21016185.6
2025-12-16,485.0,500.0,484.3,485.2,0.27,18490,9129046.1
2025-12-15,489.0,494.9,477.6,483.9,0.79,12836,6209420.2
2025-12-14,486.0,493.5,480.1,480.1,-1.82,13002,6321376.2
2025-12-11,480.0,498.0,480.0,489.0,0.82,7179,3535397.3
2025-12-10,485.6,499.8,485.0,485.0,-1.02,13087,6397702.8
2025-12-09,481.1,495.0,481.1,490.0,0.04,8627,4240549.6
2025-12-08,484.0,494.0,483.0,489.8,-0.04,7532,3666769.0
2025-12-07,488.1,494.9,480.4,490.0,-0.02,9115,4430890.6
2025-12-03,504.5,509.0,490.0,490.1,-2.85,33879,16831411.3
2025-12-02,500.0,513.0,496.0,504.5,1.71,17265,8722040.1
2025-12-01,481.1,503.0,481.1,496.0,1.22,19171,9516176.1
2025-11-30,488.0,490.0,481.3,490.0,0.2,28235,13676704.3
2025-11-27,497.9,497.9,488.0,489.0,-1.01,8983,4390594.0
2025-11-26,499.9,501.5,476.0,494.0,0.45,11427,5606469.2
2025-11-25,487.0,495.0,477.3,491.8,0.99,11771,5762657.9
2025-11-24,489.0,501.0,483.1,487.0,-1.02,9556,4670871.9
2025-11-23,472.4,495.0,472.4,492.0,2.07,32463,15908447.9
2025-11-20,470.0,483.0,466.0,482.0,3.68,26185,12454290.8
2025-11-19,471.7,472.8,457.1,464.9,-0.02,5861,2707469.6
2025-11-18,461.0,469.0,460.0,465.0,2.09,10443,4840387.6
2025-11-17,454.0,460.0,450.0,455.5,-0.48,5675,2591582.2
2025-11-16,456.9,459.0,446.2,457.7,1.49,2541,1155121.5
2025-11-13,458.8,458.8,448.3,451.0,-0.66,6558,2958915.0
2025-11-12,461.0,461.0,446.0,454.0,-0.22,4223,1906932.1
2025-11-11,464.0,464.0,447.0,455.0,0.0,9544,4331638.2
2025-11-10,450.6,464.3,446.2,455.0,-0.04,9327,4215497.2
2025-11-09,455.0,466.1,455.0,455.2,-0.39,5285,2430945.8
2025-11-06,470.4,474.0,457.0,457.0,-0.91,7790,3607766.5
2025-11-05,475.0,475.0,456.0,461.2,-1.87,8371,3872708.8
2025-11-04,471.2,478.0,466.0,470.0,-1.36,4888,2307927.5
2025-11-03,475.0,488.9,475.0,476.5,-0.73,5139,2454102.6
2025-11-02,480.0,490.0,475.0,480.0,2.0,14513,6983011.6
2025-10-30,461.0,475.0,461.0,470.6,0.15,2579,1213948.3
2025-10-29,480.0,480.0,462.1,469.9,-0.63,4377,2058487.1
2025-10-28,451.8,473.9,450.0,472.9,6.75,7040,3244509.8
2025-10-26,453.9,454.0,443.0,443.0,-0.45,1904,849524.9
2025-10-19,452.0,458.7,445.0,445.0,0.23,2573,1157282.7
2025-10-16,452.2,456.0,441.0,444.0,-3.06,2644,1180339.9
2025-10-15,447.1,467.9,447.1,458.0,0.44,5615,2586974.8
2025-10-14,460.0,470.0,456.0,456.0,-1.94,5457,2504788.1
2025-10-13,452.0,473.0,452.0,465.0,1.09,5891,2732976.3
2025-10-12,470.0,475.0,451.0,460.0,-3.77,11107,5100687.3
2025-10-09,486.4,499.9,474.0,478.0,0.23,8077,3905251.3
2025-10-08,494.0,494.0,465.0,476.9,-1.69,17195,8110064.6
2025-10-07,503.1,510.0,482.1,485.1,-5.49,30399,14838150.7
2025-09-28,511.0,515.0,511.0,513.3,0.43,3881,1991910.0
2025-09-25,511.0,519.0,511.0,511.1,-0.56,7362,3775460.1
2025-09-24,500.0,524.0,500.0,514.0,1.18,17636,9081655.5
2025-09-23,503.9,514.5,496.0,508.0,2.48,11282,5723291.9
2025-09-21,482.0,507.1,463.7,495.73,3.45,17696,8719854.2
2025-09-18,488.9,488.9,479.2,479.2,-3.93,433,211373.6
2025-09-08,504.24,509.8,498.0,498.78,-1.08,9893,4974726.4
2025-09-07,503.0,509.0,498.0,504.24,0.12,12488,6304642.6
2025-09-04,496.2,509.6,495.0,503.62,0.62,19692,9856455.9
2025-09-03,500.1,507.0,500.0,500.51,-1.04,13806,6928643.0
2025-09-02,515.0,515.0,505.0,505.76,-1.4,12393,6286636.7
2025-09-01,504.0,524.0,504.0,512.92,-0.25,8313,4261115.7
2025-08-31,513.4,521.4,513.4,514.19,-1.25,15507,8020007.5
2025-08-28,530.0,537.2,518.2,520.71,-2.26,19058,10014833.3
2025-08-27,520.0,535.0,520.0,532.73,1.16,17594,9325111.4
2025-08-26,526.1,530.0,520.0,526.6,0.03,18054,9457426.1
2025-08-25,537.4,537.4,524.0,526.42,-0.19,13722,7266871.6
2025-08-24,530.0,540.0,524.1,527.44,-0.61,15769,8365354.2
2025-08-21,530.0,539.0,530.0,530.68,-0.71,11300,6022116.7
2025-08-20,542.3,543.1,533.0,534.49,-1.92,19516,10459069.0
2025-08-19,541.9,561.9,541.9,544.95,-1.44,21433,11794158.7
2025-08-18,530.5,555.0,530.5,552.93,2.16,34534,19045683.3
2025-08-17,531.1,548.1,531.1,541.23,0.72,28150,15318186.9
2025-08-14,543.0,543.0,530.2,537.36,0.77,36872,19799622.2
2025-08-13,523.9,547.1,523.9,533.27,-0.23,27991,15043226.2
2025-08-12,527.0,538.8,527.0,534.52,1.42,38877,20688420.2
2025-08-11,530.1,540.7,525.5,527.05,-1.64,28221,14978478.3
2025-08-07,535.0,549.9,528.4,535.86,0.03,39793,21461501.5
2025-08-06,535.0,545.0,532.0,535.68,0.05,16992,9157293.9
2025-08-05,558.3,558.3,532.3,535.41,-2.19,30304,16302867.8
2025-08-04,531.2,552.6,531.2,547.41,1.0,29411,15962257.1
2025-08-03,541.5,555.0,541.0,541.97,-1.91,36689,20106508.6
2025-07-31,550.0,570.0,550.0,552.5,-0.36,60629,33791829.8
2025-07-30,576.0,576.0,553.4,554.51,-1.93,50473,28255062.9
2025-07-29,580.0,591.0,563.5,565.4,-0.68,67273,38703759.5
2025-07-28,547.0,582.0,545.0,569.27,2.66,61954,34599034.7
2025-07-27,584.0,584.0,550.1,554.54,-3.15,79325,44837633.7
2025-07-24,571.6,586.0,567.0,572.6,0.15,82341,47249123.1
2025-07-23,542.0,585.0,542.0,571.76,5.85,193893,109133191.6
2025-07-22,534.2,549.8,534.2,540.17,1.49,45589,24695088.4
2025-07-21,543.0,544.0,530.3,532.22,-1.25,37515,20082287.1
2025-07-20,550.0,556.0,532.0,538.97,-1.68,67620,36872067.6
2025-07-17,548.0,552.0,535.0,548.16,1.86,65331,35699018.1
