date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,555.0,573.4,550.0,555.0,-1.6,23900,13350908.9
2026-02-11,570.0,572.0,562.0,564.0,-0.18,6733,3804803.3
2026-02-10,583.0,584.0,563.0,565.0,-1.62,10317,5872318.1
2026-02-09,572.5,583.4,572.0,574.3,-0.79,7350,4237128.4
2026-02-08,597.7,598.0,578.0,578.9,-1.38,6010,3514213.2
2026-02-05,596.7,596.7,582.0,587.0,0.34,16161,9477570.6
2026-02-04,580.0,595.0,579.0,585.0,0.88,13734,8043453.8
2026-02-03,577.0,596.3,572.0,579.9,0.66,17860,10363994.2
2026-02-02,580.0,590.0,574.4,576.1,-0.67,10765,6236438.4
2026-02-01,589.0,600.0,576.5,580.0,-3.35,18568,10848087.4
2026-01-29,630.0,630.3,599.0,600.1,-2.9,44646,27505940.1
2026-01-28,566.0,619.0,566.0,618.0,7.11,45668,27087234.6
2026-01-27,580.0,591.0,565.0,577.0,0.35,24854,14378206.9
2026-01-26,579.0,586.0,572.0,575.0,-1.03,18157,10468844.7
2026-01-25,580.0,587.9,571.2,581.0,1.22,23193,13439743.7
2026-01-22,563.0,578.0,563.0,574.0,0.93,15772,8959813.8
2026-01-21,570.0,581.0,567.1,568.7,-1.1,9615,5493443.0
2026-01-20,580.0,580.0,569.0,575.0,1.05,14959,8577261.9
2026-01-18,570.0,581.0,565.0,569.0,-0.7,9666,5500214.3
2026-01-14,575.0,578.0,561.0,573.0,-0.92,14740,8373730.3
2026-01-13,579.0,588.8,566.9,578.3,-0.12,12893,7416463.7
2026-01-12,595.0,595.0,575.0,579.0,-2.61,22560,13102671.0
2026-01-08,594.5,596.0,585.6,594.5,0.76,24382,14374544.3
2026-01-07,575.0,603.9,575.0,590.0,2.63,50938,29965578.3
2026-01-06,570.0,585.0,568.0,574.9,1.75,34598,19919444.3
2026-01-05,567.0,569.0,547.5,565.0,1.25,25154,14131760.2
2026-01-04,542.5,558.0,540.1,558.0,2.76,12698,6948956.4
2026-01-01,569.9,569.9,540.7,543.0,-3.04,22865,12528960.6
2025-12-31,558.0,575.0,553.0,560.0,-1.22,23235,13024849.5
2025-12-29,575.0,585.0,563.0,566.9,-2.26,23705,13479608.8
2025-12-28,567.0,585.0,551.0,580.0,2.47,46843,26481034.2
2025-12-24,580.0,588.0,565.0,566.0,-1.99,12359,7061742.5
2025-12-23,542.0,579.0,542.0,577.5,5.96,69151,38986508.8
2025-12-22,555.9,555.9,542.0,545.0,0.0,22470,12259388.1
2025-12-21,561.0,561.0,540.0,545.0,-0.91,9069,4957132.0
2025-12-18,560.0,564.6,550.0,550.0,-0.9,18647,10388653.0
2025-12-17,545.0,559.9,540.0,555.0,2.21,20997,11587200.4
2025-12-16,520.0,544.0,520.0,543.0,3.72,14003,7506321.9
2025-12-15,520.0,531.0,517.2,523.5,0.62,10103,5332690.1
2025-12-14,526.0,530.0,520.0,520.3,-1.83,2400,1253636.6
2025-12-11,521.0,530.0,520.0,530.0,-0.28,1329,697425.0
2025-12-10,524.0,539.9,514.0,531.5,0.13,10240,5367348.0
2025-12-09,528.2,534.9,517.5,530.8,0.53,8848,4655015.0
2025-12-08,527.1,540.0,527.0,528.0,-1.49,4157,2203000.6
2025-12-07,540.0,542.0,530.1,536.0,-2.14,8054,4300212.7
2025-12-03,537.0,547.7,531.0,547.7,1.99,15062,8089997.8
2025-12-02,550.0,550.2,537.0,537.0,-0.46,6485,3516561.0
2025-12-01,525.0,542.0,525.0,539.5,3.15,9127,4913709.8
2025-11-30,535.0,546.0,522.0,523.0,-3.15,11730,6248900.9
2025-11-27,545.1,552.0,540.0,540.0,-2.33,10834,5903341.3
2025-11-26,546.0,555.0,545.0,552.9,-0.38,7610,4195409.0
2025-11-25,550.0,555.9,540.2,555.0,0.93,21127,11594595.5
2025-11-24,540.0,562.0,540.0,549.9,1.83,34370,19037285.3
2025-11-23,524.0,540.0,516.0,540.0,4.87,16973,9004776.9
2025-11-20,500.0,517.0,497.0,514.9,1.96,17698,9047027.2
2025-11-19,498.1,505.0,498.1,505.0,0.2,3736,1865690.8
2025-11-18,483.5,510.0,483.5,504.0,2.17,6358,3197011.8
2025-11-17,488.1,505.0,488.1,493.3,-0.54,3496,1734487.0
2025-11-16,495.1,504.0,495.0,496.0,-1.78,2627,1308121.0
2025-11-13,493.3,505.0,493.3,505.0,0.4,1682,839490.0
2025-11-12,496.3,503.0,496.0,503.0,0.6,3983,1984451.6
2025-11-11,514.0,514.0,500.0,500.0,-0.79,3147,1577367.9
2025-11-10,505.0,510.0,495.1,504.0,-0.77,5350,2667423.4
2025-11-09,505.3,513.0,500.0,507.9,-1.38,3060,1546070.1
2025-11-06,512.5,518.0,511.0,515.0,0.37,2989,1540468.0
2025-11-05,506.0,526.0,506.0,513.1,-0.58,4112,2113982.0
2025-11-04,539.5,539.5,516.0,516.1,-2.44,3074,1603937.0
2025-11-03,519.4,553.4,515.0,529.0,-0.19,22178,11669134.8
2025-11-02,512.1,552.0,512.1,530.0,1.73,14276,7475687.7
2025-10-30,504.0,524.2,487.1,521.0,3.23,9724,5031690.1
2025-10-29,514.0,523.0,495.9,504.7,0.02,2410,1213887.0
2025-10-28,477.1,514.9,477.1,504.6,3.91,6460,3207661.6
2025-10-26,494.0,494.0,485.1,485.6,-1.7,1646,807138.1
2025-10-19,500.0,500.0,488.0,494.0,-0.6,3213,1579660.8
2025-10-16,482.3,508.0,482.2,497.0,1.62,2020,996168.0
2025-10-15,495.0,504.9,488.5,489.1,-1.79,3050,1503909.0
2025-10-14,510.0,517.9,490.0,498.0,-2.35,4302,2125282.6
2025-10-13,505.0,515.0,495.3,510.0,-0.78,6637,3342219.2
2025-10-12,515.0,515.0,485.1,514.0,-2.04,7371,3693495.3
2025-10-09,528.3,549.0,518.0,524.7,1.29,3521,1863628.6
2025-10-08,537.1,537.1,507.0,518.0,-5.47,7355,3807298.7
2025-10-07,533.2,550.0,516.0,548.0,0.74,3738,1997335.0
2025-09-28,546.0,549.0,528.0,544.0,1.3,5245,2811112.7
2025-09-25,558.0,558.0,527.1,537.0,-4.11,7974,4350232.4
2025-09-24,543.0,584.9,536.4,560.0,1.08,6921,3872355.4
2025-09-23,514.0,554.0,505.0,554.0,9.83,10716,5712675.2
2025-09-21,497.0,518.0,481.0,504.41,-0.53,13005,6498646.4
2025-09-18,507.1,507.1,507.1,507.1,-1.99,10,5071.0
2025-09-08,521.0,536.0,515.0,517.38,-1.65,8420,4392216.0
2025-09-07,535.1,545.0,519.1,526.05,-3.33,7252,3855896.0
2025-09-04,541.0,555.0,531.1,544.19,-1.4,7595,4122603.9
2025-09-03,562.0,565.0,550.0,551.94,-1.11,5980,3319088.7
2025-09-02,560.3,565.0,556.2,558.11,-1.01,2398,1342932.0
