date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,796.0,810.0,769.0,799.0,-0.13,22771,17765618.1
2026-02-11,860.0,860.0,800.0,800.0,-6.21,7612,6177713.2
2026-02-10,845.0,918.0,774.0,853.0,-0.81,40488,31955594.6
2026-02-09,865.0,867.0,810.0,860.0,0.7,10492,8870289.0
2026-02-08,866.0,880.0,852.3,854.0,-1.39,7956,6905798.8
2026-02-05,872.8,874.0,852.0,866.0,0.7,1497,1291585.5
2026-02-04,833.0,861.8,833.0,860.0,1.2,3875,3315761.8
2026-02-03,834.3,863.0,834.3,849.8,-0.07,2539,2134024.6
2026-02-02,845.5,865.0,829.0,850.4,-1.35,3866,3299306.7
2026-02-01,896.3,896.3,844.3,862.0,-5.59,3834,3269316.0
2026-01-29,846.0,913.0,845.0,913.0,5.92,5061,4381508.4
2026-01-28,863.1,865.0,850.0,862.0,-2.05,1676,1435395.1
2026-01-27,901.5,901.5,866.7,880.0,-4.14,2640,2321807.0
2026-01-26,872.2,961.0,855.0,918.0,3.15,11111,9803957.8
2026-01-25,876.4,929.0,840.5,890.0,-0.39,7020,6155035.3
2026-01-22,852.2,917.0,852.2,893.5,2.76,7793,6776372.2
2026-01-21,831.5,869.5,831.5,869.5,2.54,4642,3964694.0
2026-01-20,834.5,851.1,834.5,848.0,-0.25,1779,1501634.9
2026-01-18,840.5,858.0,840.5,850.1,-0.79,670,568347.4
2026-01-14,828.1,875.0,815.1,856.9,1.41,2902,2448037.4
2026-01-13,836.6,854.0,836.3,845.0,-0.38,1142,964908.1
2026-01-12,850.5,864.0,840.3,848.2,-2.18,1519,1298760.4
2026-01-08,828.7,900.0,828.7,867.1,2.62,4349,3716954.7
2026-01-07,807.0,870.0,807.0,845.0,2.67,3174,2684977.6
2026-01-06,803.0,863.1,803.0,823.0,0.49,4000,3309163.0
2026-01-05,798.4,822.9,798.3,819.0,0.86,1369,1107381.0
2026-01-04,815.0,821.0,802.1,812.0,-1.81,2290,1856304.2
2026-01-01,820.2,839.2,820.2,827.0,-0.96,1701,1411751.0
2025-12-31,840.0,850.0,834.0,835.0,-2.11,220,183892.0
2025-12-29,850.0,854.8,838.1,853.0,0.59,979,834471.2
2025-12-28,837.6,859.0,815.0,848.0,3.26,7564,6355873.5
2025-12-24,819.5,823.0,819.5,821.2,0.11,1090,895638.0
2025-12-23,825.1,825.1,818.2,820.3,-0.58,1090,895944.4
2025-12-22,817.0,847.0,817.0,825.1,0.62,1700,1420932.0
2025-12-21,835.0,836.5,820.0,820.0,-1.81,2508,2078360.0
2025-12-18,842.0,856.5,835.1,835.1,-1.29,1900,1598611.0
2025-12-17,884.0,884.0,845.0,846.0,-2.64,1830,1558835.0
2025-12-16,845.0,868.9,837.2,868.9,2.83,2045,1743503.4
2025-12-15,848.0,860.0,832.0,845.0,-0.35,802,682208.0
2025-12-14,855.0,860.0,848.0,848.0,-1.97,5540,4705026.5
2025-12-11,867.5,877.0,860.0,865.0,-2.26,1166,1009994.0
2025-12-10,882.3,896.0,882.3,885.0,-1.67,3288,2930872.1
2025-12-09,890.1,905.0,883.0,900.0,-0.88,1170,1040038.0
2025-12-08,896.0,908.0,879.0,908.0,-0.66,927,827658.7
2025-12-07,898.0,934.2,898.0,914.0,-0.22,667,608566.6
2025-12-03,897.1,916.0,897.0,916.0,0.1,750,679389.0
2025-12-02,892.1,928.3,892.1,915.1,0.56,5046,4602114.7
2025-12-01,895.5,913.0,895.5,910.0,-0.38,341,310154.0
2025-11-30,913.0,920.0,913.0,913.5,-1.04,1460,1337844.0
2025-11-27,907.5,961.0,902.0,923.1,-0.21,865,795125.3
