date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,385.2,392.0,383.3,392.0,1.95,33106,12864541.5
2026-02-11,390.0,391.9,384.5,384.5,-0.08,25536,9895195.2
2026-02-10,388.1,392.6,384.8,384.8,-0.65,47881,18485991.2
2026-02-09,391.0,393.1,387.2,387.3,-0.95,30039,11693495.8
2026-02-08,390.0,400.0,389.8,391.0,-0.76,35645,13949476.1
2026-02-05,390.4,396.0,390.1,394.0,0.95,20230,7937325.9
2026-02-04,390.0,397.4,390.0,390.3,-0.64,35067,13724043.2
2026-02-03,392.4,396.0,390.1,392.8,0.1,35652,13990445.6
2026-02-02,384.4,397.4,384.4,392.4,0.05,22560,8885619.5
2026-02-01,391.7,395.0,391.7,392.2,-0.46,23638,9285312.5
2026-01-29,394.0,401.0,393.8,394.0,-0.51,48106,19053640.9
2026-01-28,397.3,400.0,394.2,396.0,-0.25,35720,14122600.8
2026-01-27,402.0,408.7,396.4,397.0,-1.98,46702,18702651.4
2026-01-26,409.7,414.9,403.6,405.0,-1.15,45204,18348642.8
2026-01-25,407.0,410.1,403.1,409.7,0.81,49708,20263283.2
2026-01-22,405.0,406.5,403.2,406.4,0.05,20563,8323686.5
2026-01-21,412.9,413.2,406.1,406.2,-0.56,41409,16867947.0
2026-01-20,405.0,411.0,403.1,408.5,2.0,72604,29565321.8
2026-01-18,404.0,404.0,398.0,400.5,0.15,19709,7886615.7
2026-01-14,395.2,401.0,395.2,399.9,-0.52,40921,16331422.7
2026-01-13,393.0,402.0,390.0,402.0,2.06,34726,13786170.1
2026-01-12,398.0,398.0,391.5,393.9,-0.28,16564,6534985.1
2026-01-08,390.1,395.0,390.1,395.0,0.51,18813,7408068.0
2026-01-07,391.3,395.0,390.2,393.0,0.18,11887,4664263.6
2026-01-06,390.9,396.8,390.9,392.3,0.36,20149,7945097.2
2026-01-05,390.0,391.6,387.2,390.9,0.72,27095,10563113.7
2026-01-04,392.0,392.0,387.2,388.1,-1.12,20173,7841525.6
2026-01-01,390.0,395.0,390.0,392.5,-0.63,28563,11237334.4
2025-12-31,393.0,400.0,393.0,395.0,0.25,34874,13825308.7
2025-12-29,396.0,397.0,393.1,394.0,-1.25,25291,9978855.1
2025-12-28,396.4,399.0,388.0,399.0,-0.25,61304,24117682.8
2025-12-24,397.0,410.0,394.0,400.0,0.5,51006,20470004.0
2025-12-23,395.0,398.8,392.4,398.0,0.53,37261,14730140.6
2025-12-22,396.0,398.0,394.0,395.9,-0.03,15742,6240482.6
