date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,200.0,202.0,195.0,195.5,-1.01,550700,109171608.4
2026-02-11,199.0,201.0,194.2,197.5,0.25,334904,66217692.3
2026-02-10,200.0,204.9,196.4,197.0,-0.51,439894,88028351.0
2026-02-09,191.1,205.8,191.1,198.0,1.54,801093,159102183.3
2026-02-08,204.0,204.0,194.5,195.0,-2.5,648044,128692054.7
2026-02-05,195.0,205.0,193.0,200.0,2.35,879665,176529239.7
2026-02-04,188.2,196.3,187.0,195.4,3.11,638909,122259793.0
2026-02-03,200.0,200.0,186.3,189.5,-4.05,802691,153582800.6
2026-02-02,210.0,211.0,196.7,197.5,-5.0,791482,159663993.7
2026-02-01,199.9,211.1,199.9,207.9,6.07,1515288,313975828.9
2026-01-29,183.0,197.4,180.1,196.0,9.19,1949336,380110673.4
2026-01-28,181.4,181.8,174.4,179.5,0.9,331649,59016728.2
2026-01-27,187.0,188.8,176.2,177.9,-4.15,517211,93971073.1
2026-01-26,194.0,194.3,181.6,185.6,-2.57,735020,137606189.4
2026-01-25,178.9,190.8,176.0,190.5,8.61,646926,120934812.0
2026-01-22,172.0,175.4,169.0,175.4,3.24,413685,71487098.1
2026-01-21,168.4,172.5,166.0,169.9,2.91,511870,87031443.2
2026-01-20,164.2,167.9,163.0,165.1,2.55,365725,60503455.8
2026-01-18,159.0,162.4,156.0,161.0,2.42,213721,34362735.1
2026-01-14,154.8,160.9,154.8,157.2,-0.44,105337,16592005.5
2026-01-13,161.7,161.7,156.0,157.9,-0.44,173531,27429980.9
2026-01-12,163.7,163.7,156.9,158.6,-1.18,161383,25756030.3
2026-01-08,158.0,162.5,153.0,160.5,3.48,559013,88728029.0
2026-01-07,155.9,158.8,153.8,155.1,-0.51,83605,12963232.4
2026-01-06,156.0,156.0,153.0,155.9,1.9,139567,21602589.4
2026-01-05,153.6,153.6,151.2,153.0,0.59,103516,15779163.7
2026-01-04,152.3,154.5,151.5,152.1,-0.39,112178,17070369.1
2026-01-01,154.4,155.5,152.5,152.7,-1.04,88979,13637735.6
2025-12-31,156.0,157.0,154.0,154.3,0.13,89995,13998906.6
2025-12-29,158.0,160.0,154.0,154.1,-1.85,146263,22858280.3
2025-12-28,153.0,157.8,152.0,157.0,3.63,240396,37333453.8
2025-12-24,153.5,153.9,151.0,151.5,-0.92,91410,13858048.6
2025-12-23,153.1,154.0,151.0,152.9,-0.07,106642,16182131.7
2025-12-22,155.0,156.0,152.1,153.0,-1.29,161306,24674971.5
2025-12-21,157.7,157.7,151.6,155.0,-3.67,483593,75001800.4
2025-12-18,166.0,166.0,160.5,160.9,-1.29,65233,10505845.3
2025-12-17,166.5,166.5,162.1,163.0,-0.31,41320,6752868.1
2025-12-16,163.0,164.5,162.5,163.5,0.31,25838,4216521.3
2025-12-15,166.6,166.6,161.0,163.0,-0.24,27781,4527677.1
2025-12-14,165.0,165.0,163.0,163.4,-0.31,28244,4615847.6
2025-12-11,164.0,164.0,162.5,163.9,0.06,21137,3451464.2
2025-12-10,165.0,165.0,163.0,163.8,0.18,26229,4288926.2
2025-12-09,167.0,167.0,162.7,163.5,-0.18,30953,5071772.0
2025-12-08,164.0,165.0,162.5,163.8,-0.12,45703,7457205.0
2025-12-07,166.8,166.8,163.8,164.0,-0.73,40878,6711701.1
2025-12-03,165.8,167.0,164.5,165.2,-0.36,42092,6956768.7
2025-12-02,163.0,168.0,163.0,165.8,0.0,54900,9101395.9
2025-12-01,162.7,168.8,162.7,165.8,-0.12,29907,4990376.0
2025-11-30,168.0,169.0,165.0,166.0,-1.07,94151,15725841.8
2025-11-27,170.0,170.0,167.0,167.8,0.42,101498,17027843.5
2025-11-26,165.1,168.5,165.1,167.1,0.06,78250,13065484.3
2025-11-25,171.0,171.0,166.0,167.0,-1.12,63473,10604261.0
2025-11-24,170.0,170.0,168.0,168.9,0.54,41371,6993234.2
2025-11-23,165.9,168.9,165.9,168.0,2.07,100086,16741053.1
2025-11-20,165.0,166.0,162.6,164.6,-0.24,55043,9036212.2
2025-11-19,167.0,168.0,164.7,165.0,-0.48,26537,4385794.1
2025-11-18,167.0,168.0,165.0,165.8,0.48,57510,9588330.3
2025-11-17,166.5,166.8,164.2,165.0,0.0,51632,8558702.4
2025-11-16,167.0,167.9,165.0,165.0,-0.42,29669,4917422.5
2025-11-13,168.0,168.0,165.2,165.7,-0.78,55511,9226505.9
2025-11-12,168.2,169.7,164.0,167.0,-0.71,111779,18507326.5
2025-11-11,169.0,172.0,166.1,168.2,-0.47,128400,21498346.9
2025-11-10,166.5,169.0,166.0,169.0,2.42,34573,5789096.3
2025-11-09,171.0,171.0,164.7,165.0,-2.65,79608,13219655.7
2025-11-06,170.6,173.5,167.7,169.5,-1.05,95760,16246711.9
2025-11-05,173.5,174.8,169.0,171.3,-2.11,87915,15003973.6
2025-11-04,177.9,178.0,175.0,175.0,-1.69,44559,7832924.2
2025-11-03,179.0,179.4,175.5,178.0,1.14,70750,12541379.9
2025-11-02,173.0,178.0,173.0,176.0,1.73,110310,19420632.7
2025-10-30,175.9,175.9,168.5,173.0,0.0,66726,11565401.1
2025-10-29,175.0,179.0,169.7,173.0,0.0,49848,8633560.2
2025-10-28,169.0,173.0,169.0,173.0,3.16,42357,7259727.6
2025-10-26,166.2,168.0,165.8,167.7,-0.77,21654,3613669.0
2025-10-19,162.0,170.9,162.0,169.0,2.42,24158,4079531.0
2025-10-16,170.0,174.0,164.7,165.0,-1.55,66654,11082084.8
2025-10-15,173.0,175.7,166.0,167.6,-3.12,100833,17044498.8
2025-10-14,176.0,178.0,173.0,173.0,-2.75,24334,4233861.6
2025-10-13,173.5,178.8,170.0,177.9,2.77,47904,8414523.0
2025-10-12,176.0,176.0,171.0,173.1,-2.75,38373,6664128.6
