date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,5500.0,5575.0,5500.0,5550.0,0.91,2897,16111993.5
2026-02-11,5470.0,5535.0,5445.0,5500.0,1.08,976,5366050.0
2026-02-10,5532.0,5532.0,5441.0,5441.0,0.11,915,5007521.0
2026-02-09,5480.0,5520.0,5415.0,5435.0,-0.75,539,2949898.1
2026-02-08,5527.0,5551.0,5462.0,5476.0,-0.92,4692,25904718.5
2026-02-05,5575.0,5575.0,5520.1,5527.0,-0.43,2875,15956425.0
2026-02-04,5595.0,5670.0,5551.0,5551.0,-0.79,1186,6628455.0
2026-02-03,5571.1,5640.0,5571.1,5595.0,-0.18,1031,5772077.8
2026-02-02,5577.0,5640.0,5577.0,5605.0,-0.62,635,3570813.9
2026-02-01,5600.0,5650.0,5600.0,5640.0,-0.18,1592,8966303.0
2026-01-29,5750.0,5750.0,5600.0,5650.0,-0.41,2343,13282244.0
2026-01-28,5598.0,5712.0,5525.0,5673.0,2.09,5210,29386983.3
2026-01-27,5600.0,5600.0,5550.0,5557.0,-0.77,2561,14279598.7
2026-01-26,5699.0,5699.0,5586.0,5600.0,-0.18,1952,10975835.1
2026-01-25,5580.1,5680.0,5580.1,5610.0,0.54,2753,15475115.2
2026-01-22,5618.0,5640.0,5580.0,5580.0,-0.68,2564,14352001.0
2026-01-21,5678.0,5678.0,5575.0,5618.0,0.14,1433,8006885.0
2026-01-20,5655.0,5655.0,5580.0,5610.0,0.07,1462,8189614.0
2026-01-18,5581.0,5609.0,5580.0,5606.0,0.18,972,5441249.0
2026-01-14,5629.0,5629.0,5550.0,5595.9,-0.06,1813,10096020.7
2026-01-13,5550.0,5599.0,5540.0,5599.0,0.34,1362,7588827.0
2026-01-12,5579.0,5580.0,5525.0,5580.0,0.74,3259,18072005.9
2026-01-08,5589.0,5589.0,5480.0,5539.0,0.75,1269,7017384.0
2026-01-07,5548.0,5550.0,5465.2,5498.0,-0.4,725,3985741.6
2026-01-06,5625.0,5625.0,5426.0,5520.0,-0.27,1745,9620464.6
2026-01-05,5460.0,5535.0,5460.0,5535.0,0.64,1221,6720282.5
2026-01-04,5535.0,5535.0,5425.0,5500.0,-0.45,2287,12557516.7
2026-01-01,5630.0,5630.0,5500.0,5525.0,0.0,1595,8802308.8
2025-12-31,5555.0,5584.0,5480.0,5525.0,0.2,1555,8562960.0
2025-12-29,5500.0,5543.0,5442.2,5514.0,0.62,3740,20547144.0
2025-12-28,5485.0,5485.0,5430.0,5480.0,1.39,2661,14530769.5
2025-12-24,5500.0,5500.0,5370.0,5405.0,0.09,1464,7912474.0
2025-12-23,5404.0,5430.0,5363.0,5400.0,-0.07,1919,10342328.8
2025-12-22,5390.0,5408.0,5351.0,5404.0,0.09,1516,8173406.1
2025-12-21,5312.1,5399.0,5312.1,5399.0,-0.02,1445,7778521.0
2025-12-18,5330.0,5400.0,5300.0,5400.0,0.2,1682,9041595.0
2025-12-17,5390.0,5390.0,5350.0,5389.0,-0.2,236,1266060.0
2025-12-16,5390.0,5400.0,5330.0,5400.0,1.45,715,3852771.0
2025-12-15,5379.0,5379.0,5323.0,5323.0,-0.15,1284,6891192.0
2025-12-14,5415.0,5415.0,5331.0,5331.0,-1.55,2346,12609889.9
2025-12-11,5440.0,5440.0,5332.0,5415.0,0.74,1966,10594166.0
2025-12-10,5340.1,5410.0,5330.0,5375.0,0.65,1747,9423195.5
2025-12-09,5441.0,5450.0,5301.0,5340.1,-0.93,569,3045552.5
2025-12-08,5300.0,5399.0,5300.0,5390.0,0.47,862,4628375.0
2025-12-07,5315.0,5365.0,5315.0,5365.0,0.0,818,4375495.0
2025-12-03,5445.0,5448.0,5356.0,5365.0,0.09,2188,11800851.7
2025-12-02,5395.0,5395.0,5308.0,5360.0,0.53,341,1830355.0
2025-12-01,5350.0,5380.0,5301.0,5332.0,-0.34,268,1432463.0
2025-11-30,5445.0,5445.0,5315.0,5350.0,-0.93,1537,8227615.0
2025-11-27,5419.0,5420.0,5346.0,5400.0,0.72,586,3151426.0
2025-11-26,5370.0,5420.0,5287.0,5361.3,-0.59,1907,10248981.4
2025-11-25,5371.0,5421.0,5371.0,5393.3,-1.22,748,4042537.0
2025-11-24,5480.0,5525.0,5426.0,5460.0,0.74,3998,21851870.1
2025-11-23,5400.0,5419.9,5331.0,5419.9,1.02,2246,12083465.4
2025-11-20,5400.0,5400.0,5212.1,5365.0,0.9,2338,12507826.0
2025-11-19,5399.9,5399.9,5256.0,5317.0,0.15,1212,6419970.0
2025-11-18,5285.0,5328.9,5260.0,5309.0,0.45,1609,8538853.0
2025-11-17,5219.9,5285.0,5155.2,5285.0,1.25,1755,9200681.7
2025-11-16,5238.0,5240.0,5120.0,5219.9,-0.08,1600,8292229.0
2025-11-13,5200.0,5268.0,5126.0,5224.0,0.46,572,2976026.0
2025-11-12,5180.0,5295.0,5160.0,5200.0,-1.5,453,2361481.0
2025-11-11,5304.0,5304.0,4997.1,5279.0,1.52,2486,12581033.0
2025-11-10,5100.0,5200.0,5100.0,5200.0,1.72,901,4660928.0
2025-11-09,5229.0,5229.0,5110.0,5112.0,-1.41,885,4531387.0
2025-11-06,5289.0,5290.0,5185.0,5185.0,-0.44,725,3784156.0
2025-11-05,5210.0,5300.0,5105.8,5207.9,-0.04,2675,13955458.5
2025-11-04,5200.0,5250.0,5174.0,5210.0,0.48,1774,9264310.0
2025-11-03,5280.0,5280.9,5185.0,5185.0,-0.08,671,3499215.0
2025-11-02,5300.0,5348.0,5180.0,5189.0,-1.59,456,2375985.4
2025-10-30,5180.0,5280.0,5180.0,5273.0,1.78,1082,5686463.0
2025-10-29,5250.0,5334.0,5167.1,5181.0,-1.07,281,1465338.5
2025-10-28,5188.0,5250.0,5153.0,5237.0,0.96,393,2045861.0
2025-10-26,5199.0,5199.0,5099.0,5187.0,-0.25,180,927518.0
2025-10-19,5055.0,5200.0,5009.0,5200.0,2.87,330,1692460.0
2025-10-16,5053.0,5150.0,5053.0,5055.0,-1.39,380,1932018.7
2025-10-15,5170.0,5190.0,5077.0,5126.0,-0.47,470,2407130.0
2025-10-14,5165.0,5165.0,5070.0,5150.0,-0.29,832,4230140.0
2025-10-13,5078.0,5168.0,5000.0,5165.0,-0.27,1354,6922373.0
2025-10-12,5244.0,5244.0,5097.0,5179.0,-1.24,2050,10532760.0
2025-10-09,5382.0,5382.0,5213.5,5244.0,-0.64,1235,6508662.0
2025-10-08,5290.0,5290.0,5079.0,5278.0,-0.23,1541,8043477.5
2025-10-07,5410.0,5440.0,5288.0,5290.0,-1.95,1305,6933004.0
2025-09-28,5300.0,5395.0,5270.0,5395.0,1.6,814,4319565.0
2025-09-25,5380.0,5400.0,5181.0,5310.0,0.61,1121,6031595.0
2025-09-24,5294.0,5390.0,5216.0,5277.6,-2.27,1418,7592193.4
2025-09-23,5407.0,5407.0,5005.0,5400.0,1.87,4310,22746097.9
2025-09-21,4947.0,5335.0,4947.0,5301.06,9.3,3741,19477180.0
2025-09-18,5123.0,5123.0,4832.0,4850.0,-7.22,275,1339410.0
2025-09-08,5210.0,5257.0,5171.0,5227.49,0.34,768,4014624.7
2025-09-07,5299.0,5300.0,5158.0,5210.0,-0.81,915,4749383.0
2025-09-04,5176.0,5299.0,5176.0,5252.33,-0.49,2168,11334174.0
2025-09-03,5300.0,5308.0,5277.5,5278.05,-1.46,1836,9728190.0
2025-09-02,5300.0,5389.0,5281.3,5356.45,1.07,2097,11161077.5
2025-09-01,5200.0,5310.0,5032.0,5299.99,1.27,1295,6836150.0
2025-08-31,5250.0,5275.0,5211.1,5233.54,-1.05,1524,7971796.0
2025-08-28,5349.0,5375.0,5218.0,5289.27,-0.28,1055,5564560.3
2025-08-27,5275.0,5310.0,5225.0,5304.0,0.51,1069,5657803.0
2025-08-26,5229.0,5280.0,5179.0,5277.25,1.33,315,1652001.0
2025-08-25,5299.0,5299.0,5180.0,5208.1,0.19,1243,6471130.8
2025-08-24,5101.0,5200.0,5101.0,5198.42,0.55,1718,8919703.1
2025-08-21,5160.0,5195.0,5160.0,5170.03,0.27,520,2685905.0
2025-08-20,5100.0,5255.0,5100.0,5155.86,-0.04,549,2837636.4
2025-08-19,5200.0,5229.0,5151.0,5157.82,-0.51,592,3060354.0
2025-08-18,5125.24,5199.0,5125.24,5184.18,1.15,978,5046134.0
2025-08-17,5170.0,5170.0,5100.0,5125.24,-0.69,748,3825993.0
2025-08-14,5140.0,5200.0,5136.0,5161.07,-0.33,648,3342878.0
2025-08-13,5280.0,5290.0,5100.0,5177.98,0.0,1262,6585134.6
2025-08-12,5315.0,5315.0,5170.0,5177.99,-0.65,869,4521159.0
2025-08-11,5320.0,5400.0,5206.0,5211.68,-2.44,3016,15917505.8
2025-08-07,5281.0,5429.9,5281.0,5342.02,-0.77,2685,14360181.5
2025-08-06,5431.5,5431.5,5380.0,5383.32,-0.41,191,1028699.1
2025-08-05,5596.9,5596.9,5401.0,5405.36,-1.73,1584,8607868.7
2025-08-04,5381.0,5555.0,5381.0,5500.37,0.33,1248,6858395.6
2025-08-03,5391.0,5500.0,5391.0,5482.42,-0.32,5212,28583502.0
2025-07-31,5460.1,5553.0,5458.1,5500.26,-1.2,1986,10920839.6
2025-07-30,5624.9,5624.9,5505.0,5567.12,-0.3,5074,28231419.1
2025-07-29,5619.0,5619.0,5501.1,5583.98,1.35,2203,12283036.5
2025-07-28,5579.0,5579.0,5451.0,5509.86,0.35,2136,11745535.6
2025-07-27,5569.0,5733.0,5480.0,5490.91,-0.73,4217,23437398.0
2025-07-24,5599.9,5638.0,5488.1,5531.46,-0.5,2794,15410015.5
2025-07-23,5700.0,5700.0,5500.0,5559.31,-1.34,3285,18180955.5
2025-07-22,5658.3,5771.4,5544.1,5634.68,1.57,3890,21790679.3
2025-07-21,5550.5,5681.0,5430.0,5547.44,1.58,5393,29765732.9
2025-07-20,5579.1,5800.0,5400.0,5461.36,-0.35,8782,48359211.9
2025-07-17,5380.0,5500.0,5251.0,5480.39,3.6,4914,26598986.3
2025-07-16,5325.0,5325.0,5235.0,5290.0,1.25,1290,6804462.0
2025-07-15,5221.1,5280.0,5177.0,5224.63,0.61,1585,8297380.0
2025-07-14,5350.0,5381.0,5181.0,5192.89,-1.63,2439,12765757.2
2025-07-13,5349.9,5349.9,5276.0,5278.76,0.02,1128,5962761.6
2025-07-10,5206.0,5348.0,5206.0,5277.48,0.51,3021,16013802.7
2025-07-09,5151.0,5300.0,5151.0,5250.54,2.31,3383,17749806.7
2025-07-08,5124.1,5175.0,5109.0,5131.86,0.15,528,2710786.0
2025-07-07,5111.0,5130.0,5100.0,5124.11,-0.29,888,4537747.0
2025-07-06,5176.0,5176.0,5121.0,5139.13,-0.69,1500,7702694.0
2025-07-03,5190.0,5300.0,5133.0,5175.09,0.84,1528,7956001.0
2025-07-02,5150.0,5150.0,5066.0,5131.87,1.63,2264,11602631.1
2025-07-01,5138.0,5138.0,5042.1,5049.66,0.23,1753,8859179.9
