date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,735.0,736.5,726.0,732.9,-0.15,10683,7820968.1
2026-02-11,743.0,743.0,730.0,734.0,0.27,10134,7428785.2
2026-02-10,735.0,740.0,730.0,732.0,-0.54,6223,4571551.6
2026-02-09,747.0,747.0,730.0,736.0,0.0,12456,9138669.3
2026-02-08,732.0,785.0,732.0,736.0,-0.54,12341,9131978.1
2026-02-05,735.0,746.0,735.0,740.0,0.0,6614,4893881.9
2026-02-04,755.0,755.0,735.0,740.0,-0.92,3085,2292512.0
2026-02-03,755.0,755.0,728.0,746.9,0.26,10877,8008053.6
2026-02-02,745.0,750.8,741.0,745.0,0.0,5963,4458208.1
2026-02-01,740.0,756.9,740.0,745.0,-0.93,2916,2172285.3
2026-01-29,743.1,753.0,743.1,752.0,0.0,8498,6358940.6
2026-01-28,760.0,760.0,745.0,752.0,-1.31,9602,7215789.5
2026-01-27,778.0,778.0,748.0,762.0,-1.04,10981,8371602.6
2026-01-26,765.0,775.0,761.0,770.0,1.18,10800,8292762.0
2026-01-25,756.0,761.0,747.0,761.0,1.87,15511,11727510.6
2026-01-22,757.0,757.0,735.0,747.0,-0.93,9050,6729457.9
2026-01-21,750.0,757.0,747.0,754.0,0.13,3290,2471133.9
2026-01-20,761.9,761.9,744.0,753.0,0.8,6455,4857125.8
2026-01-18,745.0,748.0,736.0,747.0,1.77,10907,8089929.3
2026-01-14,730.0,736.0,724.8,734.0,-0.14,6329,4611136.0
2026-01-13,728.5,735.0,726.1,735.0,0.67,4812,3501904.5
2026-01-12,740.0,742.5,730.1,730.1,-1.34,7149,5267053.3
2026-01-08,740.0,743.0,734.6,740.0,0.54,9578,7078290.4
2026-01-07,740.0,745.0,735.0,736.0,-0.46,3229,2383281.7
2026-01-06,743.9,745.0,736.0,739.4,0.05,5773,4267792.9
2026-01-05,728.0,742.0,728.0,739.0,0.0,1874,1380872.9
2026-01-04,751.0,751.0,730.0,739.0,0.27,4777,3494146.3
2026-01-01,739.0,745.6,730.4,737.0,-0.27,3682,2698663.5
2025-12-31,739.0,748.0,738.0,739.0,0.0,5158,3835829.4
2025-12-29,738.9,746.0,735.0,739.0,0.41,5168,3808070.4
2025-12-28,738.0,738.0,727.4,736.0,1.24,6105,4469019.3
2025-12-24,782.0,782.0,766.1,768.0,-0.65,9489,7307698.5
2025-12-23,784.0,784.0,768.4,773.0,-0.17,3193,2458679.9
2025-12-22,790.0,790.0,772.0,774.3,-1.36,1900,1471635.1
2025-12-21,775.0,785.0,770.7,785.0,0.62,2439,1894023.8
2025-12-18,791.7,791.7,778.2,780.2,0.03,3435,2679655.3
2025-12-17,795.0,795.0,775.2,780.0,0.0,4472,3494290.7
2025-12-16,785.0,785.0,772.0,780.0,0.0,12149,9422676.7
2025-12-15,777.0,780.2,771.0,780.0,-0.76,7539,5844463.0
2025-12-14,785.0,786.0,777.8,786.0,-0.86,4449,3469258.0
2025-12-11,804.0,804.0,777.8,792.8,0.48,3726,2920576.6
2025-12-10,802.0,802.0,787.0,789.0,0.25,1594,1258111.7
2025-12-09,803.0,803.0,782.3,787.0,-0.13,5925,4669776.4
2025-12-08,780.0,788.0,779.9,788.0,-0.88,4465,3495390.7
2025-12-07,815.0,815.0,780.0,795.0,-0.6,5489,4310972.3
2025-12-03,823.0,823.0,790.0,799.8,-0.89,4412,3515020.8
2025-12-02,792.0,819.0,792.0,807.0,0.0,4189,3369717.0
2025-12-01,822.0,822.0,801.0,807.0,0.12,5995,4829158.0
2025-11-30,831.0,831.0,806.0,806.0,-1.1,7795,6343367.1
2025-11-27,831.0,831.0,812.0,815.0,-0.01,12032,9820634.2
2025-11-26,816.0,819.9,799.7,815.1,1.89,18341,14911632.3
2025-11-25,815.0,815.0,792.1,800.0,0.01,9511,7580455.7
2025-11-24,802.0,804.0,781.0,799.9,1.64,17967,14336695.3
2025-11-23,780.0,789.0,779.9,787.0,1.61,5781,4523353.4
2025-11-20,765.0,777.0,765.0,774.5,-0.71,11343,8721620.1
2025-11-19,795.6,795.6,777.0,780.0,0.0,5665,4416886.2
2025-11-18,787.0,794.0,780.0,780.0,-0.52,7404,5808952.1
2025-11-17,786.0,790.0,780.0,784.1,0.27,2126,1667503.3
2025-11-16,775.2,785.0,770.0,782.0,-1.01,3053,2385100.9
2025-11-13,796.0,796.0,778.0,790.0,1.14,6053,4748804.1
2025-11-12,785.0,795.0,780.0,781.1,-0.24,5343,4185191.2
2025-11-11,797.0,797.0,780.0,783.0,-1.51,8510,6666027.3
2025-11-10,792.0,795.9,775.0,795.0,1.47,7955,6230198.3
2025-11-09,800.0,800.0,783.5,783.5,-1.09,7056,5575681.4
2025-11-06,809.0,812.0,790.0,792.1,-0.74,5711,4545986.0
2025-11-05,810.0,810.0,790.0,798.0,-0.01,5523,4389302.8
2025-11-04,806.0,806.1,798.1,798.1,-1.87,5564,4458180.8
2025-11-03,822.0,822.0,813.3,813.3,-1.06,4784,3902777.2
2025-11-02,815.0,829.0,815.0,822.0,0.24,6212,5116318.7
2025-10-30,823.0,823.0,783.2,820.0,1.23,9408,7537882.1
2025-10-29,814.0,814.0,796.0,810.0,1.24,7693,6191792.5
