date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,650.2,676.0,650.2,675.0,2.43,6098,4053687.0
2026-02-11,670.0,670.0,659.0,659.0,-0.18,8121,5379695.2
2026-02-10,662.0,672.0,660.0,660.2,-1.46,4621,3062311.2
2026-02-09,672.0,673.0,651.7,670.0,-0.45,7994,5270309.8
2026-02-08,677.1,686.0,673.0,673.0,-0.44,2968,2015595.0
2026-02-05,673.0,681.0,669.0,676.0,-1.31,9541,6413361.5
2026-02-04,669.0,685.0,669.0,685.0,0.74,1305,883804.5
2026-02-03,671.1,681.9,668.1,680.0,0.15,6053,4057571.7
2026-02-02,671.0,683.0,670.0,679.0,1.19,2611,1754711.8
2026-02-01,701.0,701.0,671.0,671.0,-2.47,8779,5940029.5
2026-01-29,682.1,690.0,682.1,688.0,-1.01,2872,1971394.7
2026-01-28,680.1,697.9,680.1,695.0,0.71,2296,1580224.2
2026-01-27,708.0,714.0,690.0,690.1,-2.53,10563,7370313.2
2026-01-26,707.1,721.2,706.0,708.0,-1.53,9798,6967356.5
2026-01-25,697.1,722.0,697.0,719.0,2.86,8796,6242750.9
2026-01-22,681.1,700.0,671.1,699.0,0.58,3405,2350852.0
2026-01-21,713.9,713.9,694.0,695.0,-1.0,4455,3113625.8
2026-01-20,686.0,710.0,686.0,702.0,2.48,8298,5807970.6
2026-01-18,683.0,686.2,677.6,685.0,1.48,3653,2494280.7
2026-01-14,666.0,675.0,664.5,675.0,-0.44,2698,1802234.7
2026-01-13,670.0,679.0,666.2,678.0,0.18,1545,1036010.4
2026-01-12,668.0,680.0,665.0,676.8,0.1,3771,2522781.2
2026-01-08,666.4,680.0,666.4,676.1,-0.57,1898,1278598.7
2026-01-07,680.0,680.0,673.0,680.0,0.18,2698,1827679.0
2026-01-06,669.0,695.0,664.1,678.8,0.41,1935,1306379.3
2026-01-05,680.0,680.0,669.0,676.0,0.37,1560,1047044.9
2026-01-04,673.0,675.0,662.0,673.5,0.07,3419,2292257.4
2026-01-01,681.0,685.0,668.0,673.0,-1.61,2636,1771951.7
2025-12-31,668.3,684.0,668.3,684.0,0.59,1831,1239317.5
2025-12-29,691.0,691.0,667.0,680.0,0.15,2144,1437094.2
2025-12-28,667.0,679.0,662.0,679.0,1.66,3908,2622224.4
2025-12-24,655.0,673.0,653.8,667.9,0.13,1583,1049620.0
2025-12-23,661.2,671.0,656.1,667.0,0.15,3300,2180677.2
2025-12-22,665.1,671.1,662.0,666.0,-1.26,2551,1698398.9
2025-12-21,679.1,679.1,666.0,674.5,-2.66,7477,5008251.3
2025-12-18,695.0,698.0,681.2,692.9,-0.86,2576,1771034.2
2025-12-17,697.0,706.9,689.5,698.9,0.27,2225,1550573.0
2025-12-16,686.0,703.9,677.0,697.0,1.75,5910,4105984.7
2025-12-15,670.2,694.0,670.1,685.0,0.44,4553,3112622.9
2025-12-14,689.0,690.0,675.4,682.0,-0.07,1423,971655.0
2025-12-11,677.0,685.0,677.0,682.5,-0.36,3690,2506304.2
2025-12-10,677.0,689.9,677.0,685.0,-0.01,2832,1937280.7
2025-12-09,683.0,699.9,683.0,685.1,-0.71,8075,5598377.0
2025-12-08,694.0,703.0,686.0,690.0,-0.58,1893,1308202.8
2025-12-07,686.0,695.0,686.0,694.0,-0.43,1740,1201294.7
2025-12-03,688.0,709.8,688.0,697.0,-0.71,6197,4341061.7
2025-12-02,709.7,709.7,696.1,702.0,-0.21,2562,1794747.6
2025-12-01,692.1,706.9,690.0,703.5,1.01,7261,5068831.3
2025-11-30,692.8,709.0,690.0,696.5,-1.47,4493,3132051.4
2025-11-27,704.9,709.8,694.0,706.9,0.28,21223,14815556.2
2025-11-26,704.0,704.9,692.1,704.9,0.13,2695,1881091.2
2025-11-25,718.8,718.8,695.0,704.0,-0.11,3232,2263387.3
2025-11-24,712.0,713.7,695.3,704.8,0.71,2838,1993569.0
2025-11-23,700.5,714.6,692.6,699.8,1.88,6396,4498987.3
2025-11-20,680.4,689.0,677.1,686.9,-0.43,1847,1254595.9
2025-11-19,703.0,703.0,679.4,689.9,-0.73,1970,1353036.1
2025-11-18,691.8,702.0,683.0,695.0,0.46,3689,2555744.7
2025-11-17,675.3,694.0,675.3,691.8,0.41,2326,1593648.3
2025-11-16,686.0,691.8,674.3,689.0,0.44,4094,2815385.8
2025-11-13,687.0,690.0,677.0,686.0,1.03,22417,15436301.9
2025-11-12,667.0,680.0,667.0,679.0,0.44,3825,2594771.8
2025-11-11,682.9,682.9,661.5,676.0,0.15,11199,7469294.2
2025-11-10,679.0,705.0,669.0,675.0,0.75,21261,14548943.8
2025-11-09,662.5,672.0,662.5,670.0,-0.74,2482,1653883.7
2025-11-06,684.0,686.0,671.2,675.0,-0.3,6327,4276073.1
2025-11-05,668.7,678.4,668.7,677.0,-0.29,1801,1211952.2
2025-11-04,670.0,680.0,670.0,679.0,-0.44,4952,3335177.1
2025-11-03,693.6,693.6,670.0,682.0,0.29,5355,3635142.4
2025-11-02,669.0,682.0,669.0,680.0,1.64,6670,4515216.5
2025-10-30,674.0,674.0,657.0,669.0,0.0,7186,4787880.1
2025-10-29,662.0,683.4,650.0,669.0,-0.89,8987,5930871.1
2025-10-28,658.0,680.0,646.1,675.0,4.13,12091,7962596.4
2025-10-26,647.0,660.0,647.0,648.2,-1.79,480,313260.0
2025-10-19,652.1,663.9,641.1,660.0,0.92,2278,1474950.9
2025-10-16,653.0,660.0,646.8,654.0,-0.89,1197,776849.2
2025-10-15,653.1,660.0,648.0,659.9,-0.17,2173,1417368.6
2025-10-14,663.1,666.0,651.0,661.0,-2.22,5513,3624547.1
2025-10-13,668.0,681.0,665.0,676.0,1.2,3863,2579943.2
2025-10-12,687.0,688.0,660.1,668.0,-4.57,5910,3972591.1
2025-10-09,704.3,719.0,675.0,700.0,1.38,5242,3610323.3
2025-10-08,705.0,705.0,676.0,690.5,-1.78,3510,2390218.7
2025-10-07,701.0,703.1,687.0,703.0,-1.4,1400,971090.9
2025-09-28,713.0,715.0,702.0,713.0,0.28,1006,710521.5
