date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,443.9,448.0,430.3,435.2,-0.02,34402,15002492.5
2026-02-11,445.9,445.9,435.1,435.3,-0.84,12822,5610468.7
2026-02-10,445.0,448.0,437.2,439.0,-1.13,16892,7456020.1
2026-02-09,442.4,448.0,442.3,444.0,-0.89,14182,6292663.2
2026-02-08,448.0,455.0,446.0,448.0,0.0,25924,11654516.1
2026-02-05,445.0,449.9,443.0,448.0,0.45,18240,8153345.1
2026-02-04,456.9,456.9,442.1,446.0,-0.45,14660,6523285.3
2026-02-03,450.0,450.0,440.0,448.0,0.18,15505,6919159.9
2026-02-02,446.0,454.0,446.0,447.2,-0.84,9267,4164398.2
2026-02-01,450.1,458.0,449.0,451.0,-1.53,13600,6143872.2
2026-01-29,454.0,469.0,453.0,458.0,-1.08,50065,22994034.3
2026-01-28,451.2,465.0,449.2,463.0,1.14,29318,13416152.8
2026-01-27,464.0,467.0,450.2,457.8,-1.29,34686,15896099.5
2026-01-26,461.0,475.0,452.3,463.8,0.87,85376,39404620.6
2026-01-25,451.5,461.0,451.5,459.8,0.9,45903,20940125.9
2026-01-22,447.0,455.9,447.0,455.7,1.47,14409,6495371.9
2026-01-21,463.0,463.0,448.2,449.1,-1.28,21147,9594134.5
2026-01-20,444.2,455.9,443.2,454.9,1.77,28704,12955859.8
2026-01-18,442.1,450.0,442.1,447.0,-0.45,12753,5693484.1
2026-01-14,453.0,453.0,441.3,449.0,0.0,8540,3797133.0
2026-01-13,443.0,450.0,441.2,449.0,1.35,7504,3343840.3
2026-01-12,444.0,454.0,440.0,443.0,-1.12,7182,3188960.0
2026-01-08,440.2,450.0,440.2,448.0,0.22,7936,3528967.5
2026-01-07,445.3,463.0,445.3,447.0,-1.54,10921,4974718.3
2026-01-06,455.1,460.0,450.0,454.0,-1.33,17777,8109716.4
2026-01-05,437.0,460.1,437.0,460.1,4.5,18870,8514635.1
2026-01-04,445.0,461.8,440.0,440.3,-0.83,25201,11319133.1
2026-01-01,441.6,448.0,441.6,444.0,-0.45,15772,6989317.1
2025-12-31,450.0,454.0,445.5,446.0,-1.11,16481,7386575.0
2025-12-29,443.3,459.0,443.3,451.0,0.0,18719,8447645.8
2025-12-28,447.0,454.1,444.0,451.0,1.53,11743,5292411.1
2025-12-24,460.0,460.0,442.1,444.2,-2.16,8927,3983949.1
2025-12-23,447.0,454.0,446.9,454.0,0.67,8515,3817144.1
2025-12-22,447.0,465.0,447.0,451.0,-0.53,8437,3818630.1
2025-12-21,470.2,470.2,451.0,453.4,-1.65,7275,3303888.8
2025-12-18,456.1,466.0,456.1,461.0,-0.13,13574,6227560.3
2025-12-17,452.4,461.6,452.3,461.6,1.01,4716,2169898.0
2025-12-16,452.0,460.0,452.0,457.0,0.42,5806,2650181.2
2025-12-15,456.1,465.0,455.0,455.1,-1.32,12685,5798046.0
2025-12-14,461.0,465.1,460.0,461.2,-1.28,11401,5268386.0
2025-12-11,456.1,471.0,456.1,467.2,0.58,5803,2711878.7
2025-12-10,467.0,477.9,457.3,464.5,-0.64,18113,8391829.6
2025-12-09,470.6,475.0,465.0,467.5,-0.66,6918,3251604.2
2025-12-08,465.0,472.0,463.0,470.6,0.13,6745,3161925.0
2025-12-07,473.0,478.0,466.4,470.0,-1.71,10422,4907509.7
2025-12-03,473.1,489.9,473.1,478.2,-0.79,22899,11017441.4
2025-12-02,483.0,484.0,476.0,482.0,1.22,14839,7128819.5
2025-12-01,476.0,480.0,472.2,476.2,0.04,14755,7041662.5
2025-11-30,488.0,494.9,473.0,476.0,-2.22,19280,9289766.6
2025-11-27,480.0,487.0,479.0,486.8,-0.04,15223,7332015.6
2025-11-26,470.0,487.0,470.0,487.0,3.62,35931,17273132.0
2025-11-25,471.0,477.0,470.0,470.0,-1.05,15218,7175786.5
2025-11-24,480.0,481.5,472.2,475.0,0.53,8065,3837425.6
2025-11-23,469.0,485.0,460.0,472.5,0.13,38290,18142045.5
2025-11-20,463.4,471.9,463.4,471.9,0.62,4042,1896029.5
2025-11-19,471.1,475.8,468.0,469.0,-0.85,9370,4399418.0
