date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,766.0,766.0,750.0,757.0,0.8,2019,1523376.0
2026-02-11,742.0,756.0,742.0,751.0,1.21,1666,1253489.0
2026-02-10,742.5,748.0,740.0,742.0,-0.8,2870,2128604.0
2026-02-09,750.0,755.0,748.0,748.0,-1.84,2322,1743056.2
2026-02-08,764.1,777.5,751.0,762.0,-0.26,3228,2454320.3
2026-02-05,755.1,768.0,755.1,764.0,0.5,2202,1676845.5
2026-02-04,756.1,775.0,756.1,760.2,-0.5,3624,2792920.0
2026-02-03,754.0,784.0,742.1,764.0,3.09,10012,7645920.8
2026-02-02,753.0,754.0,739.5,741.1,-0.67,3203,2385209.5
2026-02-01,740.0,757.0,740.0,746.1,-1.05,4091,3054775.6
2026-01-29,753.9,773.0,752.0,754.0,0.01,3828,2901249.0
2026-01-28,742.0,754.9,736.1,753.9,1.59,2213,1644442.5
2026-01-27,746.5,772.0,740.0,742.1,-2.1,5374,4052399.4
2026-01-26,763.2,774.0,754.0,758.0,-0.28,5480,4176140.7
2026-01-25,773.1,778.0,760.0,760.1,0.28,4420,3394820.6
2026-01-22,760.2,762.0,746.1,758.0,-1.94,4363,3295234.5
2026-01-21,780.0,780.0,767.4,773.0,-1.28,4463,3433009.1
2026-01-20,742.5,783.9,742.5,783.0,6.34,12659,9665176.0
2026-01-18,728.0,736.3,720.0,736.3,2.26,5820,4240191.3
2026-01-14,712.0,720.0,710.1,720.0,0.91,3660,2607419.8
2026-01-13,716.1,722.9,710.0,713.5,-0.28,1835,1311908.0
2026-01-12,720.1,720.1,715.1,715.5,-1.04,2638,1892498.5
2026-01-08,708.1,727.9,708.1,723.0,0.42,1721,1244158.0
2026-01-07,726.0,730.0,720.0,720.0,0.0,3160,2287915.4
2026-01-06,719.0,729.9,719.0,720.0,0.7,3533,2550289.3
2026-01-05,710.0,717.8,702.4,715.0,0.7,3571,2552698.5
2026-01-04,710.0,710.0,699.0,710.0,0.0,2126,1490392.1
2026-01-01,705.0,710.9,704.0,710.0,0.69,1115,790956.9
2025-12-31,709.0,715.0,705.0,705.1,-0.55,2206,1565899.3
2025-12-29,719.0,719.0,705.0,709.0,0.41,272,192713.0
2025-12-28,698.0,710.0,698.0,706.1,-0.27,1732,1226147.1
2025-12-24,718.6,718.6,699.0,708.0,0.28,1080,764758.0
2025-12-23,708.5,708.5,692.0,706.0,1.0,958,673035.4
2025-12-22,700.0,714.0,696.0,699.0,-1.55,2731,1910274.0
2025-12-21,718.0,718.0,700.0,710.0,-1.11,4237,2988782.5
