date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,768.4,792.0,768.4,770.5,-1.72,4465,3490512.2
2026-02-11,770.0,791.6,770.0,784.0,-0.13,8084,6333347.4
2026-02-10,785.0,795.0,775.2,785.0,-0.88,3664,2853221.6
2026-02-09,820.0,820.0,787.0,792.0,-1.74,4233,3348414.2
2026-02-08,817.0,832.0,793.1,806.0,0.62,15615,12693088.3
2026-02-05,785.0,809.9,772.4,801.0,1.91,14043,11195867.9
2026-02-04,796.5,796.5,770.0,786.0,0.13,3124,2433357.8
2026-02-03,761.0,797.5,761.0,785.0,2.32,10341,8083262.4
2026-02-02,786.0,793.9,765.0,767.2,-2.02,9905,7657215.6
2026-02-01,786.0,801.0,775.0,783.0,-2.13,22967,17962784.2
2026-01-29,792.0,812.0,792.0,800.0,-0.5,10305,8226517.4
2026-01-28,804.0,810.9,793.0,804.0,1.77,12578,10080820.0
2026-01-27,831.0,839.0,790.0,790.0,-5.94,13207,10724152.0
2026-01-26,784.5,846.0,784.5,839.9,4.92,51194,42454438.1
2026-01-25,792.0,823.9,783.1,800.5,0.31,16577,13311013.4
2026-01-22,793.9,808.8,790.0,798.0,-1.48,7276,5793265.9
2026-01-21,787.9,819.6,787.9,810.0,0.76,9704,7800975.2
2026-01-20,804.6,832.2,785.0,803.9,-2.08,29515,23598526.1
2026-01-18,882.0,882.0,810.0,821.0,-8.78,56424,46514928.1
2026-01-14,848.0,900.0,805.3,900.0,8.23,32203,26866792.6
2026-01-13,741.1,831.6,741.1,831.6,10.0,78900,63312278.4
2026-01-12,746.5,761.0,746.0,756.0,0.53,12390,9313012.5
2026-01-08,751.5,768.0,751.1,752.0,-1.84,6450,4878510.1
2026-01-07,797.0,797.0,757.6,766.1,-2.03,22136,17172678.4
2026-01-06,702.2,785.2,702.2,782.0,9.54,47149,36230203.0
2026-01-05,715.0,716.0,698.0,713.9,-0.85,8241,5801943.5
2026-01-04,708.3,732.0,708.0,720.0,-0.37,6934,4983818.6
2026-01-01,705.2,723.7,705.2,722.7,0.65,5575,3994617.2
2025-12-31,681.2,718.0,681.2,718.0,4.82,11151,7859526.2
2025-12-29,714.0,714.0,685.0,685.0,-2.14,4924,3392573.7
2025-12-28,693.6,707.0,681.0,700.0,2.94,3308,2287740.2
2025-12-24,705.8,705.8,677.2,680.0,-1.73,8878,6059469.3
2025-12-23,691.0,700.0,691.0,692.0,-1.0,3781,2628056.2
2025-12-22,703.0,713.0,690.0,699.0,-2.24,5489,3839995.0
2025-12-21,713.0,730.0,711.0,715.0,-1.38,4851,3470234.9
2025-12-18,750.5,750.5,725.0,725.0,-2.55,6080,4453590.5
2025-12-17,712.0,744.0,711.0,744.0,3.91,13891,10150821.1
2025-12-16,724.0,729.7,712.0,716.0,0.0,4359,3127916.9
2025-12-15,701.7,720.0,701.7,716.0,0.0,3580,2563569.3
2025-12-14,720.3,740.0,705.0,716.0,-2.59,11008,7914520.6
2025-12-11,755.9,800.0,735.0,735.0,-4.71,7267,5511186.9
2025-12-10,734.0,779.1,733.0,771.3,7.14,38247,29050436.1
2025-12-09,697.9,721.8,695.0,719.9,3.15,17089,12167082.4
2025-12-08,686.0,699.0,681.9,697.9,-0.16,3543,2455391.4
2025-12-07,685.0,699.0,682.2,699.0,0.72,615,426928.0
2025-12-03,698.0,708.0,686.0,694.0,-0.57,5580,3839395.8
2025-12-02,688.1,698.0,683.0,698.0,0.87,3779,2596762.3
2025-12-01,688.0,695.9,687.2,692.0,-1.14,3618,2495773.1
2025-11-30,687.0,702.5,687.0,700.0,0.01,3011,2093906.7
2025-11-27,696.0,706.0,695.3,699.9,-1.27,4346,3041556.5
2025-11-26,690.0,732.1,690.0,708.9,0.7,5765,4062084.6
2025-11-25,714.0,714.0,686.2,704.0,0.57,1694,1183910.0
2025-11-24,714.0,728.2,690.0,700.0,0.0,4330,3029232.8
2025-11-23,700.0,708.9,688.9,700.0,-0.85,4200,2944061.4
2025-11-20,681.0,713.0,681.0,706.0,2.17,7127,4995008.6
2025-11-19,678.0,691.4,678.0,691.0,1.77,1351,921932.0
2025-11-18,689.9,694.0,677.2,679.0,-1.01,1825,1249055.1
2025-11-17,670.0,687.0,670.0,685.9,0.87,1051,715064.0
2025-11-16,690.9,692.9,679.0,680.0,-1.59,2844,1942924.7
2025-11-13,701.8,701.8,662.1,691.0,0.29,2853,1946709.4
2025-11-12,673.0,689.0,673.0,689.0,0.44,968,662332.0
2025-11-11,680.2,698.0,680.1,686.0,0.01,2462,1689643.4
2025-11-10,698.0,708.0,685.1,685.9,-1.87,2441,1682991.6
2025-11-09,719.9,719.9,690.0,699.0,-2.07,2240,1554944.5
2025-11-06,677.0,730.0,677.0,713.8,3.45,5449,3825420.3
2025-11-05,686.0,690.0,680.0,690.0,0.58,630,431281.0
2025-11-04,700.1,714.0,686.0,686.0,-2.7,5325,3686603.9
2025-11-03,704.1,720.0,700.0,705.0,0.14,3284,2323440.7
2025-11-02,700.0,713.0,696.0,704.0,0.16,4167,2930037.6
2025-10-30,690.0,702.9,690.0,702.9,1.28,3062,2141840.2
2025-10-29,690.8,715.0,689.0,694.0,2.06,7571,5273804.3
2025-10-28,663.0,684.0,651.0,680.0,2.64,4935,3322873.0
2025-10-26,652.0,665.0,640.0,662.5,-0.38,1448,948753.0
2025-10-19,653.0,675.0,653.0,665.0,0.3,3407,2247121.0
2025-10-16,668.3,708.9,656.6,663.0,-2.77,5935,3959007.6
2025-10-15,686.0,696.9,672.7,681.9,-2.59,3608,2459432.9
2025-10-14,715.4,757.0,681.1,700.0,-4.11,24073,16876417.2
2025-10-13,748.8,748.8,719.3,730.0,-4.45,6778,4940209.0
2025-10-12,784.0,793.0,720.0,764.0,-4.5,21720,15893966.7
2025-10-09,862.4,862.4,792.0,800.0,-9.09,32066,25602855.8
2025-10-08,823.2,885.0,756.0,880.0,4.76,59371,45519373.4
2025-10-07,772.3,840.0,715.4,840.0,6.6,43176,32731769.0
2025-09-28,770.0,788.0,745.0,788.0,0.57,5171,3914113.9
2025-09-25,795.8,799.0,730.8,783.5,-3.5,21883,16470776.5
2025-09-24,826.0,827.0,800.1,811.9,-2.66,5366,4337184.5
2025-09-23,788.3,845.0,788.3,834.1,7.92,8119,6709464.2
2025-09-21,721.7,775.0,707.3,772.88,4.95,3624,2716450.5
2025-09-08,760.1,765.0,734.0,736.41,-4.07,3526,2611792.5
2025-09-07,789.0,798.0,750.0,767.62,-2.7,30034,22576201.7
2025-09-04,796.4,826.0,780.1,788.94,-2.6,2088,1671206.1
2025-09-03,810.0,815.0,800.0,810.0,-0.65,1133,915564.0
2025-09-02,820.0,840.0,815.2,815.33,-0.75,3275,2718290.5
2025-09-01,820.0,834.9,811.0,821.48,-0.43,2038,1674984.8
