date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,600.0,652.0,600.0,620.0,1.64,129178,81037174.7
2026-02-11,631.2,631.2,600.0,610.0,-1.44,92762,56671233.5
2026-02-10,615.0,645.0,610.0,618.9,0.06,104561,65408226.8
2026-02-09,595.0,635.0,586.2,618.5,4.99,149849,91047542.8
2026-02-08,585.0,595.0,564.0,589.1,2.45,135579,78411000.7
2026-02-05,546.9,576.3,539.0,575.0,7.08,127391,71693527.6
2026-02-04,533.2,561.0,522.6,537.0,-1.29,44630,24110346.1
2026-02-03,573.0,573.0,528.1,544.0,-3.37,42019,22759480.4
2026-02-02,565.9,575.2,547.0,563.0,1.46,137572,77584535.0
2026-02-01,558.0,569.1,535.0,554.9,1.26,72957,39855007.4
2026-01-29,544.0,561.0,535.0,548.0,2.43,100153,55085983.1
2026-01-28,500.0,540.0,492.0,535.0,7.43,101123,52532653.0
2026-01-27,520.0,521.2,489.6,498.0,-2.35,65391,33060659.6
2026-01-26,477.0,515.0,464.1,510.0,8.93,135169,66542375.4
2026-01-25,434.0,468.2,434.0,468.2,9.98,122273,56446325.5
2026-01-22,393.4,425.7,382.0,425.7,10.0,104831,43059496.1
2026-01-21,389.0,394.9,385.3,387.0,-0.28,9650,3756961.0
2026-01-20,390.5,395.0,387.0,388.1,1.07,11298,4431283.7
2026-01-18,380.0,385.0,380.0,384.0,1.48,8578,3281723.5
2026-01-14,383.0,384.0,377.7,378.4,-1.43,8974,3409849.7
2026-01-13,377.6,384.7,377.6,383.9,0.23,10267,3917660.8
2026-01-12,385.0,389.0,381.5,383.0,-1.26,13718,5264340.3
2026-01-08,388.9,391.8,382.0,387.9,-0.26,9980,3845321.2
2026-01-07,394.9,394.9,385.4,388.9,-1.04,9118,3528518.0
2026-01-06,399.0,399.0,386.6,393.0,-0.25,5940,2313132.5
2026-01-05,383.7,394.0,381.0,394.0,1.55,11708,4540974.0
2026-01-04,386.1,390.1,386.1,388.0,-0.89,7774,3016045.9
2026-01-01,396.7,404.0,388.2,391.5,0.64,5958,2324779.8
2025-12-31,395.0,395.0,388.2,389.0,-1.52,27361,10679344.3
2025-12-29,395.2,403.1,387.2,395.0,-1.25,15450,6090946.9
2025-12-28,406.0,406.0,395.7,400.0,0.25,4050,1615887.3
2025-12-24,392.9,404.9,392.9,399.0,-0.25,8744,3478404.6
2025-12-23,392.1,403.0,385.1,400.0,0.76,8677,3422497.0
2025-12-22,405.0,405.0,388.1,397.0,-0.35,13612,5347280.7
2025-12-21,407.0,410.0,395.0,398.4,-2.83,9793,3921921.8
2025-12-18,410.6,414.9,410.0,410.0,-1.18,11722,4819132.5
2025-12-17,424.0,424.0,412.6,414.9,-0.26,7225,2997893.0
2025-12-16,419.8,419.8,412.0,416.0,0.97,5991,2484779.1
2025-12-15,413.1,422.0,411.7,412.0,-1.9,10218,4230903.6
2025-12-14,428.0,429.5,416.0,420.0,-2.21,7028,2959072.5
2025-12-11,422.0,431.0,422.0,429.5,1.06,5767,2466719.9
2025-12-10,425.0,435.0,425.0,425.0,-1.35,4427,1896956.4
2025-12-09,436.8,436.8,421.0,430.8,0.33,6427,2756021.0
2025-12-08,426.0,434.0,421.1,429.4,-1.2,6183,2637130.3
2025-12-07,427.0,435.5,427.0,434.6,0.09,17097,7367607.9
2025-12-03,421.7,441.0,416.1,434.2,3.38,45484,19696489.5
2025-12-02,421.9,421.9,410.0,420.0,1.33,4853,2007974.2
2025-12-01,408.7,418.0,407.0,414.5,0.24,4490,1858181.7
2025-11-30,415.0,421.0,410.0,413.5,-0.51,14614,6072598.5
2025-11-27,418.5,419.0,411.3,415.6,-0.69,6372,2641241.5
2025-11-26,415.0,423.3,413.6,418.5,0.24,7177,2985073.7
2025-11-25,433.1,433.1,413.1,417.5,-1.74,7326,3080653.6
2025-11-24,428.7,428.7,420.5,424.9,0.05,6242,2646408.1
2025-11-23,411.0,425.0,410.0,424.7,3.33,16430,6883223.5
2025-11-20,407.5,414.5,407.4,411.0,-0.96,5415,2223354.1
2025-11-19,410.0,416.9,407.0,415.0,-0.62,4320,1778202.0
2025-11-18,419.0,419.0,409.1,417.6,0.92,3535,1461875.0
2025-11-17,402.6,418.0,402.6,413.8,0.93,2280,929183.3
2025-11-16,424.0,424.0,407.0,410.0,-1.91,1738,710536.6
2025-11-13,402.1,434.0,402.1,418.0,2.45,6548,2702108.6
2025-11-12,417.0,421.9,405.0,408.0,-2.16,5327,2199105.8
2025-11-11,410.0,418.2,408.0,417.0,0.75,1596,658821.0
2025-11-10,410.6,415.0,406.3,413.9,0.22,5011,2054410.0
2025-11-09,420.0,420.0,412.0,413.0,-1.43,2174,899798.6
2025-11-06,428.0,428.0,412.0,419.0,-1.18,4919,2047899.8
2025-11-05,428.0,428.0,416.0,424.0,0.24,1024,430407.0
2025-11-04,420.5,427.9,416.6,423.0,0.59,3430,1446214.4
2025-11-03,444.0,444.0,415.2,420.5,-3.53,7325,3089378.2
2025-11-02,416.0,436.0,416.0,435.9,2.95,7355,3171046.9
2025-10-30,404.9,429.0,400.0,423.4,2.52,6668,2768668.4
2025-10-29,397.0,413.0,397.0,413.0,2.99,6757,2740394.4
2025-10-28,400.0,409.0,395.2,401.0,1.42,5936,2393092.6
2025-10-26,388.0,395.6,386.0,395.4,0.1,3153,1225802.4
2025-10-19,413.0,413.0,395.0,395.0,-2.47,5781,2303518.7
2025-10-16,412.0,417.6,405.0,405.0,-2.88,3764,1544829.5
2025-10-15,412.0,420.0,405.1,417.0,-0.19,3174,1301490.6
2025-10-14,435.1,435.1,417.8,417.8,-3.95,2031,859384.5
2025-10-13,420.0,435.0,410.0,435.0,3.57,6501,2719389.5
2025-10-12,436.0,436.0,417.0,420.0,-5.58,8736,3709471.3
2025-10-09,449.7,467.1,434.7,444.8,0.88,6820,3006809.4
2025-10-08,447.0,447.2,425.4,440.9,-3.31,5374,2335304.3
2025-10-07,473.9,474.0,442.2,456.0,-1.91,10539,4739433.4
2025-09-28,474.0,474.0,456.1,464.9,-0.87,1061,488236.1
2025-09-25,475.0,479.0,443.1,469.0,-0.19,4611,2159929.4
2025-09-24,450.0,472.0,448.8,469.9,3.39,9467,4359432.5
2025-09-23,456.9,458.0,448.0,454.5,1.34,6947,3139388.4
2025-09-21,431.2,461.7,428.0,448.5,2.79,11788,5224837.3
2025-09-08,436.7,445.0,436.0,436.33,-1.07,4646,2041723.8
2025-09-07,445.1,445.1,440.0,441.04,-2.02,10073,4456202.9
2025-09-04,451.0,459.0,445.1,450.15,-1.46,10245,4594881.1
2025-09-03,460.1,467.0,455.2,456.82,-1.5,7487,3436562.0
2025-09-02,465.1,470.0,461.0,463.77,-0.43,5190,2413013.4
2025-09-01,469.0,470.0,465.0,465.75,-0.58,8272,3854185.1
2025-08-31,475.0,475.0,466.4,468.49,-1.2,9503,4461075.9
2025-08-28,484.0,484.0,470.1,474.18,-0.33,6792,3228469.1
2025-08-27,471.2,481.9,471.2,475.77,0.09,5855,2796467.3
2025-08-26,474.0,478.9,471.0,475.36,-0.19,643,304854.0
2025-08-25,473.0,478.0,468.2,476.25,0.26,3692,1744315.3
2025-08-24,477.0,479.5,473.1,475.0,-0.6,3464,1648620.1
2025-08-21,480.2,485.0,476.7,477.88,-0.76,6044,2893730.9
2025-08-20,480.0,487.8,479.0,481.55,-0.84,3451,1667604.3
2025-08-19,480.2,490.0,480.2,485.61,-0.67,5456,2656548.5
2025-08-18,477.1,489.9,476.2,488.87,2.16,9793,4735086.7
2025-08-17,475.0,484.9,473.0,478.54,-0.85,9064,4336077.4
2025-08-14,490.0,490.0,479.0,482.63,0.12,8062,3879046.6
2025-08-13,484.0,492.0,477.0,482.04,-0.26,7399,3581783.5
2025-08-12,471.5,500.3,471.5,483.28,0.46,5712,2766138.1
2025-08-11,488.0,490.0,478.5,481.06,-1.1,4970,2401316.3
2025-08-07,474.1,504.0,474.1,486.4,0.56,11792,5728354.2
2025-08-06,483.0,488.0,479.0,483.71,0.22,5548,2674531.5
2025-08-05,485.0,490.0,480.0,482.67,-0.86,12505,6053407.7
