date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,465.0,474.4,465.0,468.0,-0.43,16318,7625558.1
2026-02-11,473.2,483.0,464.0,470.0,1.29,44778,21100523.0
2026-02-10,463.0,472.0,461.0,464.0,-1.28,7090,3296010.9
2026-02-09,490.6,490.6,466.1,470.0,-2.29,49127,23160873.7
2026-02-08,485.0,495.0,476.0,481.0,0.67,73246,35453145.8
2026-02-05,457.0,480.0,457.0,477.8,5.01,65560,30813773.2
2026-02-04,461.0,463.0,452.0,455.0,-0.87,15231,6933269.0
2026-02-03,460.0,464.0,457.1,459.0,-0.43,8685,3994615.0
2026-02-02,461.0,463.5,457.2,461.0,0.0,16624,7637157.3
2026-02-01,457.1,463.9,455.0,461.0,-0.65,18057,8275000.5
2026-01-29,466.0,469.0,458.0,464.0,-0.43,11113,5162929.2
2026-01-28,464.5,467.5,458.1,466.0,0.22,17436,8066789.6
2026-01-27,488.0,488.0,465.0,465.0,-3.45,68606,32388325.4
2026-01-26,489.5,494.0,480.2,481.6,-1.61,43770,21296341.4
2026-01-25,468.0,490.0,468.0,489.5,5.04,53410,25608101.2
2026-01-22,459.1,470.0,459.1,466.0,-0.43,16453,7624795.9
2026-01-21,478.3,478.3,460.1,468.0,-0.21,18629,8652235.7
2026-01-20,462.0,472.0,460.6,469.0,3.08,39949,18677007.5
2026-01-18,445.0,458.6,445.0,455.0,1.11,14650,6666851.8
2026-01-14,443.0,451.9,443.0,450.0,0.33,16330,7323128.7
2026-01-13,443.1,454.9,443.1,448.5,-0.11,10805,4844628.7
2026-01-12,450.0,455.0,445.7,449.0,-0.64,27699,12453415.7
2026-01-08,450.0,454.0,447.0,451.9,-0.24,9809,4414959.0
2026-01-07,450.0,460.5,446.3,453.0,-0.44,11449,5202246.4
2026-01-06,459.7,460.0,451.0,455.0,0.44,12040,5490015.6
2026-01-05,448.0,453.0,446.1,453.0,1.34,17505,7846964.1
2026-01-04,445.0,452.0,444.2,447.0,-1.11,19252,8585818.6
2026-01-01,448.0,458.0,444.5,452.0,-0.66,13150,5901129.2
2025-12-31,448.1,460.0,448.1,455.0,0.0,11396,5161935.4
2025-12-29,458.0,463.7,445.0,455.0,-0.44,15417,6934081.7
2025-12-28,452.0,459.0,443.1,457.0,2.47,10176,4599667.1
2025-12-24,447.0,450.0,440.7,446.0,-0.22,5197,2307643.5
2025-12-23,442.0,448.0,442.0,447.0,0.47,10181,4527335.9
2025-12-22,443.0,448.0,440.2,444.9,-0.91,7587,3360682.3
2025-12-21,446.0,455.0,442.1,449.0,-0.44,22371,10096086.1
2025-12-18,456.0,456.0,448.2,451.0,-1.29,7342,3309491.4
2025-12-17,458.9,462.3,453.3,456.9,0.42,6877,3132249.5
2025-12-16,444.5,456.0,444.5,455.0,1.11,7070,3191768.9
2025-12-15,444.1,452.0,444.0,450.0,0.67,7039,3142605.9
2025-12-14,445.0,463.0,445.0,447.0,0.0,10588,4747375.5
2025-12-11,446.2,460.0,446.2,447.0,-1.74,13328,5987729.6
2025-12-10,459.0,474.0,449.9,454.9,-0.89,17653,8002715.6
2025-12-09,445.3,459.0,445.3,459.0,1.48,8735,3945546.3
2025-12-08,455.0,460.0,452.1,452.3,-1.67,11572,5275773.5
2025-12-07,461.2,470.0,455.0,460.0,-2.02,8669,3980952.2
2025-12-03,470.0,474.9,459.5,469.5,-0.11,11068,5132909.1
2025-12-02,472.9,472.9,463.5,470.0,0.32,30922,14426680.2
2025-12-01,463.0,471.0,463.0,468.5,-0.53,13465,6275354.4
2025-11-30,474.9,480.0,467.0,471.0,0.64,41064,19526852.4
2025-11-27,472.9,472.9,462.2,468.0,0.43,13451,6280172.3
2025-11-26,475.0,475.0,461.3,466.0,-0.58,26620,12506588.4
2025-11-25,475.0,475.0,456.2,468.7,-0.28,22668,10510332.4
2025-11-24,459.9,471.7,450.0,470.0,3.78,36118,16834373.6
2025-11-23,436.1,458.4,436.1,452.9,2.51,12574,5676521.7
2025-11-20,437.0,444.0,437.0,441.8,-0.72,11526,5075046.6
2025-11-19,453.9,453.9,440.2,445.0,-0.67,5766,2554837.6
2025-11-18,436.0,448.9,436.0,448.0,0.92,9450,4208093.9
2025-11-17,441.0,447.0,440.0,443.9,-0.25,7722,3419297.0
2025-11-16,442.0,446.9,442.0,445.0,-0.45,8163,3616321.2
2025-11-13,442.0,452.8,442.0,447.0,-0.89,10075,4498198.3
2025-11-12,460.0,460.0,444.0,451.0,-0.86,9847,4421358.7
2025-11-11,448.1,455.0,447.1,454.9,0.22,6491,2924462.4
2025-11-10,450.5,454.9,448.9,453.9,0.42,5507,2486736.3
2025-11-09,455.0,464.0,446.0,452.0,-2.38,10741,4847756.0
2025-11-06,477.0,477.0,459.0,463.0,-1.49,18898,8742588.2
2025-11-05,454.0,470.0,454.0,470.0,1.75,11474,5301832.0
2025-11-04,461.0,479.2,459.0,461.9,-1.72,15686,7323637.9
2025-11-03,482.0,487.0,466.0,470.0,-1.88,24912,11883398.0
2025-11-02,462.0,483.0,444.0,479.0,3.68,39146,18546126.6
2025-10-30,451.0,467.0,445.0,462.0,0.43,31391,14394422.4
2025-10-29,450.0,468.0,450.0,460.0,0.22,25082,11510857.4
2025-10-28,448.0,463.0,438.0,459.0,4.32,16917,7639865.7
2025-10-26,430.3,440.0,422.7,440.0,0.66,6829,2927274.6
2025-10-19,430.1,445.0,430.1,437.1,-0.32,9754,4235751.0
2025-10-16,436.0,445.0,436.0,438.5,-1.42,10312,4532329.4
2025-10-15,440.0,447.8,439.1,444.8,-0.71,6047,2667063.3
2025-10-14,446.0,459.0,437.5,448.0,-1.5,47684,21144849.6
2025-10-13,436.0,459.0,431.0,454.8,2.46,12788,5681742.0
2025-10-12,448.1,448.1,437.0,443.9,-2.87,17421,7662051.7
2025-10-09,462.8,479.0,440.0,457.0,0.71,19720,9002492.5
