date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,3236.0,3270.0,3173.1,3253.8,-0.65,1193,3814062.8
2026-02-11,3224.2,3420.0,3200.0,3275.0,-0.46,624,2019112.6
2026-02-10,3160.5,3353.0,3160.5,3290.0,2.02,362,1174829.0
2026-02-09,3278.9,3278.9,3200.1,3225.0,-1.64,636,2049339.9
2026-02-08,3290.0,3299.0,3235.0,3278.9,0.61,310,1015727.0
2026-02-05,3225.1,3289.0,3225.1,3259.0,-0.88,396,1288191.2
2026-02-04,3260.0,3292.0,3218.0,3288.0,0.49,633,2054832.0
2026-02-03,3280.0,3285.4,3221.0,3272.0,1.58,559,1806384.6
2026-02-02,3299.0,3300.0,3202.4,3221.0,-2.36,1351,4380567.5
2026-02-01,3260.0,3300.0,3251.0,3299.0,-0.03,747,2433342.4
2026-01-29,3290.0,3349.0,3252.0,3300.0,0.3,817,2675120.2
2026-01-28,3289.5,3400.0,3255.0,3290.0,2.02,825,2732898.4
2026-01-27,3336.1,3355.0,3225.0,3225.0,-3.33,1700,5599481.4
2026-01-26,3350.0,3399.9,3322.3,3336.1,-0.71,1050,3515441.7
2026-01-25,3351.0,3400.0,3351.0,3360.0,-0.39,673,2266687.6
2026-01-22,3350.0,3397.9,3335.0,3373.0,0.67,1313,4405816.4
2026-01-21,3362.0,3382.9,3350.5,3350.5,-0.34,310,1039710.4
2026-01-20,3400.0,3414.9,3350.0,3362.0,-1.12,651,2194700.7
2026-01-18,3435.0,3439.9,3265.4,3400.0,0.0,622,2098012.0
2026-01-14,3352.0,3415.0,3331.1,3400.0,-0.58,712,2387207.0
2026-01-13,3450.0,3450.0,3325.0,3419.8,-0.88,1583,5317684.0
2026-01-12,3382.1,3450.0,3322.0,3450.0,0.0,2582,8723782.9
2026-01-08,3424.5,3467.1,3368.1,3450.0,-1.25,1009,3420373.9
2026-01-07,3472.8,3493.5,3361.0,3493.5,0.6,4076,13895617.7
2026-01-06,3420.2,3499.0,3420.2,3472.8,-0.49,757,2599504.4
2026-01-05,3440.0,3498.9,3420.0,3490.0,0.29,645,2215971.0
2026-01-04,3410.4,3672.0,3372.0,3480.0,0.0,1206,4156195.6
2026-01-01,3406.4,3575.0,3370.0,3480.0,0.12,916,3141979.5
2025-12-31,3390.0,3500.0,3390.0,3475.9,0.75,254,867510.5
2025-12-29,3500.0,3500.0,3435.0,3450.0,-0.29,111,384440.0
2025-12-28,3372.0,3480.0,3372.0,3460.0,0.61,765,2622036.0
2025-12-24,3490.0,3490.0,3386.0,3439.0,-0.32,68,232769.6
2025-12-23,3400.0,3475.0,3376.0,3450.0,0.29,198,674176.0
2025-12-22,3390.1,3449.0,3390.0,3440.0,-0.29,70,239091.0
2025-12-21,3450.0,3450.0,3387.1,3450.0,-0.69,1401,4768975.0
2025-12-18,3479.0,3480.0,3410.2,3474.0,-2.11,1153,3946367.6
2025-12-17,3639.9,3639.9,3415.0,3549.0,-1.36,2214,7610208.6
2025-12-16,3448.6,3657.0,3381.1,3598.0,2.25,1961,6741432.5
2025-12-15,3481.0,3529.9,3455.0,3518.9,-0.85,296,1031703.4
2025-12-14,3534.0,3580.0,3490.0,3548.9,-1.58,556,1945931.0
2025-12-11,3577.0,3858.8,3456.0,3606.0,2.79,859,3034156.6
2025-12-10,3542.0,3830.0,3475.0,3508.0,-2.93,1645,5801244.5
2025-12-09,3561.3,3932.0,3491.0,3614.0,-0.55,3438,12232676.0
