date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,530.0,540.0,530.0,533.1,-1.09,31168,16636348.8
2026-02-11,538.0,550.0,530.0,539.0,-0.92,42452,22704120.4
2026-02-10,540.0,553.5,538.0,544.0,-1.27,44874,24329243.8
2026-02-09,538.1,568.0,538.1,551.0,0.36,93784,51474473.3
2026-02-08,528.0,551.9,528.0,549.0,2.04,65395,35618290.7
2026-02-05,493.1,539.0,493.1,538.0,6.96,146008,76299056.1
2026-02-04,491.2,515.9,491.2,503.0,1.82,35249,17859662.0
2026-02-03,485.0,500.0,485.0,494.0,1.52,31599,15516841.2
2026-02-02,481.5,492.0,481.5,486.6,0.33,32206,15668208.6
2026-02-01,488.1,494.0,480.0,485.0,-1.62,17033,8257792.6
2026-01-29,501.0,516.0,492.0,493.0,-2.57,32215,16219830.9
2026-01-28,486.0,517.0,486.0,506.0,4.29,83479,42029085.2
2026-01-27,468.3,500.0,468.3,485.2,1.93,55557,26976507.4
2026-01-26,470.0,476.7,466.0,476.0,0.85,17220,8122538.0
2026-01-25,457.0,474.9,457.0,472.0,2.05,19758,9277529.2
2026-01-22,460.0,469.0,459.0,462.5,-1.18,8432,3891561.7
2026-01-21,454.0,468.0,454.0,468.0,4.0,27792,12865881.1
2026-01-20,460.0,464.0,450.0,450.0,-0.24,21895,9967056.4
2026-01-18,444.5,459.2,444.5,451.1,0.18,8616,3896258.1
2026-01-14,453.0,460.9,450.1,450.3,-0.62,9855,4471871.7
2026-01-13,465.0,465.0,451.6,453.1,-0.64,11889,5417008.5
2026-01-12,451.1,469.0,451.1,456.0,-0.87,9067,4171659.1
2026-01-08,463.0,466.0,456.0,460.0,-0.86,13361,6146447.0
2026-01-07,478.0,478.0,457.1,464.0,-1.07,7886,3667384.6
2026-01-06,465.0,480.0,461.0,469.0,0.64,18000,8494844.6
2026-01-05,463.9,467.0,456.3,466.0,1.3,13679,6326727.1
2026-01-04,459.1,462.0,455.1,460.0,0.22,9400,4295285.2
2026-01-01,463.0,467.0,455.6,459.0,-1.38,18870,8688471.1
2025-12-31,460.0,469.0,460.0,465.4,1.17,13437,6240198.8
2025-12-29,458.0,465.0,455.6,460.0,0.44,8399,3844943.4
2025-12-28,453.1,467.0,453.1,458.0,0.22,5257,2412022.8
2025-12-24,456.0,462.9,452.0,457.0,0.46,4936,2243828.9
2025-12-23,447.5,457.1,447.5,454.9,0.86,13627,6170570.5
2025-12-22,453.0,457.1,447.2,451.0,-1.96,9043,4084174.7
2025-12-21,462.0,468.0,455.0,460.0,-2.0,7255,3328926.9
2025-12-18,462.0,471.8,462.0,469.4,0.73,8381,3911567.7
2025-12-17,462.0,474.0,461.1,466.0,-0.64,10417,4838854.5
2025-12-16,462.0,472.6,462.0,469.0,1.52,8742,4072824.6
2025-12-15,455.5,465.0,455.5,462.0,0.87,7926,3650528.5
2025-12-14,479.0,480.0,458.0,458.0,-3.38,12932,6024978.6
2025-12-11,471.4,487.0,471.0,474.0,-1.46,22209,10596354.3
2025-12-10,462.5,486.8,462.5,481.0,1.93,29707,14286647.6
