date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,610.0,622.0,610.0,614.0,-0.26,77866,48122140.7
2026-02-11,605.0,626.0,605.0,615.6,0.24,63495,39259445.9
2026-02-10,615.0,628.0,612.0,614.1,-0.79,125272,77501792.7
2026-02-09,625.2,648.0,618.0,619.0,-2.67,102735,64528624.3
2026-02-08,642.0,644.5,632.0,636.0,-0.78,125517,80134254.4
2026-02-05,633.0,646.0,633.0,641.0,1.26,111531,71385373.2
2026-02-04,628.0,645.0,625.4,633.0,0.8,139704,88538547.9
2026-02-03,643.0,643.0,620.2,628.0,-2.33,158879,100124435.1
2026-02-02,654.0,658.0,632.0,643.0,-2.13,230730,149124454.1
2026-02-01,673.3,698.0,640.0,657.0,-4.37,167879,110900295.5
2026-01-29,658.5,706.0,657.3,687.0,4.85,696210,466402282.0
2026-01-28,656.6,705.0,650.1,655.2,-2.19,742385,487856508.0
2026-01-27,660.0,674.0,654.0,669.9,0.46,221944,146636639.0
2026-01-26,660.9,679.0,648.0,666.8,2.9,398255,262192647.6
2026-01-25,622.2,648.0,622.2,648.0,2.69,477867,301479808.4
2026-01-22,612.1,632.0,612.1,631.0,1.94,283306,175795683.5
2026-01-21,600.1,620.0,600.1,619.0,1.91,476052,289735397.2
2026-01-20,585.1,610.0,585.1,607.4,1.74,414604,247081134.2
2026-01-18,585.0,615.0,580.1,597.0,2.24,191434,112890400.2
2026-01-14,560.1,600.0,560.1,583.9,2.82,286222,164837888.3
2026-01-13,563.0,569.0,563.0,567.9,0.39,60460,34154512.8
2026-01-12,553.6,567.0,553.6,565.7,0.28,76580,43089210.1
2026-01-08,555.0,565.0,555.0,564.1,-0.16,54028,30225070.2
2026-01-07,564.9,566.4,562.0,565.0,0.04,49238,27703052.7
2026-01-06,555.1,569.59,555.1,564.8,-0.04,59301,33400271.1
2026-01-05,560.0,569.59,560.0,565.0,0.36,96953,54485240.6
2026-01-04,560.0,566.8,558.3,563.0,-0.18,32612,18283065.0
2026-01-01,568.2,568.2,560.1,564.0,0.02,56094,31541620.3
2025-12-31,569.0,569.0,561.3,563.9,0.5,30400,17147747.0
2025-12-29,570.0,572.7,561.1,561.1,-1.56,64087,36375835.8
2025-12-28,560.1,572.0,560.1,570.0,0.02,54592,31000668.4
2025-12-24,560.2,570.0,560.1,569.9,1.05,47632,26925464.0
2025-12-23,559.0,565.0,559.0,564.0,0.89,27739,15570354.9
2025-12-22,575.0,575.0,559.0,559.0,-1.41,32068,17990264.4
2025-12-21,560.0,569.9,560.0,567.0,-0.53,40379,22712679.3
2025-12-18,558.6,626.0,558.6,570.0,0.02,42676,24323278.5
2025-12-17,569.0,571.0,562.0,569.9,0.0,59575,33834668.7
2025-12-16,560.2,570.0,560.0,569.9,0.51,49854,28060811.5
2025-12-15,560.0,582.0,560.0,567.0,-0.54,70809,40181207.8
2025-12-14,560.0,574.0,560.0,570.1,-0.02,48719,27665183.5
2025-12-11,560.0,590.0,560.0,570.2,0.05,133569,75983642.0
2025-12-10,560.6,596.0,560.6,569.9,-0.37,40219,22812630.0
2025-12-09,575.0,575.0,565.0,572.0,0.35,34627,19687096.0
2025-12-08,560.6,571.8,560.6,570.0,-0.35,86506,48934952.3
2025-12-07,578.2,597.7,568.0,572.0,-3.03,234141,134943228.1
2025-12-03,576.5,605.0,576.5,589.9,0.49,158142,92241842.3
2025-12-02,580.0,602.0,579.0,587.0,-0.66,182787,106993652.6
2025-12-01,557.1,610.0,557.1,590.9,4.4,470614,271003180.1
2025-11-30,555.0,580.0,555.0,566.0,0.23,177665,99864878.5
2025-11-27,540.0,566.9,535.1,564.7,4.13,263596,145075464.6
2025-11-26,541.2,545.0,538.0,542.3,0.2,69782,37701703.0
2025-11-25,547.0,547.0,540.0,541.2,0.22,27949,15140647.1
2025-11-24,529.5,548.9,529.5,540.0,0.0,90610,48584012.0
2025-11-23,525.0,545.7,525.0,540.0,0.93,118305,62887320.8
2025-11-20,532.1,535.0,530.0,535.0,0.13,34208,18238735.4
2025-11-19,533.0,536.9,530.0,534.3,0.24,25310,13469354.5
2025-11-18,525.0,534.9,525.0,533.0,1.62,30390,16145535.0
2025-11-17,523.3,530.0,523.3,524.5,-0.47,20158,10612631.8
2025-11-16,530.0,531.5,523.0,527.0,-0.57,29157,15346146.0
2025-11-13,515.5,534.0,515.5,530.0,0.76,25346,13421734.9
2025-11-12,521.0,530.0,518.0,526.0,0.02,32046,16890579.2
2025-11-11,525.2,530.0,523.1,525.9,-0.49,46754,24654728.5
2025-11-10,525.6,533.8,525.1,528.5,-0.09,39887,21034481.6
2025-11-09,525.0,530.0,522.2,529.0,0.19,37539,19764396.4
2025-11-06,530.0,540.0,526.1,528.0,0.0,156792,83260395.6
2025-11-05,527.1,531.0,522.3,528.0,-0.75,30235,15909089.0
2025-11-04,527.3,539.0,527.3,532.0,-0.56,61433,32737731.5
2025-11-03,542.0,550.0,532.3,535.0,-1.29,197096,105979229.3
2025-11-02,530.2,545.0,530.2,542.0,1.31,73603,39720615.5
2025-10-30,528.0,538.7,525.4,535.0,0.38,92034,48888332.5
2025-10-29,518.5,535.9,518.5,533.0,0.79,228526,120385111.8
2025-10-28,519.6,532.0,515.0,528.8,3.08,35173,18438842.8
2025-10-26,515.5,519.9,512.0,513.0,-0.19,67152,34471501.3
2025-10-19,502.1,540.0,502.1,514.0,0.78,159671,81900700.3
2025-10-16,500.1,510.0,500.1,510.0,0.2,152517,77207750.9
2025-10-15,504.1,509.9,500.0,509.0,-0.59,54812,27637272.7
2025-10-14,517.0,518.0,504.2,512.0,-0.39,47010,23861508.4
2025-10-13,511.0,517.0,501.0,514.0,0.61,173887,88804861.8
2025-10-12,525.1,525.1,495.0,510.9,-2.5,156412,78901867.8
2025-10-09,530.0,542.6,514.1,524.0,0.38,80280,42051175.1
