date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,500.0,510.4,500.0,510.0,0.2,348321,175521349.2
2026-02-11,498.0,540.0,496.1,509.0,2.27,516821,260793379.7
2026-02-10,485.0,530.0,485.0,497.7,1.78,649371,326053828.6
2026-02-09,516.1,516.1,487.3,489.0,-3.36,242267,119701683.7
2026-02-08,530.0,530.0,502.0,506.0,-4.71,285678,145521356.7
2026-02-05,506.9,545.0,491.0,531.0,6.84,1146555,587763862.6
2026-02-04,488.1,513.0,488.1,497.0,-0.2,199215,99650857.8
2026-02-03,525.1,531.0,495.0,498.0,-3.28,628491,322225257.4
2026-02-02,518.1,523.0,500.0,514.9,1.36,443962,229097796.5
2026-02-01,499.8,515.0,499.8,508.0,3.67,728599,371143268.6
2026-01-29,470.0,502.0,465.2,490.0,5.38,918125,446285292.0
2026-01-28,464.0,468.0,461.9,465.0,0.22,106220,49292559.2
2026-01-27,472.1,482.0,464.0,464.0,-1.11,326992,155328565.2
2026-01-26,450.9,476.0,450.9,469.2,1.98,296037,139203634.7
2026-01-25,470.8,470.8,455.8,460.1,-0.32,214416,99229529.3
2026-01-22,475.0,475.0,459.0,461.6,-0.92,167897,77472978.9
2026-01-21,478.0,478.0,462.0,465.9,-1.29,154034,71727258.6
2026-01-20,473.2,487.3,469.3,472.0,0.11,425319,202104894.0
2026-01-18,471.0,483.0,470.2,471.5,-0.74,144325,68450198.5
2026-01-14,460.0,489.0,460.0,475.0,3.26,486429,232672660.1
2026-01-13,452.0,469.0,452.0,460.0,-0.22,165223,76113269.9
2026-01-12,470.0,474.0,460.1,461.0,-1.28,133790,62278212.0
2026-01-08,470.2,470.2,455.7,467.0,1.3,100577,46684748.5
2026-01-07,464.0,472.0,457.2,461.0,-0.86,88976,41264930.2
2026-01-06,471.0,482.0,462.0,465.0,-1.06,201925,94770482.6
2026-01-05,462.3,474.0,458.0,470.0,0.3,202707,94577924.6
2026-01-04,485.2,485.2,464.1,468.6,-1.49,214642,100481866.0
2026-01-01,472.3,489.6,472.3,475.7,-1.29,114424,54776946.6
2025-12-31,493.5,493.5,478.1,481.9,-0.41,215733,103833764.7
2025-12-29,499.8,499.8,483.0,483.9,-1.24,65519,31938663.3
2025-12-28,471.9,515.0,471.9,490.0,1.77,554921,276035193.1
2025-12-24,496.8,496.8,481.1,481.5,-1.53,61734,29823766.2
2025-12-23,499.8,499.8,485.0,489.0,-0.2,61899,30191948.2
2025-12-22,486.0,493.6,484.2,490.0,0.6,90025,44008413.8
2025-12-21,488.2,498.7,485.3,487.1,-1.6,96413,47324268.3
2025-12-18,514.9,514.9,492.0,495.0,-1.96,144514,72005882.2
2025-12-17,489.0,511.0,478.3,504.9,3.48,454794,227850884.2
2025-12-16,466.0,487.9,466.0,487.9,2.72,64991,31366372.4
2025-12-15,475.3,485.0,472.3,475.0,-0.63,76002,36233099.5
2025-12-14,487.0,490.0,476.1,478.0,-0.85,61091,29226309.2
2025-12-11,481.1,489.7,481.0,482.1,-0.39,61756,29805121.8
2025-12-10,498.7,498.7,482.5,484.0,-1.02,66114,32107464.6
2025-12-09,495.9,499.0,487.0,489.0,-0.41,113009,55568686.7
2025-12-08,492.0,498.0,485.0,491.0,0.97,130446,64088980.7
2025-12-07,490.1,491.0,485.3,486.3,-1.12,127388,62011884.5
2025-12-03,506.7,506.7,490.0,491.8,-1.01,94431,46585490.7
