date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,464.0,475.0,464.0,469.0,-0.02,27321,12872342.6
2026-02-11,470.0,477.9,466.0,469.1,-0.49,23996,11267682.4
2026-02-10,470.0,479.4,464.0,471.4,-0.74,61053,28485434.5
2026-02-09,474.1,481.0,470.2,474.9,-0.65,31503,14918786.7
2026-02-08,480.0,498.0,476.0,478.0,-1.77,59643,28822142.6
2026-02-05,491.0,496.6,483.1,486.6,-0.65,80756,39427921.8
2026-02-04,487.3,503.0,484.0,489.8,-0.24,48072,23682814.2
2026-02-03,497.0,499.0,484.0,491.0,0.22,67829,33438880.3
2026-02-02,480.0,493.9,480.0,489.9,0.99,30294,14783059.7
2026-02-01,487.0,495.0,481.0,485.1,0.41,70216,34318105.7
2026-01-29,485.0,495.0,482.0,483.1,1.07,92175,45069048.8
2026-01-28,479.0,483.0,466.3,478.0,-0.21,55176,26201777.3
2026-01-27,494.7,494.7,474.5,479.0,-1.24,69963,33761489.3
2026-01-26,487.5,490.0,475.1,485.0,1.46,84630,40829809.4
2026-01-25,470.0,485.0,467.0,478.0,1.49,160167,76152974.0
2026-01-22,462.2,478.0,462.2,471.0,0.45,27819,13072319.2
2026-01-21,465.2,475.0,462.0,468.9,-0.21,42516,19855641.2
2026-01-20,470.0,476.0,458.5,469.9,1.47,95497,44534289.2
2026-01-18,459.0,467.9,450.5,463.1,0.65,43750,20163719.2
2026-01-14,465.0,468.0,460.0,460.1,-0.41,12229,5647207.8
2026-01-13,455.1,464.0,455.1,462.0,0.46,12270,5634020.0
2026-01-12,457.0,462.0,455.1,459.9,0.61,7400,3386575.3
2026-01-08,455.3,464.0,455.0,457.1,-0.63,9631,4398125.6
2026-01-07,460.0,465.2,458.5,460.0,-0.86,8214,3794610.5
2026-01-06,458.0,465.0,458.0,464.0,0.87,16465,7616998.5
2026-01-05,460.0,464.9,450.0,460.0,0.24,23135,10558517.5
2026-01-04,453.2,462.5,453.2,458.9,-0.24,7570,3476233.6
2026-01-01,455.5,471.1,455.5,460.0,-0.43,7604,3502300.3
2025-12-31,470.0,472.9,461.0,462.0,-0.43,5145,2392848.0
2025-12-29,465.0,470.0,464.0,464.0,-1.28,7583,3528355.3
2025-12-28,461.0,470.0,461.0,470.0,1.95,12919,6016906.5
2025-12-24,470.0,470.0,455.0,461.0,0.0,11455,5277109.1
2025-12-23,455.0,469.0,455.0,461.0,0.22,6709,3094602.9
2025-12-22,460.1,465.0,457.6,460.0,-0.86,12560,5775772.8
2025-12-21,466.5,474.3,463.0,464.0,-0.54,7360,3418334.8
2025-12-18,476.0,476.0,465.1,466.5,-0.81,14280,6681795.6
2025-12-17,475.0,478.0,470.3,470.3,-0.59,9388,4433811.8
2025-12-16,470.1,477.8,470.1,473.1,1.48,22274,10571151.6
2025-12-15,461.4,473.0,461.4,466.2,-0.06,5381,2515747.6
2025-12-14,482.0,483.9,466.5,466.5,-3.2,18066,8509222.6
2025-12-11,465.1,485.0,463.0,481.9,2.97,39717,19002583.3
2025-12-10,464.2,470.0,464.2,468.0,-0.13,8399,3933895.3
2025-12-09,461.0,473.0,461.0,468.6,0.56,11459,5375724.2
2025-12-08,463.0,470.0,460.0,466.0,0.52,23588,10921968.9
2025-12-07,470.5,478.0,463.6,463.6,-2.38,16580,7809987.8
2025-12-03,480.0,495.0,471.0,474.9,-0.75,30822,14835194.4
2025-12-02,471.2,482.0,471.2,478.5,-0.31,15366,7334184.4
2025-12-01,478.0,481.0,474.1,480.0,-1.34,22639,10811555.3
2025-11-30,490.0,490.0,476.0,486.5,-0.1,37342,18011056.3
2025-11-27,482.0,489.9,482.0,487.0,0.21,26019,12620707.6
2025-11-26,501.0,501.0,483.0,486.0,-1.22,30560,14946214.6
2025-11-25,492.0,494.0,483.2,492.0,-0.18,27814,13557973.9
2025-11-24,485.0,496.7,481.1,492.9,2.58,69767,34177458.2
2025-11-23,486.0,488.0,476.5,480.5,0.73,87320,42063128.5
2025-11-20,470.0,484.5,467.2,477.0,1.47,34620,16434805.4
2025-11-19,474.1,476.0,469.0,470.1,-2.45,10133,4780123.0
2025-11-18,476.1,491.0,475.0,481.9,0.82,20831,10054548.3
2025-11-17,470.0,481.4,466.2,478.0,0.63,14052,6687379.5
2025-11-16,482.0,482.0,468.0,475.0,-1.45,19364,9178863.0
2025-11-13,486.0,486.0,468.0,482.0,-0.72,13654,6519002.5
2025-11-12,463.2,499.0,463.2,485.5,5.31,61457,29569231.9
2025-11-11,463.0,466.0,455.0,461.0,1.54,8883,4098433.8
2025-11-10,463.0,465.0,450.0,454.0,0.0,18220,8269850.4
2025-11-09,472.0,474.9,454.0,454.0,-2.03,10419,4801877.2
2025-11-06,465.0,470.1,462.0,463.4,-2.3,7775,3612191.1
2025-11-05,463.9,474.3,457.0,474.3,2.0,9156,4235706.6
2025-11-04,460.2,473.9,460.0,465.0,-0.85,12042,5595067.4
2025-11-03,475.0,475.0,463.0,469.0,-0.64,15642,7327256.4
2025-11-02,461.0,480.0,461.0,472.0,1.07,29489,13991616.4
2025-10-30,455.0,469.0,442.3,467.0,2.64,13538,6230101.8
2025-10-29,448.1,470.0,441.0,455.0,-0.48,21857,9869055.1
2025-10-28,454.8,465.0,447.0,457.2,2.28,5790,2659760.4
2025-10-26,440.0,447.0,432.1,447.0,2.5,6230,2749878.0
2025-10-19,440.0,441.6,432.0,436.1,0.48,1420,620038.0
2025-10-16,440.0,442.0,434.0,434.0,-0.91,4780,2087110.0
2025-10-15,439.1,456.0,438.0,438.0,-1.57,10563,4667634.7
2025-10-14,440.3,454.0,440.3,445.0,-0.89,12026,5369806.4
2025-10-13,448.0,454.0,440.0,449.0,1.79,11747,5239466.2
2025-10-12,459.7,459.7,441.0,441.1,-5.95,21036,9415503.4
2025-10-09,474.3,493.0,465.0,469.0,0.86,11468,5381379.8
2025-10-08,472.0,476.0,464.0,465.0,-1.48,17627,8269265.3
2025-10-07,499.9,499.9,472.0,472.0,-5.41,16673,8017087.1
2025-09-28,495.0,509.9,492.2,499.0,0.81,18260,9145122.1
2025-09-25,489.0,495.0,482.0,495.0,-0.6,17263,8486478.5
2025-09-24,504.7,504.7,479.3,498.0,0.63,37487,18249122.4
2025-09-23,484.0,494.9,475.0,494.9,2.42,22749,11005247.8
