date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1436.7,1450.0,1435.0,1437.0,-0.42,4977,7162164.2
2026-02-11,1465.0,1465.0,1442.0,1443.0,-0.48,1607,2333251.5
2026-02-10,1465.0,1475.0,1440.1,1450.0,-0.07,2559,3717617.4
2026-02-09,1475.0,1475.0,1445.0,1451.0,-0.82,2040,2960249.9
2026-02-08,1489.0,1495.0,1450.0,1463.0,-0.2,6485,9483895.4
2026-02-05,1485.0,1485.0,1453.0,1466.0,0.14,3982,5829839.2
2026-02-04,1489.0,1489.0,1435.0,1464.0,0.27,3460,5030875.5
2026-02-03,1470.0,1490.0,1445.0,1460.0,-0.68,3809,5568027.6
2026-02-02,1500.0,1500.0,1465.0,1470.0,-1.01,4225,6237593.5
2026-02-01,1470.1,1495.0,1470.0,1485.0,-0.27,3877,5734984.1
2026-01-29,1499.0,1514.0,1475.0,1489.0,-0.74,7425,11016396.7
2026-01-28,1515.0,1515.0,1485.0,1500.1,-0.33,7432,11096033.4
2026-01-27,1501.0,1525.0,1499.4,1505.0,-1.63,10718,16173504.8
2026-01-26,1540.0,1550.0,1505.3,1530.0,-2.52,16995,25865520.2
2026-01-25,1589.8,1589.9,1499.5,1569.5,0.61,14889,23081806.4
2026-01-22,1578.0,1578.0,1500.0,1560.0,0.71,9142,13916343.0
2026-01-21,1580.0,1600.0,1545.2,1549.0,-2.27,8649,13506868.0
2026-01-20,1586.5,1649.9,1582.0,1585.0,1.9,20842,33607491.2
2026-01-18,1442.2,1555.4,1432.0,1555.4,10.0,20379,30853779.0
2026-01-14,1428.1,1434.0,1407.0,1414.0,-0.77,8225,11679413.5
2026-01-13,1438.0,1450.0,1425.0,1425.0,-1.38,6590,9451799.6
2026-01-12,1504.0,1504.0,1440.0,1445.0,-2.36,10454,15215628.6
2026-01-08,1470.0,1485.0,1461.5,1480.0,-0.27,3101,4572342.2
2026-01-07,1484.0,1489.0,1466.0,1484.0,0.47,5835,8635142.3
2026-01-06,1484.9,1484.9,1460.0,1477.0,0.68,4562,6697906.2
2026-01-05,1452.0,1481.0,1452.0,1467.0,0.14,5100,7460315.7
2026-01-04,1488.9,1488.9,1452.0,1465.0,0.34,2746,4025130.6
2026-01-01,1451.0,1499.9,1450.2,1460.0,-1.02,4844,7107960.7
2025-12-31,1500.0,1500.0,1470.1,1475.0,-1.01,3866,5733506.6
2025-12-29,1499.0,1502.0,1471.0,1490.0,0.48,5283,7874405.2
2025-12-28,1477.0,1483.0,1466.0,1482.9,1.29,4365,6424451.0
2025-12-24,1483.0,1483.0,1451.0,1464.0,0.62,2849,4158169.2
2025-12-23,1504.0,1504.0,1450.0,1455.0,-1.95,2545,3720247.3
2025-12-22,1471.0,1500.0,1470.0,1484.0,-0.4,1913,2833935.6
2025-12-21,1500.0,1526.8,1438.0,1490.0,-0.67,6379,9426804.6
2025-12-18,1518.0,1518.0,1495.0,1500.0,-0.6,4059,6095769.0
2025-12-17,1527.9,1528.0,1500.0,1509.0,-0.59,6755,10166290.7
2025-12-16,1531.9,1531.9,1510.6,1518.0,0.86,3839,5817646.5
2025-12-15,1518.8,1524.9,1480.0,1505.0,0.33,8337,12519975.9
2025-12-14,1535.0,1541.0,1500.1,1500.1,-1.18,2079,3150182.3
2025-12-11,1500.0,1529.0,1480.0,1518.0,0.53,9170,13792889.7
2025-12-10,1544.0,1544.0,1501.0,1510.0,-1.05,5670,8590271.5
2025-12-09,1550.0,1558.0,1525.0,1526.0,-0.91,7984,12277887.6
2025-12-08,1600.0,1600.0,1540.0,1540.0,-3.08,10421,16222313.0
