date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,770.0,770.0,750.0,760.0,-0.65,5440,4095118.2
2026-02-11,785.0,785.0,765.0,765.0,-0.65,3587,2756156.0
2026-02-10,775.0,779.0,770.0,770.0,-0.52,1821,1404889.5
2026-02-09,786.0,786.0,771.0,774.0,0.13,6044,4693541.5
2026-02-08,769.0,786.0,769.0,773.0,0.52,1937,1514075.3
2026-02-05,765.0,781.0,760.0,769.0,0.35,2746,2113899.3
2026-02-04,781.3,781.3,766.3,766.3,0.04,1270,979723.0
2026-02-03,779.9,780.0,765.0,766.0,-0.04,3162,2428420.9
2026-02-02,761.1,784.3,761.1,766.3,-0.48,916,709273.8
2026-02-01,785.8,785.8,760.1,770.0,-0.05,3620,2784250.0
2026-01-29,783.9,785.5,770.4,770.4,0.04,5450,4231643.6
2026-01-28,784.0,788.0,770.1,770.1,-1.65,1560,1208158.1
2026-01-27,800.0,800.7,778.0,783.0,-0.25,5363,4242005.6
2026-01-26,807.0,807.0,773.0,785.0,-0.87,5125,4039554.5
2026-01-25,792.0,792.0,765.0,791.9,1.92,9286,7244505.0
2026-01-22,781.0,781.0,767.0,777.0,0.91,1991,1538897.6
2026-01-21,790.0,790.4,770.0,770.0,-0.65,2740,2123970.3
2026-01-20,780.0,790.0,775.0,775.0,1.04,2617,2052848.9
2026-01-18,757.0,772.0,757.0,767.0,1.59,3475,2669628.8
2026-01-14,751.0,771.0,750.1,755.0,-0.4,1757,1339375.3
2026-01-13,765.0,777.9,758.0,758.0,0.93,2368,1808311.7
2026-01-12,777.3,787.0,750.0,751.0,-1.46,4786,3626500.3
2026-01-08,760.1,777.0,760.1,762.1,-0.38,1544,1188823.0
2026-01-07,765.0,784.9,765.0,765.0,-0.52,2394,1853285.6
2026-01-06,785.0,785.0,754.0,769.0,-0.13,4175,3192033.1
2026-01-05,765.0,780.0,758.0,770.0,0.65,3668,2818046.3
2026-01-04,760.0,767.0,750.0,765.0,1.06,902,688875.7
2026-01-01,752.0,767.0,752.0,757.0,-1.3,2232,1695126.7
2025-12-31,780.2,780.2,761.0,767.0,0.26,1168,894491.6
2025-12-29,781.0,781.0,760.0,765.0,-0.52,1754,1344170.4
2025-12-28,779.0,779.0,760.3,769.0,-0.76,1241,951492.5
2025-12-24,765.0,777.0,762.0,774.9,-0.4,3082,2352226.1
2025-12-23,765.6,778.0,765.0,778.0,1.62,381,293583.6
2025-12-22,774.9,795.4,765.0,765.6,-0.18,6217,4891259.5
2025-12-21,756.0,769.0,756.0,767.0,0.22,581,444305.4
2025-12-18,770.3,780.0,765.1,765.3,-1.88,3582,2755499.6
2025-12-17,778.0,784.0,769.0,780.0,1.96,3931,3039169.2
2025-12-16,775.0,789.0,763.5,765.0,0.39,759,586992.6
2025-12-15,760.2,766.0,760.1,762.0,-0.41,1806,1376192.7
2025-12-14,790.0,790.0,764.0,765.1,-1.3,1027,789942.8
2025-12-11,765.0,790.0,765.0,775.2,-0.1,1912,1490583.7
2025-12-10,790.0,794.0,776.0,776.0,0.06,491,382513.2
2025-12-09,785.0,799.0,773.0,775.5,0.7,889,694712.0
2025-12-08,779.0,789.9,765.1,770.1,-1.16,1227,951789.8
2025-12-07,785.0,812.9,779.1,779.1,-0.63,3059,2443021.5
2025-12-03,778.0,789.0,778.0,784.0,-0.87,3174,2486146.2
2025-12-02,770.0,790.9,766.1,790.9,1.38,1984,1553334.2
2025-12-01,798.9,798.9,774.2,780.1,-0.5,5792,4550313.9
2025-11-30,805.0,805.0,784.0,784.0,-3.78,5891,4688250.0
2025-11-27,815.0,816.9,803.1,814.8,1.72,2058,1673005.7
2025-11-26,810.0,817.0,801.0,801.0,0.13,8304,6709042.9
2025-11-25,796.0,800.0,793.2,800.0,0.0,1231,980549.4
2025-11-24,811.0,812.0,790.9,800.0,0.29,2019,1611867.5
2025-11-23,790.0,807.0,780.0,797.7,1.62,4261,3397145.0
2025-11-20,761.2,785.0,761.2,785.0,1.29,1171,902189.8
2025-11-19,770.0,775.0,760.0,775.0,-1.15,5239,3990877.3
2025-11-18,781.0,785.0,760.0,784.0,2.35,3023,2330042.0
2025-11-17,770.0,770.0,762.0,766.0,-0.52,727,556626.5
2025-11-16,788.0,788.0,765.0,770.0,-1.28,265,203960.5
2025-11-13,790.0,790.0,750.0,780.0,0.01,2465,1886570.4
2025-11-12,774.2,785.0,767.0,779.9,-1.28,1508,1164828.0
2025-11-11,772.3,790.0,766.1,790.0,0.25,415,322686.9
2025-11-10,789.9,811.5,764.4,788.0,1.03,3528,2784228.4
2025-11-09,785.1,785.1,768.0,780.0,-2.01,1400,1082536.8
2025-11-06,813.0,813.0,783.5,796.0,-0.38,1772,1391477.3
2025-11-05,785.0,799.0,763.0,799.0,3.77,3925,3072082.0
2025-11-04,778.0,790.0,770.0,770.0,-1.91,2644,2053418.0
2025-11-03,800.0,800.9,771.5,785.0,-0.03,1148,906030.5
2025-11-02,773.0,795.0,772.7,785.2,-0.41,1448,1144316.0
2025-10-30,756.6,790.0,755.0,788.4,2.12,1090,838679.0
2025-10-29,772.9,779.0,760.0,772.0,0.89,1498,1148643.6
2025-10-28,755.0,770.1,745.0,765.2,3.38,1524,1169124.5
2025-10-26,738.2,750.0,737.0,740.2,-1.7,1174,867904.0
2025-10-19,743.0,753.0,740.0,753.0,0.4,647,480561.7
2025-10-16,751.4,757.0,744.0,750.0,-1.96,1759,1315891.5
2025-10-15,755.0,771.0,745.0,765.0,1.19,1077,810709.0
2025-10-14,783.3,783.3,755.0,756.0,-1.56,1643,1249333.0
2025-10-13,754.0,795.6,739.1,768.0,-0.12,2128,1610054.9
2025-10-12,795.0,795.0,755.0,768.9,-3.28,3865,2969546.0
2025-10-09,819.0,819.0,795.0,795.0,-1.0,3141,2523939.0
2025-10-08,784.4,803.0,784.0,803.0,0.38,2066,1644885.2
2025-10-07,812.0,815.0,790.0,800.0,-3.03,1984,1587502.0
2025-09-28,817.0,825.0,805.0,825.0,2.23,1134,918798.0
2025-09-25,801.0,807.0,800.0,807.0,0.25,1629,1303735.8
2025-09-24,806.0,811.0,800.0,805.0,-2.07,2950,2384892.1
2025-09-23,815.0,823.0,802.1,822.0,1.31,3177,2590733.9
2025-09-21,781.4,815.0,773.0,811.36,1.77,6855,5407986.4
2025-09-08,793.0,800.0,782.0,797.28,0.41,3158,2499206.2
2025-09-07,790.6,822.0,790.6,794.0,-1.49,793,640315.2
2025-09-04,792.1,806.0,792.0,806.0,0.01,1631,1295246.6
2025-09-03,805.0,811.0,797.0,805.9,-0.22,1142,914408.3
2025-09-02,829.0,829.0,805.0,807.68,-1.05,1241,1011361.5
2025-09-01,807.5,819.0,793.2,816.23,3.1,5490,4428003.5
2025-08-31,808.0,816.1,791.0,791.7,-1.81,9260,7393568.9
2025-08-28,830.1,830.1,803.1,806.31,-2.32,3270,2651458.8
2025-08-27,806.0,830.0,806.0,825.45,1.06,3978,3273384.0
2025-08-26,850.0,850.0,800.0,816.79,-2.44,6428,5231250.5
2025-08-25,837.0,848.9,827.0,837.23,2.02,2201,1835532.9
2025-08-24,842.0,842.0,820.0,820.64,-0.66,2524,2080966.3
2025-08-21,826.0,835.0,825.0,826.09,-1.55,1598,1324299.5
2025-08-20,822.0,839.5,821.0,839.13,0.51,559,464010.5
2025-08-19,860.0,860.0,833.0,834.91,-1.23,2880,2417790.5
2025-08-18,853.5,853.5,840.0,845.27,1.01,1173,988773.9
2025-08-17,874.0,890.0,835.1,836.83,-2.58,3693,3120576.1
2025-08-14,890.0,890.0,855.0,859.01,-1.86,4903,4231091.5
2025-08-13,881.0,905.0,873.1,875.3,-1.43,2767,2436721.5
2025-08-12,896.94,896.94,875.0,888.0,-1.0,3214,2830805.5
2025-08-11,925.0,926.0,895.1,896.94,-3.09,9073,8238191.9
2025-08-07,937.0,938.0,923.0,925.52,0.64,10698,9945138.4
2025-08-06,879.0,927.0,877.0,919.63,2.94,7299,6671126.5
2025-08-05,911.6,915.0,877.2,893.38,-0.04,10042,9032529.6
2025-08-04,909.9,920.0,890.1,893.74,0.17,6535,5866263.2
2025-08-03,925.0,925.0,889.0,892.26,-3.71,12129,10939808.4
2025-07-31,932.0,950.0,921.0,926.6,-0.75,7606,7113150.8
2025-07-30,980.0,989.0,930.0,933.59,-4.73,13018,12380412.6
2025-07-29,950.0,1008.0,945.0,979.89,5.07,17372,16991266.4
2025-07-28,935.38,952.0,905.1,932.59,-0.3,13926,12859888.6
2025-07-27,908.0,963.0,908.0,935.38,1.02,21517,20378285.3
2025-07-24,925.0,940.0,920.0,925.97,-0.92,6514,6050524.4
2025-07-23,947.0,947.0,915.0,934.56,-1.33,10061,9361020.6
2025-07-22,926.7,962.0,926.7,947.12,4.01,16636,15730117.6
2025-07-21,882.0,912.0,882.0,910.62,1.83,14726,13302499.3
2025-07-20,924.5,938.0,885.0,894.25,-1.34,14500,13147292.0
2025-07-17,901.0,917.0,887.3,906.4,2.28,15037,13548895.5
2025-07-16,884.0,898.0,866.4,886.19,2.17,7519,6628674.7
2025-07-15,858.0,869.0,851.0,867.35,1.29,1968,1700801.3
2025-07-14,863.0,880.0,851.1,856.29,-2.54,3174,2731038.7
2025-07-13,882.7,900.0,865.0,878.6,1.51,9723,8540940.2
2025-07-10,873.0,875.0,840.0,865.49,0.61,10496,9016928.5
2025-07-09,829.6,865.9,829.6,860.23,1.63,4568,3898608.5
2025-07-08,862.2,862.2,830.0,846.43,0.13,4196,3534358.6
2025-07-07,860.7,860.7,815.0,845.34,0.18,9826,8176525.4
2025-07-06,835.0,868.7,815.0,843.86,1.99,8700,7235793.4
2025-07-03,844.6,844.6,814.0,827.38,-0.09,3087,2554249.3
2025-07-02,850.8,850.8,823.3,828.11,-0.73,3495,2902216.2
2025-07-01,817.9,843.0,803.5,834.19,2.59,3805,3158612.3
2025-06-30,815.0,821.5,810.0,813.11,0.81,5699,4670036.5
2025-06-29,804.0,808.0,785.0,806.58,2.1,1915,1535505.4
2025-06-26,800.9,812.8,787.0,789.97,0.55,1143,908862.2
2025-06-25,805.0,805.7,780.3,785.63,-0.55,1062,836268.6
2025-06-24,807.8,807.8,783.2,789.94,-0.26,1037,821973.2
2025-06-23,801.3,801.3,780.0,792.0,0.81,305,240683.9
2025-06-22,781.0,810.0,780.0,785.64,-1.08,8413,6581918.0
2025-06-19,790.2,805.0,790.2,794.18,-0.93,2715,2155869.2
2025-06-18,815.7,830.7,800.0,801.61,-1.57,1824,1465518.7
2025-06-17,793.0,825.0,793.0,814.43,1.28,3098,2535207.1
2025-06-16,806.6,820.0,791.1,804.12,1.68,1657,1331633.1
2025-06-15,781.0,810.0,781.0,790.81,-0.44,1196,953475.2
2025-06-12,800.0,816.0,792.1,794.29,-0.41,1787,1425240.1
2025-06-11,823.5,823.5,794.1,797.59,-1.23,2594,2076999.0
2025-06-10,814.5,814.5,800.0,807.49,1.1,3162,2536044.5
2025-06-09,798.0,807.0,791.4,798.67,0.1,3358,2685650.5
2025-06-08,800.0,809.5,795.0,797.86,-1.15,2629,2099642.7
2025-06-05,801.0,814.0,801.0,807.16,-0.11,1893,1526386.1
2025-06-04,805.0,828.9,805.0,808.02,-1.46,1661,1346341.0
2025-06-03,825.0,833.0,817.2,820.02,-1.66,330,270228.4
2025-06-02,840.0,840.0,824.0,833.82,-0.34,2521,2091257.7
2025-05-28,857.0,857.0,824.0,836.7,-0.47,1187,990114.0
2025-05-27,828.0,850.0,828.0,840.68,0.0,1648,1380626.5
2025-05-26,874.9,892.0,832.0,840.69,-2.0,3684,3138265.8
2025-05-25,847.9,869.9,835.0,857.82,3.1,15302,13096327.5
2025-05-22,831.9,859.9,818.3,832.0,2.01,4526,3832353.8
2025-05-21,840.8,875.0,815.2,815.63,-1.07,2108,1756315.1
2025-05-20,828.8,829.0,806.6,824.41,1.34,1508,1235254.9
2025-05-19,818.8,818.8,798.7,813.5,1.33,1168,938773.7
2025-05-18,786.1,829.0,786.1,802.82,0.8,2205,1789680.5
2025-05-15,799.0,816.0,788.0,796.43,-0.43,4075,3245408.8
2025-05-14,811.0,811.0,797.0,799.87,0.33,1651,1320929.2
2025-05-13,816.46,817.0,790.0,797.2,-2.36,3230,2575376.0
2025-05-11,806.0,820.0,805.3,816.46,-0.59,937,756456.0
2025-05-08,850.0,850.0,818.0,821.29,-1.53,2452,2026613.2
2025-05-07,805.5,870.0,803.6,834.03,5.41,6991,5772968.8
2025-05-06,782.1,805.5,782.0,791.26,0.19,2468,1955275.5
2025-05-05,799.0,799.0,783.0,789.79,0.74,1078,847258.0
2025-05-04,791.7,791.7,770.0,784.0,0.98,2246,1749621.8
2025-04-30,788.0,798.0,771.5,776.36,-1.18,1689,1333243.1
2025-04-29,803.3,803.3,777.0,785.61,-0.25,1212,959298.8
2025-04-28,805.0,805.0,783.3,787.55,-2.05,7737,6108844.0
2025-04-27,819.0,830.0,797.0,804.0,-1.48,6022,4847679.2
2025-04-24,818.0,827.0,813.0,816.06,-0.24,2509,2051156.1
2025-04-23,846.3,863.2,814.7,818.0,-1.42,13046,10636689.2
2025-04-22,850.0,850.0,820.0,829.75,-1.0,14192,11682460.4
2025-04-21,837.0,851.0,836.6,838.14,-1.28,1233,1033339.2
2025-04-20,851.0,855.0,842.1,849.0,-1.74,931,788318.5
2025-04-17,878.0,878.0,854.0,864.01,-0.38,1041,900604.5
2025-04-16,858.1,874.6,853.0,867.33,-0.88,808,694323.4
2025-04-15,885.9,885.9,868.0,875.0,0.69,534,465703.9
2025-04-13,851.0,881.0,848.5,868.98,0.46,1748,1508946.9
2025-04-10,846.1,865.0,846.1,864.97,0.41,1459,1253723.0
2025-04-09,870.0,870.0,853.0,861.42,-0.74,898,770785.7
2025-04-08,851.0,874.0,833.1,867.83,0.66,2579,2198826.1
2025-04-07,861.0,870.0,855.1,862.16,-0.95,2097,1809936.8
2025-04-03,874.0,885.0,863.5,870.44,-0.49,1632,1425424.0
2025-04-02,859.0,876.8,851.0,874.74,2.54,4526,3936261.6
2025-04-01,870.0,870.0,841.2,853.09,-1.37,2120,1808289.4
2025-03-30,862.9,870.0,851.1,864.91,1.38,2148,1859215.3
2025-03-27,857.0,860.0,840.0,853.11,1.47,2706,2303075.4
2025-03-26,807.0,845.0,807.0,840.72,2.37,1583,1316744.9
2025-03-25,825.0,825.0,800.0,821.29,-2.32,1841,1496008.1
2025-03-24,813.0,844.0,813.0,840.78,1.49,1571,1313363.5
2025-03-23,833.0,867.0,821.3,828.44,-2.54,2341,1945984.2
2025-03-20,855.0,855.0,840.0,850.0,-0.23,2153,1811882.9
2025-03-19,851.1,866.0,851.1,852.0,-1.5,1563,1336820.6
2025-03-18,841.0,886.9,841.0,865.0,0.82,2679,2301154.1
2025-03-17,860.0,869.0,850.7,858.0,0.35,1359,1161576.9
2025-03-16,850.0,876.2,835.1,855.0,-0.48,4711,3994498.8
2025-03-12,885.0,885.0,859.0,859.1,-1.82,3684,3195353.4
2025-03-11,905.0,905.0,870.0,875.0,-2.56,3261,2862554.0
2025-03-10,896.1,900.0,880.0,898.0,-0.22,4375,3886611.3
2025-03-09,926.0,930.0,880.0,900.0,-1.64,1874,1684452.0
2025-03-06,902.0,928.0,902.0,915.0,-0.54,3056,2787469.0
2025-03-05,940.0,950.6,914.0,920.0,-1.29,3864,3589445.5
2025-03-04,935.0,950.0,920.1,932.0,-1.38,12310,11515981.5
2025-03-03,960.1,980.0,942.0,945.0,-1.56,6193,5966181.9
2025-03-02,968.0,968.0,952.0,960.0,0.52,2936,2828452.7
2025-02-27,954.0,972.0,934.4,955.0,0.21,4281,4046136.7
2025-02-25,951.0,975.0,944.3,953.0,-1.14,2752,2622998.4
2025-02-24,974.9,980.0,951.1,964.0,-1.43,4602,4434437.4
2025-02-23,955.0,978.0,941.0,978.0,1.54,13132,12593031.9
2025-02-20,965.0,970.0,945.0,963.2,1.6,10400,9964011.3
2025-02-18,973.0,974.1,943.1,948.0,-3.17,10386,9954663.4
2025-02-17,964.8,1003.6,964.8,979.0,3.49,11949,11777336.7
2025-02-16,931.0,956.0,931.0,946.0,1.58,13722,13018162.7
2025-02-13,903.0,931.3,900.0,931.3,3.24,4402,4014251.9
2025-02-12,925.0,931.2,895.0,902.1,-1.19,3100,2832666.4
2025-02-11,915.3,930.5,900.0,913.0,1.74,3431,3124859.2
2025-02-10,921.7,922.0,897.1,897.4,-0.84,5024,4551382.7
2025-02-09,931.0,931.0,897.0,905.0,-1.09,1918,1736882.4
2025-02-06,920.0,928.0,900.1,915.0,0.57,4037,3690947.2
