date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,560.5,576.3,560.5,570.0,1.06,4385,2501367.0
2026-02-11,570.0,577.0,563.0,564.0,-1.05,8604,4875660.8
2026-02-10,581.4,604.8,563.0,570.0,0.0,9248,5313721.7
2026-02-09,570.0,579.9,567.0,570.0,-1.72,15825,9027370.5
2026-02-08,590.0,596.2,578.0,580.0,-2.31,10873,6362701.1
2026-02-05,565.0,600.0,565.0,593.7,3.78,21672,12806126.8
2026-02-04,572.0,585.0,570.5,572.1,-0.52,9941,5726805.6
2026-02-03,577.9,583.1,566.5,575.1,1.41,9496,5472053.6
2026-02-02,570.4,582.0,567.0,567.1,-2.56,10406,5954857.0
2026-02-01,590.0,599.0,569.0,582.0,-2.37,18804,10920616.2
2026-01-29,610.0,628.4,596.0,596.1,-3.23,29311,17827388.0
2026-01-28,608.5,627.3,608.5,616.0,-0.79,24812,15328635.3
2026-01-27,587.2,652.0,587.2,620.9,3.69,107022,67310143.1
2026-01-26,580.0,604.1,575.0,598.8,3.24,40186,23622573.6
2026-01-25,572.0,580.0,565.0,580.0,3.02,18537,10600080.2
2026-01-22,572.0,572.0,551.8,563.0,0.0,15084,8451814.9
2026-01-21,570.0,581.5,557.0,563.0,-0.53,50866,28638141.1
2026-01-20,575.0,579.9,559.1,566.0,0.37,15530,8862636.6
2026-01-18,547.9,570.0,547.9,563.9,0.88,10911,6158046.2
2026-01-14,555.0,568.9,555.0,559.0,-0.18,9351,5246083.9
2026-01-13,556.2,563.0,556.2,560.0,0.0,6283,3510985.9
2026-01-12,577.0,577.0,558.0,560.0,-1.15,8650,4861431.7
2026-01-08,565.0,570.0,560.0,566.5,0.43,3150,1783021.0
2026-01-07,578.0,580.0,560.1,564.1,-0.74,5150,2935677.6
2026-01-06,566.2,575.0,566.2,568.3,0.04,3227,1841831.1
2026-01-05,577.0,577.0,563.1,568.1,0.37,7275,4140502.3
2026-01-04,560.0,576.0,560.0,566.0,0.27,3322,1882032.6
2026-01-01,565.0,575.0,554.5,564.5,-0.96,5616,3187854.9
2025-12-31,570.0,590.0,565.0,570.0,0.88,10845,6293185.0
2025-12-29,565.0,580.0,562.4,565.0,-0.88,5200,2942034.6
2025-12-28,570.0,581.4,559.0,570.0,1.44,6565,3760251.6
2025-12-24,563.1,565.0,561.9,561.9,-1.94,2131,1200506.0
2025-12-23,558.6,579.0,558.6,573.0,0.53,2100,1188632.0
2025-12-22,556.7,570.0,556.7,570.0,0.35,6317,3545551.0
2025-12-21,571.0,575.0,560.1,568.0,-1.9,7435,4202125.2
2025-12-18,590.0,590.0,571.0,579.0,-0.09,9221,5322818.5
2025-12-17,572.3,589.0,572.3,579.5,0.26,4804,2777106.5
2025-12-16,566.0,586.7,566.0,578.0,0.49,8513,4895719.6
2025-12-15,579.1,596.8,563.1,575.2,0.56,8387,4854636.3
2025-12-14,579.0,608.0,571.6,572.0,-3.05,17075,9878421.1
2025-12-11,599.0,601.5,588.0,590.0,-1.62,6681,3962530.4
2025-12-10,592.9,614.3,592.9,599.7,-0.86,32219,19442384.2
2025-12-09,556.1,613.9,556.1,604.9,7.25,73323,43494147.7
2025-12-08,549.1,573.0,549.0,564.0,0.71,13484,7635608.7
2025-12-07,560.0,567.0,555.1,560.0,-0.71,4653,2594321.5
2025-12-03,557.6,565.0,549.0,564.0,-0.86,6386,3574724.7
2025-12-02,561.0,569.0,553.5,568.9,1.05,8005,4472118.3
2025-12-01,552.0,563.0,552.0,563.0,0.54,7070,3933392.8
2025-11-30,560.0,565.0,555.0,560.0,-0.52,11060,6210257.0
