open,high,low,close,percent_change,turnover,date
334.89,334.89,334.89,334.89,-0.24,0.00,2011-03-20
330.89,330.89,330.89,330.89,-0.18,0.00,2011-03-25
323.45,323.45,323.45,323.45,-2.25,0.00,2011-03-27
313.33,313.33,313.33,313.33,-3.13,0.00,2011-03-28
305.45,305.45,305.45,305.45,-2.51,0.00,2011-03-29
305.09,305.09,305.09,305.09,-0.12,0.00,2011-03-30
314.11,314.11,314.11,314.11,2.94,0.00,2011-03-31
313.98,313.98,313.98,313.98,-0.04,0.00,2011-04-04
311.95,311.95,311.95,311.95,-0.65,0.00,2011-04-05
312.05,312.05,312.05,312.05,0.03,0.00,2011-04-06
314.01,314.01,314.01,314.01,0.63,0.00,2011-04-07
315.67,315.67,315.67,315.67,0.47,0.00,2011-04-10
313.97,313.97,313.97,313.97,-0.54,0.00,2011-04-11
322.75,322.75,322.75,322.75,2.80,0.00,2011-04-13
312.91,312.91,312.91,312.91,-3.05,0.00,2011-04-17
309.91,309.91,309.91,309.91,-0.96,0.00,2011-04-18
307.73,307.73,307.73,307.73,-0.70,0.00,2011-04-19
304.88,304.88,304.88,304.88,-0.93,0.00,2011-04-20
302.51,302.51,302.51,302.51,-0.77,0.00,2011-04-21
300.09,300.09,300.09,300.09,-0.80,0.00,2011-04-25
298.79,298.79,298.79,298.79,-0.43,0.00,2011-04-26
299.26,299.26,299.26,299.26,0.16,0.00,2011-04-27
296.87,296.87,296.87,296.87,-0.80,0.00,2011-04-28
293.75,293.75,293.75,293.75,-1.05,0.00,2011-05-02
290.05,290.05,290.05,290.05,-1.26,0.00,2011-05-03
287.08,287.08,287.08,287.08,-1.03,0.00,2011-05-04
289.63,289.63,289.63,289.63,0.89,0.00,2011-05-05
290.49,290.49,290.49,290.49,0.30,0.00,2011-05-08
291.07,291.07,291.07,291.07,0.20,0.00,2011-05-09
297.37,297.37,297.37,297.37,2.17,0.00,2011-05-10
298.31,298.31,298.31,298.31,0.32,0.00,2011-05-11
301.11,301.11,301.11,301.11,0.94,0.00,2011-05-12
306.73,306.73,306.73,306.73,1.87,0.00,2011-05-15
310.62,310.62,310.62,310.62,0.93,0.00,2011-05-16
305.64,305.64,305.64,305.64,-1.60,0.00,2011-05-18
304.48,304.48,304.48,304.48,-0.38,0.00,2011-05-19
303.59,303.59,303.59,303.59,-0.29,0.00,2011-05-22
302.19,302.19,302.19,302.19,-0.46,0.00,2011-05-23
303.10,303.10,303.10,303.10,0.30,0.00,2011-05-24
303.97,303.97,303.97,303.97,0.29,0.00,2011-05-25
304.74,304.74,304.74,304.74,0.25,0.00,2011-05-26
305.88,305.88,305.88,305.88,0.37,0.00,2011-05-30
298.22,298.22,298.22,298.22,-2.50,0.00,2011-05-31
295.33,295.33,295.33,295.33,-0.97,0.00,2011-06-01
292.00,292.00,292.00,292.00,-1.13,0.00,2011-06-02
285.22,285.22,285.22,285.22,-2.32,0.00,2011-06-05
279.11,279.11,279.11,279.11,-2.15,0.00,2011-06-06
271.34,271.34,271.34,271.34,-2.78,0.00,2011-06-07
264.76,264.76,264.76,264.76,-2.44,0.00,2011-06-08
259.67,259.67,259.67,259.67,-1.92,0.00,2011-06-09
255.06,255.06,255.06,255.06,-1.78,0.00,2011-06-12
248.82,248.82,248.82,248.82,-2.45,0.00,2011-06-13
242.72,242.72,242.72,242.72,-2.45,0.00,2011-06-14
233.41,233.41,233.41,233.41,-3.84,0.00,2011-06-15
248.44,248.44,248.44,248.44,6.17,0.00,2011-06-16
284.45,284.45,284.45,284.45,6.74,0.00,2011-06-20
303.62,303.62,303.62,303.62,6.74,0.00,2011-06-21
326.81,326.81,326.81,326.81,7.64,0.00,2011-06-23
309.90,309.90,309.90,309.90,-5.17,0.00,2011-06-26
286.53,286.53,286.53,286.53,-7.54,0.00,2011-06-27
291.28,291.28,291.28,291.28,1.66,0.00,2011-06-29
289.94,289.94,289.94,289.94,-0.46,0.00,2011-06-30
288.46,288.46,288.46,288.46,-0.51,0.00,2011-07-03
288.98,288.98,288.98,288.98,0.18,0.00,2011-07-04
296.24,296.24,296.24,296.24,2.51,0.00,2011-07-05
301.46,301.46,301.46,301.46,1.76,0.00,2011-07-06
300.40,300.40,300.40,300.40,-0.43,0.00,2011-07-07
306.32,306.32,306.32,306.32,1.97,0.00,2011-07-10
308.53,308.53,308.53,308.53,0.72,0.00,2011-07-11
313.43,313.43,313.43,313.43,1.59,0.00,2011-07-12
320.77,320.77,320.77,320.77,2.34,0.00,2011-07-13
328.71,328.71,328.71,328.71,2.47,0.00,2011-07-14
349.80,349.80,349.80,349.80,8.31,0.00,2011-07-17
337.69,337.69,337.69,337.69,-3.46,0.00,2011-07-18
345.08,345.08,345.08,345.08,2.19,0.00,2011-07-19
351.55,351.55,351.55,351.55,1.87,0.00,2011-07-20
351.08,351.08,351.08,351.08,-0.13,0.00,2011-07-21
337.13,337.13,337.13,337.13,-3.97,0.00,2011-07-24
330.08,330.08,330.08,330.08,-2.09,0.00,2011-07-25
325.15,325.15,325.15,325.15,-1.50,0.00,2011-07-26
335.63,335.63,335.63,335.63,3.22,0.00,2011-07-27
333.23,333.23,333.23,333.23,-0.72,0.00,2011-07-28
327.98,327.98,327.98,327.98,-1.80,0.00,2011-07-31
327.09,327.09,327.09,327.09,-0.27,0.00,2011-08-01
326.14,326.14,326.14,326.14,-0.29,0.00,2011-08-02
323.94,323.94,323.94,323.94,-0.67,0.00,2011-08-03
324.23,324.23,324.23,324.23,0.09,0.00,2011-08-04
322.75,322.75,322.75,322.75,-0.46,0.00,2011-08-07
318.64,318.64,318.64,318.64,-1.27,0.00,2011-08-08
310.36,310.36,310.36,310.36,-2.44,0.00,2011-08-09
319.57,319.57,319.57,319.57,2.97,0.00,2011-08-10
321.03,321.03,321.03,321.03,0.46,0.00,2011-08-11
322.34,322.34,322.34,322.34,0.41,0.00,2011-08-15
320.94,320.94,320.94,320.94,-0.43,0.00,2011-08-16
317.81,317.81,317.81,317.81,-0.97,0.00,2011-08-17
321.67,321.67,321.67,321.67,1.15,0.00,2011-08-18
317.27,317.27,317.27,317.27,-1.37,0.00,2011-08-22
316.78,316.78,316.78,316.78,-0.15,0.00,2011-08-23
315.23,315.23,315.23,315.23,-0.49,0.00,2011-08-24
312.27,312.27,312.27,312.27,-0.94,0.00,2011-08-25
297.23,297.23,297.23,297.23,-4.88,0.00,2011-08-28
296.79,296.79,296.79,296.79,-0.15,0.00,2011-08-29
300.83,300.83,300.83,300.83,1.36,0.00,2011-08-30
301.02,301.02,301.02,301.02,0.06,0.00,2011-09-01
299.02,299.02,299.02,299.02,-0.58,0.00,2011-09-04
293.14,293.14,293.14,293.14,-1.97,0.00,2011-09-05
287.52,287.52,287.52,287.52,-1.92,0.00,2011-09-06
285.88,285.88,285.88,285.88,-0.57,0.00,2011-09-07
282.77,282.77,282.77,282.77,-1.09,0.00,2011-09-08
279.20,279.20,279.20,279.20,-1.26,0.00,2011-09-12
278.22,278.22,278.22,278.22,-0.35,0.00,2011-09-13
268.38,268.38,268.38,268.38,-3.54,0.00,2011-09-14
271.75,271.75,271.75,271.75,1.26,0.00,2011-09-15
268.92,268.92,268.92,268.92,-1.10,0.00,2011-09-18
268.29,268.29,268.29,268.29,-0.23,0.00,2011-09-19
272.95,272.95,272.95,272.95,1.74,0.00,2011-09-20
275.34,275.34,275.34,275.34,0.89,0.00,2011-09-21
284.81,284.81,284.81,284.81,3.44,0.00,2011-09-22
288.34,288.34,288.34,288.34,1.24,0.00,2011-09-25
286.38,286.38,286.38,286.38,-0.68,0.00,2011-09-26
288.32,288.32,288.32,288.32,0.69,0.00,2011-09-27
287.89,287.89,287.89,287.89,-0.11,0.00,2011-09-29
290.12,290.12,290.12,290.12,0.78,0.00,2011-10-02
289.47,289.47,289.47,289.47,-0.22,0.00,2011-10-09
291.20,291.20,291.20,291.20,0.60,0.00,2011-10-10
292.54,292.54,292.54,292.54,0.46,0.00,2011-10-12
292.85,292.85,292.85,292.85,0.11,0.00,2011-10-13
289.32,289.32,289.32,289.32,-1.21,0.00,2011-10-16
287.40,287.40,287.40,287.40,-0.66,0.00,2011-10-17
285.23,285.23,285.23,285.23,-0.75,0.00,2011-10-18
283.61,283.61,283.61,283.61,-0.57,0.00,2011-10-19
282.27,282.27,282.27,282.27,-0.47,0.00,2011-10-20
279.92,279.92,279.92,279.92,-0.83,0.00,2011-10-23
280.07,280.07,280.07,280.07,0.06,0.00,2011-10-24
279.69,279.69,279.69,279.69,-0.14,0.00,2011-10-25
280.16,280.16,280.16,280.16,0.17,0.00,2011-10-30
283.46,283.46,283.46,283.46,1.18,0.00,2011-10-31
306.42,306.42,306.42,306.42,8.10,0.00,2011-11-02
300.92,300.92,300.92,300.92,-1.79,0.00,2011-11-03
295.48,295.48,295.48,295.48,-1.81,0.00,2011-11-06
291.74,291.74,291.74,291.74,-1.27,0.00,2011-11-08
286.38,286.38,286.38,286.38,-1.84,0.00,2011-11-09
286.30,286.30,286.30,286.30,-0.03,0.00,2011-11-10
282.74,282.74,282.74,282.74,-1.24,0.00,2011-11-13
280.19,280.19,280.19,280.19,-0.90,0.00,2011-11-14
277.92,277.92,277.92,277.92,-0.81,0.00,2011-11-15
275.88,275.88,275.88,275.88,-0.73,0.00,2011-11-16
280.01,280.01,280.01,280.01,1.50,0.00,2011-11-17
277.66,277.66,277.66,277.66,-0.84,0.00,2011-11-20
278.00,278.00,278.00,278.00,0.11,0.00,2011-11-21
276.08,276.08,276.08,276.08,-0.69,0.00,2011-11-22
275.83,275.83,275.83,275.83,-0.09,0.00,2011-11-23
275.00,275.00,275.00,275.00,-0.30,0.00,2011-11-24
275.96,275.96,275.96,275.96,0.35,0.00,2011-11-27
273.98,273.98,273.98,273.98,-0.71,0.00,2011-11-28
273.57,273.57,273.57,273.57,-0.23,0.00,2011-12-01
272.22,272.22,272.22,272.22,-0.49,0.00,2011-12-04
271.17,271.17,271.17,271.17,-0.39,0.00,2011-12-05
270.31,270.31,270.31,270.31,-0.32,0.00,2011-12-06
270.15,270.15,270.15,270.15,-0.64,0.00,2011-12-07
267.31,267.31,267.31,267.31,-0.41,0.00,2011-12-08
264.38,264.38,264.38,264.38,-1.09,0.00,2011-12-11
259.58,259.58,259.58,259.58,-1.81,0.00,2011-12-12
260.40,260.40,260.40,260.40,0.32,0.00,2011-12-13
264.87,264.87,264.87,264.87,1.72,0.00,2011-12-14
263.18,263.18,263.18,263.18,-0.64,0.00,2011-12-15
259.85,259.85,259.85,259.85,-1.26,0.00,2011-12-18
259.67,259.67,259.67,259.67,-0.07,0.00,2011-12-19
