open,high,low,close,percent_change,turnover,date
334.43,334.43,334.43,334.43,-0.14,0.00,2011-03-20
329.85,329.85,329.85,329.85,-0.43,0.00,2011-03-25
329.70,329.70,329.70,329.70,-0.05,0.00,2011-03-27
325.81,325.81,325.81,325.81,-0.75,0.00,2011-03-28
325.27,325.27,325.27,325.27,-0.16,0.00,2011-03-29
322.56,322.56,322.56,322.56,-0.71,0.00,2011-03-30
323.19,323.19,323.19,323.19,0.19,0.00,2011-03-31
322.26,322.26,322.26,322.26,-0.39,0.00,2011-04-04
319.99,319.99,319.99,319.99,-0.71,0.00,2011-04-05
318.47,318.47,318.47,318.47,-0.47,0.00,2011-04-06
317.46,317.46,317.46,317.46,-0.32,0.00,2011-04-07
315.60,315.60,315.60,315.60,-0.65,0.00,2011-04-10
314.38,314.38,314.38,314.38,-0.39,0.00,2011-04-11
315.78,315.78,315.78,315.78,0.44,0.00,2011-04-13
314.58,314.58,314.58,314.58,-0.38,0.00,2011-04-17
313.41,313.41,313.41,313.41,-0.37,0.00,2011-04-18
312.10,312.10,312.10,312.10,-0.42,0.00,2011-04-19
311.70,311.70,311.70,311.70,-0.13,0.00,2011-04-20
310.66,310.66,310.66,310.66,-0.33,0.00,2011-04-21
309.74,309.74,309.74,309.74,-0.28,0.00,2011-04-25
309.75,309.75,309.75,309.75,0.00,0.00,2011-04-26
308.46,308.46,308.46,308.46,-0.42,0.00,2011-04-27
306.68,306.68,306.68,306.68,-0.63,0.00,2011-04-28
305.52,305.52,305.52,305.52,-0.38,0.00,2011-05-02
303.49,303.49,303.49,303.49,-0.80,0.00,2011-05-03
302.05,302.05,302.05,302.05,-0.47,0.00,2011-05-04
302.14,302.14,302.14,302.14,0.03,0.00,2011-05-05
302.16,302.16,302.16,302.16,0.01,0.00,2011-05-08
300.85,300.85,300.85,300.85,-0.43,0.00,2011-05-09
299.84,299.84,299.84,299.84,-0.34,0.00,2011-05-10
300.79,300.79,300.79,300.79,0.32,0.00,2011-05-11
301.16,301.16,301.16,301.16,0.15,0.00,2011-05-12
301.87,301.87,301.87,301.87,0.24,0.00,2011-05-15
301.11,301.11,301.11,301.11,-0.25,0.00,2011-05-16
298.50,298.50,298.50,298.50,-0.87,0.00,2011-05-18
298.86,298.86,298.86,298.86,0.10,0.00,2011-05-19
298.74,298.74,298.74,298.74,-0.04,0.00,2011-05-22
298.20,298.20,298.20,298.20,-0.18,0.00,2011-05-23
298.27,298.27,298.27,298.27,0.05,0.00,2011-05-24
297.92,297.92,297.92,297.92,-0.12,0.00,2011-05-25
299.21,299.21,299.21,299.21,0.43,0.00,2011-05-26
299.05,299.05,299.05,299.05,-0.06,0.00,2011-05-30
298.73,298.73,298.73,298.73,-0.11,0.00,2011-05-31
297.22,297.22,297.22,297.22,-0.50,0.00,2011-06-01
296.19,296.19,296.19,296.19,-0.35,0.00,2011-06-02
294.33,294.33,294.33,294.33,-0.63,0.00,2011-06-05
293.50,293.50,293.50,293.50,-0.26,0.00,2011-06-06
291.89,291.89,291.89,291.89,-0.55,0.00,2011-06-07
286.64,286.64,286.64,286.64,-1.80,0.00,2011-06-08
284.21,284.21,284.21,284.21,-0.85,0.00,2011-06-09
282.95,282.95,282.95,282.95,-0.44,0.00,2011-06-12
281.47,281.47,281.47,281.47,-0.52,0.00,2011-06-13
279.15,279.15,279.15,279.15,-0.82,0.00,2011-06-14
277.61,277.61,277.61,277.61,-0.55,0.00,2011-06-15
277.68,277.68,277.68,277.68,0.04,0.00,2011-06-16
285.17,285.17,285.17,285.17,1.96,0.00,2011-06-20
290.00,290.00,290.00,290.00,1.70,0.00,2011-06-21
296.84,296.84,296.84,296.84,2.29,0.00,2011-06-23
296.45,296.45,296.45,296.45,-0.13,0.00,2011-06-26
295.97,295.97,295.97,295.97,-0.16,0.00,2011-06-27
293.28,293.28,293.28,293.28,-0.91,0.00,2011-06-29
291.16,291.16,291.16,291.16,-0.72,0.00,2011-06-30
288.82,288.82,288.82,288.82,-0.80,0.00,2011-07-03
286.01,286.01,286.01,286.01,-0.97,0.00,2011-07-04
286.65,286.65,286.65,286.65,0.22,0.00,2011-07-05
286.39,286.39,286.39,286.39,-0.09,0.00,2011-07-06
284.86,284.86,284.86,284.86,-0.53,0.00,2011-07-07
286.26,286.26,286.26,286.26,0.49,0.00,2011-07-10
286.43,286.43,286.43,286.43,0.06,0.00,2011-07-11
286.61,286.61,286.61,286.61,0.06,0.00,2011-07-12
289.31,289.31,289.31,289.31,0.94,0.00,2011-07-13
294.15,294.15,294.15,294.15,1.67,0.00,2011-07-14
298.04,298.04,298.04,298.04,2.64,0.00,2011-07-17
297.05,297.05,297.05,297.05,-0.33,0.00,2011-07-18
297.93,297.93,297.93,297.93,0.30,0.00,2011-07-19
301.29,301.29,301.29,301.29,1.13,0.00,2011-07-20
299.41,299.41,299.41,299.41,-0.63,0.00,2011-07-21
296.40,296.40,296.40,296.40,-1.00,0.00,2011-07-24
293.64,293.64,293.64,293.64,-0.93,0.00,2011-07-25
293.66,293.66,293.66,293.66,0.01,0.00,2011-07-26
294.83,294.83,294.83,294.83,0.40,0.00,2011-07-27
295.20,295.20,295.20,295.20,0.12,0.00,2011-07-28
294.15,294.15,294.15,294.15,-0.29,0.00,2011-07-31
292.74,292.74,292.74,292.74,-0.48,0.00,2011-08-01
293.49,293.49,293.49,293.49,0.26,0.00,2011-08-02
293.31,293.31,293.31,293.31,-0.06,0.00,2011-08-03
294.25,294.25,294.25,294.25,0.32,0.00,2011-08-04
292.63,292.63,292.63,292.63,-0.55,0.00,2011-08-07
292.26,292.26,292.26,292.26,-0.14,0.00,2011-08-08
291.09,291.09,291.09,291.09,-0.56,0.00,2011-08-09
290.49,290.49,290.49,290.49,-0.21,0.00,2011-08-10
290.06,290.06,290.06,290.06,-0.15,0.00,2011-08-11
289.35,289.35,289.35,289.35,-0.25,0.00,2011-08-15
288.22,288.22,288.22,288.22,-0.39,0.00,2011-08-16
287.82,287.82,287.82,287.82,-0.14,0.00,2011-08-17
288.38,288.38,288.38,288.38,0.20,0.00,2011-08-18
285.92,285.92,285.92,285.92,-0.79,0.00,2011-08-22
286.04,286.04,286.04,286.04,0.04,0.00,2011-08-23
286.75,286.75,286.75,286.75,0.82,0.00,2011-08-24
286.63,286.63,286.63,286.63,-0.04,0.00,2011-08-25
284.85,284.85,284.85,284.85,-0.62,0.00,2011-08-28
284.68,284.68,284.68,284.68,-0.06,0.00,2011-08-29
285.71,285.71,285.71,285.71,0.46,0.00,2011-08-30
286.01,286.01,286.01,286.01,0.10,0.00,2011-09-01
284.98,284.98,284.98,284.98,-0.36,0.00,2011-09-04
282.72,282.72,282.72,282.72,-0.79,0.00,2011-09-05
282.42,282.42,282.42,282.42,-0.11,0.00,2011-09-06
283.81,283.81,283.81,283.81,0.49,0.00,2011-09-07
282.84,282.84,282.84,282.84,-0.34,0.00,2011-09-08
282.13,282.13,282.13,282.13,-0.25,0.00,2011-09-12
280.61,280.61,280.61,280.61,-0.54,0.00,2011-09-13
278.21,278.21,278.21,278.21,-0.85,0.00,2011-09-14
277.80,277.80,277.80,277.80,-0.14,0.00,2011-09-15
276.33,276.33,276.33,276.33,-0.53,0.00,2011-09-18
275.53,275.53,275.53,275.53,-0.29,0.00,2011-09-19
279.92,279.92,279.92,279.92,1.59,0.00,2011-09-20
280.22,280.22,280.22,280.22,0.11,0.00,2011-09-21
281.91,281.91,281.91,281.91,0.60,0.00,2011-09-22
281.98,281.98,281.98,281.98,0.02,0.00,2011-09-25
281.99,281.99,281.99,281.99,0.00,0.00,2011-09-26
281.08,281.08,281.08,281.08,-0.32,0.00,2011-09-27
281.79,281.79,281.79,281.79,0.25,0.00,2011-09-29
280.84,280.84,280.84,280.84,-0.34,0.00,2011-10-02
280.70,280.70,280.70,280.70,-0.05,0.00,2011-10-09
280.24,280.24,280.24,280.24,-0.16,0.00,2011-10-10
280.59,280.59,280.59,280.59,0.13,0.00,2011-10-12
279.29,279.29,279.29,279.29,-0.46,0.00,2011-10-13
278.87,278.87,278.87,278.87,-0.15,0.00,2011-10-16
278.50,278.50,278.50,278.50,-0.13,0.00,2011-10-17
278.92,278.92,278.92,278.92,0.15,0.00,2011-10-18
278.49,278.49,278.49,278.49,-0.15,0.00,2011-10-19
278.55,278.55,278.55,278.55,0.02,0.00,2011-10-20
278.31,278.31,278.31,278.31,-0.08,0.00,2011-10-23
278.45,278.45,278.45,278.45,0.05,0.00,2011-10-24
278.90,278.90,278.90,278.90,0.16,0.00,2011-10-25
278.26,278.26,278.26,278.26,-0.23,0.00,2011-10-30
278.13,278.13,278.13,278.13,-0.05,0.00,2011-10-31
282.10,282.10,282.10,282.10,1.43,0.00,2011-11-02
282.73,282.73,282.73,282.73,0.21,0.00,2011-11-03
282.54,282.54,282.54,282.54,-0.07,0.00,2011-11-06
281.34,281.34,281.34,281.34,-0.42,0.00,2011-11-08
280.04,280.04,280.04,280.04,-0.46,0.00,2011-11-09
279.67,279.67,279.67,279.67,-0.13,0.00,2011-11-10
278.79,278.79,278.79,278.79,-0.31,0.00,2011-11-13
277.72,277.72,277.72,277.72,-0.38,0.00,2011-11-14
277.45,277.45,277.45,277.45,-0.10,0.00,2011-11-15
276.93,276.93,276.93,276.93,-0.19,0.00,2011-11-16
277.45,277.45,277.45,277.45,0.19,0.00,2011-11-17
276.50,276.50,276.50,276.50,-0.34,0.00,2011-11-20
277.51,277.51,277.51,277.51,0.37,0.00,2011-11-21
277.16,277.16,277.16,277.16,-0.12,0.00,2011-11-22
275.08,275.08,275.08,275.08,-0.75,0.00,2011-11-23
274.33,274.33,274.33,274.33,-0.27,0.00,2011-11-24
274.11,274.11,274.11,274.11,-0.08,0.00,2011-11-27
273.64,273.64,273.64,273.64,-0.17,0.00,2011-11-28
271.35,271.35,271.35,271.35,-0.54,0.00,2011-12-01
270.71,270.71,270.71,270.71,-0.24,0.00,2011-12-04
270.29,270.29,270.29,270.29,-0.16,0.00,2011-12-05
270.28,270.28,270.28,270.28,0.00,0.00,2011-12-06
269.61,269.61,269.61,269.61,-0.25,0.00,2011-12-07
269.25,269.25,269.25,269.25,-0.15,0.00,2011-12-08
268.63,268.63,268.63,268.63,-0.23,0.00,2011-12-11
267.87,267.87,267.87,267.87,-0.28,0.00,2011-12-12
265.09,265.09,265.09,265.09,-1.04,0.00,2011-12-13
264.69,264.69,264.69,264.69,-0.15,0.00,2011-12-14
264.10,264.10,264.10,264.10,-0.22,0.00,2011-12-15
263.70,263.70,263.70,263.70,-0.15,0.00,2011-12-18
263.16,263.16,263.16,263.16,-0.21,0.00,2011-12-19
262.89,262.89,262.89,262.89,-0.10,0.00,2011-12-20
262.73,262.73,262.73,262.73,-0.06,0.00,2011-12-21
262.36,262.36,262.36,262.36,-0.14,0.00,2011-12-22
262.44,262.44,262.44,262.44,0.03,0.00,2011-12-26
262.66,262.66,262.66,262.66,0.08,0.00,2011-12-27
262.33,262.33,262.33,262.33,-0.13,0.00,2011-12-28
262.09,262.09,262.09,262.09,-0.09,0.00,2011-12-29
262.23,262.23,262.23,262.23,0.05,0.00,2012-01-01
263.87,263.87,263.87,263.87,0.62,0.00,2012-01-02
263.38,263.38,263.38,263.38,-0.19,0.00,2012-01-03
261.69,261.69,261.69,261.69,-0.64,0.00,2012-01-04
261.05,261.05,261.05,261.05,-0.23,0.00,2012-01-05
260.90,260.90,260.90,260.90,-0.06,0.00,2012-01-08
260.44,260.44,260.44,260.44,-0.18,0.00,2012-01-09
258.23,258.23,258.23,258.23,-0.85,0.00,2012-01-10
256.48,256.48,256.48,256.48,-0.68,0.00,2012-01-11
255.64,255.64,255.64,255.64,-0.33,0.00,2012-01-12
256.20,256.20,256.20,256.20,0.01,0.00,2012-01-17
256.04,256.04,256.04,256.04,-0.06,0.00,2012-01-18
255.78,255.78,255.78,255.78,-0.10,0.00,2012-01-19
255.80,255.80,255.80,255.80,0.01,0.00,2012-01-22
255.26,255.26,255.26,255.26,-0.21,0.00,2012-01-23
254.91,254.91,254.91,254.91,-0.14,0.00,2012-01-25
254.92,254.92,254.92,254.92,0.01,0.00,2012-01-26
254.62,254.62,254.62,254.62,-0.12,0.00,2012-01-29
253.49,253.49,253.49,253.49,-0.44,0.00,2012-01-31
253.89,253.89,253.89,253.89,0.16,0.00,2012-02-01
253.54,253.54,253.54,253.54,-0.14,0.00,2012-02-02
252.18,252.18,252.18,252.18,-0.53,0.00,2012-02-05
251.92,251.92,251.92,251.92,-0.08,0.00,2012-02-06
252.21,252.21,252.21,252.21,0.12,0.00,2012-02-07
250.81,250.81,250.81,250.81,-0.55,0.00,2012-02-08
249.64,249.64,249.64,249.64,-0.47,0.00,2012-02-09
249.03,249.03,249.03,249.03,-0.24,0.00,2012-02-12
248.32,248.32,248.32,248.32,-0.28,0.00,2012-02-13
247.58,247.58,247.58,247.58,-0.30,0.00,2012-02-14
246.60,246.60,246.60,246.60,-0.39,0.00,2012-02-15
246.54,246.54,246.54,246.54,-0.03,0.00,2012-02-16
246.13,246.13,246.13,246.13,-0.17,0.00,2012-02-21
245.64,245.64,245.64,245.64,-0.20,0.00,2012-02-23
295.55,295.55,295.55,295.55,-0.20,0.00,2012-02-26
293.69,293.69,293.69,293.69,-0.53,0.00,2012-02-27
293.82,293.82,293.82,293.82,0.04,0.00,2012-02-28
293.98,293.98,293.98,293.98,0.06,0.00,2012-02-29
294.05,294.05,294.05,294.05,0.02,0.00,2012-03-01
294.61,294.61,294.61,294.61,0.19,0.00,2012-03-04
295.21,295.21,295.21,295.21,0.20,0.00,2012-03-05
294.20,294.20,294.20,294.20,-0.34,0.00,2012-03-06
293.57,293.57,293.57,293.57,-0.22,0.00,2012-03-11
292.51,292.51,292.51,292.51,-0.36,0.00,2012-03-12
293.25,293.25,293.25,293.25,0.25,0.00,2012-03-13
293.03,293.03,293.03,293.03,-0.08,0.00,2012-03-14
234.86,234.86,234.86,234.86,-19.82,0.00,2012-03-15
237.75,237.75,237.75,237.75,1.23,0.00,2012-03-18
237.82,237.82,237.82,237.82,0.03,0.00,2012-03-19
237.58,237.58,237.58,237.58,-0.11,0.00,2012-03-20
236.15,236.15,236.15,236.15,-0.61,0.00,2012-03-21
235.66,235.66,235.66,235.66,-0.21,0.00,2012-03-25
235.15,235.15,235.15,235.15,-0.21,0.00,2012-03-26
234.39,234.39,234.39,234.39,-0.32,0.00,2012-03-27
235.30,235.30,235.30,235.30,0.39,0.00,2012-03-28
233.65,233.65,233.65,233.65,-0.70,0.00,2012-03-29
233.17,233.17,233.17,233.17,-0.20,0.00,2012-04-01
232.72,232.72,232.72,232.72,-0.19,0.00,2012-04-02
231.97,231.97,231.97,231.97,-0.32,0.00,2012-04-03
230.97,230.97,230.97,230.97,-0.43,0.00,2012-04-04
231.15,231.15,231.15,231.15,0.08,0.00,2012-04-05
231.67,231.67,231.67,231.67,0.22,0.00,2012-04-08
232.03,232.03,232.03,232.03,0.15,0.00,2012-04-09
231.61,231.61,231.61,231.61,-0.18,0.00,2012-04-10
232.50,232.50,232.50,232.50,0.38,0.00,2012-04-11
236.06,236.06,236.06,236.06,1.53,0.00,2012-04-12
240.26,240.26,240.26,240.26,1.78,0.00,2012-04-15
242.44,242.44,242.44,242.44,0.91,0.00,2012-04-16
244.30,244.30,244.30,244.30,0.77,0.00,2012-04-17
246.29,246.29,246.29,246.29,0.81,0.00,2012-04-18
249.07,249.07,249.07,249.07,1.06,0.00,2012-04-19
253.59,253.59,253.59,253.59,1.81,0.00,2012-04-22
257.13,257.13,257.13,257.13,1.39,0.00,2012-04-24
262.62,262.62,262.62,262.62,2.14,0.00,2012-04-25
268.42,268.42,268.42,268.42,2.21,0.00,2012-04-26
272.78,272.78,272.78,272.78,1.62,0.00,2012-04-29
272.12,272.12,272.12,272.12,-0.24,0.00,2012-04-30
270.90,270.90,270.90,270.90,-0.45,0.00,2012-05-02
273.19,273.19,273.19,273.19,0.84,0.00,2012-05-03
275.89,275.89,275.89,275.89,0.99,0.00,2012-05-07
278.59,278.59,278.59,278.59,0.97,0.00,2012-05-08
276.92,276.92,276.92,276.92,-0.59,0.00,2012-05-09
275.44,275.44,275.44,275.44,-0.53,0.00,2012-05-10
272.90,272.90,272.90,272.90,-0.92,0.00,2012-05-13
270.82,270.82,270.82,270.82,-0.76,0.00,2012-05-14
273.55,273.55,273.55,273.55,1.01,0.00,2012-05-15
276.27,276.27,276.27,276.27,0.99,0.00,2012-05-16
277.91,277.91,277.91,277.91,0.59,0.00,2012-05-17
274.40,274.40,274.40,274.40,-1.26,0.00,2012-05-20
275.28,275.28,275.28,275.28,0.32,0.00,2012-05-21
273.41,273.41,273.41,273.41,-0.66,0.00,2012-05-22
272.38,272.38,272.38,272.38,-0.37,0.00,2012-05-23
270.54,270.54,270.54,270.54,-0.64,0.00,2012-05-24
272.78,272.78,272.78,272.78,0.83,0.00,2012-05-27
269.26,269.26,269.26,269.26,-1.29,0.00,2012-05-29
267.46,267.46,267.46,267.46,-0.67,0.00,2012-05-30
264.88,264.88,264.88,264.88,-0.97,0.00,2012-05-31
264.37,264.37,264.37,264.37,-0.19,0.00,2012-06-03
262.45,262.45,262.45,262.45,-0.72,0.00,2012-06-04
258.69,258.69,258.69,258.69,-1.43,0.00,2012-06-05
255.33,255.33,255.33,255.33,-1.30,0.00,2012-06-06
254.09,254.09,254.09,254.09,-0.48,0.00,2012-06-07
251.61,251.61,251.61,251.61,-0.98,0.00,2012-06-10
251.55,251.55,251.55,251.55,-0.03,0.00,2012-06-11
250.34,250.34,250.34,250.34,-0.48,0.00,2012-06-12
249.44,249.44,249.44,249.44,-0.36,0.00,2012-06-13
248.16,248.16,248.16,248.16,-0.51,0.00,2012-06-14
246.94,246.94,246.94,246.94,-0.49,0.00,2012-06-17
247.10,247.10,247.10,247.10,0.06,0.00,2012-06-18
245.16,245.16,245.16,245.16,-0.78,0.00,2012-06-19
245.25,245.25,245.25,245.25,0.04,0.00,2012-06-20
245.53,245.53,245.53,245.53,0.11,0.00,2012-06-21
246.52,246.52,246.52,246.52,0.40,0.00,2012-06-25
245.87,245.87,245.87,245.87,-0.26,0.00,2012-06-26
246.89,246.89,246.89,246.89,0.42,0.00,2012-06-27
247.65,247.65,247.65,247.65,0.31,0.00,2012-06-28
247.76,247.76,247.76,247.76,0.04,0.00,2012-07-01
246.58,246.58,246.58,246.58,-0.48,0.00,2012-07-02
246.18,246.18,246.18,246.18,-0.16,0.00,2012-07-03
245.87,245.87,245.87,245.87,-0.13,0.00,2012-07-04
246.44,246.44,246.44,246.44,0.23,0.00,2012-07-05
244.72,244.72,244.72,244.72,-0.70,0.00,2012-07-08
244.52,244.52,244.52,244.52,-0.08,0.00,2012-07-09
245.53,245.53,245.53,245.53,0.41,0.00,2012-07-10
244.03,244.03,244.03,244.03,-0.61,0.00,2012-07-11
245.52,245.52,245.52,245.52,0.61,0.00,2012-07-12
245.43,245.43,245.43,245.43,-0.04,0.00,2012-07-15
244.18,244.18,244.18,244.18,-0.51,0.00,2012-07-16
245.55,245.55,245.55,245.55,0.56,0.00,2012-07-17
248.16,248.16,248.16,248.16,1.06,0.00,2012-07-18
250.73,250.73,250.73,250.73,1.03,0.00,2012-07-19
251.44,251.44,251.44,251.44,0.28,0.00,2012-07-22
253.01,253.01,253.01,253.01,0.63,0.00,2012-07-23
252.13,252.13,252.13,252.13,-0.35,0.00,2012-07-24
253.67,253.67,253.67,253.67,0.61,0.00,2012-07-25
252.80,252.80,252.80,252.80,-0.34,0.00,2012-07-26
251.11,251.11,251.11,251.11,-0.67,0.00,2012-07-29
251.00,251.00,251.00,251.00,-0.04,0.00,2012-07-30
250.58,250.58,250.58,250.58,-0.16,0.00,2012-07-31
251.00,251.00,251.00,251.00,0.17,0.00,2012-08-01
251.05,251.05,251.05,251.05,0.02,0.00,2012-08-05
