open,high,low,close,percent_change,turnover,date
455.55,455.55,455.55,455.55,0.00,0.00,2011-03-20
452.72,452.72,452.72,452.72,-0.25,0.00,2011-03-25
449.52,449.52,449.52,449.52,-0.21,0.00,2011-03-28
437.09,437.09,437.09,437.09,-0.77,0.00,2011-03-31
435.96,435.96,435.96,435.96,-0.26,0.00,2011-04-11
434.83,434.83,434.83,434.83,-0.26,0.00,2011-04-17
429.75,429.75,429.75,429.75,-1.04,0.00,2011-05-10
425.23,425.23,425.23,425.23,-1.05,0.00,2011-05-12
416.19,416.19,416.19,416.19,-1.08,0.00,2011-05-16
415.05,415.05,415.05,415.05,-0.27,0.00,2011-05-18
400.36,400.36,400.36,400.36,-3.54,0.00,2011-05-24
402.06,402.06,402.06,402.06,0.42,0.00,2011-05-25
398.66,398.66,398.66,398.66,-0.84,0.00,2011-06-06
402.06,402.06,402.06,402.06,0.85,0.00,2011-06-08
405.45,405.45,405.45,405.45,0.84,0.00,2011-06-09
404.32,404.32,404.32,404.32,-0.28,0.00,2011-06-12
402.06,402.06,402.06,402.06,-0.56,0.00,2011-06-13
402.62,402.62,402.62,402.62,0.14,0.00,2011-06-14
400.35,400.35,400.35,400.35,-0.56,0.00,2011-06-16
402.42,402.42,402.42,402.42,0.85,0.00,2011-06-27
402.42,402.42,402.42,402.42,0.00,0.00,2011-06-30
405.81,405.81,405.81,405.81,0.84,0.00,2011-07-03
409.20,409.20,409.20,409.20,0.83,0.00,2011-07-06
405.81,405.81,405.81,405.81,-0.83,0.00,2011-07-07
409.20,409.20,409.20,409.20,0.83,0.00,2011-07-10
412.59,412.59,412.59,412.59,0.83,0.00,2011-07-11
412.59,412.59,412.59,412.59,0.00,0.00,2011-07-13
412.59,412.59,412.59,412.59,0.00,0.00,2011-07-14
408.07,408.07,408.07,408.07,-1.10,0.00,2011-07-24
407.69,407.69,407.69,407.69,-0.09,0.00,2011-07-26
407.31,407.31,407.31,407.31,-0.09,0.00,2011-07-28
409.57,409.57,409.57,409.57,0.55,0.00,2011-07-31
405.05,405.05,405.05,405.05,-1.10,0.00,2011-08-01
405.05,405.05,405.05,405.05,0.00,0.00,2011-08-02
405.05,405.05,405.05,405.05,0.00,0.00,2011-08-03
403.54,403.54,403.54,403.54,-0.37,0.00,2011-08-07
404.66,404.66,404.66,404.66,0.28,0.00,2011-08-09
404.29,404.29,404.29,404.29,-0.09,0.00,2011-08-17
387.89,387.89,387.89,387.89,-4.06,0.00,2011-08-18
387.14,387.14,387.14,387.14,-0.19,0.00,2011-08-22
387.70,387.70,387.70,387.70,0.15,0.00,2011-08-23
388.07,388.07,388.07,388.07,0.10,0.00,2011-08-24
388.27,388.27,388.27,388.27,0.05,0.00,2011-08-25
387.32,387.32,387.32,387.32,-0.24,0.00,2011-08-28
387.89,387.89,387.89,387.89,0.15,0.00,2011-08-29
387.32,387.32,387.32,387.32,-0.15,0.00,2011-08-30
386.76,386.76,386.76,386.76,-0.14,0.00,2011-09-04
385.82,385.82,385.82,385.82,-0.10,0.00,2011-09-08
385.44,385.44,385.44,385.44,-0.10,0.00,2011-09-14
385.82,385.82,385.82,385.82,0.10,0.00,2011-09-15
381.09,381.09,381.09,381.09,-1.22,0.00,2011-09-18
