open,high,low,close,percent_change,turnover,date
100.00,98.96,95.70,95.87,-4.13,788182000.00,2021-02-28
95.16,98.05,92.65,97.66,1.94,543932000.00,2021-03-01
99.02,99.02,94.54,95.74,-1.96,416886000.00,2021-03-02
95.97,96.14,92.82,93.48,-2.36,388350000.00,2021-03-03
93.49,98.99,93.78,98.39,5.26,655824000.00,2021-03-04
98.50,99.76,96.40,96.64,-1.78,550928000.00,2021-03-07
97.25,97.25,94.85,95.31,-1.38,418678000.00,2021-03-09
95.78,96.40,94.79,95.33,0.03,362810000.00,2021-03-10
96.02,96.02,92.41,92.78,-2.68,429501000.00,2021-03-14
94.14,95.21,92.42,93.30,0.57,529269000.00,2021-03-15
94.19,94.19,91.98,93.51,0.22,343123000.00,2021-03-16
93.63,94.98,93.41,94.77,1.35,410911000.00,2021-03-17
95.45,97.09,94.40,96.72,2.06,385485000.00,2021-03-18
96.77,98.42,96.76,97.97,1.29,363556000.00,2021-03-21
98.42,98.89,96.50,96.57,-1.42,323771000.00,2021-03-22
95.93,98.37,95.56,97.60,1.06,646698000.00,2021-03-23
98.28,102.53,98.28,102.53,5.05,1009230000.00,2021-03-24
103.89,106.54,103.49,103.72,1.16,1105400000.00,2021-03-25
104.21,104.99,103.08,103.66,-0.06,625596000.00,2021-03-29
103.66,104.48,103.13,104.03,0.36,802538000.00,2021-03-30
104.80,105.82,104.42,105.82,1.72,724774000.00,2021-03-31
107.58,107.58,104.39,104.73,-1.03,388903000.00,2021-04-01
104.73,104.73,101.78,102.27,-2.35,781743000.00,2021-04-04
102.51,102.71,100.96,101.41,-0.84,479117000.00,2021-04-05
102.88,104.12,100.45,104.12,2.68,537533000.00,2021-04-06
104.12,104.69,102.37,102.40,-1.66,388926000.00,2021-04-07
104.40,104.40,101.66,101.97,-0.42,433373000.00,2021-04-08
101.81,102.47,101.53,101.64,-0.32,415618000.00,2021-04-12
101.78,102.10,100.99,101.18,-0.45,382799000.00,2021-04-13
103.32,103.43,101.45,102.77,1.57,699432000.00,2021-04-15
103.29,103.51,102.04,102.32,-0.45,669815000.00,2021-04-18
103.32,102.26,100.08,101.74,-0.57,835909000.00,2021-04-19
101.85,102.10,100.10,100.69,-1.03,561944000.00,2021-04-20
101.33,101.33,99.11,99.26,-1.42,600769000.00,2021-04-21
101.27,101.88,97.98,99.43,0.17,640007000.00,2021-04-22
100.30,100.30,95.73,96.07,-3.37,728306000.00,2021-04-25
94.84,96.31,93.26,93.32,-2.86,596334000.00,2021-04-26
92.91,97.66,92.91,97.66,4.65,457430000.00,2021-04-27
97.95,98.88,95.36,97.57,-0.10,353847000.00,2021-04-28
99.45,99.45,96.92,97.45,-0.12,358526000.00,2021-04-29
97.45,98.26,96.72,98.20,0.77,504778000.00,2021-05-02
98.60,100.23,98.39,98.66,0.50,622595000.00,2021-05-03
97.74,99.68,97.74,98.88,0.23,388465000.00,2021-05-04
99.14,99.28,98.35,98.37,-0.51,287685000.00,2021-05-05
98.60,99.03,97.81,98.52,0.15,729701000.00,2021-05-06
98.82,99.16,97.42,97.66,-0.93,532752000.00,2021-05-09
97.74,99.23,97.10,98.66,1.02,393978000.00,2021-05-10
99.23,100.38,98.60,100.15,1.51,509970000.00,2021-05-11
100.22,101.34,100.05,100.91,0.76,536657000.00,2021-05-12
101.99,101.99,100.39,100.51,-0.39,437457000.00,2021-05-13
100.84,103.05,100.63,102.55,2.02,833408000.00,2021-05-16
101.88,104.30,101.88,102.80,0.14,515712000.00,2021-05-17
103.53,106.37,103.37,105.66,2.78,731182000.00,2021-05-18
106.63,106.84,103.33,103.80,-1.76,554480000.00,2021-05-19
105.32,105.32,102.95,103.06,-0.72,410147000.00,2021-05-20
101.77,103.95,100.76,103.14,0.09,518231000.00,2021-05-23
106.20,106.31,104.30,104.56,1.37,1560740000.00,2021-05-24
107.34,107.34,103.26,103.38,-1.12,546796000.00,2021-05-25
102.20,103.96,101.94,102.71,-0.65,561602000.00,2021-05-27
103.51,104.28,102.22,102.43,-0.27,601026000.00,2021-05-30
102.89,103.37,101.44,101.46,-0.95,604317000.00,2021-05-31
102.04,102.30,100.37,100.79,-0.66,372215000.00,2021-06-01
100.68,101.97,100.38,101.52,0.92,438176000.00,2021-06-02
102.05,103.10,101.46,101.59,0.07,619933000.00,2021-06-03
103.67,105.62,103.67,105.62,3.97,1191060000.00,2021-06-06
106.37,107.35,104.96,105.53,-0.10,730271000.00,2021-06-07
108.91,108.91,104.44,104.63,-0.88,573974000.00,2021-06-08
105.05,105.63,103.34,103.61,-0.98,587586000.00,2021-06-09
106.67,106.67,103.76,104.72,1.08,1352650000.00,2021-06-10
106.02,108.50,106.02,107.21,2.38,416915000.00,2021-06-13
110.69,111.15,110.30,110.79,3.34,473830000.00,2021-06-14
114.73,114.98,111.24,113.21,2.07,917360000.00,2021-06-15
110.92,112.67,108.44,110.33,-2.54,664518000.00,2021-06-16
111.78,111.78,109.03,110.12,-0.19,560132000.00,2021-06-17
109.65,110.81,106.69,107.92,-2.07,487893000.00,2021-06-20
107.92,108.65,104.63,107.40,-0.48,868419000.00,2021-06-21
109.37,111.93,107.66,111.93,4.26,679017000.00,2021-06-22
113.52,114.12,110.79,111.54,-0.35,430355000.00,2021-06-23
110.91,111.29,109.18,109.18,-1.56,457549000.00,2021-06-24
109.60,111.18,107.93,109.69,0.48,497732000.00,2021-06-27
111.52,112.10,108.27,112.10,2.14,420973000.00,2021-06-28
112.10,112.10,107.97,108.26,-3.43,495139000.00,2021-06-29
109.92,109.92,104.76,105.86,-2.21,302369000.00,2021-06-30
107.85,108.72,106.41,107.08,1.15,258680000.00,2021-07-01
107.60,107.60,105.88,106.63,-0.42,270651000.00,2021-07-04
106.54,107.22,104.77,107.22,0.55,308677000.00,2021-07-05
107.36,107.36,104.82,104.93,-2.13,297311000.00,2021-07-06
104.93,105.14,103.04,104.08,-0.81,228220000.00,2021-07-07
103.97,107.41,102.69,105.21,1.08,281886000.00,2021-07-08
105.50,108.03,105.50,108.03,2.68,390466000.00,2021-07-11
109.79,109.79,104.75,105.17,-2.65,348578000.00,2021-07-12
105.84,106.93,104.92,105.57,0.38,241766000.00,2021-07-13
107.35,107.74,105.47,106.27,0.72,196086000.00,2021-07-14
106.27,106.94,105.73,106.26,-0.01,213027000.00,2021-07-15
106.33,107.96,106.18,107.96,1.61,389382000.00,2021-07-18
108.87,110.40,107.74,109.55,1.47,397539000.00,2021-07-19
111.25,111.25,108.71,108.71,-1.02,309607000.00,2021-07-20
108.81,109.68,108.13,108.48,-0.28,363113000.00,2021-07-22
108.33,109.37,107.91,108.53,0.04,468093000.00,2021-07-25
108.77,109.14,108.21,108.32,-0.13,374726000.00,2021-07-26
108.14,111.67,108.10,111.37,2.81,534520000.00,2021-07-27
111.35,114.59,111.35,114.59,2.89,504239000.00,2021-07-28
115.14,115.14,112.96,113.22,-1.19,391972000.00,2021-07-29
113.93,116.11,112.49,115.12,1.61,541028000.00,2021-08-01
115.84,117.29,115.38,117.08,1.70,610203000.00,2021-08-02
117.26,119.00,116.36,117.28,0.18,511554726.00,2021-08-03
117.46,119.07,116.55,117.62,0.29,943924000.00,2021-08-04
118.22,118.57,115.41,115.91,-1.43,612937000.00,2021-08-05
115.78,116.67,114.95,115.59,-0.03,575472000.00,2021-08-08
115.59,116.42,114.19,114.95,-0.56,526134000.00,2021-08-09
115.33,117.40,113.80,117.40,1.86,570909000.00,2021-08-10
117.38,117.38,115.90,116.38,-0.87,855757000.00,2021-08-11
117.03,119.19,116.77,118.05,1.47,842483000.00,2021-08-12
115.22,118.70,113.37,118.70,0.56,817734000.00,2021-08-15
118.14,121.44,116.57,121.44,2.25,924024000.00,2021-08-16
120.63,121.74,119.28,121.52,0.06,1017460000.00,2021-08-17
120.76,123.50,120.24,123.24,1.42,1053140000.00,2021-08-18
123.69,123.69,117.82,118.36,-3.99,1019470000.00,2021-08-19
115.26,116.33,113.06,113.10,-4.43,650830000.00,2021-08-24
112.50,114.16,109.86,110.88,-1.96,492545000.00,2021-08-25
111.30,112.95,110.49,110.79,-0.08,495979000.00,2021-08-26
111.42,112.39,108.58,108.88,-1.75,434589000.00,2021-08-29
109.08,109.08,105.93,105.99,-2.58,396976000.00,2021-08-31
105.96,108.71,104.99,106.03,0.01,320625000.00,2021-09-01
105.47,107.19,102.46,102.60,-3.31,404038000.00,2021-09-02
103.25,103.25,96.78,97.78,-4.73,472446000.00,2021-09-05
97.60,104.38,97.60,104.38,6.83,408390000.00,2021-09-06
105.39,106.08,102.82,103.94,-0.42,331112000.00,2021-09-07
104.54,104.54,101.41,101.41,-2.43,198107000.00,2021-09-08
101.36,103.33,101.07,101.53,0.17,159504000.00,2021-09-09
102.13,103.99,102.13,103.87,2.31,290311000.00,2021-09-12
104.49,106.30,102.74,103.23,-0.62,318610000.00,2021-09-13
103.33,104.39,102.27,102.45,-0.76,204290000.00,2021-09-14
103.19,103.83,100.51,100.57,-1.84,186841000.00,2021-09-15
100.49,100.53,97.63,98.17,-2.38,297496000.00,2021-09-16
98.20,98.80,92.87,92.92,-5.39,325065000.00,2021-09-20
92.78,97.35,88.59,94.19,1.37,409713000.00,2021-09-21
94.83,98.61,94.83,97.94,4.14,243579000.00,2021-09-22
98.03,100.16,95.62,95.78,-2.20,202557000.00,2021-09-23
96.22,96.22,92.41,92.55,-3.38,165184000.00,2021-09-26
92.98,93.87,89.42,89.59,-3.10,187039000.00,2021-09-27
89.59,90.53,85.80,86.07,-3.93,208985000.00,2021-09-28
85.93,88.34,84.48,88.04,2.32,180779000.00,2021-09-29
87.20,90.06,86.95,86.95,-1.24,110454000.00,2021-09-30
87.32,87.32,83.50,83.62,-3.83,114788000.00,2021-10-03
83.57,84.54,81.46,82.98,-0.77,107497000.00,2021-10-04
82.93,84.76,82.64,83.87,1.07,98352300.00,2021-10-05
84.08,86.29,84.08,86.06,2.62,114177000.00,2021-10-06
86.35,88.23,85.19,85.44,-0.71,106538000.00,2021-10-10
85.88,87.34,85.08,86.35,1.07,171356000.00,2021-10-11
86.82,88.15,85.11,86.53,0.21,54760400.00,2021-10-17
85.81,86.20,83.98,84.34,-2.52,107371000.00,2021-10-18
84.11,84.11,80.93,81.94,-2.85,105312000.00,2021-10-19
81.98,84.91,81.98,83.43,1.81,130033000.00,2021-10-20
83.63,84.29,82.43,83.06,-0.44,72235300.00,2021-10-21
83.00,83.72,82.80,83.34,0.41,81912500.00,2021-10-24
83.32,87.00,83.15,87.00,4.40,156436000.00,2021-10-25
87.36,91.54,87.36,90.91,4.50,207905000.00,2021-10-26
91.42,93.19,89.50,90.92,0.00,185110779.40,2021-10-27
90.92,92.00,89.41,91.28,0.40,130452432.00,2021-10-28
91.36,94.35,90.97,94.14,3.21,183977300.80,2021-10-31
95.15,96.14,93.88,94.56,0.37,229315507.30,2021-11-01
95.14,95.14,92.65,94.41,-0.16,125404110.90,2021-11-02
94.68,95.48,93.85,94.22,-0.20,176323982.60,2021-11-03
95.24,96.44,94.43,94.86,0.67,167866481.60,2021-11-08
94.86,95.87,91.19,92.31,-2.68,233768167.10,2021-11-09
92.00,92.71,89.46,89.50,-3.05,139732731.20,2021-11-11
89.47,89.47,86.03,86.31,-3.56,207997763.10,2021-11-14
85.86,88.87,85.41,88.00,1.96,376394568.90,2021-11-15
88.09,89.60,87.37,89.60,1.81,236820782.70,2021-11-16
90.06,91.22,89.08,89.07,-0.58,215330147.10,2021-11-17
88.32,89.33,87.53,87.57,-1.69,190577803.10,2021-11-18
87.57,88.49,86.72,86.83,-0.85,183366025.60,2021-11-21
86.80,87.73,86.78,87.55,0.83,160695548.80,2021-11-22
87.55,87.83,85.77,86.21,-1.53,140927328.90,2021-11-23
86.67,87.40,85.10,86.76,0.64,184281886.00,2021-11-24
87.23,87.72,85.58,86.28,-0.56,152817099.50,2021-11-25
86.28,86.28,82.84,83.35,-3.39,262697664.60,2021-11-28
83.25,84.22,82.37,82.61,-0.64,154864837.40,2021-11-29
82.67,83.54,81.43,82.18,-0.52,120881950.30,2021-11-30
82.00,83.05,81.96,82.33,0.19,124100095.80,2021-12-01
81.90,82.74,80.66,80.87,-1.78,125165921.00,2021-12-02
81.31,81.46,77.89,78.16,-3.35,174108696.30,2021-12-05
78.16,79.42,74.46,78.84,0.86,217936206.20,2021-12-06
79.04,81.07,77.58,78.10,-0.94,176023205.10,2021-12-07
78.21,78.71,75.65,76.15,-2.48,115418575.50,2021-12-08
76.11,76.83,75.23,76.08,-0.10,105905064.10,2021-12-09
75.92,76.90,73.11,73.12,-4.14,146085143.50,2021-12-12
73.05,73.05,68.98,69.50,-4.85,188621178.60,2021-12-13
69.50,75.08,69.50,75.06,8.00,92847166.00,2021-12-14
76.49,79.40,73.74,75.52,0.62,235040494.80,2021-12-15
75.52,75.73,73.89,74.00,-2.02,115862288.00,2021-12-16
74.33,74.61,72.42,73.63,-0.50,103866165.50,2021-12-20
73.66,75.28,73.66,75.05,1.93,97342799.70,2021-12-21
75.05,78.98,75.05,78.94,5.19,198184126.10,2021-12-22
79.87,80.15,77.81,79.01,0.08,151905495.20,2021-12-23
79.41,82.12,79.41,81.39,3.01,168886837.30,2021-12-26
81.84,81.84,78.27,78.35,-3.73,179827005.90,2021-12-27
78.35,79.29,76.46,77.98,-0.47,96471527.00,2021-12-28
77.98,78.67,77.37,77.73,-0.32,73528303.80,2021-12-29
77.73,80.01,77.53,79.42,2.17,131551978.80,2022-01-02
80.15,81.64,79.59,80.90,1.86,163752369.10,2022-01-03
80.90,83.60,79.82,83.43,3.14,148591038.30,2022-01-04
83.43,84.48,82.08,82.14,-1.54,224956824.60,2022-01-05
