open,high,low,close,percent_change,turnover,date
1845.45,1846.12,1827.97,1832.52,-0.70,40494600.00,2017-11-01
1832.52,1832.71,1813.99,1818.26,-0.78,44623800.00,2017-11-02
1818.26,1822.12,1781.66,1787.67,-1.68,73344496.00,2017-11-05
1787.67,1805.88,1775.88,1776.45,-0.63,59516100.00,2017-11-06
1776.45,1790.65,1758.34,1758.78,-0.99,51459200.00,2017-11-07
1758.78,1759.61,1727.16,1737.20,-1.23,55760000.00,2017-11-08
1737.20,1758.57,1718.27,1738.50,0.07,79774304.00,2017-11-09
1738.50,1743.17,1716.67,1739.78,0.07,40810600.00,2017-11-12
1739.78,1750.87,1728.51,1750.77,0.63,51062200.00,2017-11-13
1750.77,1817.77,1750.14,1809.62,3.36,72696704.00,2017-11-14
1809.62,1821.54,1789.14,1791.48,-1.00,85170704.00,2017-11-15
1791.48,1791.25,1771.25,1777.70,-0.77,45789700.00,2017-11-16
1777.70,1777.70,1745.25,1752.83,-1.40,34177500.00,2017-11-19
1752.83,1754.09,1740.61,1742.07,-0.61,32349900.00,2017-11-20
1742.07,1753.76,1736.49,1745.36,0.19,32723400.00,2017-11-21
1742.07,1758.80,1743.73,1751.96,0.38,0.00,2017-11-22
1751.96,1777.97,1751.78,1776.35,1.39,65635300.00,2017-11-23
1776.35,1806.13,1776.35,1804.87,1.61,66891500.00,2017-11-26
1804.87,1816.72,1798.92,1802.08,-0.15,88553504.00,2017-11-27
1802.08,1815.95,1798.23,1815.95,0.77,114906000.00,2017-11-28
1815.95,1875.75,1814.25,1857.57,2.29,136644000.00,2017-11-29
1857.57,1864.76,1840.57,1863.64,0.33,94417504.00,2017-11-30
1863.64,1877.13,1842.18,1843.58,-1.08,75419696.00,2017-12-04
1843.58,1853.30,1835.26,1850.19,0.36,35471100.00,2017-12-05
1850.19,1874.77,1849.52,1874.77,1.33,77257696.00,2017-12-06
1874.77,1901.53,1853.58,1854.43,-1.09,73264704.00,2017-12-10
1854.43,1856.72,1845.42,1848.96,-0.30,41989000.00,2017-12-11
1848.96,1849.36,1826.15,1828.33,-1.12,51899600.00,2017-12-12
1828.33,1842.91,1820.31,1842.89,0.80,31193700.00,2017-12-13
1842.89,1845.48,1837.18,1845.48,0.14,72623400.00,2017-12-14
1845.48,1847.12,1831.19,1833.02,-0.68,105989000.00,2017-12-17
1833.02,1841.97,1828.80,1830.98,-0.11,74447000.00,2017-12-18
1833.02,1833.22,1809.58,1810.75,-1.10,51964800.00,2017-12-19
1810.75,1812.19,1797.11,1803.13,-0.42,42607500.00,2017-12-20
1803.13,1807.23,1781.32,1782.08,-1.17,42849900.00,2017-12-21
1782.08,1797.89,1778.12,1778.73,-0.19,68418200.00,2017-12-24
1778.73,1778.26,1744.54,1746.06,-1.84,55520800.00,2017-12-26
1746.06,1746.01,1716.70,1722.34,-1.36,50564500.00,2017-12-27
1722.34,1742.45,1708.84,1719.25,-0.18,53549600.00,2017-12-28
1719.25,1720.55,1675.59,1681.73,-2.18,65363900.00,2017-12-31
1681.73,1751.20,1681.17,1751.20,4.13,41084200.00,2018-01-01
1751.20,1766.17,1731.83,1742.94,-0.47,74621200.00,2018-01-02
1742.94,1745.02,1712.30,1716.26,-1.53,50646500.00,2018-01-03
1716.26,1725.29,1705.97,1724.54,0.48,41762000.00,2018-01-04
1724.54,1752.43,1722.61,1745.14,1.19,28624900.00,2018-01-07
1745.14,1753.72,1740.12,1747.99,0.16,49410300.00,2018-01-08
1747.99,1769.35,1747.76,1765.94,1.03,41413000.00,2018-01-09
1765.94,1765.94,1739.49,1741.97,-1.36,47036800.00,2018-01-10
1741.97,1744.33,1711.62,1715.67,-1.51,51281900.00,2018-01-14
1715.67,1719.43,1693.47,1697.97,-1.03,33859400.00,2018-01-16
1697.97,1706.46,1687.28,1701.98,0.24,29166200.00,2018-01-17
1701.98,1702.87,1688.34,1689.81,-0.72,50106400.00,2018-01-21
1689.81,1689.81,1675.35,1676.52,-0.79,56288400.00,2018-01-22
1676.52,1677.79,1664.61,1667.31,-0.55,35202900.00,2018-01-23
1667.31,1671.99,1660.15,1664.69,-0.16,22640700.00,2018-01-24
1664.69,1687.12,1664.69,1687.12,1.35,35981200.00,2018-01-25
1687.12,1691.34,1679.62,1681.67,-0.32,26356400.00,2018-01-28
1681.67,1685.49,1671.51,1678.09,-0.21,21591600.00,2018-01-29
1678.09,1686.13,1672.98,1686.13,0.48,22153700.00,2018-01-31
1686.13,1700.87,1686.22,1698.54,0.74,32898200.00,2018-02-01
1686.13,1701.92,1691.76,1695.11,-0.20,26822600.00,2018-02-04
1686.13,1702.24,1677.14,1677.73,-1.02,32972000.00,2018-02-05
1677.73,1677.93,1668.48,1670.18,-0.45,27868200.00,2018-02-06
1670.18,1675.48,1654.27,1654.27,-0.95,30539500.00,2018-02-07
1654.27,1666.45,1644.84,1661.72,0.45,37521700.00,2018-02-08
1661.72,1665.28,1646.25,1648.98,-0.77,34326800.00,2018-02-11
1648.98,1649.34,1639.38,1642.28,-0.41,26399700.00,2018-02-12
1642.28,1662.83,1635.73,1662.83,1.25,28238100.00,2018-02-14
