open,high,low,close,percent_change,turnover,date
400.62,400.62,400.62,400.62,0.00,0.00,2011-01-02
398.01,398.01,398.01,398.01,0.00,0.00,2011-01-03
399.59,399.59,399.59,399.59,0.00,0.00,2011-01-04
400.76,400.76,400.76,400.76,0.00,0.00,2011-01-05
400.43,400.43,400.43,400.43,0.00,0.00,2011-01-06
398.26,398.26,398.26,398.26,0.00,0.00,2011-01-09
399.47,399.47,399.47,399.47,0.00,0.00,2011-01-10
400.67,400.67,400.67,400.67,0.00,0.00,2011-01-11
400.20,400.20,400.20,400.20,0.00,0.00,2011-01-12
402.75,402.75,402.75,402.75,0.00,0.00,2011-01-13
403.12,403.12,403.12,403.12,0.00,0.00,2011-01-16
403.71,403.71,403.71,403.71,0.00,0.00,2011-01-17
403.46,403.46,403.46,403.46,0.00,0.00,2011-01-18
404.33,404.33,404.33,404.33,0.00,0.00,2011-01-19
406.90,406.90,406.90,406.90,0.00,0.00,2011-01-20
406.34,406.34,406.34,406.34,0.00,0.00,2011-01-23
410.34,410.34,410.34,410.34,0.00,0.00,2011-01-24
410.57,410.57,410.57,410.57,0.00,0.00,2011-01-31
410.48,410.48,410.48,410.48,0.00,0.00,2011-02-01
407.97,407.97,407.97,407.97,0.00,0.00,2011-02-02
406.84,406.84,406.84,406.84,0.00,0.00,2011-02-03
413.76,413.76,413.76,413.76,0.00,0.00,2011-02-06
408.47,408.47,408.47,408.47,0.00,0.00,2011-02-07
406.96,406.96,406.96,406.96,0.00,0.00,2011-02-08
405.44,405.44,405.44,405.44,0.00,0.00,2011-02-09
405.05,405.05,405.05,405.05,0.00,0.00,2011-02-10
404.14,404.14,404.14,404.14,0.00,0.00,2011-02-13
403.71,403.71,403.71,403.71,0.00,0.00,2011-02-14
404.47,404.47,404.47,404.47,0.00,0.00,2011-02-15
405.44,405.44,405.44,405.44,0.00,0.00,2011-02-16
408.19,408.19,408.19,408.19,0.00,0.00,2011-02-17
405.15,405.15,405.15,405.15,0.00,0.00,2011-02-20
404.32,404.32,404.32,404.32,0.00,0.00,2011-02-21
401.20,401.20,401.20,401.20,0.00,0.00,2011-02-22
398.50,398.50,398.50,398.50,0.00,0.00,2011-02-23
397.46,397.46,397.46,397.46,0.00,0.00,2011-02-24
394.19,394.19,394.19,394.19,0.00,0.00,2011-02-27
391.66,391.66,391.66,391.66,0.00,0.00,2011-02-28
391.22,391.22,391.22,391.22,0.00,0.00,2011-03-01
395.43,395.43,395.43,395.43,0.00,0.00,2011-03-03
394.06,394.06,394.06,394.06,0.00,0.00,2011-03-07
392.71,392.71,392.71,392.71,0.00,0.00,2011-03-09
389.81,389.81,389.81,389.81,0.00,0.00,2011-03-10
388.25,388.25,388.25,388.25,0.00,0.00,2011-03-13
384.18,384.18,384.18,384.18,0.00,0.00,2011-03-14
376.75,376.75,376.75,376.75,0.00,0.00,2011-03-15
378.83,378.83,378.83,378.83,0.00,0.00,2011-03-16
377.51,377.51,377.51,377.51,0.00,0.00,2011-03-17
377.60,377.60,377.60,377.60,0.00,0.00,2011-03-20
379.46,379.46,379.46,379.46,0.00,0.00,2011-03-21
379.32,379.32,379.32,379.32,0.00,0.00,2011-03-22
377.63,377.63,377.63,377.63,0.00,0.00,2011-03-23
376.67,376.67,376.67,376.67,0.00,0.00,2011-03-24
372.00,372.00,372.00,372.00,-1.24,0.00,2011-03-27
365.00,365.00,365.00,365.00,-1.96,0.00,2011-03-28
358.00,358.00,358.00,358.00,-1.82,0.00,2011-03-29
359.00,359.00,359.00,359.00,0.30,0.00,2011-03-30
365.00,365.00,365.00,365.00,1.71,0.00,2011-03-31
365.00,365.00,365.00,365.00,-0.07,0.00,2011-04-04
364.00,364.00,364.00,364.00,-0.16,0.00,2011-04-05
364.00,364.00,364.00,364.00,-0.01,0.00,2011-04-06
365.00,365.00,365.00,365.00,0.28,0.00,2011-04-07
367.00,367.00,367.00,367.00,0.32,0.00,2011-04-10
365.00,365.00,365.00,365.00,-0.34,0.00,2011-04-11
373.00,373.00,373.00,373.00,2.15,0.00,2011-04-13
368.00,368.00,368.00,368.00,-1.52,0.00,2011-04-17
365.00,365.00,365.00,365.00,-0.57,0.00,2011-04-18
364.00,364.00,364.00,364.00,-0.32,0.00,2011-04-19
361.00,361.00,361.00,361.00,-0.87,0.00,2011-04-20
358.00,358.00,358.00,358.00,-0.73,0.00,2011-04-21
357.00,357.00,357.00,357.00,-0.44,0.00,2011-04-25
356.00,356.00,356.00,356.00,-0.19,0.00,2011-04-26
350.00,350.00,350.00,350.00,-1.70,0.00,2011-04-27
348.00,348.00,348.00,348.00,-0.70,0.00,2011-04-28
345.00,345.00,345.00,345.00,-0.90,0.00,2011-05-02
340.00,340.00,340.00,340.00,-1.46,0.00,2011-05-03
339.00,339.00,339.00,339.00,-0.21,0.00,2011-05-04
340.00,340.00,340.00,340.00,0.20,0.00,2011-05-05
341.00,341.00,341.00,341.00,0.33,0.00,2011-05-08
341.00,341.00,341.00,341.00,0.05,0.00,2011-05-09
344.00,344.00,344.00,344.00,0.95,0.00,2011-05-10
345.00,345.00,345.00,345.00,0.17,0.00,2011-05-11
346.00,346.00,346.00,346.00,0.52,0.00,2011-05-12
349.00,349.00,349.00,349.00,0.80,0.00,2011-05-15
351.00,351.00,351.00,351.00,0.40,0.00,2011-05-16
347.00,347.00,347.00,347.00,-1.06,0.00,2011-05-18
345.00,345.00,345.00,345.00,-0.60,0.00,2011-05-19
344.00,344.00,344.00,344.00,-0.37,0.00,2011-05-22
342.00,342.00,342.00,342.00,-0.43,0.00,2011-05-23
342.00,342.00,342.00,342.00,-0.15,0.00,2011-05-24
342.00,342.00,342.00,342.00,0.03,0.00,2011-05-25
345.00,345.00,345.00,345.00,0.83,0.00,2011-05-26
343.00,343.00,343.00,343.00,-0.51,0.00,2011-05-30
337.00,337.00,337.00,337.00,-1.76,0.00,2011-05-31
336.00,336.00,336.00,336.00,-0.31,0.00,2011-06-01
334.00,334.00,334.00,334.00,-0.58,0.00,2011-06-02
328.00,328.00,328.00,328.00,-1.78,0.00,2011-06-05
323.00,323.00,323.00,323.00,-1.41,0.00,2011-06-06
317.00,317.00,317.00,317.00,-1.76,0.00,2011-06-07
311.00,311.00,311.00,311.00,-1.96,0.00,2011-06-08
309.00,309.00,309.00,309.00,-0.76,0.00,2011-06-09
304.00,304.00,304.00,304.00,-1.54,0.00,2011-06-12
302.00,302.00,302.00,302.00,-0.79,0.00,2011-06-13
298.00,298.00,298.00,298.00,-1.36,0.00,2011-06-14
292.00,292.00,292.00,292.00,-1.78,0.00,2011-06-15
304.00,304.00,304.00,304.00,3.84,0.00,2011-06-16
319.00,319.00,319.00,319.00,5.09,0.00,2011-06-19
331.00,331.00,331.00,331.00,3.69,0.00,2011-06-20
344.00,344.00,344.00,344.00,4.07,0.00,2011-06-21
364.00,364.00,364.00,364.00,5.86,0.00,2011-06-23
347.00,347.00,347.00,347.00,-4.84,0.00,2011-06-26
330.00,330.00,330.00,330.00,-4.98,0.00,2011-06-27
333.00,333.00,333.00,333.00,1.04,0.00,2011-06-29
337.00,337.00,337.00,337.00,1.13,0.00,2011-06-30
333.00,333.00,333.00,333.00,-1.02,0.00,2011-07-03
334.00,334.00,334.00,334.00,0.21,0.00,2011-07-04
341.00,341.00,341.00,341.00,2.06,0.00,2011-07-05
345.00,345.00,345.00,345.00,1.18,0.00,2011-07-06
