open,high,low,close,percent_change,turnover,date
524.03,524.03,524.03,524.03,0.90,0.00,2011-03-20
540.47,540.47,540.47,540.47,-0.43,0.00,2011-03-25
538.12,538.12,538.12,538.12,-0.43,0.00,2011-03-27
528.73,528.73,528.73,528.73,-1.75,0.00,2011-03-28
522.85,522.85,522.85,522.85,-1.11,0.00,2011-03-29
524.03,524.03,524.03,524.03,1.36,0.00,2011-03-30
534.60,534.60,534.60,534.60,0.00,0.00,2011-04-04
535.77,535.77,535.77,535.77,0.22,0.00,2011-04-05
540.47,540.47,540.47,540.47,0.00,0.00,2011-04-07
540.47,540.47,540.47,540.47,0.00,0.00,2011-04-10
539.30,539.30,539.30,539.30,-0.43,0.00,2011-04-11
552.22,552.22,552.22,552.22,2.40,0.00,2011-04-13
547.52,547.52,547.52,547.52,-1.69,0.00,2011-04-20
511.11,511.11,511.11,511.11,-5.43,0.00,2011-04-27
501.71,501.71,501.71,501.71,0.71,0.00,2011-04-28
478.22,478.22,478.22,478.22,-3.09,0.00,2011-05-02
468.82,468.82,468.82,468.82,-3.62,0.00,2011-05-03
477.04,477.04,477.04,477.04,1.75,0.00,2011-05-04
472.34,472.34,472.34,472.34,-0.98,0.00,2011-05-05
477.04,477.04,477.04,477.04,1.00,0.00,2011-05-08
477.04,477.04,477.04,477.04,0.00,0.00,2011-05-10
475.87,475.87,475.87,475.87,-0.25,0.00,2011-05-11
479.39,479.39,479.39,479.39,0.49,0.00,2011-05-12
477.04,477.04,477.04,477.04,-0.49,0.00,2011-05-15
475.87,475.87,475.87,475.87,-0.25,0.00,2011-05-16
477.04,477.04,477.04,477.04,0.25,0.00,2011-05-18
474.69,474.69,474.69,474.69,-0.49,0.00,2011-05-19
473.52,473.52,473.52,473.52,-0.25,0.00,2011-05-22
469.99,469.99,469.99,469.99,-0.74,0.00,2011-05-23
468.82,468.82,468.82,468.82,-0.99,0.00,2011-05-24
468.82,468.82,468.82,468.82,0.00,0.00,2011-05-25
486.44,486.44,486.44,486.44,3.76,0.00,2011-05-26
472.34,472.34,472.34,472.34,-2.90,0.00,2011-05-30
464.12,464.12,464.12,464.12,-1.74,0.00,2011-05-31
468.82,468.82,468.82,468.82,1.01,0.00,2011-06-01
468.82,468.82,468.82,468.82,0.00,0.00,2011-06-02
458.25,458.25,458.25,458.25,-2.25,0.00,2011-06-05
452.37,452.37,452.37,452.37,-1.28,0.00,2011-06-06
446.50,446.50,446.50,446.50,-1.30,0.00,2011-06-07
434.76,434.76,434.76,434.76,-2.63,0.00,2011-06-08
434.76,434.76,434.76,434.76,0.00,0.00,2011-06-09
430.06,430.06,430.06,430.06,-2.92,0.00,2011-06-12
442.98,442.98,442.98,442.98,3.00,0.00,2011-06-13
444.15,444.15,444.15,444.15,0.26,0.00,2011-06-14
441.80,441.80,441.80,441.80,-0.53,0.00,2011-06-15
460.60,460.60,460.60,460.60,4.25,0.00,2011-06-16
487.61,487.61,487.61,487.61,-0.48,0.00,2011-06-20
493.49,493.49,493.49,493.49,1.21,0.00,2011-06-21
521.68,521.68,521.68,521.68,5.71,0.00,2011-06-23
472.34,472.34,472.34,472.34,-9.86,0.00,2011-06-26
447.68,447.68,447.68,447.68,-5.22,0.00,2011-06-27
452.37,452.37,452.37,452.37,1.05,0.00,2011-06-29
486.44,486.44,486.44,486.44,7.53,0.00,2011-06-30
469.99,469.99,469.99,469.99,-3.38,0.00,2011-07-03
475.87,475.87,475.87,475.87,1.25,0.00,2011-07-04
486.44,486.44,486.44,486.44,2.22,0.00,2011-07-05
493.49,493.49,493.49,493.49,-0.24,0.00,2011-07-06
469.99,469.99,469.99,469.99,-4.76,0.00,2011-07-07
485.26,485.26,485.26,485.26,1.97,0.00,2011-07-10
469.99,469.99,469.99,469.99,-3.15,0.00,2011-07-11
487.61,487.61,487.61,487.61,3.75,0.00,2011-07-12
485.26,485.26,485.26,485.26,-0.48,0.00,2011-07-13
492.31,492.31,492.31,492.31,1.45,0.00,2011-07-14
511.11,511.11,511.11,511.11,3.82,0.00,2011-07-17
499.36,499.36,499.36,499.36,-2.30,0.00,2011-07-18
499.36,499.36,499.36,499.36,0.00,0.00,2011-07-19
515.80,515.80,515.80,515.80,3.29,0.00,2011-07-20
501.71,501.71,501.71,501.71,-2.73,0.00,2011-07-21
487.61,487.61,487.61,487.61,-2.81,0.00,2011-07-24
487.61,487.61,487.61,487.61,0.00,0.00,2011-07-25
487.61,487.61,487.61,487.61,0.00,0.00,2011-07-26
491.14,491.14,491.14,491.14,0.72,0.00,2011-07-27
485.26,485.26,485.26,485.26,-1.67,0.00,2011-07-28
489.96,489.96,489.96,489.96,-0.95,0.00,2011-07-31
487.61,487.61,487.61,487.61,-0.48,0.00,2011-08-01
487.61,487.61,487.61,487.61,0.00,0.00,2011-08-02
486.44,486.44,486.44,486.44,-0.24,0.00,2011-08-03
498.19,498.19,498.19,498.19,2.41,0.00,2011-08-04
479.39,479.39,479.39,479.39,-3.77,0.00,2011-08-07
481.74,481.74,481.74,481.74,0.49,0.00,2011-08-08
475.87,475.87,475.87,475.87,-2.17,0.00,2011-08-09
481.74,481.74,481.74,481.74,1.23,0.00,2011-08-10
481.74,481.74,481.74,481.74,0.00,0.00,2011-08-11
479.39,479.39,479.39,479.39,-0.49,0.00,2011-08-15
487.61,487.61,487.61,487.61,1.22,0.00,2011-08-16
481.74,481.74,481.74,481.74,-1.20,0.00,2011-08-17
487.61,487.61,487.61,487.61,1.22,0.00,2011-08-18
480.57,480.57,480.57,480.57,0.25,0.00,2011-08-22
481.74,481.74,481.74,481.74,0.24,0.00,2011-08-23
484.09,484.09,484.09,484.09,0.49,0.00,2011-08-24
481.74,481.74,481.74,481.74,-0.49,0.00,2011-08-25
475.87,475.87,475.87,475.87,-1.22,0.00,2011-08-28
481.74,481.74,481.74,481.74,1.23,0.00,2011-08-29
481.74,481.74,481.74,481.74,-0.73,0.00,2011-08-30
493.49,493.49,493.49,493.49,2.44,0.00,2011-09-01
492.31,492.31,492.31,492.31,-0.24,0.00,2011-09-04
488.79,488.79,488.79,488.79,1.22,0.00,2011-09-05
482.92,482.92,482.92,482.92,-1.20,0.00,2011-09-06
482.92,482.92,482.92,482.92,0.00,0.00,2011-09-07
482.92,482.92,482.92,482.92,0.00,0.00,2011-09-08
480.57,480.57,480.57,480.57,-0.49,0.00,2011-09-12
478.22,478.22,478.22,478.22,-0.49,0.00,2011-09-13
472.34,472.34,472.34,472.34,-1.23,0.00,2011-09-14
475.87,475.87,475.87,475.87,0.00,0.00,2011-09-15
472.34,472.34,472.34,472.34,-0.74,0.00,2011-09-18
469.99,469.99,469.99,469.99,-0.50,0.00,2011-09-19
472.34,472.34,472.34,472.34,0.50,0.00,2011-09-20
481.74,481.74,481.74,481.74,1.99,0.00,2011-09-21
481.74,481.74,481.74,481.74,0.00,0.00,2011-09-22
487.61,487.61,487.61,487.61,2.72,0.00,2011-09-25
492.31,492.31,492.31,492.31,0.96,0.00,2011-09-26
487.61,487.61,487.61,487.61,-0.95,0.00,2011-09-27
487.61,487.61,487.61,487.61,0.00,0.00,2011-09-29
486.44,486.44,486.44,486.44,1.72,0.00,2011-10-10
488.79,488.79,488.79,488.79,0.48,0.00,2011-10-12
482.92,482.92,482.92,482.92,-1.20,0.00,2011-10-13
482.92,482.92,482.92,482.92,0.00,0.00,2011-10-16
486.44,486.44,486.44,486.44,0.73,0.00,2011-10-17
485.26,485.26,485.26,485.26,-0.24,0.00,2011-10-20
491.14,491.14,491.14,491.14,1.21,0.00,2011-10-23
482.92,482.92,482.92,482.92,0.24,0.00,2011-10-24
486.44,486.44,486.44,486.44,0.73,0.00,2011-10-25
489.96,489.96,489.96,489.96,-0.24,0.00,2011-10-30
493.49,493.49,493.49,493.49,0.72,0.00,2011-10-31
512.28,512.28,512.28,512.28,3.81,0.00,2011-11-02
512.28,512.28,512.28,512.28,0.00,0.00,2011-11-03
493.49,493.49,493.49,493.49,-3.67,0.00,2011-11-06
487.61,487.61,487.61,487.61,-1.42,0.00,2011-11-08
493.49,493.49,493.49,493.49,1.21,0.00,2011-11-09
489.96,489.96,489.96,489.96,-0.71,0.00,2011-11-10
493.49,493.49,493.49,493.49,0.72,0.00,2011-11-13
506.41,506.41,506.41,506.41,2.86,0.00,2011-11-14
491.14,491.14,491.14,491.14,-3.02,0.00,2011-11-15
493.49,493.49,493.49,493.49,0.48,0.00,2011-11-16
504.06,504.06,504.06,504.06,2.14,0.00,2011-11-17
499.36,499.36,499.36,499.36,-0.93,0.00,2011-11-20
505.23,505.23,505.23,505.23,0.00,0.00,2011-11-21
505.23,505.23,505.23,505.23,0.00,0.00,2011-11-22
494.66,494.66,494.66,494.66,-2.09,0.00,2011-11-23
494.66,494.66,494.66,494.66,0.00,0.00,2011-11-24
493.49,493.49,493.49,493.49,-0.24,0.00,2011-11-27
493.49,493.49,493.49,493.49,0.00,0.00,2011-11-28
494.66,494.66,494.66,494.66,-0.94,0.00,2011-12-01
495.84,495.84,495.84,495.84,0.24,0.00,2011-12-04
492.31,492.31,492.31,492.31,-0.71,0.00,2011-12-05
