open,high,low,close,percent_change,turnover,date
273.08,273.08,273.08,273.08,0.00,0.00,2011-03-20
266.05,266.05,266.05,266.05,-2.58,0.00,2011-04-18
261.08,261.08,261.08,261.08,-1.87,0.00,2011-04-21
265.96,265.96,265.96,265.96,1.87,0.00,2011-05-16
256.11,256.11,256.11,256.11,-3.71,0.00,2011-05-30
241.97,241.97,241.97,241.97,-3.72,0.00,2011-06-06
241.54,241.54,241.54,241.54,-0.18,0.00,2011-09-05
246.08,246.08,246.08,246.08,1.88,0.00,2011-09-13
250.71,250.71,250.71,250.71,1.88,0.00,2011-09-29
250.62,250.62,250.62,250.62,-0.04,0.00,2011-11-13
255.25,255.25,255.25,255.25,1.85,0.00,2011-12-18
237.08,237.08,237.08,237.08,-7.12,0.00,2012-01-10
220.11,220.11,220.11,220.11,-7.15,0.00,2012-01-11
220.11,220.11,220.11,220.11,0.00,0.00,2012-02-01
220.37,220.37,220.37,220.37,0.11,0.00,2012-02-13
216.26,216.26,216.26,216.26,-1.87,0.00,2012-02-27
226.29,226.29,226.29,226.29,4.64,0.00,2012-02-29
222.09,222.09,222.09,222.09,-1.86,0.00,2012-03-04
222.00,222.00,222.00,222.00,-0.04,0.00,2012-03-11
224.66,224.66,224.66,224.66,1.20,0.00,2012-03-19
220.37,220.37,220.37,220.37,-1.91,0.00,2012-03-20
221.44,221.44,221.44,221.44,0.00,0.00,2012-04-03
209.62,209.62,209.62,209.62,-5.34,0.00,2012-04-04
209.62,209.62,209.62,209.62,0.00,0.00,2012-04-05
202.02,202.02,202.02,202.02,-3.63,0.00,2012-04-08
202.02,202.02,202.02,202.02,0.00,0.00,2012-04-12
194.84,194.84,194.84,194.84,-3.55,0.00,2012-04-24
196.19,196.19,196.19,196.19,0.69,0.00,2012-04-25
189.18,189.18,189.18,189.18,-3.57,0.00,2012-05-10
189.18,189.18,189.18,189.18,0.00,0.00,2012-05-16
191.88,191.88,191.88,191.88,1.43,0.00,2012-06-20
263.86,263.86,263.86,263.86,-0.34,0.00,2012-06-26
181.07,181.07,181.07,181.07,-3.55,0.00,2012-08-26
177.86,177.86,177.86,177.86,-1.77,0.00,2012-08-27
162.83,162.83,162.83,162.83,-5.17,0.00,2012-08-30
165.70,165.70,165.70,165.70,1.76,0.00,2012-09-12
169.40,169.40,169.40,169.40,0.49,0.00,2012-09-13
172.35,172.35,172.35,172.35,1.74,0.00,2012-09-17
169.31,169.31,169.31,169.31,-1.76,0.00,2012-09-18
171.68,171.68,171.68,171.68,-0.34,0.00,2012-09-20
176.32,176.32,176.32,176.32,0.00,0.00,2012-12-12
173.28,173.28,173.28,173.28,-1.72,0.00,2012-12-17
170.33,170.33,170.33,170.33,-1.70,0.00,2013-01-22
173.28,173.28,173.28,173.28,1.73,0.00,2013-01-23
176.24,176.24,176.24,176.24,1.71,0.00,2013-01-31
179.28,179.28,179.28,179.28,1.72,0.00,2013-02-04
182.40,182.40,182.40,182.40,1.74,0.00,2013-02-05
175.99,175.99,175.99,175.99,-3.52,0.00,2013-02-21
170.50,170.50,170.50,170.50,-1.46,0.00,2013-03-05
167.54,167.54,167.54,167.54,-1.74,0.00,2013-03-06
165.01,165.01,165.01,165.01,-1.51,0.00,2013-03-11
162.89,162.89,162.89,162.89,-0.83,0.00,2013-03-17
160.11,160.11,160.11,160.11,-1.71,0.00,2013-03-20
161.20,161.20,161.20,161.20,0.68,0.00,2013-04-01
