fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,3.25,9.75,13.00,2025-11-30 [Closed]
2080/2081,3.00,7.53,10.53,2024-12-31 [Closed]
2078/2079,2.00,11.00,13.00,2023-03-14 [Closed]
2077/2078,20.00,1.0526,21.0526,2021-12-31 [Closed]
2076/2077,15.00,0.7895,15.7895,2020-12-30 [Closed]
2075/2076,6.00,24.00,30.00,2019-12-29 [Closed]
2074/2075,6.00,15.053,21.053,2019-02-28 [Closed]
2073/2074,20.00,1.053,21.053,2018-01-29 [Closed]
2072/2073,20.00,1.05,21.05,2017-03-31 [Closed]
2071/2072,15.00,0.79,15.79,2016-04-11 [Closed]
2070/2071,7.00,8.00,15.00,2015-04-19 [Closed]
2069/2070,0.00,31.58,31.58,2014-05-02 [Closed]
