fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,0.263,5.263,2026-01-02 [Closed]
2080/2081,3.00,0.157,3.157,2024-10-21 [Closed]
2078/2079,8.00,0.421,8.421,2023-02-01 [Closed]
2077/2078,10.00,0.526,10.526,2021-09-27 [Closed]
2076/2077,5.00,0.263,5.263,2020-12-11 [Closed]
2075/2076,7.00,0.37,7.37,2019-12-26 [Closed]
2073/2074,10.00,0.526,10.526,2017-08-25 [Closed]
2072/2073,10.00,0.526,10.526,2016-08-15 [Closed]
2071/2072,0.00,11.00,11.00,2015-08-27 [Closed]
2070/2071,10.00,0.526,10.526,2014-08-22 [Closed]
2069/2070,15.00,0.75,15.75,2013-08-09 [Closed]
2068/2069,15.00,0.75,15.75,2012-10-31 [Closed]
2067/2068,0.00,15.00,15.00,2011-12-21 [Closed]
