fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,5.5263,10.5263,2026-02-12 [Closed]
2080/2081,5.1,0.2684,5.3684,2025-07-04 [Closed]
2079/2080,7.75,0.4078,8.1578,2024-02-20 [Closed]
2078/2079,8.5,0.445,8.945,2023-04-21 [Closed]
2077/2078,14.5,0.76,15.26,2022-09-20 [Closed]
2076/2077,25.00,2.00,27.00,2022-01-26 [Closed]
2075/2076,0.00,0.00,0.00,2021-08-01 [Closed]
2073/2074,4.00,0.21,4.21,2018-05-18 [Closed]
2072/2073,20.00,1.05,21.05,2017-03-16 [Closed]
2070/2071,28.5,1.5,30.00,2015-05-24 [Closed]
2068/2069,8.29,,8.29,2013-01-19 [Closed]
2067/2068,27.00,1.42,28.42,2012-06-20 [Closed]
