date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,6010.7,6375.0,6010.1,6200.0,1.24,1318,8202542.7
2026-02-11,6161.9,6200.0,6124.0,6124.0,-2.6,84,516554.9
2026-02-10,6167.0,6289.9,6110.2,6287.6,3.99,238,1476560.8
2026-02-09,6160.0,6283.0,6040.0,6046.1,0.08,762,4686875.8
2026-02-08,6031.1,6222.0,5999.0,6041.0,0.18,1220,7425147.4
2026-02-05,5930.0,6150.6,5930.0,6030.0,0.09,569,3431371.8
2026-02-04,5900.0,6222.0,5900.0,6024.8,0.4,5649,33793864.2
2026-02-03,5940.1,6005.0,5940.1,6001.0,-0.15,72,429649.4
2026-02-02,6002.0,6120.0,6002.0,6010.0,0.13,370,2251772.6
2026-02-01,6051.0,6110.9,6000.0,6002.0,-0.81,146,878014.1
2026-01-29,6004.3,6124.0,6004.0,6051.0,-1.22,108,652960.4
2026-01-28,6009.0,6126.0,6009.0,6126.0,-0.06,98,589133.8
2026-01-27,6000.0,6160.0,6000.0,6129.9,0.49,299,1810247.0
2026-01-26,6099.0,6100.0,6010.0,6100.0,0.83,323,1962014.8
2026-01-25,6139.9,6139.9,6050.0,6050.0,0.5,245,1487491.8
2026-01-22,6021.0,6110.0,6020.0,6020.0,-0.02,194,1173791.6
2026-01-21,6096.9,6101.9,6021.0,6021.0,-1.24,279,1686371.5
2026-01-20,6020.0,6098.5,6020.0,6096.9,-0.05,244,1471409.2
2026-01-18,6088.0,6100.0,6081.0,6100.0,1.33,95,578329.0
2026-01-14,6150.0,6190.0,6016.0,6020.0,-1.31,345,2084233.7
2026-01-13,6050.0,6100.0,6001.0,6100.0,-0.32,261,1576339.0
2026-01-12,6060.1,6119.8,6060.1,6119.8,0.32,164,996483.4
2026-01-08,6099.9,6198.0,6099.9,6100.0,0.0,2169,13325749.0
2026-01-07,6144.9,6391.0,6015.0,6100.0,1.24,640,3900129.1
2026-01-06,6005.0,6455.0,6005.0,6025.0,-0.97,833,5048544.6
2026-01-05,6025.0,6085.0,6000.0,6083.9,0.03,238,1431135.3
2026-01-04,6079.9,6082.0,5961.0,6082.0,0.03,630,3790137.8
2026-01-01,6021.1,6085.0,6020.0,6079.9,-0.49,135,814228.6
2025-12-31,6100.0,6110.0,6022.0,6110.0,0.16,70,423114.0
2025-12-29,6000.3,6100.0,6000.3,6100.0,-0.24,68,409124.0
2025-12-28,6035.1,6144.0,6021.2,6114.9,-0.57,212,1282372.6
2025-12-24,6060.1,6150.0,6006.4,6150.0,0.34,515,3106053.9
2025-12-23,6010.0,6128.9,6010.0,6128.9,0.51,168,1020559.5
2025-12-22,6000.0,6100.0,6000.0,6098.0,-0.03,100,606127.8
2025-12-21,6044.9,6100.0,6044.9,6100.0,-1.11,55,333291.1
2025-12-18,6294.0,6294.0,6168.2,6168.2,-0.19,20,124622.0
2025-12-17,6100.0,6180.0,6061.0,6180.0,0.49,178,1082795.0
2025-12-16,6028.4,6150.0,6028.4,6150.0,0.0,417,2534131.6
2025-12-15,6270.0,6270.0,6035.0,6150.0,0.0,124,759149.6
2025-12-14,6050.0,6149.9,6050.0,6149.9,0.0,78,474629.0
2025-12-11,6101.0,6150.0,6100.0,6150.0,0.82,130,793734.2
2025-12-10,6081.1,6150.0,6081.1,6100.0,-1.61,118,719543.0
2025-12-09,6071.1,6206.7,6071.1,6200.0,0.2,228,1405616.9
2025-12-08,6100.0,6187.9,6100.0,6187.9,-0.03,49,299448.0
2025-12-07,6065.0,6189.9,6065.0,6189.9,0.06,120,738110.2
2025-12-03,6165.0,6662.0,6165.0,6186.0,-1.62,296,1869951.4
2025-12-02,6165.1,6287.9,6165.1,6287.9,-0.01,20,124530.0
2025-12-01,6290.0,6290.0,6172.3,6288.8,0.0,81,503961.7
2025-11-30,6320.1,6320.1,5950.0,6288.9,-2.48,1380,8426543.7
2025-11-27,6206.3,6449.0,5961.4,6449.0,1.83,82,507254.8
2025-11-26,6285.8,6334.0,5900.0,6332.9,-1.26,956,5705212.7
2025-11-25,6169.1,6495.0,6100.0,6414.0,1.89,1610,9915375.9
2025-11-24,6199.0,6294.9,6199.0,6294.9,1.62,545,3390890.5
2025-11-23,6174.9,6200.0,6100.5,6194.8,0.32,154,947712.0
2025-11-20,6100.0,6180.0,6100.0,6174.9,0.57,361,2206349.8
2025-11-19,6074.5,6139.9,6074.5,6139.9,-0.57,41,249556.0
2025-11-18,6075.3,6174.8,6075.3,6174.8,1.64,124,755448.4
2025-11-17,6249.9,6249.9,6075.3,6075.3,-1.61,35,215256.7
2025-11-16,6124.0,6215.1,6124.0,6174.9,-1.18,85,521799.4
2025-11-13,6070.0,6305.0,6070.0,6248.9,1.02,517,3207113.8
2025-11-12,6250.0,6250.0,6131.1,6185.9,-1.1,168,1035439.7
2025-11-11,6163.3,6277.0,6140.0,6254.9,-0.54,66,407418.4
2025-11-10,6145.0,6289.0,6100.2,6289.0,2.43,1004,6236243.0
2025-11-09,6050.1,6140.0,6032.0,6140.0,-0.07,778,4711606.3
2025-11-06,6050.0,6144.0,6050.0,6144.0,-0.32,380,2313705.0
2025-11-05,6055.1,6176.0,6055.1,6163.9,-0.2,235,1434803.6
2025-11-04,6063.2,6176.0,6063.2,6176.0,-0.18,337,2064785.3
2025-11-03,6164.2,6186.9,6100.0,6186.9,-1.64,577,3530614.4
2025-11-02,6316.1,6316.1,6170.0,6290.0,-2.4,465,2881053.7
2025-10-30,6076.0,6445.0,6025.1,6445.0,3.95,1180,7248128.7
