date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,490.0,499.0,480.6,493.0,1.84,71657,35372511.0
2026-02-11,490.0,511.0,480.2,484.1,0.44,42432,20654770.4
2026-02-10,492.5,492.5,480.0,482.0,-0.41,37509,18206514.6
2026-02-09,487.1,505.9,484.0,484.0,-2.62,46195,22567531.7
2026-02-08,487.1,521.0,487.1,497.0,0.0,78308,39403938.0
2026-02-05,515.0,515.0,495.0,497.0,-2.15,72446,36557419.1
2026-02-04,477.0,515.0,477.0,507.9,6.26,227346,113661414.3
2026-02-03,471.5,489.0,471.5,478.0,-0.62,56115,26894544.6
2026-02-02,484.0,484.0,477.2,481.0,0.84,34291,16480194.6
2026-02-01,478.4,484.0,477.0,477.0,-0.83,24285,11639067.6
2026-01-29,492.8,495.0,480.6,481.0,-1.03,60139,29286956.1
2026-01-28,481.0,488.5,477.0,486.0,1.46,54826,26455570.3
2026-01-27,499.7,499.7,477.1,479.0,-2.72,68383,33245640.0
2026-01-26,505.0,505.0,486.1,492.4,-1.12,97827,48165899.6
2026-01-25,478.0,502.0,474.2,498.0,3.97,85147,41960796.5
2026-01-22,466.2,479.0,466.1,479.0,2.13,43874,20723877.1
2026-01-21,477.0,477.0,468.6,469.0,-0.74,39516,18648526.0
2026-01-20,473.1,479.0,470.0,472.5,0.83,45814,21746867.4
2026-01-18,466.1,476.8,466.1,468.6,0.77,46229,21755243.9
2026-01-14,470.1,478.8,465.0,465.0,-1.9,53423,25150481.9
2026-01-13,464.0,475.0,456.2,474.0,2.16,47659,22398884.0
2026-01-12,476.3,476.3,456.0,464.0,-0.64,37042,17104744.1
2026-01-08,461.2,468.0,461.2,467.0,-0.36,15777,7333683.0
2026-01-07,465.5,470.0,460.6,468.7,0.64,38336,17936713.4
2026-01-06,464.0,472.0,460.6,465.7,2.32,31058,14446892.7
2026-01-05,470.0,479.2,470.0,477.9,1.25,67331,31940021.6
2026-01-04,477.0,485.0,470.0,472.0,-1.23,45435,21480476.0
2026-01-01,482.3,488.0,477.3,477.9,-1.46,24444,11762567.4
2025-12-31,475.0,485.0,475.0,485.0,1.46,46507,22428645.8
2025-12-29,480.0,482.0,476.0,478.0,-0.6,29983,14346018.1
2025-12-28,473.0,481.1,470.0,480.9,1.89,36042,17145341.6
2025-12-24,482.0,482.0,471.0,472.0,-0.42,23945,11355192.0
2025-12-23,483.0,483.0,467.0,474.0,-0.44,38554,18235345.0
2025-12-22,468.1,482.8,468.1,476.1,-0.31,17286,8272485.3
2025-12-21,481.0,484.0,477.0,477.6,-1.53,23458,11285868.2
2025-12-18,482.0,485.0,481.0,485.0,0.19,32724,15812307.6
2025-12-17,492.0,492.0,483.6,484.1,-0.39,35312,17182162.8
2025-12-16,480.0,487.0,475.7,486.0,1.25,20492,9901841.0
2025-12-15,476.1,483.0,473.9,480.0,0.21,27434,13117159.5
2025-12-14,489.0,489.9,475.0,479.0,-0.83,40474,19522028.3
2025-12-11,486.0,489.7,483.0,483.0,-0.62,21203,10287985.8
2025-12-10,490.0,496.0,486.0,486.0,-0.82,29923,14681215.6
2025-12-09,484.0,492.0,484.0,490.0,1.24,23156,11311097.9
2025-12-08,482.0,489.8,481.0,484.0,-0.19,24074,11671665.0
2025-12-07,477.1,490.0,477.1,484.9,0.33,31608,15333652.2
2025-12-03,480.5,495.0,476.0,483.3,-0.47,42464,20716091.4
2025-12-02,480.2,494.9,480.2,485.6,-0.12,26243,12783432.7
2025-12-01,489.0,499.0,483.1,486.2,-0.76,19385,9493945.7
2025-11-30,509.8,509.8,488.0,489.9,-2.99,40004,19761081.9
2025-11-27,508.0,514.8,497.1,505.0,-0.96,47728,24152389.7
2025-11-26,506.0,515.0,494.0,509.9,2.6,84631,42889074.4
2025-11-25,500.0,503.9,496.0,497.0,-0.4,47711,23810851.3
2025-11-24,510.0,510.0,496.0,499.0,-1.17,57968,29058086.4
2025-11-23,476.2,507.4,476.2,504.9,4.08,79385,39601420.2
2025-11-20,479.0,494.0,475.0,485.1,1.06,61980,30194075.7
2025-11-19,493.9,493.9,475.3,480.0,-1.4,32315,15552357.2
2025-11-18,470.0,492.6,468.0,486.8,2.05,54795,26712098.6
2025-11-17,475.0,484.0,470.0,477.0,0.21,33580,15988059.3
2025-11-16,491.6,491.6,472.0,476.0,-1.24,42192,20135715.4
2025-11-13,475.6,495.0,475.6,482.0,-0.62,62699,30379465.8
2025-11-12,500.1,516.8,478.0,485.0,-4.34,156633,76573817.8
2025-11-11,520.0,527.0,505.0,507.0,-3.23,41768,21295085.1
2025-11-10,513.0,540.0,513.0,523.9,1.97,71475,37138724.0
2025-11-09,540.0,540.0,502.4,513.8,-4.85,111006,56963437.0
2025-11-06,524.9,575.0,524.9,540.0,0.82,159491,85530388.8
2025-11-05,569.5,569.5,532.0,535.6,-4.08,64632,34895878.9
2025-11-04,524.9,559.0,524.9,558.4,6.38,171197,93762878.9
2025-11-03,525.0,527.8,515.0,524.9,-1.69,73696,38380822.4
2025-11-02,539.8,539.8,519.5,533.9,-1.11,118779,62622001.0
2025-10-30,522.1,541.7,518.1,539.9,1.66,58237,30892997.9
2025-10-29,526.4,556.0,520.2,531.1,-1.1,76015,40662390.3
2025-10-28,507.4,540.0,507.4,537.0,3.73,32358,17158006.0
2025-10-26,524.3,524.3,514.0,517.7,-3.23,22298,11570213.8
2025-10-19,543.4,543.4,520.0,535.0,-2.01,23539,12446696.9
2025-10-16,524.8,546.0,514.4,546.0,1.96,84355,44230462.3
2025-10-15,583.1,583.1,535.5,535.5,-10.0,104980,56440961.4
2025-10-14,553.7,595.0,526.3,595.0,5.31,124781,68791662.8
2025-10-13,544.8,565.0,523.5,565.0,1.64,94087,51416851.7
2025-10-12,593.9,593.9,545.4,555.9,-8.27,100582,55594748.4
2025-10-09,571.2,616.0,539.1,606.0,8.21,132877,75547821.4
2025-10-08,587.5,587.5,545.0,560.0,-2.78,55699,30894422.5
2025-10-07,571.4,600.0,546.0,576.0,-1.2,79144,44864306.8
2025-09-28,589.5,589.5,574.0,583.0,0.87,32042,18574057.5
2025-09-25,600.6,600.6,570.0,578.0,-1.85,36224,20896209.0
2025-09-24,595.0,595.0,572.3,588.9,-0.19,71990,42039027.8
2025-09-23,572.4,590.0,560.0,590.0,5.13,62169,35700315.9
2025-09-21,540.0,575.0,530.0,561.21,1.87,80627,44851972.8
2025-09-18,550.9,550.9,550.9,550.9,-2.0,200,110180.0
2025-09-08,575.59,586.0,560.0,562.12,-3.54,56150,32322966.3
2025-09-07,597.2,597.2,578.2,582.76,-0.48,42312,24774129.4
2025-09-04,563.1,601.0,563.0,585.55,6.07,325700,190003799.5
2025-09-03,559.0,567.1,551.0,552.06,-1.41,29887,16607860.4
2025-09-02,570.9,576.0,549.2,559.96,-0.07,43130,24584846.1
2025-09-01,537.0,567.7,537.0,560.37,2.27,38136,21215653.4
2025-08-31,577.5,577.5,542.0,547.92,-3.23,34255,19176403.0
2025-08-28,564.2,584.7,563.1,566.22,-1.64,84272,48133041.8
2025-08-27,568.8,589.0,568.8,575.64,-0.82,61072,35480858.8
2025-08-26,595.5,595.5,572.0,580.4,-0.6,22982,13333336.8
2025-08-25,586.3,586.3,564.0,583.91,1.58,45102,26126148.6
2025-08-24,596.7,596.7,570.2,574.84,-1.74,33808,19599064.8
2025-08-21,592.0,599.9,580.3,585.02,-1.16,62160,36786580.8
2025-08-20,567.2,599.9,567.2,591.89,3.74,104426,61521467.0
