date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,564.0,575.2,553.0,558.0,-1.05,54556,30557632.4
2026-02-11,579.3,579.3,552.0,563.9,-0.72,27128,15175722.3
2026-02-10,581.4,581.4,555.0,568.0,-0.35,44853,25160280.7
2026-02-09,593.6,593.6,563.0,570.0,-2.06,33625,19219858.2
2026-02-08,589.5,589.5,575.0,582.0,0.69,45839,26726145.2
2026-02-05,578.0,585.0,560.0,578.0,1.96,64339,37202229.2
2026-02-04,580.2,580.2,562.0,566.9,-0.35,31925,18092678.0
2026-02-03,557.9,593.6,557.9,568.9,-0.05,35873,20398639.6
2026-02-02,571.0,587.5,569.0,569.2,-1.18,54225,31144095.5
2026-02-01,586.0,590.0,573.5,576.0,-3.19,81329,47149200.0
2026-01-29,600.0,626.0,584.0,595.0,-1.49,99235,60287469.0
2026-01-28,579.0,604.0,579.0,604.0,2.37,141571,84207858.9
2026-01-27,589.8,614.0,580.0,590.0,2.02,156449,92963099.1
2026-01-26,579.2,579.2,557.0,578.3,1.83,124690,71220280.8
2026-01-25,560.0,574.0,555.1,567.9,1.79,115412,65592650.4
2026-01-22,547.3,558.0,547.3,557.9,-0.02,51535,28554342.2
2026-01-21,571.0,571.0,550.0,558.0,-0.34,72851,40450992.3
2026-01-20,561.0,569.0,550.8,559.9,0.0,109431,61047171.3
2026-01-18,546.0,560.0,546.0,559.9,0.54,73707,40805374.5
2026-01-14,540.0,560.0,540.0,556.9,1.27,60345,33203426.7
2026-01-13,552.0,552.0,534.0,549.9,0.35,67974,37056058.0
2026-01-12,544.0,570.0,541.0,548.0,-1.26,53932,29718965.4
2026-01-08,530.2,561.0,530.2,555.0,2.59,211257,113890974.0
2026-01-07,548.8,572.0,538.0,541.0,-3.39,65579,36054385.8
2026-01-06,582.0,604.6,545.0,560.0,-1.87,123987,71366607.5
2026-01-05,518.1,570.7,518.1,570.7,9.98,171894,94964125.0
2026-01-04,511.0,524.0,510.0,518.9,0.56,66686,34518455.8
2026-01-01,530.4,530.4,513.1,516.0,-0.77,67861,35196944.9
2025-12-31,527.0,527.0,515.1,520.0,0.58,62163,32409390.4
2025-12-29,503.1,527.0,503.1,517.0,0.8,78189,40273413.9
2025-12-28,508.7,528.0,508.0,512.9,-1.18,85842,44038582.7
2025-12-24,508.0,527.9,508.0,519.0,0.19,43247,22521517.1
2025-12-23,540.0,540.0,516.5,518.0,-2.26,99110,51684379.6
2025-12-22,539.0,542.0,526.0,530.0,-3.64,101109,53773928.9
2025-12-21,542.0,555.0,530.0,550.0,3.0,221939,119071785.6
2025-12-18,549.5,555.0,507.0,534.0,-4.76,466967,247234380.0
2025-12-17,610.6,610.6,560.7,560.7,-10.0,52116,29228872.2
