date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1086.0,1086.0,1086.0,1086.0,-1.99,25,27150.0
2026-02-02,1108.0,1108.0,1108.0,1108.0,1.65,467,517436.0
2026-01-27,1077.0,1090.0,1077.0,1090.0,1.4,80,86815.0
2026-01-26,1074.0,1075.0,1054.6,1075.0,0.18,302,322462.5
2026-01-20,1073.1,1073.1,1073.1,1073.1,-2.0,50,53655.0
2026-01-18,1095.0,1095.0,1095.0,1095.0,-1.97,25,27375.0
2026-01-13,1117.0,1117.0,1117.0,1117.0,0.0,25,27925.0
2026-01-05,1117.0,1117.0,1117.0,1117.0,-1.96,50,55850.0
2025-12-21,1095.1,1139.3,1095.1,1139.3,3.38,175,198250.2
2025-12-17,1102.0,1102.0,1102.0,1102.0,0.18,25,27550.0
2025-12-15,1100.0,1100.0,1100.0,1100.0,0.0,25,27500.0
2025-12-11,1100.0,1100.0,1100.0,1100.0,-0.1,25,27500.0
2025-12-10,1101.1,1101.1,1101.1,1101.1,0.0,25,27527.5
2025-12-09,1101.0,1101.1,1101.0,1101.1,0.09,75,82577.5
2025-12-08,1100.1,1100.1,1100.1,1100.1,-1.34,25,27502.5
2025-12-02,1115.0,1115.0,1115.0,1115.0,0.0,25,27875.0
2025-11-27,1115.0,1115.0,1115.0,1115.0,-1.93,25,27875.0
2025-11-23,1137.0,1137.0,1137.0,1137.0,1.34,323,367251.0
2025-11-19,1122.0,1122.0,1122.0,1122.0,2.0,77,86394.0
2025-11-17,1100.0,1100.0,1100.0,1100.0,0.01,98,107800.0
2025-11-16,1090.2,1099.9,1090.2,1099.9,-0.01,102,111947.3
2025-11-13,1100.0,1100.0,1100.0,1100.0,-1.43,100,110000.0
2025-11-11,1116.0,1116.0,1116.0,1116.0,1.92,50,55800.0
2025-11-09,1095.0,1095.0,1095.0,1095.0,-1.53,25,27375.0
2025-11-06,1112.0,1112.0,1112.0,1112.0,-1.85,25,27800.0
2025-11-03,1133.0,1133.0,1133.0,1133.0,0.27,159,180147.0
2025-10-19,1082.0,1130.0,1082.0,1130.0,4.53,209,233306.6
2025-10-15,1081.1,1081.1,1081.0,1081.0,-1.01,100,108102.5
2025-10-14,1092.0,1092.0,1092.0,1092.0,-1.97,25,27300.0
2025-10-13,1092.4,1129.0,1092.4,1114.0,1.98,150,168960.0
2025-10-12,1092.4,1092.4,1092.4,1092.4,2.0,50,54620.0
2025-10-08,1075.0,1075.0,1071.0,1071.0,-0.83,150,160850.0
2025-09-23,1080.0,1080.0,1080.0,1080.0,-1.82,25,27000.0
2025-09-07,1099.9,1122.0,1099.9,1100.0,0.79,909,1007337.5
2025-09-03,1091.4,1091.4,1091.4,1091.4,0.0,65,70941.0
2025-09-02,1065.9,1091.4,1065.0,1091.4,4.44,343,368147.4
2025-08-31,1055.0,1055.0,1045.0,1045.0,-2.6,65,68425.0
2025-08-25,1072.9,1072.9,1072.9,1072.9,1.99,10,10729.0
2025-08-24,1032.2,1052.0,1032.2,1052.0,0.0,50,52105.0
2025-08-21,1052.0,1052.0,1052.0,1052.0,1.94,75,78900.0
2025-08-20,1035.0,1035.0,1032.0,1032.0,0.18,65,67200.0
2025-08-18,1025.1,1030.1,1025.1,1030.1,-0.95,75,77132.5
2025-08-11,1040.0,1040.0,1040.0,1040.0,-1.89,26,27040.0
2025-08-06,1055.0,1060.0,1055.0,1060.0,1.44,50,52875.0
2025-08-04,1045.0,1045.0,1045.0,1045.0,0.97,25,26125.0
2025-08-03,1035.0,1035.0,1035.0,1035.0,0.29,10,10350.0
2025-07-31,1032.0,1032.0,1032.0,1032.0,0.1,30,30960.0
2025-07-29,1031.0,1031.0,1031.0,1031.0,-0.19,25,25775.0
2025-07-28,1033.0,1033.0,1033.0,1033.0,-0.19,25,25825.0
2025-07-27,1035.0,1035.0,1035.0,1035.0,0.88,25,25875.0
2025-07-21,1030.0,1030.0,1026.0,1026.0,-2.1,50,51400.0
2025-07-17,1039.1,1049.0,1031.0,1048.0,-0.19,321,334609.0
2025-07-10,1050.0,1050.0,1050.0,1050.0,0.13,25,26250.0
