fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,6.00,6.00,2025-12-30 [Closed]
2080/2081,,5.00,5.00,2025-01-02 [Closed]
2079/2080,,5.00,5.00,2024-01-04 [Closed]
2078/2079,5.00,7.5,12.5,2023-01-02 [Closed]
2077/2078,10.00,10.00,20.00,2021-12-26 [Closed]
2076/2077,10.00,15.00,25.00,2021-01-01 [Closed]
2075/2076,10.00,18.00,28.00,2019-12-25 [Closed]
2074/2075,10.00,18.00,28.00,2018-12-21 [Closed]
2073/2074,0.00,20.00,20.00,2018-05-10 [Closed]
2072/2073,7.00,20.00,27.00,2016-12-05 [Closed]
2071/2072,0.00,20.00,20.00,2015-12-02 [Closed]
2070/2071,0.00,15.00,15.00,2014-12-29 [Closed]
2069/2070,0.00,18.00,18.00,2014-02-05 [Closed]
2068/2069,0.00,25.00,25.00,2012-12-23 [Closed]
2067/2068,0.00,25.00,25.00,2012-01-03 [Closed]
