fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,12.5,12.5,25.00,2025-12-31 [Closed]
2080/2081,8.00,7.00,15.00,2024-12-31 [Closed]
2079/2080,5.00,10.00,15.00,2024-01-02 [Closed]
2078/2079,22.00,3.26,25.26,2023-03-09 [Closed]
2077/2078,27.00,3.00,30.00,2021-12-22 [Closed]
2076/2077,22.00,7.00,29.00,2020-12-30 [Closed]
2075/2076,27.11,17.21,44.32,2019-12-02 [Closed]
2074/2075,18.00,22.00,40.00,2019-04-29 [Closed]
2073/2074,19.89,25.11,45.00,2017-10-23 [Closed]
2072/2073,40.00,12.7,52.7,2016-12-11 [Closed]
2071/2072,40.00,12.7,52.7,2015-12-11 [Closed]
2070/2071,35.00,10.00,45.00,2014-11-21 [Closed]
2069/2070,33.23,15.00,48.00,2013-12-08 [Closed]
2068/2069,25.00,17.1,42.1,2012-11-25 [Closed]
2067/2068,0.00,25.00,25.00,2011-11-10 [Closed]
