fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,8.00,13.00,2026-01-05 [Closed]
2080/2081,7.00,6.00,13.00,2025-01-06 [Closed]
2079/2080,14.00,0.7368,14.7368,2024-07-04 [Closed]
2078/2079,25.00,1.3158,26.3158,2023-07-04 [Closed]
2077/2078,30.00,1.5789,31.5789,2022-08-10 [Closed]
2076/2077,9.00,8.8947,17.8947,2021-06-22 [Closed]
2075/2076,22.00,1.16,23.16,2020-06-24 [Closed]
2074/2075,22.00,1.16,23.16,2019-09-05 [Closed]
2073/2074,22.06,1.16,23.22,2018-12-02 [Closed]
2072/2073,22.00,1.157,23.157,2018-04-22 [Closed]
2071/2072,21.85,1.15,23.00,2017-08-11 [Closed]
2070/2071,35.00,6.84,41.84,2016-02-18 [Closed]
2069/2070,50.00,2.63,52.63,2014-07-02 [Closed]
2068/2069,38.89,,38.89,2013-06-28 [Closed]
2067/2068,35.00,,35.00,2012-07-21 [Closed]
