fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,0.263,5.263,2025-11-03 [Closed]
2080/2081,4.00,0.21,4.21,2024-10-15 [Closed]
2079/2080,,5.79,5.79,2023-10-02 [Closed]
2078/2079,0.00,9.00,9.00,2022-10-14 [Closed]
2077/2078,12.913,3.087,16.00,2021-10-08 [Closed]
2076/2077,8.00,3.00,11.00,2020-11-26 [Closed]
2075/2076,3.00,12.00,15.00,2019-09-17 [Closed]
2074/2075,3.628,1.635,5.263,2019-01-01 [Closed]
2073/2074,16.00,1.00,17.00,2017-08-28 [Closed]
2072/2073,15.8,0.83,16.63,2016-09-22 [Closed]
2071/2072,20.00,1.05,21.05,2015-09-28 [Closed]
2070/2071,13.00,5.95,18.95,2014-09-14 [Closed]
2069/2070,0.00,15.00,15.00,2013-09-20 [Closed]
2068/2069,0.00,8.42,8.42,2012-09-20 [Closed]
2067/2068,5.00,5.53,10.53,2011-09-29 [Closed]
