fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,10.00,5.00,15.00,2025-12-31 [Closed]
2080/2081,9.5,0.5,10.00,2025-01-01 [Closed]
2079/2080,10.00,0.5263,10.5263,2024-03-28 [Closed]
2078/2079,10.00,11.0526,21.0526,2023-03-03 [Closed]
2077/2078,20.00,1.053,21.053,2021-09-28 [Closed]
2076/2077,15.00,5.00,20.00,2021-03-23 [Closed]
2075/2076,30.00,15.00,45.00,2020-01-27 [Closed]
2074/2075,10.00,10.00,20.00,2019-01-10 [Closed]
2073/2074,16.00,15.00,31.00,2017-12-29 [Closed]
2072/2073,35.00,17.63,52.63,2017-02-13 [Closed]
2071/2072,50.00,2.63,52.63,2015-12-13 [Closed]
2070/2071,35.00,15.00,50.00,2014-12-02 [Closed]
2069/2070,20.00,15.00,35.00,2013-12-27 [Closed]
2068/2069,0.00,25.00,25.00,2012-01-02 [Closed]
2067/2068,0.00,28.00,28.00,2011-12-29 [Closed]
