fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,6.00,14.00,20.00,2025-10-10 [Closed]
2080/2081,10.00,5.53,15.53,2024-09-24 [Closed]
2079/2080,10.00,10.53,20.53,2023-10-03 [Closed]
2078/2079,13.00,7.68,20.68,2022-11-29 [Closed]
2077/2078,6.00,4.32,10.32,2021-12-03 [Closed]
2076/2077,5.00,5.53,10.53,2020-12-25 [Closed]
2075/2076,5.00,20.00,25.00,2019-12-20 [Closed]
2074/2075,0.00,20.00,20.00,2018-12-12 [Closed]
2073/2074,33.00,1.74,34.74,2017-12-28 [Closed]
2072/2073,70.00,3.675,73.675,2016-12-21 [Closed]
2071/2072,30.00,6.57,36.57,2015-12-01 [Closed]
2070/2071,12.00,50.00,62.00,2014-09-03 [Closed]
2069/2070,10.00,50.53,60.53,2013-09-18 [Closed]
2068/2069,30.00,1.58,31.58,2012-10-19 [Closed]
2067/2068,10.00,50.00,60.00,2011-10-17 [Closed]
