date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,670.0,670.0,664.0,666.4,0.05,24688,16471999.4
2026-02-11,665.0,674.0,665.0,666.1,0.23,29808,19911270.7
2026-02-10,670.0,670.0,664.6,664.6,-0.81,26651,17752096.0
2026-02-09,670.0,672.0,665.1,670.0,0.0,57712,38626196.3
2026-02-08,666.0,680.0,665.0,670.0,0.15,55470,37377711.1
2026-02-05,664.0,671.0,664.0,669.0,-0.15,35537,23784389.8
2026-02-04,652.0,675.0,652.0,670.0,0.72,46049,30858117.0
2026-02-03,666.0,670.0,665.0,665.2,-0.45,52815,35199251.5
2026-02-02,655.2,670.0,655.2,668.2,-0.04,24631,16452521.3
2026-02-01,675.0,675.0,668.0,668.5,-0.71,19118,12794895.9
2026-01-29,675.0,679.0,673.0,673.3,-0.1,34896,23573674.1
2026-01-28,683.0,683.0,670.0,674.0,0.55,49392,33185392.6
2026-01-27,672.0,676.9,670.3,670.3,-1.03,38432,25870689.1
2026-01-26,674.0,677.6,671.2,677.3,0.49,44613,30119185.7
2026-01-25,671.0,683.5,670.1,674.0,0.45,42047,28265125.4
2026-01-22,668.0,675.0,668.0,671.0,-0.3,19126,12853004.6
2026-01-21,678.1,680.0,671.0,673.0,-0.59,13721,9236861.1
2026-01-20,665.0,682.0,665.0,677.0,1.77,35963,24352280.6
2026-01-18,660.5,667.0,660.0,665.2,0.79,27585,18338376.8
2026-01-14,661.0,665.0,658.0,660.0,-0.15,26659,17620601.8
2026-01-13,665.0,665.0,660.0,661.0,0.09,9271,6136938.0
2026-01-12,660.0,664.8,658.0,660.4,-0.09,24488,16189460.4
2026-01-08,653.0,664.0,653.0,661.0,0.46,24336,16017783.1
2026-01-07,654.1,662.0,652.0,658.0,0.3,32918,21654361.3
2026-01-06,663.0,663.0,654.0,656.0,0.31,19136,12591664.0
2026-01-05,649.0,660.0,645.0,654.0,0.62,28075,18264142.4
2026-01-04,652.0,653.0,645.0,650.0,-0.31,17855,11625066.6
2026-01-01,660.1,661.5,652.0,652.0,-1.66,15716,10318718.2
2025-12-31,657.2,664.0,657.1,663.0,0.84,24223,16036012.6
2025-12-29,660.0,663.9,655.3,657.5,0.54,23830,15706268.5
2025-12-28,650.0,655.0,648.2,654.0,1.04,32533,21185209.2
2025-12-24,650.0,650.0,641.1,647.3,-0.42,20691,13406050.9
2025-12-23,646.5,651.0,643.5,650.0,0.54,13059,8460965.0
2025-12-22,647.0,652.0,645.0,646.5,-0.84,19469,12591215.5
2025-12-21,653.0,660.0,647.1,652.0,-0.46,20227,13233405.5
2025-12-18,657.6,657.6,651.3,655.0,0.29,9793,6396233.3
2025-12-17,663.0,663.0,651.0,653.1,0.38,18564,12200369.0
2025-12-16,649.0,652.9,645.1,650.6,0.68,16393,10670736.8
2025-12-15,645.1,648.0,643.3,646.2,0.17,20581,13283418.6
2025-12-14,654.3,654.3,644.1,645.1,-0.14,43589,28159670.6
2025-12-11,637.0,646.0,637.0,646.0,0.78,12652,8127465.4
2025-12-10,641.0,642.0,639.5,641.0,0.16,21558,13808023.7
2025-12-09,640.0,645.0,640.0,640.0,0.31,7879,5055910.4
2025-12-08,641.0,648.0,637.9,638.0,-0.47,21169,13525690.8
2025-12-07,652.1,652.1,639.0,641.0,-0.47,31463,20264366.1
2025-12-03,655.7,655.7,641.0,644.0,0.16,19833,12782474.6
2025-12-02,650.1,655.0,643.0,643.0,-1.08,28724,18628020.1
2025-12-01,654.0,655.0,641.0,650.0,-0.61,12453,8104921.5
2025-11-30,664.5,666.0,654.0,654.0,-1.06,36295,23955932.4
2025-11-27,653.0,665.0,653.0,661.0,0.15,30238,20001645.0
2025-11-26,662.0,662.8,649.0,660.0,0.46,26943,17754091.2
2025-11-25,651.2,659.7,646.0,657.0,0.89,21721,14209699.1
2025-11-24,656.0,656.0,649.3,651.2,-0.11,18874,12295955.3
2025-11-23,644.0,652.0,639.0,651.9,1.86,29228,18881348.0
2025-11-20,639.0,647.0,635.0,640.0,0.31,17958,11457506.2
2025-11-19,647.0,647.0,637.7,638.0,-0.31,11554,7386288.5
2025-11-18,636.1,646.0,636.0,640.0,0.79,25395,16251685.6
2025-11-17,633.0,636.0,633.0,635.0,0.47,15079,9581046.9
2025-11-16,631.0,636.0,630.0,632.0,0.16,17606,11115576.9
2025-11-13,638.0,638.0,630.0,631.0,-0.47,23821,15042049.7
2025-11-12,635.0,639.0,630.1,634.0,0.11,38337,24278381.9
2025-11-11,638.0,639.0,631.0,633.3,0.05,20058,12731658.6
2025-11-10,631.1,641.0,631.0,633.0,0.72,23731,15070136.6
2025-11-09,630.0,632.0,625.1,628.5,0.88,22341,14050848.1
2025-11-06,625.0,636.0,623.0,623.0,-0.83,31406,19682467.4
2025-11-05,628.0,634.5,628.0,628.2,-0.44,24430,15390983.9
2025-11-04,635.0,635.0,629.5,631.0,-0.32,18856,11898079.1
2025-11-03,636.0,639.0,624.0,633.0,0.46,23526,14886368.4
2025-11-02,637.5,637.5,623.0,630.1,0.82,26776,16892055.4
2025-10-30,620.5,629.8,619.0,625.0,0.0,28412,17708937.1
2025-10-29,633.0,633.0,625.0,625.0,-0.79,12086,7598478.2
2025-10-28,627.0,632.3,620.0,630.0,0.82,20842,13107009.5
2025-10-26,620.0,632.0,620.0,624.9,-0.97,26398,16441978.0
2025-10-19,628.0,639.0,628.0,631.0,-1.42,27253,17292111.8
2025-10-16,636.0,642.0,630.0,640.1,0.49,49689,31556507.2
2025-10-15,643.9,643.9,634.0,637.0,-0.31,32284,20568992.3
2025-10-14,643.0,649.9,636.0,639.0,-0.47,30565,19522076.0
2025-10-13,665.0,665.0,632.0,642.0,-1.53,58961,37830211.9
2025-10-12,670.0,672.0,650.0,652.0,-3.61,149895,98216465.7
2025-10-09,724.8,738.0,716.0,717.0,0.9,195074,140544859.4
2025-10-08,720.0,720.0,710.6,710.6,-1.31,79337,56635364.5
2025-10-07,724.0,724.0,710.0,720.0,0.0,89590,64430158.6
2025-09-28,715.0,722.0,713.0,720.0,0.73,27218,19556486.7
2025-09-25,705.0,716.0,702.0,714.8,0.68,21113,14992798.6
2025-09-24,712.0,720.0,708.3,710.0,-0.28,55779,39804810.6
2025-09-23,705.0,719.0,701.1,712.0,1.0,48632,34611223.2
