fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,6.5,6.5,2026-01-01 [Closed]
2080/2081,9.00,0.47,9.47,2024-12-08 [Closed]
2079/2080,7.5,7.5,15.00,2023-12-28 [Closed]
2078/2079,19.00,1.00,20.00,2023-01-01 [Closed]
2077/2078,10.00,0.53,10.53,2021-11-21 [Closed]
2076/2077,9.5,4.1842,13.6842,2020-11-20 [Closed]
2075/2076,17.00,0.89,17.89,2019-10-01 [Closed]
2074/2075,0.00,12.6316,12.6316,2018-10-03 [Closed]
2073/2074,15.00,0.79,15.79,2017-09-12 [Closed]
2072/2073,15.00,0.79,15.79,2016-09-21 [Closed]
2071/2072,15.00,0.79,15.79,2015-11-01 [Closed]
2070/2071,0.00,15.79,15.79,2014-09-01 [Closed]
2069/2070,0.00,15.00,15.00,2013-09-23 [Closed]
2068/2069,0.00,15.79,15.79,2012-09-28 [Closed]
