fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,6.00,4.53,10.53,2025-11-04 [Closed]
2080/2081,,5.00,5.00,2025-01-02 [Closed]
2079/2080,9.5,0.5,10.00,2024-01-02 [Closed]
2078/2079,13.00,1.5,14.5,2022-12-23 [Closed]
2077/2078,16.00,0.00,16.00,2022-03-18 [Closed]
2076/2077,13.5,0.7105,14.21,2021-01-25 [Closed]
2075/2076,16.15,0.85,17.00,2019-11-29 [Closed]
2074/2075,10.00,3.75,13.75,2018-09-28 [Closed]
2073/2074,15.00,,15.00,2017-12-29 [Closed]
2072/2073,20.00,,20.00,2017-02-03 [Closed]
2071/2072,20.00,,20.00,2015-12-29 [Closed]
2070/2071,20.00,1.05,21.05,2014-11-11 [Closed]
2069/2070,20.00,5.00,25.00,2013-09-19 [Closed]
2068/2069,10.00,15.00,25.00,2012-10-05 [Closed]
2067/2068,0.00,18.00,18.00,2011-11-22 [Closed]
