fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,8.00,8.00,2025-11-02 [Closed]
2080/2081,5.5,0.00,5.5,2024-11-24 [Closed]
2079/2080,1.00,8.00,9.00,2023-11-29 [Closed]
2078/2079,3.00,10.6,13.6,2022-11-23 [Closed]
2077/2078,10.00,3.5,13.5,2021-11-29 [Closed]
2076/2077,14.00,2.00,16.00,2020-12-30 [Closed]
2075/2076,12.75,12.75,25.5,2019-11-07 [Closed]
2074/2075,16.00,0.00,16.00,2018-12-28 [Closed]
2073/2074,10.00,10.00,20.00,2017-10-25 [Closed]
2072/2073,16.00,,16.00,2017-03-20 [Closed]
2071/2072,23.00,,23.00,2015-10-29 [Closed]
2070/2071,21.00,4.00,25.00,2014-09-26 [Closed]
2069/2070,15.00,,15.00,2013-12-18 [Closed]
2068/2069,3.00,10.00,13.00,2012-12-31 [Closed]
