fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,9.1,3.9,13.00,2021-12-31 [Closed]
2076/2077,8.4,3.6,12.00,2021-01-01 [Closed]
2075/2076,0.00,10.00,10.00,2020-01-01 [Closed]
2074/2075,0.00,5.26,5.26,2019-02-10 [Closed]
2073/2074,10.19,0.536,10.726,2017-12-11 [Closed]
2072/2073,25.00,1.32,26.32,2016-09-27 [Closed]
2071/2072,10.00,,10.00,2016-01-01 [Closed]
2070/2071,6.28,7.72,14.00,2014-12-12 [Closed]
2069/2070,0.00,7.37,7.37,2013-12-29 [Closed]
2068/2069,3.5,5.5,9.00,2012-12-09 [Closed]
