fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,4.75,0.25,5.00,2026-01-02 [Closed]
2079/2080,,10.00,10.00,2024-01-04 [Closed]
2078/2079,12.00,8.00,20.00,2023-02-28 [Closed]
2077/2078,28.00,0.00,28.00,2021-11-30 [Closed]
2076/2077,27.47,1.45,28.92,2020-12-30 [Closed]
2075/2076,17.5,0.92,18.42,2019-11-11 [Closed]
2074/2075,15.00,0.7875,15.7875,2018-11-02 [Closed]
2073/2074,20.00,1.05,21.05,2017-09-26 [Closed]
2072/2073,0.00,20.00,20.00,2016-11-22 [Closed]
2071/2072,13.00,0.68,13.68,2015-12-22 [Closed]
